CED_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
CED201,0,99,0,99,..,760,26,790,3,790,..,288,31,316,3,320,..,519,24,540,3,541,..,68,10,78,0,78,..,67,9,71,0,71,..,411,118,523,0,528,..,1542,315,1858,36,1890,..,15049,2467,17512,145,17660,..,142,27,162,2233,2394,46311,15184,2490,17674,2377,66363,47714,..,..,..,..,47714,..,94,0,94,0,94,..,493,61,554,3,562,..,3,0,3,0,3,..,1872,579,2455,18,2468,..,3018,1156,4173,27,4196,..,339,87,430,4,433,..,5236,1818,7048,47,7099,..,139,9,148,5,154,..,140,5,149,3,149,..,167,6,174,0,170,..,460,15,467,5,476,..,740,115,851,6,860,..,78,3,84,0,84,..,628,32,663,3,664,..,308,36,345,0,351,..,944,50,990,7,996,..,77,4,88,0,88,..,450,40,489,3,496,..,2492,168,2664,12,2677,..,790,85,874,7,883,..,78,18,92,0,94,..,237,117,353
CED202,0,14,0,14,..,166,10,179,0,177,..,102,10,108,0,108,..,51,3,52,0,52,..,38,11,47,0,47,..,18,0,18,0,18,..,63,12,76,0,79,..,639,134,771,24,795,..,3410,456,3866,50,3917,..,181,8,192,4562,4757,66232,3592,467,4060,4613,74900,70399,..,..,..,..,70399,..,58,0,58,0,58,..,73,3,82,0,79,..,11,0,13,0,19,..,78,19,99,0,98,..,375,109,484,4,485,..,36,8,41,0,41,..,483,139,623,3,627,..,104,15,117,3,121,..,151,0,151,3,155,..,108,5,117,0,114,..,187,7,190,3,192,..,109,18,126,3,136,..,30,4,34,0,34,..,117,8,131,0,131,..,128,31,163,0,164,..,41,4,50,0,45,..,44,9,47,0,47,..,63,5,68,0,68,..,431,68,493,3,494,..,198,23,218,0,224,..,93,12,103,0,103,..,27,3,26
CED203,5,88,0,87,..,509,24,530,7,537,..,563,55,616,13,629,..,295,22,318,3,325,..,105,25,127,0,131,..,179,16,194,0,195,..,1261,385,1648,12,1662,..,1907,365,2269,62,2333,..,23186,4882,28066,341,28413,..,203,47,247,5012,5268,44756,23388,4934,28319,5362,78431,47878,..,..,..,..,47878,..,26,0,26,0,26,..,1705,563,2268,24,2299,..,11,0,11,0,11,..,677,374,1046,11,1059,..,2067,1054,3127,25,3151,..,175,66,243,3,241,..,2918,1497,4416,37,4451,..,279,49,329,3,335,..,76,0,84,5,83,..,322,3,326,3,328,..,278,15,290,0,298,..,3793,1313,5109,61,5163,..,159,26,183,0,183,..,665,51,713,3,721,..,492,64,555,11,560,..,225,15,245,0,243,..,247,39,280,0,286,..,622,63,678,0,679,..,2410,251,2656,18,2674,..,4287,1284,5572,63,5632,..,258,27,282,3,290,..,69,22,93
CED204,0,15,0,15,..,153,3,151,5,154,..,64,4,73,0,73,..,33,0,32,3,39,..,13,3,16,0,22,..,11,3,15,0,15,..,43,13,58,0,59,..,665,331,1000,26,1023,..,2535,592,3119,49,3167,..,167,25,189,5667,5856,64350,2701,611,3314,5719,73379,68073,..,..,..,..,68073,..,46,3,48,0,48,..,71,6,77,0,78,..,7,0,7,0,7,..,65,17,84,0,84,..,225,131,364,4,366,..,13,3,19,0,19,..,303,157,459,3,462,..,31,3,38,0,38,..,75,3,80,3,80,..,97,5,98,0,98,..,152,3,158,0,164,..,98,13,112,0,112,..,30,6,33,0,32,..,87,7,90,0,93,..,82,18,100,0,98,..,47,8,60,0,60,..,31,0,33,0,33,..,61,3,69,0,69,..,342,46,386,0,387,..,161,14,171,4,171,..,54,0,55,0,53,..,24,6,30
CED205,14,174,0,170,..,1048,61,1106,3,1107,..,461,78,530,6,540,..,1912,285,2193,19,2210,..,79,13,88,0,93,..,298,66,363,3,364,..,2093,702,2792,12,2809,..,6258,2043,8306,135,8441,..,36257,7834,44093,384,44482,..,208,70,282,3873,4149,30420,36468,7909,44376,4262,79055,29598,..,..,..,..,29598,..,62,0,62,0,62,..,990,220,1209,8,1222,..,0,0,0,0,0,..,2498,829,3328,11,3346,..,5462,2413,7880,43,7920,..,470,201,668,4,673,..,8436,3445,11880,63,11939,..,369,79,446,4,451,..,100,8,105,0,106,..,394,24,412,3,421,..,260,4,265,5,273,..,2383,551,2939,34,2972,..,340,24,367,4,372,..,1290,107,1396,11,1406,..,1321,193,1517,21,1541,..,2150,185,2333,14,2348,..,520,87,600,7,608,..,631,64,696,0,695,..,6250,660,6907,56,6968,..,1272,306,1581,21,1598,..,170,42,209,0,211,..,410,183,594
CED206,10,154,0,152,..,1105,42,1148,13,1161,..,547,88,638,6,642,..,251,31,281,0,280,..,60,19,76,3,80,..,4872,1024,5899,55,5953,..,1151,348,1500,14,1512,..,6002,1792,7794,98,7894,..,34632,6471,41106,463,41567,..,252,78,335,4504,4840,36163,34891,6551,41440,4966,82569,35639,..,..,..,..,35639,..,15,0,15,0,15,..,6226,1644,7868,82,7955,..,3,0,3,0,3,..,345,135,485,0,482,..,417,168,590,5,594,..,95,38,133,0,133,..,861,345,1203,4,1207,..,841,170,1014,15,1026,..,28,0,28,0,23,..,109,3,111,0,111,..,98,6,108,3,105,..,1688,328,2011,26,2036,..,151,14,158,3,164,..,763,54,816,10,828,..,1080,186,1268,15,1282,..,984,99,1078,7,1088,..,649,103,754,5,761,..,392,143,535,3,539,..,4010,600,4612,50,4659,..,3044,426,3473,42,3514,..,36,3,41,0,41,..,24,17,41
CED207,0,28,0,28,..,194,9,203,0,203,..,147,14,162,0,163,..,22,0,23,0,23,..,40,14,47,0,52,..,26,3,28,0,28,..,77,16,90,0,92,..,923,424,1345,26,1367,..,4575,837,5415,63,5476,..,157,29,182,3209,3392,61335,4734,867,5595,3278,70203,63043,..,..,..,..,63043,..,86,0,91,0,91,..,97,12,113,3,118,..,35,0,35,0,34,..,149,40,182,0,182,..,422,155,582,3,582,..,32,7,42,0,42,..,605,199,806,3,809,..,53,16,69,0,66,..,384,8,393,0,397,..,127,0,127,3,128,..,406,11,417,3,419,..,158,18,180,0,176,..,14,0,14,0,14,..,144,13,151,0,151,..,97,15,108,5,113,..,93,0,93,0,90,..,12,0,15,0,15,..,78,13,89,0,89,..,425,40,466,4,472,..,545,105,651,9,657,..,72,12,86,0,86,..,24,13,33
CED208,7,131,0,131,..,1147,68,1218,7,1226,..,364,45,405,0,409,..,589,9,598,3,599,..,164,32,197,0,197,..,56,9,62,0,67,..,890,158,1044,9,1052,..,1945,316,2258,56,2316,..,29275,6138,35414,283,35692,..,161,39,197,3502,3700,40529,29432,6179,35609,3785,79930,41660,..,..,..,..,41660,..,81,0,81,0,81,..,345,48,389,0,392,..,4,0,4,0,4,..,3198,1036,4228,12,4244,..,10165,3665,13829,68,13895,..,701,305,1011,3,1011,..,14060,5004,19067,89,19152,..,119,21,139,3,144,..,101,3,99,4,104,..,308,16,328,0,328,..,307,14,319,7,326,..,3047,810,3864,31,3888,..,282,31,313,4,311,..,946,44,991,6,997,..,381,42,423,0,427,..,1238,50,1285,5,1291,..,133,10,141,0,141,..,555,48,599,0,599,..,3528,221,3756,21,3775,..,1300,299,1598,23,1623,..,378,54,429,0,429,..,680,292,977
CED209,0,27,0,33,..,185,3,186,3,189,..,103,3,112,3,113,..,69,0,70,0,70,..,32,3,32,0,32,..,22,7,25,0,25,..,92,18,106,0,106,..,773,115,888,18,913,..,4175,449,4625,52,4681,..,153,18,178,3939,4115,66113,4335,470,4799,3995,74915,68934,..,..,..,..,68934,..,51,0,51,0,54,..,119,15,126,3,128,..,3,0,3,0,3,..,108,26,131,0,134,..,405,109,516,11,518,..,22,12,35,0,35,..,531,146,677,7,689,..,113,12,127,0,127,..,133,3,140,3,146,..,144,3,148,0,154,..,277,11,292,5,292,..,164,11,178,4,181,..,31,9,40,0,40,..,108,0,111,0,111,..,126,11,137,0,137,..,63,3,74,0,72,..,24,9,30,0,30,..,49,5,60,0,58,..,408,39,447,3,455,..,375,47,421,11,430,..,111,12,120,0,120,..,40,10,48
CED210,3,46,0,49,..,398,9,408,3,413,..,136,29,170,3,170,..,51,3,54,0,54,..,53,18,72,0,71,..,115,28,147,0,151,..,204,75,275,8,280,..,1428,478,1908,43,1953,..,7202,1361,8563,139,8701,..,219,19,239,5278,5519,58565,7421,1386,8802,5420,72793,62943,..,..,..,..,62943,..,36,0,36,0,37,..,138,51,191,0,195,..,15,0,15,0,15,..,102,10,115,0,115,..,355,105,461,6,468,..,19,7,28,0,28,..,481,122,599,6,612,..,826,195,1016,7,1024,..,180,4,184,5,192,..,118,3,124,0,126,..,283,11,293,3,299,..,283,72,355,4,359,..,21,3,23,0,23,..,123,13,131,0,133,..,200,32,236,3,240,..,49,5,52,0,52,..,54,8,62,0,62,..,104,6,105,0,108,..,548,60,608,6,617,..,799,170,972,16,986,..,66,3,70,0,70,..,33,7,39
