UCL_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
UCL212005,71,71,55,34,39,8,0,276,80,62,25,26,27,10,0,231,81,76,32,19,26,13,4,237,1082,1116,623,416,592,148,50,4037,7,8,6,3,0,0,0,24,1319,1333,738,498,682,176,54,4800,17,11,11,7,7,0,0,59,33,28,21,14,17,10,5,116,7,23,11,8,13,3,0,64,240,333,202,144,246,68,13,1248,16,13,10,6,4,0,0,43,307,408,255,180,280,80,15,1534,1627,1742,999,677,966,250,68,6330
UCL213001,60,68,30,12,37,16,7,227,74,81,39,24,31,16,6,265,64,53,33,19,18,19,6,216,732,737,367,241,344,123,47,2590,3,3,0,3,4,4,0,16,929,940,471,300,429,167,67,3308,3,6,9,5,7,0,0,37,20,29,14,11,13,0,8,97,7,10,6,4,12,4,3,46,161,210,123,90,105,43,13,750,3,13,8,0,0,5,0,35,193,271,165,117,143,53,24,968,1122,1210,637,418,572,222,97,4275
UCL213002,41,37,17,12,16,3,0,114,20,12,19,4,7,4,0,75,25,20,6,3,5,3,0,68,441,406,234,150,181,42,5,1461,6,7,0,3,0,0,0,24,538,488,277,173,213,51,5,1740,3,0,4,0,3,0,0,8,16,19,12,7,3,0,0,56,3,15,5,4,6,3,0,37,137,174,88,70,123,21,3,613,12,6,13,0,4,0,0,33,162,211,116,83,137,22,3,741,705,695,390,259,350,77,9,2484
UCL213003,42,32,20,13,8,0,0,113,30,18,8,0,7,4,0,71,16,17,5,4,4,0,0,46,436,485,249,164,232,47,10,1624,3,3,0,0,0,0,0,8,529,551,283,183,248,47,11,1855,5,9,5,0,5,0,0,20,3,6,7,3,3,0,0,23,11,7,10,4,3,0,0,28,140,127,89,64,86,14,0,521,9,0,3,0,5,0,0,18,165,147,107,71,101,19,3,611,690,696,396,254,349,70,15,2472
UCL213004,20,29,19,18,19,8,0,121,48,50,17,14,24,8,0,160,30,33,16,15,19,9,0,122,540,522,231,148,183,60,13,1704,0,0,0,0,0,0,0,0,645,639,292,191,242,75,20,2105,6,3,7,5,17,3,0,35,3,16,5,3,5,5,0,44,3,5,4,0,5,3,0,21,97,144,76,59,81,19,3,487,5,5,0,0,3,0,0,11,116,175,95,67,115,30,3,604,766,808,381,263,356,108,22,2710
UCL213005,23,37,26,12,16,7,3,127,30,35,21,27,21,10,0,147,48,43,16,17,20,7,0,155,404,489,248,156,228,77,34,1634,0,0,0,0,0,0,0,5,505,612,324,206,277,96,44,2069,3,5,0,3,4,0,0,15,22,10,12,6,10,3,3,65,0,3,0,3,6,3,0,17,91,119,90,68,89,33,13,492,3,9,0,0,3,0,0,16,117,150,99,80,110,44,14,612,620,759,425,285,389,140,61,2678
UCL213006,21,24,14,9,8,0,0,66,31,23,17,7,6,3,0,95,18,21,6,6,9,7,0,65,447,469,287,183,276,67,10,1741,3,3,0,3,0,0,0,9,533,534,317,206,298,73,12,1978,0,0,8,3,0,0,0,12,7,9,7,8,4,5,0,34,6,5,5,3,3,0,0,26,134,153,105,61,95,22,3,574,4,5,3,0,0,0,0,13,150,170,126,70,103,24,3,651,685,703,448,280,404,98,15,2625
UCL213007,62,44,33,18,16,3,0,185,23,27,16,6,10,3,0,78,33,30,9,9,7,0,0,83,624,615,344,203,280,49,7,2133,4,5,0,4,0,0,0,15,752,722,403,238,315,63,12,2493,3,3,0,0,5,0,0,11,10,9,7,0,9,0,0,36,6,8,4,3,4,0,0,22,163,224,110,84,99,27,4,715,10,5,6,3,0,0,0,29,184,247,126,92,118,34,3,807,932,970,532,333,433,96,15,3308
UCL213008,64,49,34,22,44,31,9,244,72,43,27,21,21,11,3,201,64,43,20,11,22,12,12,173,630,613,319,225,262,108,38,2196,0,0,0,0,0,0,0,7,829,753,397,274,350,160,59,2814,0,7,6,0,3,0,0,19,9,17,3,5,10,0,0,45,12,7,3,0,3,3,0,30,92,129,83,75,116,20,10,522,10,0,3,0,0,0,0,17,118,161,105,84,136,21,10,633,945,914,497,356,483,184,66,3445
UCL213009,46,26,18,13,19,8,9,147,45,28,11,16,29,6,3,141,47,30,14,12,14,9,3,122,621,463,260,169,229,98,31,1883,0,6,0,3,0,0,0,8,770,557,314,214,291,124,40,2300,3,3,6,4,11,3,3,26,12,16,7,5,10,4,0,61,3,3,3,3,15,0,0,25,94,132,93,48,76,30,5,477,7,3,8,5,0,0,0,27,117,159,113,67,113,42,13,626,890,712,424,280,398,167,53,2924
UCL213010,12,18,16,11,15,7,3,86,22,25,19,5,9,4,0,77,25,21,12,9,15,3,3,85,429,375,217,166,210,68,26,1498,3,6,3,3,0,0,0,15,495,443,262,196,252,81,35,1764,12,15,6,3,14,5,0,53,18,29,5,0,3,0,0,51,0,7,11,5,12,7,0,42,200,235,134,108,133,29,3,844,12,8,8,3,3,0,0,41,239,293,167,130,161,39,7,1031,735,740,431,319,409,115,38,2793
UCL213011,50,41,22,15,23,6,6,153,9,9,12,10,3,4,0,56,15,15,9,6,8,0,0,57,362,340,165,116,138,48,16,1187,3,8,3,0,0,0,0,15,444,410,209,142,173,69,20,1466,9,14,14,11,14,4,3,74,15,8,13,8,5,3,0,51,7,6,3,7,7,0,3,35,224,231,136,92,101,24,4,815,21,15,11,4,3,0,0,53,282,281,172,124,131,29,9,1033,727,692,377,265,304,101,28,2495
UCL213012,34,52,28,14,24,9,3,169,91,111,61,38,45,18,9,372,64,106,33,21,18,12,3,257,806,903,481,269,333,140,54,2989,3,0,0,0,0,0,0,3,998,1170,603,345,428,176,66,3784,9,8,3,0,3,0,0,25,15,24,13,5,13,3,0,73,5,13,10,12,8,4,0,48,62,149,97,78,85,37,14,520,8,3,3,0,0,0,0,12,95,195,125,90,114,44,14,679,1094,1367,733,441,536,220,86,4467
UCL213013,16,16,9,5,18,4,3,70,13,15,7,10,6,0,0,50,13,21,9,4,5,3,0,51,376,326,197,153,169,27,8,1250,3,0,0,0,0,0,0,6,418,379,221,172,199,39,10,1428,4,3,0,3,0,0,0,10,6,3,4,0,7,0,0,21,0,3,5,4,0,0,0,14,94,113,77,55,85,16,4,439,3,3,3,0,3,0,0,11,111,126,87,61,93,19,3,499,530,504,307,234,289,54,13,1924
UCL213014,68,58,29,22,24,10,0,210,34,42,21,14,15,3,0,136,40,30,17,14,11,3,0,115,530,481,251,155,201,50,11,1688,10,0,0,5,3,0,0,22,684,609,324,200,263,66,18,2165,8,3,7,8,3,0,0,34,9,10,6,4,17,8,0,56,10,10,6,3,6,0,0,34,120,168,82,74,100,24,0,563,9,4,0,3,4,0,0,22,144,195,104,91,130,38,0,705,829,808,423,290,394,105,15,2871
UCL213015,86,53,23,13,32,9,4,217,5,4,3,0,8,0,0,26,29,18,6,0,0,0,0,55,412,342,173,145,192,36,13,1309,3,6,0,5,0,0,0,17,532,419,209,170,229,46,13,1619,7,11,6,4,7,3,0,37,7,6,0,0,5,0,0,24,0,3,0,3,4,0,0,12,103,123,78,65,69,14,3,458,14,3,7,0,7,0,0,23,131,148,87,77,90,21,4,562,662,569,300,244,317,63,18,2178
UCL213016,68,71,42,30,40,6,3,247,113,102,55,38,39,18,7,368,109,96,35,19,34,5,6,311,869,920,471,279,358,130,48,3077,0,5,0,0,0,0,0,9,1151,1199,602,366,471,164,64,4021,3,5,0,5,6,3,0,26,14,23,12,11,14,4,4,77,4,17,6,4,6,3,0,42,42,95,85,46,71,26,10,367,0,0,0,5,0,0,0,8,57,138,108,73,98,36,16,518,1214,1332,712,438,571,194,80,4542
UCL213017,36,26,21,7,8,3,0,106,31,29,13,16,13,3,0,110,33,33,10,11,15,3,0,108,666,700,421,264,334,86,18,2491,10,4,3,0,3,0,0,24,777,800,463,295,371,101,19,2829,9,7,12,5,6,0,0,42,6,13,10,9,10,0,0,58,3,3,6,8,0,0,0,18,170,247,139,107,135,31,6,841,11,5,10,3,7,0,0,36,196,284,172,135,161,37,7,996,976,1086,639,430,535,136,29,3827
UCL213018,47,39,14,15,23,12,0,141,43,35,20,11,18,3,0,140,20,42,23,12,15,7,0,119,516,547,307,192,278,105,32,1984,0,4,0,0,0,0,0,3,626,660,363,232,340,134,36,2397,6,6,3,3,11,4,4,33,8,9,12,7,6,3,0,41,9,8,6,4,13,4,0,40,101,160,106,67,108,41,4,590,5,8,3,0,3,0,0,22,128,187,129,81,133,51,10,722,750,850,491,313,474,188,51,3120
UCL214001,24,22,17,9,3,0,0,78,10,4,9,0,4,0,0,30,12,11,0,5,7,0,0,35,201,197,148,76,118,21,3,767,0,0,0,0,0,0,0,4,247,242,167,94,134,22,4,907,3,3,0,0,0,0,0,8,0,6,7,6,3,0,0,17,0,0,4,0,3,3,0,15,71,94,44,37,49,8,3,305,0,6,0,0,0,0,0,9,70,105,56,50,57,10,3,354,320,346,227,140,190,36,3,1263
UCL214002,12,18,15,4,3,0,0,59,4,11,0,3,3,0,0,26,16,14,5,6,7,0,0,52,237,253,160,97,151,27,6,926,0,0,0,0,0,0,0,5,277,293,186,110,168,28,5,1066,5,3,0,3,0,0,0,15,9,9,11,7,4,3,0,46,3,5,0,3,6,0,0,14,103,128,81,57,84,15,3,473,15,9,3,3,0,0,0,30,129,160,88,79,93,22,3,574,410,450,271,192,261,47,6,1644
UCL214003,21,13,7,4,4,4,0,58,35,43,26,15,14,4,0,135,25,18,9,4,9,5,0,68,280,271,175,100,120,34,14,1000,4,3,0,0,0,0,0,9,365,351,220,127,151,48,16,1277,3,3,6,3,3,4,0,24,0,19,4,8,10,0,0,44,0,9,8,7,11,3,0,36,60,93,66,33,65,25,3,348,3,3,4,3,0,0,0,9,74,119,84,55,89,35,4,453,436,475,298,185,233,84,20,1727
UCL214004,43,47,15,10,11,4,0,135,9,5,4,4,9,0,0,29,13,5,0,0,9,4,0,27,165,134,98,60,79,14,0,556,0,0,0,0,0,0,0,3,225,194,125,78,106,21,3,753,3,5,8,8,12,0,0,33,5,5,4,3,3,0,0,22,3,3,0,0,0,0,0,8,47,62,47,33,35,8,0,229,3,3,0,0,0,0,0,13,55,79,59,43,53,11,3,307,277,271,191,117,156,29,3,1055
UCL214005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,3,0,0,12,40,34,26,18,26,5,0,155,0,0,0,0,0,0,0,4,49,41,28,16,31,5,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,9,11,6,14,0,0,44,0,0,0,0,0,0,0,0,3,9,11,7,19,0,0,51,52,51,38,25,50,5,0,224
UCL214006,39,29,28,9,25,11,3,146,57,72,36,17,27,10,4,222,43,47,28,18,23,15,4,175,572,555,267,170,205,95,38,1908,7,5,0,0,0,0,0,10,715,712,354,217,274,131,58,2460,0,0,0,3,4,3,0,12,7,7,6,6,8,10,0,40,0,3,4,5,3,3,0,23,39,56,52,43,61,27,12,288,0,4,0,0,0,0,0,10,42,69,65,55,80,38,13,370,755,781,415,276,362,176,71,2834
UCL214007,30,24,7,3,8,0,0,69,13,17,8,4,3,0,0,44,12,10,19,4,10,0,0,54,330,291,185,111,149,38,3,1107,3,3,0,0,5,0,0,13,385,342,218,124,173,39,3,1289,0,3,0,0,3,3,0,8,4,11,8,4,3,0,0,28,0,0,4,0,3,0,0,9,67,83,67,42,60,12,0,332,3,3,0,3,6,0,0,17,77,99,75,56,72,15,0,395,462,439,290,177,244,58,9,1681
UCL214008,17,17,15,8,13,8,4,76,32,42,15,6,12,3,0,116,25,27,14,6,8,3,0,85,330,286,159,103,123,45,27,1067,0,0,0,0,0,0,0,6,404,371,202,125,158,58,30,1344,0,5,3,0,4,0,0,12,5,15,6,7,7,0,4,50,0,5,5,6,3,0,3,18,56,79,72,56,57,17,0,333,0,3,3,0,0,0,0,8,65,115,83,73,73,16,6,422,472,484,281,195,229,72,37,1770
UCL214009,8,10,3,0,4,0,0,32,18,16,3,5,12,3,0,62,18,23,4,9,3,0,0,60,156,178,104,57,70,15,3,587,0,0,0,0,0,0,0,0,206,236,120,73,86,19,3,738,0,0,3,0,3,0,0,6,0,5,4,0,3,0,0,15,0,0,0,3,0,0,0,8,36,41,26,24,24,7,0,155,0,3,7,3,0,0,0,17,36,61,37,26,32,8,0,201,236,290,158,99,121,31,7,940
UCL214010,18,17,9,9,6,3,3,69,21,23,10,11,11,6,3,83,28,25,14,4,10,4,0,82,268,318,193,105,147,52,13,1094,4,4,0,4,4,0,0,16,340,387,221,136,172,63,21,1347,0,3,0,3,0,0,0,9,0,9,3,5,14,3,0,30,5,0,0,3,3,0,0,12,41,79,52,36,47,11,9,270,0,0,3,7,3,0,0,9,45,89,64,58,67,14,9,339,389,472,283,190,243,82,31,1689
UCL214011,14,12,8,10,7,0,0,49,0,0,3,4,9,0,0,18,0,7,0,0,3,0,0,19,236,224,103,66,105,30,3,774,0,3,0,0,0,0,0,3,257,251,117,87,121,31,10,861,0,4,0,0,0,0,0,12,3,5,8,4,3,0,0,22,0,0,0,0,3,0,0,3,52,66,49,31,45,12,0,262,0,0,0,0,0,0,0,0,57,76,53,35,53,15,0,294,316,324,174,122,176,49,10,1164
UCL214012,12,13,4,4,10,0,0,32,9,9,3,3,3,0,0,26,7,11,3,3,5,0,0,33,158,143,99,61,83,23,3,579,0,8,0,0,0,0,0,8,190,176,119,67,99,27,3,674,0,4,0,0,0,0,0,5,3,0,3,0,4,0,0,10,0,3,0,0,0,0,0,9,43,70,43,33,34,4,0,230,4,8,0,0,5,0,0,13,52,83,45,39,43,6,0,269,241,258,164,104,139,30,4,944
UCL214013,27,12,9,9,3,3,0,57,13,16,6,5,3,0,0,34,13,14,4,7,10,0,0,49,221,196,114,83,97,23,5,737,4,0,0,0,0,0,0,4,276,232,132,99,115,26,5,882,8,0,0,0,0,0,0,11,0,3,0,3,3,3,0,10,3,6,0,0,3,0,0,15,34,53,40,26,40,3,3,200,3,0,3,0,0,0,0,10,46,64,40,33,51,5,4,242,319,295,173,126,163,35,8,1118
UCL214014,15,7,3,3,5,0,0,36,9,16,8,7,0,0,0,35,11,10,4,5,3,0,0,33,191,210,131,70,113,26,9,748,0,0,0,0,0,0,0,4,223,241,149,82,120,29,9,854,0,0,0,0,0,0,0,0,4,12,3,4,3,0,0,27,0,7,4,0,3,0,0,13,105,123,60,62,68,23,3,441,9,7,3,0,0,0,0,21,114,144,69,72,72,20,5,499,336,390,218,156,193,52,14,1355
UCL214015,5,15,6,6,3,0,0,35,17,15,10,0,0,3,0,47,15,13,6,4,3,0,0,44,145,164,90,52,65,25,8,546,0,0,0,0,0,0,0,3,185,209,114,67,72,26,9,681,0,8,0,0,3,0,0,11,5,13,3,7,5,0,0,39,3,7,0,3,3,0,0,14,39,44,33,19,26,10,3,175,0,0,0,0,0,0,0,3,49,66,40,26,35,15,3,243,230,274,157,95,112,42,14,921
UCL214016,19,13,3,0,5,3,0,45,0,4,4,4,12,4,0,23,6,7,4,0,3,0,0,28,137,140,87,64,66,25,3,529,3,0,0,0,0,0,0,3,165,162,97,70,86,34,3,625,3,4,0,0,0,0,0,7,3,3,3,3,4,0,0,28,0,0,0,0,5,0,0,10,81,92,51,47,51,19,3,349,0,8,4,0,3,0,0,10,91,107,57,56,65,24,3,405,260,264,150,124,152,57,14,1030
UCL214017,16,13,6,4,3,0,0,50,4,5,0,0,3,0,0,13,7,9,0,0,0,0,0,18,161,147,106,78,89,12,0,593,0,0,0,0,3,0,0,5,189,174,111,85,97,14,0,681,0,0,0,3,3,0,0,3,0,7,3,4,5,0,0,18,0,0,0,0,4,0,0,4,45,54,36,32,36,4,0,208,0,0,0,0,0,0,0,3,49,63,37,38,44,6,0,241,240,240,145,120,144,20,3,914
UCL214018,50,42,35,23,29,19,8,201,29,43,19,5,22,11,3,122,31,32,14,15,11,3,3,105,359,406,222,137,220,64,20,1431,7,3,3,0,0,0,0,9,473,523,291,175,271,96,33,1866,0,3,0,0,0,0,3,14,6,7,3,6,8,0,0,39,0,11,3,5,0,3,0,21,82,105,69,49,62,23,3,396,5,5,4,0,0,0,0,12,103,128,86,58,69,24,5,475,571,644,376,238,345,126,39,2337
UCL214019,30,18,13,10,19,0,0,83,20,24,13,3,7,0,0,71,19,9,15,0,9,0,0,49,239,216,121,87,129,25,4,816,3,3,3,0,0,0,0,10,302,279,159,98,154,33,7,1033,0,4,0,3,3,0,0,15,4,6,0,5,4,0,0,27,3,4,0,4,3,4,0,15,94,112,72,43,64,15,5,402,9,3,3,0,3,0,0,15,112,127,72,60,82,25,4,475,414,399,232,157,235,59,9,1507
