UCL_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
UCL201001,88112,75241,38471,23798,34395,24743,13563,298323,20472,19556,10568,6323,8798,4948,2603,73272,20083,17496,8723,5275,7241,4133,2190,65137,95865,94558,52787,32800,43475,23218,11424,354130,1146,1096,585,308,336,164,83,3715,225675,207942,111134,68504,94249,57207,29867,794584,7312,10323,7216,5505,8824,6203,3827,49202,2900,4188,2834,2058,3001,1600,840,17418,1861,2826,1916,1344,2066,1117,661,11784,11928,17560,12034,8635,12027,5726,2939,70847,1262,1231,715,532,484,231,121,4579,25264,36127,24711,18072,26393,14883,8388,153834,250937,244070,135843,86578,120644,72089,38254,948411
UCL203001,1009,850,427,335,430,245,120,3415,517,495,293,193,283,129,58,1964,508,456,239,147,188,97,40,1680,5529,4890,2651,1652,2209,980,441,18347,54,36,15,14,10,3,0,131,7609,6727,3626,2354,3114,1446,663,25543,96,147,108,77,154,101,48,726,135,158,106,86,110,44,30,670,86,95,61,43,69,29,23,402,1128,1450,928,715,950,322,135,5619,60,83,47,17,36,16,4,266,1503,1925,1248,940,1323,503,238,7678,9112,8655,4878,3293,4436,1953,900,33224
UCL211001,170,121,71,35,66,21,6,495,88,88,38,30,44,5,3,292,89,90,32,14,34,12,6,279,1538,1328,741,460,654,134,26,4872,4,3,7,4,3,0,0,22,1891,1634,890,535,799,171,39,5965,15,20,18,12,13,6,6,90,22,27,20,20,28,7,0,123,8,15,17,13,14,3,0,66,418,579,331,221,278,73,19,1917,19,15,7,3,3,3,0,53,483,653,390,266,340,88,25,2243,2371,2293,1285,797,1132,268,62,8209
UCL211002,413,324,175,95,120,53,22,1196,214,218,117,74,118,26,7,777,232,201,94,69,75,27,9,710,3698,3450,1874,1096,1493,538,210,12358,19,20,17,11,11,0,0,85,4574,4205,2268,1348,1825,650,247,15130,32,59,38,31,36,11,9,215,67,82,50,49,54,16,9,327,17,44,27,17,27,12,9,154,909,1200,773,485,719,218,66,4372,45,38,26,17,14,0,0,136,1067,1430,914,598,854,253,88,5205,5642,5633,3185,1951,2677,908,334,20336
UCL211003,400,316,175,109,158,59,16,1228,178,166,105,62,75,28,10,631,182,163,66,47,67,20,6,551,3747,3550,1876,1257,1614,529,162,12744,12,14,14,11,3,0,0,62,4530,4217,2236,1482,1919,638,196,15209,27,38,24,21,34,16,9,166,54,70,50,40,57,15,11,294,22,46,43,24,31,7,0,165,947,1238,754,514,698,217,86,4452,40,37,18,14,13,3,0,116,1088,1423,886,614,827,254,103,5203,5615,5640,3127,2093,2745,896,297,20410
UCL211004,981,931,454,268,332,166,67,3200,212,182,101,50,75,37,19,673,251,194,97,54,83,30,8,704,1827,1507,766,479,600,206,65,5454,23,31,15,9,3,0,3,89,3286,2843,1427,866,1097,437,168,10130,204,227,135,87,131,49,33,876,83,98,60,35,61,16,12,374,35,55,41,18,37,11,8,207,654,752,401,223,292,90,29,2448,63,56,26,18,12,3,0,173,1046,1192,669,380,538,175,85,4082,4334,4038,2090,1247,1628,612,253,14209
UCL212001,210,204,123,61,114,28,3,752,72,59,26,21,36,11,0,230,73,49,25,16,28,7,6,201,1159,988,591,370,500,128,23,3760,14,11,4,0,3,0,0,32,1534,1312,780,464,683,173,34,4978,24,42,21,22,28,6,3,146,22,27,19,15,23,0,0,104,21,22,7,9,8,3,0,71,394,484,265,188,247,62,13,1664,11,16,9,7,5,3,0,58,473,592,328,243,312,78,15,2049,2007,1908,1102,709,999,251,53,7023
UCL212002,713,637,322,197,301,105,35,2300,88,76,37,26,40,7,3,284,81,94,46,27,35,17,4,297,1384,1429,754,486,779,177,37,5052,18,14,6,8,10,0,3,68,2280,2255,1169,747,1168,312,73,7995,67,58,46,45,54,27,16,314,37,32,28,17,23,10,0,150,15,27,18,4,16,3,0,93,455,570,338,247,353,69,22,2052,25,35,20,19,7,0,0,99,603,731,455,329,451,110,36,2711,2884,2981,1626,1079,1618,420,111,10712
UCL212003,143,175,95,70,98,65,35,680,160,150,110,62,93,44,20,635,136,117,67,57,73,41,15,501,1393,1357,714,466,642,321,132,5023,4,7,0,5,0,3,0,16,1833,1805,985,662,907,473,197,6861,10,14,13,11,21,7,6,78,27,39,21,21,26,14,3,148,10,22,15,14,13,9,7,88,242,273,198,149,223,68,38,1193,3,8,7,4,9,3,0,34,302,358,249,204,287,97,55,1548,2134,2162,1238,864,1192,567,255,8408
UCL212004,120,109,69,30,37,13,10,393,46,58,28,21,24,8,0,189,30,33,19,12,26,10,3,134,1041,991,548,338,422,122,33,3497,10,11,6,6,5,0,0,28,1247,1200,672,408,512,143,44,4240,12,22,12,6,17,5,0,79,7,13,13,12,9,5,3,65,3,16,8,18,12,3,0,58,244,321,185,153,193,48,20,1163,15,13,7,3,3,0,0,35,282,384,224,193,244,62,23,1415,1533,1586,899,604,753,205,69,5650
