UCL_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
UCL201001,5223,5826,4117,959,1561,373,18058,1215,1128,1121,201,478,32,4176,2299,2214,2101,478,1055,107,8250,1899,2165,1922,492,964,85,7537,2858,3575,3127,860,1554,150,12124,4038,5727,4230,1342,2128,233,17696,5507,9515,5484,1834,2591,272,25199,6936,12887,5910,2400,2825,352,31310,7606,16284,5625,2317,2493,369,34703,8751,18835,5794,2283,2338,413,38420,7153,15761,3921,1498,1390,314,30047,12796,28201,8724,2300,2346,556,54919,5517,11687,2588,825,720,165,21501,5155,10781,2510,663,584,162,19850,8005,16564,4332,1090,1005,257,31254,11085,25089,6994,1433,1312,357,46263,4192,10276,2873,578,552,143,18621,3337,9727,2675,611,515,126,16994,4511,8443,4540,1088,1636,366,20581,108070,214681,78587,23264,28044,4845,457493
UCL203001,165,153,104,33,41,6,503,79,29,37,6,29,0,186,136,107,84,32,63,4,426,108,94,75,31,43,5,358,177,218,172,54,102,9,738,273,307,197,90,129,13,1000,338,478,233,124,123,19,1311,437,722,229,135,122,21,1667,421,765,199,113,109,20,1627,442,880,224,93,76,12,1724,293,583,132,41,58,7,1108,400,863,239,58,59,16,1634,165,321,48,13,14,3,568,106,238,61,6,10,3,421,188,407,107,21,23,0,749,189,436,116,15,24,8,783,75,138,30,12,5,0,261,42,89,20,9,3,0,164,168,264,122,32,61,9,665,4208,7101,2443,930,1076,139,15892
UCL211001,45,20,15,3,10,0,89,17,10,6,3,3,0,39,39,10,12,7,11,0,77,30,21,16,5,16,0,75,53,44,26,15,26,4,158,80,81,42,18,20,3,253,126,144,47,33,31,0,375,146,208,70,40,37,5,497,118,192,60,25,28,0,424,121,218,69,27,23,3,457,54,148,32,13,11,0,263,79,148,41,12,7,3,294,31,40,6,6,0,0,83,14,25,3,3,3,0,49,31,75,16,4,6,3,131,34,48,18,3,3,0,112,16,19,5,3,0,0,43,3,10,0,0,0,0,14,31,53,22,5,12,0,121,1061,1514,516,222,234,27,3567
UCL211002,70,61,39,13,19,0,196,41,30,22,3,11,0,103,91,47,50,13,21,3,231,79,57,44,23,30,3,234,132,133,89,48,57,3,458,211,280,126,78,98,9,797,272,421,142,108,92,3,1044,365,570,132,85,90,13,1255,286,516,122,53,53,13,1047,277,541,115,59,43,5,1043,156,346,62,19,23,5,604,182,400,107,24,20,4,738,50,146,25,6,4,0,239,29,75,25,3,3,0,136,91,187,42,11,9,3,334,79,158,49,5,6,0,293,30,51,20,5,0,0,105,15,44,16,0,0,0,78,82,124,52,26,32,10,317,2542,4182,1264,584,605,70,9251
UCL211003,99,67,53,10,30,6,267,60,20,17,13,11,4,123,110,58,49,21,45,5,283,83,58,46,22,40,0,244,135,135,112,35,70,0,488,234,245,116,69,80,10,748,226,422,145,83,85,17,976,312,576,145,104,98,15,1257,300,571,127,83,70,4,1161,326,574,128,66,43,5,1137,153,371,68,29,20,3,648,212,413,117,32,19,0,793,72,144,37,12,10,0,270,37,77,22,4,3,3,149,72,179,42,15,4,0,316,91,151,42,16,7,3,313,25,38,10,7,0,0,87,11,44,12,0,3,4,81,122,122,67,22,27,7,371,2697,4263,1360,638,659,90,9703
UCL211004,39,47,27,9,11,5,139,23,17,28,4,13,3,88,40,34,30,13,28,3,148,40,37,32,4,26,3,142,81,68,41,31,38,6,266,108,123,76,48,69,3,430,158,262,118,69,72,12,689,236,457,124,107,98,13,1026,238,431,98,76,50,10,905,229,478,125,67,42,6,950,130,279,75,33,19,7,540,148,292,95,41,18,8,608,38,90,19,7,5,3,172,16,41,16,0,3,0,72,38,101,42,5,8,0,188,45,85,36,9,13,4,179,18,28,14,4,3,0,65,10,16,4,3,4,0,42,57,110,62,32,31,7,299,1699,2999,1061,566,544,85,6949
UCL212001,34,19,5,5,9,0,72,12,6,9,0,8,0,33,31,8,17,8,13,0,75,24,30,14,9,9,0,89,68,46,32,19,24,0,198,84,115,48,31,27,10,317,130,181,68,47,37,3,472,143,183,62,35,19,8,453,115,152,35,14,20,4,331,78,161,36,22,11,0,304,40,56,21,9,7,0,132,52,96,36,6,0,0,201,11,23,5,3,0,0,50,9,29,4,0,0,0,39,17,28,14,3,3,0,59,10,28,11,0,0,0,55,4,15,0,0,0,0,21,4,5,0,0,0,0,11,36,48,15,7,9,4,117,916,1226,434,222,199,31,3031
UCL212002,44,45,19,5,3,0,117,18,13,13,0,7,0,48,35,28,13,9,10,3,102,40,38,14,7,9,0,111,90,81,33,41,26,3,275,119,169,57,49,46,3,437,144,212,75,51,41,0,522,172,266,97,56,44,0,636,120,230,60,32,18,5,463,116,251,63,43,13,7,485,45,145,50,7,14,0,260,87,176,39,15,13,0,335,25,42,7,6,3,3,88,16,22,11,0,0,0,55,24,70,17,3,5,0,123,27,60,15,9,3,0,113,5,26,9,0,3,0,39,4,8,3,0,0,0,20,61,83,27,16,12,0,194,1187,1960,627,339,272,34,4419
UCL212003,40,41,32,5,17,3,139,13,10,5,0,10,0,38,29,24,29,7,9,3,102,26,19,21,4,15,0,82,46,45,50,15,22,3,178,42,89,69,21,31,5,249,81,124,82,38,34,6,361,103,218,101,40,38,4,504,129,217,64,42,37,4,493,155,273,98,33,42,10,612,85,171,53,24,20,3,354,119,284,101,20,17,0,545,48,122,33,3,9,0,210,24,80,28,4,3,4,142,66,142,49,10,6,0,272,68,137,53,9,8,4,277,17,33,13,0,0,0,66,14,20,13,0,5,0,47,54,69,44,10,16,4,203,1140,2122,942,289,349,53,4897
UCL212004,22,20,7,0,3,0,52,14,14,3,8,3,0,34,24,16,9,4,5,0,55,29,10,5,8,12,0,64,46,45,25,21,18,0,160,87,70,46,30,28,0,263,103,149,41,34,27,0,356,102,138,43,31,25,0,330,112,150,38,30,20,0,342,66,156,33,19,21,9,301,39,108,22,12,10,0,192,74,136,31,8,4,0,255,18,53,4,4,0,0,84,6,16,8,0,0,0,26,30,55,13,0,0,0,109,23,40,9,3,0,0,72,15,13,8,3,0,0,37,9,7,0,0,0,0,17,16,54,21,10,9,3,107,830,1248,374,217,183,19,2865
