UCL_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
UCL201001,78163,12769,16613,19248,19629,19356,11057,5849,238232,24,26,48,7,8,14,12,10,12,557,723,45028,36823,91780,17037,21306,23636,23754,23385,13398,8282,304436,31607,12105,11794,2416,2202,1722,1429,1353,645,1588,66848,45747,34516,43198,5721,6331,5721,4970,4716,2401,2308,155640,3712,3580,5949,1244,1654,2070,1591,1575,996,868,23229,331,250,294,23,39,58,33,25,17,75,1138,49789,38344,49441,6987,8024,7846,6594,6322,3412,3246,180011,44,32,27,3,10,9,5,4,3,300,442,81444,50480,61263,9405,10237,9574,8029,7676,4063,5138,247300,52713,8256,6275,1048,957,673,589,489,284,1636,72922,67376,14683,13239,1806,1791,1550,1245,1087,570,1974,105304,12506,3716,4968,1058,1293,1485,1228,1228,872,1483,29828,544,124,96,12,18,14,17,9,5,84,927,80418,18518,18306,2879,3104,3049,2482,2327,1442,3538,136061,73,16,21,0,0,7,0,4,3,220,339,133204,26795,24602,3928,4063,3724,3075,2814,1731,5390,209320,58722,2872,1683,320,282,259,223,189,106,1484,66140,70463,4491,2628,467
UCL203001,1104,192,240,299,253,298,181,71,3075,0,0,3,0,0,0,0,0,0,5,6,592,339,1346,249,310,358,315,358,219,134,4223,664,255,245,60,32,44,25,23,10,38,1398,359,283,601,84,107,87,60,59,34,31,1703,15,23,77,18,24,38,23,24,19,13,280,7,0,8,0,0,0,0,0,0,0,13,378,308,685,104,138,125,81,90,54,43,2002,0,0,0,0,0,0,0,0,0,7,11,1042,560,929,162,171,169,106,113,60,91,3409,1452,174,187,25,8,15,17,11,4,36,1934,695,185,216,24,27,23,23,16,18,28,1253,90,22,56,11,25,31,19,20,9,14,289,11,0,3,0,0,0,0,0,0,3,19,798,211,270,30,51,51,37,34,24,46,1554,3,0,0,0,0,0,0,0,0,3,3,2251,383,465,58,57,71,50,43,32,85,3491,2132,67,60,10,5,3,3,7,0,56,2347,1024,52,28,3
UCL211001,152,21,37,33,14,23,12,8,341,0,0,0,0,0,0,0,0,0,0,0,88,49,184,28,44,32,25,28,17,18,506,115,30,25,8,3,0,3,4,0,6,201,38,46,131,18,24,8,10,9,10,3,297,0,0,8,8,4,3,3,0,3,3,34,0,0,3,0,0,0,0,0,0,0,3,40,47,142,26,26,10,17,14,13,9,330,0,0,0,0,0,0,0,0,0,0,0,156,73,173,32,31,15,18,14,13,11,529,238,19,29,7,3,3,4,0,0,15,325,51,19,37,3,7,8,3,3,0,3,130,3,3,11,3,3,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,4,57,25,45,8,11,9,3,3,0,3,162,0,0,0,0,0,0,0,0,0,0,3,302,42,78,11,18,6,8,3,5,20,492,304,4,10,0,0,0,0,0,0,9,335,96,10,12,3
UCL211002,418,60,98,75,60,75,39,16,985,0,0,0,0,0,0,0,0,0,0,0,186,129,501,91,138,106,71,110,57,28,1417,291,103,81,17,18,26,17,8,3,13,574,78,167,272,35,34,38,22,23,18,10,701,3,5,22,3,11,6,7,8,3,4,68,0,3,3,0,0,0,0,0,0,0,8,87,171,298,37,42,44,26,27,20,15,769,0,0,0,0,0,0,0,0,0,0,0,371,273,385,58,69,67,41,34,28,21,1344,561,71,47,8,16,3,7,8,3,19,730,139,84,80,17,3,6,9,3,3,5,354,9,16,19,4,3,0,0,0,3,3,52,0,0,0,0,0,0,0,0,0,0,0,150,95,102,18,8,10,7,5,4,6,410,0,0,0,0,0,0,0,0,0,0,0,705,170,148,26,21,13,12,13,7,34,1143,777,26,29,0,0,11,0,0,0,34,879,176,26,27,0
UCL211003,401,68,56,78,81,75,42,19,932,0,0,0,0,0,0,0,0,0,0,0,160,113,465,83,68,101,87,92,54,38,1246,235,96,88,19,8,11,3,9,3,23,495,62,104,233,40,30,28,25,20,12,13,572,0,3,47,11,8,12,7,11,4,4,113,0,0,0,0,0,0,0,0,0,0,0,67,106,283,49,32,39,37,29,17,19,685,0,0,0,0,0,0,0,0,0,0,0,295,202,374,63,44,47,39,43,24,40,1177,478,39,53,3,7,4,3,4,3,25,614,92,69,70,7,7,5,3,8,5,7,278,15,8,45,0,5,12,9,9,5,7,107,3,0,4,0,0,0,0,0,0,0,10,105,76,115,12,21,27,10,14,10,9,391,0,0,0,0,0,0,0,0,0,0,3,578,123,166,15,26,29,14,18,15,35,1011,605,26,23,0,3,5,9,3,6,23,693,107,25,14,3
UCL211004,672,91,78,101,95,70,38,33,1637,0,0,0,0,0,0,0,0,0,3,3,365,322,767,109,105,116,121,91,42,56,2095,297,95,105,22,17,15,9,4,3,24,582,345,345,464,45,45,38,37,42,12,32,1400,18,35,46,11,10,7,12,9,4,3,152,6,6,7,0,0,0,0,0,0,0,17,369,383,523,58,49,46,48,51,13,31,1579,0,0,0,0,0,0,0,0,0,0,0,666,475,624,78,72,62,57,55,20,59,2166,634,63,74,7,9,10,3,3,0,33,837,456,164,173,14,18,11,12,18,6,17,895,48,33,35,6,8,13,6,11,8,4,174,4,0,3,0,3,0,0,0,0,0,9,511,194,211,24,21,27,24,29,14,25,1077,0,0,0,0,0,0,0,0,0,3,5,1146,259,282,34,35,35,26,30,11,63,1914,887,19,20,3,8,0,3,4,0,29,970,595,50,38,3
UCL212001,179,36,74,51,67,70,57,52,687,0,0,0,0,0,0,0,0,3,3,4,92,70,221,52,86,62,72,85,63,61,869,62,28,25,7,5,8,0,5,0,9,141,84,59,104,21,15,18,13,13,7,4,340,24,13,30,14,7,6,5,14,3,9,120,0,0,0,0,0,0,0,0,0,0,3,105,70,132,33,17,29,16,23,14,14,458,0,0,0,0,0,0,0,0,0,0,0,165,96,152,37,22,39,23,28,15,24,595,174,17,15,3,6,8,6,5,0,8,230,121,30,31,3,0,3,6,0,4,4,206,39,13,29,16,14,15,0,3,3,7,126,0,0,0,0,0,0,0,0,0,0,3,159,48,57,17,16,17,6,3,11,12,337,0,0,0,0,0,0,0,0,0,0,0,328,59,68,18,21,20,12,12,11,20,571,201,0,9,0,0,0,0,0,0,12,226,130,11,6,0
UCL212002,529,63,121,118,124,145,56,51,1450,0,0,0,0,0,0,0,0,0,0,0,155,168,572,77,123,130,138,155,59,60,1647,83,35,34,4,8,0,19,6,0,11,204,105,156,292,41,33,53,39,29,19,16,783,30,42,73,14,19,46,22,10,15,6,276,0,3,8,0,0,0,0,0,0,0,16,143,202,370,58,50,99,64,37,29,15,1075,0,0,0,0,0,0,0,0,0,3,3,224,239,407,64,63,102,77,49,30,27,1276,198,36,27,4,3,5,4,7,0,13,292,201,89,114,19,19,13,18,10,3,12,484,50,44,50,6,19,18,11,8,5,3,207,4,3,0,0,0,0,0,0,0,0,10,250,137,167,30,32,27,24,15,9,16,703,0,0,0,0,0,0,0,0,0,0,7,449,168,196,28,40,34,31,24,14,24,1002,311,16,10,0,0,0,0,3,0,5,348,185,26,25,0
UCL212003,93,21,16,16,20,13,6,3,252,0,0,0,0,0,0,0,0,0,0,0,125,69,153,41,23,28,19,19,23,6,502,229,74,60,24,14,5,8,14,3,5,431,76,58,88,10,12,17,15,10,3,5,289,4,3,8,0,4,5,4,3,0,0,29,0,0,3,0,0,0,0,0,0,0,4,80,57,91,10,14,21,16,11,3,7,317,0,0,0,0,0,0,0,0,0,0,0,303,131,155,37,26,24,28,20,9,19,746,545,81,45,9,6,3,6,7,4,16,719,179,37,39,15,3,7,3,3,0,3,290,11,7,5,0,0,4,0,6,0,0,34,3,0,0,0,0,0,0,0,0,0,3,196,46,48,15,7,4,5,6,0,4,322,0,0,0,0,0,0,0,0,0,0,0,740,122,91,26,17,9,5,11,4,17,1043,633,32,18,0,0,3,0,0,3,22,717,160,18,5,0
UCL212004,108,9,6,21,22,22,7,9,235,0,0,0,0,0,0,0,0,0,0,0,63,41,121,15,16,22,27,25,7,9,349,76,16,22,13,4,7,10,0,3,3,155,25,43,86,9,21,7,9,6,10,9,223,4,3,8,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,32,47,94,8,20,7,13,5,11,9,238,0,0,0,0,0,0,0,0,0,0,0,111,57,116,21,26,13,21,10,11,6,386,178,18,18,10,3,3,0,0,0,5,241,56,28,42,3,7,5,5,3,0,0,148,0,8,0,0,0,0,0,3,0,3,15,0,0,0,0,0,0,0,0,0,0,0,54,27,49,6,7,5,5,8,0,9,166,0,0,0,0,0,0,0,0,0,0,0,234,44,68,11,6,9,9,8,0,16,404,286,10,12,7,0,3,0,3,0,15,336,75,11,0,0
