UCL_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
UCL201001,13,135,388,1946,916,1023,684,367,194,5674,26,348,884,2264,555,348,156,96,50,4724,25,160,859,2597,114,78,23,11,3,3870,17,143,135,649,420,902,1665,1117,615,5665,663,3789,5243,15154,5619,4036,1794,668,269,37247,3,29,54,426,342,374,438,264,108,2049,299,979,864,4136,450,297,134,33,13,7201,5,23,68,456,301,136,41,12,3,1046,203,1299,2487,10952,4915,3739,1629,423,174,25827,0,44,107,1699,833,1669,1292,924,1041,7614,36,225,329,1695,1487,1803,1958,1303,571,9400,141,842,1755,2902,1058,892,475,135,40,8234,86,572,1397,4221,2325,1538,1065,479,185,11865,0,0,24,392,656,841,708,586,205,3418,213,1448,2066,10784,4242,3264,2125,1002,469,25620,44,115,568,3112,447,497,190,26,11,5004,135,676,1254,5161,1037,461,152,30,10,8918,7,49,172,1626,1673,2062,1695,848,201,8331,30,103,274,2079,2253,1205,793,359,93,7198,257,1023,1137,3230,1181,773,494,100,56,8256
UCL203001,0,0,3,16,3,0,3,0,0,29,3,5,38,92,27,21,16,0,0,202,0,0,9,31,3,0,0,0,0,43,0,3,7,21,10,65,176,122,68,474,10,36,75,279,152,113,45,16,9,741,0,3,6,17,22,34,34,22,3,145,5,33,29,58,3,3,3,0,0,132,0,0,0,21,13,3,0,0,0,43,12,35,59,223,119,103,63,7,8,617,0,0,0,37,20,33,36,38,52,206,3,12,16,52,49,96,108,100,20,454,0,16,18,28,20,22,12,0,0,114,3,11,30,65,56,25,26,17,3,231,0,0,0,12,28,51,52,51,18,203,3,11,19,79,12,17,9,0,3,157,3,0,5,17,3,4,4,0,0,38,9,81,63,94,28,11,3,3,0,289,0,0,3,39,39,83,77,53,13,301,0,0,5,15,12,7,9,0,0,54,6,26,29,82,23,18,14,5,3,204
UCL211001,0,0,0,4,3,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,0,14,12,8,0,0,0,0,0,36,0,0,0,0,0,15,22,12,3,59,0,11,10,46,31,20,14,6,3,149,0,0,0,3,3,0,0,0,0,14,0,0,0,7,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,5,3,14,17,62,18,20,11,0,0,138,0,0,0,4,3,0,3,0,6,22,0,0,0,3,4,9,15,8,0,46,0,0,4,3,4,0,0,0,0,8,0,4,10,14,4,3,0,0,0,36,0,0,0,0,0,3,6,3,3,21,0,3,3,20,4,0,0,3,0,35,0,0,0,6,0,0,0,0,0,6,4,0,3,18,4,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,7,4,3,0,0,0,31
UCL211002,0,0,3,8,0,0,0,0,0,9,0,0,3,4,3,0,0,0,0,9,0,0,0,15,3,0,0,0,0,20,0,3,3,4,10,43,109,74,25,272,4,16,37,110,70,70,34,22,7,367,0,0,0,0,8,7,7,9,3,27,0,0,8,16,0,0,0,0,0,29,0,0,3,14,3,0,0,0,0,21,3,26,23,109,44,42,11,3,0,254,0,0,0,7,3,3,7,8,8,36,0,0,3,17,29,33,53,34,9,179,0,7,3,6,10,8,0,0,0,30,0,0,13,34,20,12,4,3,0,93,0,0,0,4,3,5,8,0,3,25,0,9,4,29,3,0,3,0,0,52,0,0,0,14,3,0,0,0,0,18,0,4,8,41,14,7,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,8,12,43,16,14,11,0,0,107
UCL211003,0,0,0,14,5,0,4,0,0,24,0,8,39,111,33,15,7,6,0,225,3,0,0,19,0,0,0,0,0,18,0,0,3,6,5,14,30,22,12,82,3,11,16,103,47,63,29,15,0,292,0,0,0,5,0,0,8,9,3,28,0,7,4,19,0,0,0,0,0,29,0,0,0,22,7,0,0,0,0,28,0,17,13,109,48,29,12,3,0,240,0,0,0,0,0,0,3,6,3,15,0,0,0,9,16,34,32,21,8,134,0,0,7,6,5,6,3,0,0,30,0,10,10,32,8,5,12,0,3,85,0,0,0,0,3,0,5,4,0,9,0,10,4,38,11,6,7,6,3,89,0,0,5,18,3,3,0,0,0,28,10,81,68,43,14,3,0,0,0,227,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,6,0,13,10,25,12,4,6,3,0,73
UCL211004,0,0,0,12,11,4,0,0,0,36,0,4,11,36,7,4,0,3,0,68,0,5,8,3,0,3,0,0,0,13,0,0,0,5,0,15,28,7,8,70,28,147,125,236,100,64,33,5,0,736,0,0,0,0,4,8,8,4,0,27,0,10,4,43,11,3,0,0,0,72,0,5,0,0,3,3,0,0,0,12,5,41,74,231,97,67,22,4,0,531,0,0,3,7,16,20,13,5,7,69,0,3,3,13,18,47,48,14,9,158,0,0,3,12,3,4,0,0,0,35,3,0,6,24,10,11,7,0,0,59,0,0,0,4,16,12,17,9,3,59,0,15,13,57,11,9,6,0,3,119,0,0,0,6,6,4,0,0,0,20,0,5,19,42,15,3,0,0,0,90,0,0,0,27,13,17,12,3,0,69,0,0,0,15,9,3,6,4,0,34,0,11,0,15,3,9,0,0,0,42
UCL212001,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,3,15,7,3,34,3,11,26,57,36,12,11,10,0,163,0,0,0,0,0,0,0,0,0,3,0,14,5,7,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,3,10,13,48,21,24,11,3,0,117,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,3,4,13,3,39,0,0,0,0,0,0,0,0,0,3,0,3,7,6,3,0,0,0,0,26,0,0,0,0,0,0,3,3,6,22,0,3,0,11,7,3,0,0,0,32,0,0,8,31,0,0,0,0,0,48,4,3,0,12,5,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,3,10,32,34,18,11,3,0,110,0,0,0,9,3,5,0,3,0,23
UCL212002,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,0,0,0,0,5,0,0,0,3,0,17,31,13,11,69,6,34,29,89,44,25,11,6,3,252,0,0,0,0,0,4,6,3,0,16,0,22,22,33,0,0,0,0,0,91,0,0,0,4,3,0,0,0,0,8,3,13,13,86,39,29,16,7,0,208,0,0,0,3,0,3,0,0,3,12,0,0,0,0,11,9,13,3,3,42,0,0,3,7,3,0,0,0,0,9,0,8,10,15,8,3,3,0,0,47,0,0,0,0,0,4,3,0,0,11,6,8,3,29,16,3,3,0,0,67,0,0,27,103,3,3,3,0,0,135,0,0,3,21,13,8,3,0,0,43,0,0,0,0,7,5,3,12,0,26,0,0,7,36,27,16,12,3,0,94,0,11,5,11,3,4,0,0,0,36
UCL212003,0,0,0,7,0,3,0,0,0,10,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,24,11,0,58,3,21,25,100,60,43,23,4,3,282,0,0,3,0,4,4,6,3,0,24,0,5,7,7,5,3,0,0,0,25,0,0,0,3,14,0,0,0,0,18,0,10,13,62,44,16,7,6,0,155,0,0,0,11,3,9,5,5,3,28,0,3,3,13,23,26,27,24,3,121,0,0,3,3,5,0,4,3,0,20,0,8,11,19,17,5,7,6,0,71,0,0,0,0,0,4,0,4,0,14,0,4,0,13,9,4,7,0,0,46,0,0,0,3,3,0,0,0,0,7,0,0,3,20,6,5,3,0,0,33,0,0,0,5,3,0,3,0,0,7,0,0,0,0,8,0,0,0,0,8,0,5,3,16,8,10,3,0,0,45
UCL212004,0,0,0,5,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,8,0,0,0,6,3,11,49,21,11,98,0,8,12,39,20,31,5,5,0,128,0,0,0,0,3,4,7,0,0,19,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,9,28,17,18,13,0,0,89,0,0,0,0,0,3,0,0,8,13,0,0,3,4,7,22,39,16,5,97,0,0,0,7,0,0,0,0,0,8,0,4,7,19,9,0,5,0,0,41,0,0,0,0,0,0,0,0,0,3,0,3,0,9,9,0,0,0,0,28,0,0,0,0,0,0,0,0,0,3,0,0,5,18,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,15
