UCL_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
UCL201001,594,2956,21924,36062,11701,8258,3349,2186,825,87852,3,12,93,746,1059,1378,1629,1303,310,6533,57,394,312,1191,764,1186,1233,744,360,6239,488,2967,3176,12683,10940,10041,10041,6326,3075,59741,10,132,347,2252,1102,776,409,198,39,5257,31,142,299,1320,414,253,257,148,84,2949,42,160,542,1865,1057,993,2744,1462,931,9788,31,335,379,1034,1915,3750,7440,7173,1783,23843,126,394,1536,4331,1567,1904,740,234,65,10886,1634,4281,5979,45112,6072,4464,2734,1275,508,72050,89,303,2018,4921,875,581,388,147,55,9379,93,717,776,3944,722,474,236,102,27,7092,68,658,1142,3816,1426,799,397,208,56,8560,53,318,216,2644,766,689,656,477,242,6063,41,195,361,1574,2053,5130,8659,9322,4067,31400,64,307,559,2933,846,282,212,76,66,5343,63,430,1354,4337,903,338,130,36,12,7607,44,138,403,2401,1949,1562,813,382,121,7821,274,1175,4244,9729,3461,3626,1973,654,191,25326,0,14,60,304,506,1825,2771,1552,512,7548
UCL203001,8,28,113,339,84,56,31,13,7,681,0,4,12,63,84,105,172,140,39,617,0,3,8,14,3,3,5,4,0,33,13,99,95,321,397,478,464,342,182,2388,0,0,4,25,10,0,0,0,0,43,0,0,12,25,3,9,7,5,3,60,0,3,7,43,19,62,190,91,75,492,0,0,0,3,12,24,55,38,19,154,3,10,19,30,5,7,6,0,0,82,19,57,91,551,33,39,12,13,13,829,0,7,20,53,29,3,9,3,0,122,3,35,31,101,15,13,3,0,0,210,4,18,3,49,6,3,3,0,0,96,0,10,7,40,30,18,30,16,10,158,0,5,4,13,37,93,175,204,90,630,3,8,3,37,13,3,0,3,0,74,0,3,11,51,3,0,0,0,0,68,0,3,0,4,14,11,3,0,0,36,3,8,41,91,37,39,13,4,3,233,0,0,0,0,0,12,24,7,3,43
UCL211001,0,0,5,21,6,3,6,0,0,49,0,0,0,3,3,14,15,16,8,61,0,0,0,0,0,0,0,0,0,4,3,11,21,48,65,53,68,38,11,309,0,0,0,7,0,0,0,0,0,10,0,0,0,0,3,4,3,0,0,10,0,0,0,3,10,16,50,28,16,134,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,3,0,12,8,95,10,3,8,3,0,135,0,0,0,3,5,0,0,0,0,7,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,0,16,0,0,0,3,0,4,8,8,6,33,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,6,0,0,3,6,8,3,4,0,0,19,0,0,0,0,0,0,0,0,0,5
UCL211002,0,20,114,157,37,25,8,0,0,367,0,0,0,3,11,11,13,8,6,52,0,7,3,7,0,0,0,0,0,12,11,47,33,134,136,198,237,148,70,1008,0,0,6,14,5,8,0,3,0,38,0,3,0,8,5,5,4,0,0,22,0,3,3,9,10,22,55,23,19,151,0,0,0,0,0,7,7,11,0,32,0,0,0,8,3,6,3,0,0,25,7,26,24,258,22,16,13,3,0,381,0,3,7,14,0,0,7,0,0,32,0,3,7,15,0,3,5,0,0,31,0,0,0,8,6,0,0,0,0,14,0,0,6,17,5,8,8,5,3,59,0,0,0,3,8,11,16,24,17,72,0,5,0,34,5,3,0,3,0,59,0,3,0,19,0,0,0,0,0,22,0,0,0,4,3,0,0,0,0,3,0,15,9,34,16,15,6,3,0,98,0,0,0,0,0,5,17,6,0,28
UCL211003,0,6,31,79,32,11,8,0,0,164,0,0,0,3,3,0,7,3,0,14,0,0,3,9,6,0,0,0,0,27,3,24,13,86,130,151,156,105,59,733,0,0,3,12,9,6,0,0,0,31,0,0,0,4,0,0,0,0,0,12,0,0,3,12,12,14,33,15,14,94,0,0,0,0,0,7,4,11,4,26,0,0,4,7,4,0,3,0,0,14,10,20,31,211,17,11,7,3,3,319,0,0,7,20,15,5,3,0,0,48,3,9,3,5,0,0,0,0,0,28,0,0,0,4,0,0,0,0,0,15,0,4,0,17,8,4,9,7,3,51,0,0,0,3,4,10,12,9,10,45,0,0,0,10,4,3,0,0,0,17,0,3,3,15,0,0,0,0,0,28,0,0,0,4,4,0,0,0,0,6,0,5,6,17,16,13,7,3,0,72,0,0,0,3,0,4,8,0,0,11
UCL211004,0,0,11,55,28,8,8,4,0,108,0,0,3,8,23,28,20,8,5,88,0,13,8,9,3,16,15,5,3,72,0,8,19,89,156,205,177,112,43,797,0,8,7,44,14,6,0,0,0,76,0,0,0,0,3,6,3,0,0,17,0,0,3,9,11,17,59,19,9,128,0,0,0,3,3,12,15,12,0,53,0,0,0,3,0,3,0,0,0,13,3,48,35,403,40,48,21,3,11,606,0,3,0,33,15,4,0,0,0,56,0,0,4,5,6,0,4,0,0,16,0,0,0,7,3,4,5,0,0,21,0,0,5,4,8,6,18,3,0,50,0,0,0,4,13,39,24,19,7,110,0,0,0,7,0,0,3,0,0,10,0,0,0,13,11,0,0,0,0,29,0,0,0,6,5,12,5,0,0,30,5,12,0,23,11,11,6,3,0,67,0,4,5,33,32,94,99,37,11,316
UCL212001,0,3,18,29,8,5,3,0,0,63,0,0,0,0,3,3,5,7,10,23,0,0,0,0,0,0,0,0,0,3,0,3,13,34,51,39,58,32,13,236,0,0,3,6,0,3,0,0,0,12,0,0,0,3,0,3,0,0,0,11,0,0,3,11,3,4,28,3,4,45,0,0,0,0,0,3,19,26,0,50,0,0,7,16,0,5,3,0,0,29,4,7,4,110,4,10,0,4,0,145,4,0,0,3,0,0,0,0,0,11,0,3,0,3,0,0,0,0,0,10,0,0,3,7,3,0,0,0,0,15,0,3,0,5,0,3,3,0,3,9,0,0,0,4,8,17,63,67,30,197,0,0,3,14,0,0,0,0,0,14,0,0,8,18,0,0,0,0,0,23,0,0,0,0,3,0,0,0,0,0,0,7,18,48,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0
UCL212002,0,5,8,42,16,3,8,0,0,81,0,0,0,0,3,0,5,0,0,12,0,5,0,0,0,0,0,0,0,12,0,9,7,42,31,68,82,54,15,313,0,4,4,16,0,0,0,0,0,21,0,0,0,0,0,7,0,0,0,3,0,0,0,5,3,5,15,5,0,39,0,0,3,3,3,3,19,28,3,66,0,0,5,14,0,0,0,0,0,26,13,30,31,338,39,33,12,3,0,505,0,0,0,15,0,0,0,0,0,18,3,23,10,18,0,0,0,0,0,58,3,11,43,126,36,5,4,0,0,226,0,4,0,6,9,3,4,0,0,29,0,0,0,11,10,43,91,84,59,290,0,0,0,3,0,0,0,0,0,5,0,0,0,11,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,8,58,12,12,3,0,0,91,0,0,0,0,0,0,6,0,0,6
UCL212003,0,3,0,29,12,8,3,3,4,53,0,0,0,5,8,8,10,3,0,34,0,0,0,3,0,4,8,0,0,17,0,12,14,90,147,140,146,84,39,673,0,0,0,6,10,9,7,3,0,32,0,0,0,3,10,0,3,3,3,19,0,0,0,4,8,20,45,19,10,111,0,0,0,4,7,3,9,6,4,27,0,0,0,7,0,8,0,0,0,13,4,7,25,70,27,14,11,11,3,176,0,0,0,10,0,0,0,3,0,16,0,4,0,3,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,6,0,0,0,14,13,13,8,5,0,59,0,0,3,3,12,10,22,18,12,80,3,4,0,8,3,0,0,0,0,15,0,0,0,3,3,0,0,0,0,11,0,3,0,0,10,0,0,0,0,16,0,3,7,8,6,15,3,3,0,47,0,0,0,9,6,26,26,7,7,85
UCL212004,0,0,7,28,12,4,3,0,0,50,0,0,0,0,0,0,3,0,0,8,0,0,0,3,0,0,0,0,0,9,7,11,8,21,38,62,86,56,32,311,0,0,0,4,0,0,0,0,0,9,0,0,0,3,0,3,0,0,0,5,0,0,0,0,4,16,36,13,8,75,0,0,0,0,3,0,10,3,0,19,0,3,0,3,0,0,0,0,0,10,0,8,3,52,9,3,3,3,0,88,0,0,0,3,0,0,4,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,4,3,7,3,3,3,17,0,0,0,0,6,15,25,11,8,67,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,14,3,3,0,0,0,25,0,0,0,0,0,4,8,5,0,16
