UCL_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
UCL201001,..,346965,346965,413059,49036,462092,238547,16642,255193,252519,6978,259493,100934,2558,103489,49021,1587,50603,1054074,423771,1477840
UCL203001,..,17743,17743,18196,1661,19854,8660,523,9177,8092,233,8326,3253,94,3344,1267,86,1357,39466,20337,59805
UCL211001,..,3557,3557,4228,362,4588,1964,44,2006,1809,22,1837,774,5,783,306,0,303,9080,3997,13075
UCL211002,..,10949,10949,10903,1276,12184,4852,306,5157,4687,148,4839,1949,38,1988,737,19,752,23131,12734,35872
UCL211003,..,10146,10146,11003,1085,12088,4885,314,5199,4468,84,4554,2010,27,2042,854,15,871,23214,11680,34897
UCL211004,..,3820,3820,5009,491,5504,3290,57,3343,3041,13,3058,1395,10,1402,974,3,971,13704,4396,18101
UCL212001,..,3919,3919,4056,351,4408,1702,65,1770,1461,30,1487,722,14,738,341,9,345,8282,4390,12667
UCL212002,..,4686,4686,5065,407,5477,2372,84,2461,2200,40,2236,1050,19,1065,593,10,604,11288,5252,16531
UCL212003,..,2508,2508,3506,217,3718,2086,22,2105,2260,6,2267,975,0,975,358,0,358,9184,2753,11937
UCL212004,..,2911,2911,3068,226,3291,1331,38,1372,1300,7,1306,520,0,522,203,3,202,6414,3192,9605
UCL212005,..,3600,3600,3757,321,4080,1516,90,1607,1454,41,1498,646,19,662,251,17,265,7628,4088,11713
UCL213001,..,1484,1484,1872,102,1973,964,17,979,1073,0,1079,471,0,467,180,0,180,4553,1605,6161
UCL213002,..,1672,1672,1656,99,1761,644,18,657,537,3,539,240,3,248,96,3,99,3174,1800,4969
UCL213003,..,1525,1525,1407,119,1520,576,35,614,514,5,517,255,12,265,120,9,127,2873,1697,4569
UCL213004,..,1118,1118,1469,98,1568,614,6,623,566,0,566,282,0,284,136,0,132,3070,1225,4294
UCL213005,..,1213,1213,1747,84,1827,656,4,660,656,0,656,286,0,286,112,0,112,3452,1296,4746
UCL213006,..,1492,1492,1689,126,1812,610,17,623,585,8,592,266,0,269,114,0,115,3251,1649,4900
UCL213007,..,2065,2065,2079,129,2200,752,30,782,750,11,758,342,0,343,108,0,108,4031,2233,6265
UCL213008,..,901,901,1421,82,1507,786,6,796,903,3,910,379,0,379,118,0,118,3614,996,4610
UCL213009,..,921,921,1413,73,1480,731,10,738,741,4,742,293,0,293,91,0,91,3266,1000,4268
UCL213010,..,2330,2330,1975,167,2144,816,8,824,631,0,631,252,0,252,108,0,108,3784,2502,6290
UCL213011,..,2110,2110,1691,152,1842,706,15,723,512,5,513,206,0,206,123,0,122,3239,2287,5524
UCL213012,..,1605,1605,2172,111,2284,903,15,918,1127,3,1128,472,0,477,144,0,144,4820,1735,6558
UCL213013,..,1315,1315,1328,100,1426,499,10,512,462,6,464,169,0,169,59,0,59,2518,1421,3942
UCL213014,..,1690,1690,1674,141,1813,706,22,728,635,3,641,272,8,284,89,5,93,3379,1866,5243
UCL213015,..,1243,1243,1237,119,1354,537,30,573,430,7,439,220,3,228,94,3,95,2524,1405,3924
UCL213016,..,1107,1107,1814,132,1941,806,49,854,1205,22,1225,499,7,508,108,0,104,4431,1310,5740
UCL213017,..,2515,2515,2432,182,2619,918,18,940,859,7,866,373,8,380,126,0,125,4711,2733,7442
UCL213018,..,1548,1548,1857,104,1963,700,10,712,680,10,683,340,3,346,128,0,131,3715,1685,5397
UCL214001,..,982,982,978,74,1055,331,13,342,278,5,278,109,3,117,65,5,71,1762,1084,2841
UCL214002,..,1453,1453,1418,105,1523,418,6,426,348,0,355,150,0,150,50,0,50,2384,1563,3948
UCL214003,..,1375,1375,1248,122,1369,458,17,476,392,3,396,161,0,165,51,4,55,2313,1520,3832
