UCL_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
UCL221017,3,3,6,86,93,177,0,0,0,4,3,6,0,0,0,65,73,142,4,0,0,0,0,0,0,0,3,4,3,7,0,3,3,0,0,0,0,0,0,14,8,20,33,21,51,3,0,3,0,0,0,35,45,78,6,0,6,0,0,0,249,249,495,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,9,0,3,9,155,128,286,0,0,0,0,0,0,157,133,290,26,27,54,436,418,855
UCL221018,6,3,9,56,73,130,0,0,0,3,3,3,0,0,0,140,140,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,8,24,35,0,0,0,0,0,0,72,78,159,4,7,11,3,5,11,298,332,637,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,128,98,226,0,0,3,0,0,0,128,102,222,47,46,96,478,487,961
UCL221019,6,5,15,88,104,192,0,0,0,5,15,19,0,0,0,108,127,228,3,3,4,4,0,3,8,4,9,5,0,8,3,8,9,0,0,0,0,0,0,3,0,4,25,17,39,0,0,0,4,6,7,40,51,91,18,32,52,0,0,0,303,361,670,5,0,7,3,0,4,0,4,5,0,0,0,0,0,0,0,3,3,3,3,8,290,268,554,0,0,0,4,3,3,297,272,566,76,91,167,689,740,1426
UCL221020,3,3,5,62,84,144,0,0,0,3,5,10,0,0,0,85,109,189,3,6,6,0,3,4,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,31,29,58,0,0,0,0,0,0,42,63,111,6,6,15,0,0,0,231,311,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4,129,86,216,0,0,0,0,0,0,124,87,220,31,42,79,400,451,851
UCL221021,0,3,3,65,58,123,0,0,0,12,16,21,0,0,0,63,64,129,0,3,3,3,6,6,0,0,0,0,0,0,3,5,8,0,0,0,0,0,0,0,0,0,15,13,24,0,3,3,0,0,0,13,21,26,11,4,18,0,0,0,181,188,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,132,131,270,0,0,0,0,5,4,133,138,273,30,21,51,348,347,690
UCL221022,4,0,6,69,67,139,0,0,0,9,5,15,0,0,0,69,74,140,0,0,4,10,4,13,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,13,20,32,0,0,0,0,0,3,13,11,25,5,14,18,0,0,0,201,203,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,153,138,289,0,0,0,3,0,4,152,139,294,44,44,87,399,394,791
UCL221023,0,0,0,27,20,47,0,0,0,0,0,3,0,0,0,44,52,96,0,0,0,3,3,3,0,3,3,0,0,0,8,12,17,0,0,0,0,0,0,0,0,3,4,8,11,0,0,0,0,0,3,23,19,45,5,11,14,5,4,6,122,137,254,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,84,97,177,0,0,0,0,0,0,84,97,177,35,35,72,239,268,508
UCL221024,0,0,0,65,65,127,0,0,0,0,3,3,0,0,0,38,41,76,3,4,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,11,5,6,13,0,0,0,0,0,0,28,40,66,12,15,24,0,0,0,161,177,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,134,120,253,4,0,3,0,0,0,139,125,261,42,35,78,341,342,684
UCL221025,3,6,7,88,92,183,0,0,0,8,5,11,0,0,0,54,62,119,0,0,0,0,0,0,0,0,3,0,0,0,6,0,6,0,0,0,0,0,0,7,0,3,23,19,35,5,3,5,0,0,0,22,19,41,5,15,22,0,0,0,216,216,426,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,162,144,307,5,3,7,0,0,3,163,150,316,45,45,90,427,415,843
UCL221026,10,9,18,41,33,71,0,0,0,7,8,8,0,0,0,44,71,117,0,3,3,3,0,4,0,3,4,0,0,0,0,3,3,0,0,0,0,0,0,9,6,17,9,15,18,0,0,0,13,12,18,7,7,13,17,15,31,0,0,0,136,173,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,3,9,261,215,479,6,0,8,6,8,10,271,226,497,52,41,94,473,455,927
UCL221027,0,3,8,60,74,131,0,0,0,0,0,3,0,0,0,89,67,154,0,0,0,3,0,0,0,0,0,0,0,0,8,9,18,0,0,0,0,4,7,0,0,3,9,12,23,0,3,3,0,3,7,35,56,85,4,6,11,0,0,0,208,233,441,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,65,149,0,0,0,0,0,0,85,65,149,35,52,88,326,361,691
UCL221028,0,3,5,66,58,118,0,0,0,11,10,17,0,0,0,49,62,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,18,12,28,0,3,3,0,0,0,16,26,39,6,0,7,0,0,0,165,178,346,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,111,250,3,0,3,0,0,0,138,114,256,60,72,133,376,363,738
UCL221029,0,7,5,72,72,146,0,0,0,0,3,8,0,0,0,93,89,180,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,16,6,21,0,0,0,0,0,0,26,30,58,6,6,13,0,0,0,218,225,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,89,74,166,0,0,0,0,0,0,89,79,165,25,27,56,333,332,669
UCL221030,0,3,3,58,92,141,0,0,0,0,0,3,0,0,0,47,34,82,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,12,14,21,0,0,0,0,0,0,10,19,32,0,0,0,0,0,0,129,161,290,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,120,277,0,0,3,0,0,3,152,128,276,26,36,58,310,325,638
UCL221031,0,4,3,57,62,120,0,0,0,4,4,8,0,0,0,80,81,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,17,0,0,3,0,0,3,25,20,43,11,9,16,0,0,0,183,195,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,110,241,0,0,0,0,0,0,135,110,246,17,13,25,334,316,646
UCL221032,5,4,11,79,87,162,0,0,0,9,10,17,0,0,0,63,73,136,0,0,0,5,3,12,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,3,16,19,16,34,0,0,0,0,0,0,5,15,19,4,15,16,0,0,0,190,223,415,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,0,3,4,0,3,220,185,406,3,0,3,3,0,3,227,185,412,60,50,115,483,472,955
UCL221033,0,3,3,34,34,64,0,0,0,0,4,3,0,0,0,75,73,149,0,0,0,4,3,3,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,10,3,16,0,0,0,0,0,0,6,14,28,7,3,12,0,0,0,136,143,277,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,132,116,251,0,0,0,0,0,0,133,116,253,31,36,59,300,301,598
UCL221034,7,3,8,22,24,45,0,0,0,0,0,0,0,0,0,21,33,49,4,3,10,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,13,0,0,4,0,0,0,21,20,46,3,6,7,0,0,3,87,104,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,132,284,0,0,6,0,0,3,154,133,284,24,25,56,271,264,538
UCL221035,0,0,0,34,40,79,0,0,0,9,5,14,0,0,0,60,58,120,0,0,0,0,0,0,0,0,0,0,0,0,10,16,27,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,28,55,78,0,0,0,0,0,0,143,184,331,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,47,126,0,0,0,0,0,3,84,43,127,30,53,77,254,286,541
UCL221036,0,4,3,25,24,48,0,0,0,3,4,10,0,0,0,167,174,343,0,0,0,7,0,4,0,4,3,0,0,0,3,5,6,0,0,0,0,0,0,0,0,0,4,9,10,0,0,0,0,0,0,10,6,16,6,7,11,0,0,0,228,230,459,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,122,279,0,0,0,0,0,0,153,122,279,24,25,52,412,387,798
UCL221037,3,5,9,71,90,163,0,0,0,0,0,0,0,0,0,81,83,161,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,4,7,10,16,24,0,0,0,0,0,0,24,20,46,0,6,9,0,0,0,188,229,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,8,109,86,192,0,0,0,0,0,0,109,86,192,55,53,113,354,380,730
UCL221038,3,3,3,67,73,138,0,0,0,0,0,5,0,0,0,61,52,112,0,0,0,7,0,7,3,0,5,0,0,0,0,3,3,0,0,0,0,0,0,4,3,5,25,31,57,0,0,0,7,3,3,24,35,55,15,8,23,0,0,0,207,209,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,123,109,226,6,3,8,0,0,3,126,112,232,37,27,61,372,349,724
UCL221039,0,0,0,39,51,88,0,0,0,0,0,0,0,0,0,24,32,59,3,4,10,0,0,4,0,0,4,0,0,0,4,9,13,0,3,4,0,4,4,0,0,0,32,29,56,8,13,22,0,0,0,59,76,130,0,3,4,0,0,0,177,222,390,3,4,6,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,7,94,86,183,0,0,0,0,3,3,96,89,189,14,16,27,290,333,626
UCL221040,0,0,0,66,71,135,0,0,0,7,6,13,0,0,0,82,95,177,0,0,0,3,8,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,5,7,16,4,24,0,0,0,4,3,9,19,21,33,13,13,30,0,0,0,217,233,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,8,10,297,244,543,3,3,6,0,3,5,307,247,554,84,64,144,604,557,1159
UCL221041,3,0,0,48,50,98,0,0,0,8,9,11,0,0,0,91,84,173,0,0,0,6,8,23,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,4,10,14,8,8,16,0,0,0,0,3,3,10,15,30,0,7,11,0,0,0,184,197,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,4,11,183,174,362,0,0,0,0,0,0,183,178,357,46,43,92,423,422,841
UCL221042,3,3,5,69,74,144,0,0,0,4,0,8,0,0,0,77,68,146,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,5,9,21,0,0,0,0,0,0,38,50,89,6,0,5,0,0,0,216,214,428,5,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,104,228,0,0,0,3,3,6,129,104,233,72,51,126,421,377,793
UCL221043,0,4,4,35,48,80,0,0,0,6,0,6,0,0,0,51,64,117,0,0,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,18,12,5,16,0,0,0,0,0,0,11,9,28,0,0,6,0,0,0,131,148,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,126,115,241,0,0,0,0,0,0,122,117,245,32,32,58,286,304,588
UCL221044,3,4,4,17,25,46,0,0,0,7,9,9,0,0,0,74,69,138,6,0,6,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,3,17,20,38,0,0,0,0,0,3,18,19,32,9,11,16,0,0,0,150,157,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,102,215,0,0,0,0,0,0,114,102,215,32,29,58,302,288,585
UCL221045,6,4,7,83,102,193,0,0,0,3,3,11,0,0,0,78,56,129,0,0,0,5,11,15,3,3,3,0,0,0,6,3,12,0,0,0,0,3,3,6,9,18,19,18,36,0,0,0,0,0,3,14,14,34,10,9,13,0,0,0,235,235,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,99,233,0,6,4,0,0,0,138,104,238,54,37,95,426,379,806
UCL221046,5,7,9,63,89,148,0,0,0,4,0,3,0,0,0,45,64,111,0,0,3,3,4,4,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,3,9,9,19,13,33,0,0,0,0,3,3,13,24,39,4,13,18,0,0,0,167,218,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,4,9,265,229,496,6,3,6,3,0,4,274,229,501,53,51,102,501,512,1005
UCL221047,3,12,15,37,39,83,0,0,0,4,6,9,0,0,0,48,43,92,0,0,0,3,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,5,0,4,3,8,11,0,0,0,0,0,0,4,12,17,4,7,14,0,0,0,122,120,239,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,157,146,302,0,0,7,0,0,0,155,155,314,40,37,74,322,320,641
UCL221048,0,0,0,46,41,91,0,0,0,0,0,0,0,0,0,86,99,191,0,0,4,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,12,12,21,0,0,0,0,0,0,37,30,68,5,6,13,0,0,0,197,198,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,216,433,0,0,0,0,0,0,218,216,433,43,45,91,463,462,928
UCL221049,0,0,0,30,30,57,0,0,0,3,0,3,0,0,0,115,103,215,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,6,5,9,3,4,14,0,0,0,3,0,6,12,19,26,3,3,7,0,0,0,175,172,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,84,181,0,0,0,0,0,0,93,84,181,26,24,45,293,278,577
UCL221050,3,0,3,103,124,225,0,0,0,6,8,9,0,0,0,67,82,150,0,0,0,0,0,0,7,8,18,0,0,0,0,6,5,3,0,0,0,3,3,4,3,3,31,20,50,0,0,0,0,0,0,25,30,54,18,20,34,0,0,0,258,308,569,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,270,234,504,3,0,3,0,0,3,271,235,504,61,62,125,603,605,1213
UCL221051,0,0,0,31,23,55,0,0,0,5,8,10,0,0,0,63,80,140,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,16,0,0,0,0,3,4,20,31,58,4,7,13,0,0,0,138,168,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4,176,140,318,0,0,0,0,0,0,176,145,320,24,21,42,344,328,676
UCL221052,0,3,3,56,69,124,0,0,0,3,0,3,0,0,0,77,91,173,4,0,3,3,0,4,0,3,0,0,0,6,0,3,3,0,0,0,0,3,5,0,4,8,15,25,33,0,0,0,0,0,0,25,43,65,3,0,4,0,0,0,181,241,422,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,111,234,3,0,6,0,0,0,124,112,238,46,41,82,360,400,752
UCL221053,3,5,3,38,54,90,0,0,0,0,0,3,0,0,0,85,62,147,0,3,3,0,0,0,0,0,0,8,8,10,45,48,90,0,0,0,0,0,0,0,0,3,3,6,9,0,3,3,0,0,0,40,49,84,4,7,14,0,0,0,228,240,466,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,121,101,218,0,0,0,0,0,0,123,102,224,33,23,48,383,367,750
UCL221054,0,4,4,56,60,115,0,0,0,3,4,3,0,0,0,56,80,135,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,16,0,0,0,0,0,0,9,12,24,3,10,13,0,0,0,139,175,318,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,68,163,0,0,0,0,0,0,98,68,167,17,18,40,255,268,525
UCL221055,0,4,3,67,74,143,0,0,0,4,0,6,0,0,0,81,75,155,0,0,0,0,0,0,10,8,21,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,17,18,28,0,0,3,6,7,8,15,27,47,12,11,22,0,0,0,210,232,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,136,298,0,0,3,0,0,0,170,138,302,49,42,87,423,413,837
UCL221056,0,3,3,67,71,137,0,0,0,6,6,10,0,0,0,35,50,85,0,0,0,0,0,3,0,3,3,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,8,13,24,0,0,0,3,4,5,25,14,36,9,13,18,0,0,3,152,179,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,102,217,3,0,4,0,0,0,118,106,224,40,31,65,308,315,622
UCL221057,4,4,11,36,56,91,0,0,0,3,6,5,0,0,0,29,25,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,9,4,14,0,0,3,0,0,0,19,18,32,3,5,13,0,0,0,105,122,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,153,130,286,0,0,0,3,3,3,159,138,291,22,17,42,294,282,572
UCL221058,3,0,4,49,66,121,0,0,0,6,3,13,0,0,0,70,59,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,4,12,20,31,0,0,0,0,0,0,11,21,33,7,7,20,0,0,0,162,183,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,3,5,146,143,290,0,0,0,0,0,0,146,145,290,31,29,53,335,364,698
UCL221059,0,0,4,31,53,87,0,0,0,3,3,11,0,0,0,41,41,79,4,5,5,3,0,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,3,0,0,0,3,9,12,0,0,0,0,0,0,17,27,41,13,8,23,0,0,0,114,155,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,3,6,146,156,301,0,0,3,0,0,0,147,157,304,24,29,51,294,341,642
UCL221060,0,0,3,48,51,95,0,0,0,3,3,11,0,0,0,26,33,62,0,0,0,0,0,0,0,0,0,0,0,0,6,8,15,0,0,0,0,0,0,3,7,4,7,8,15,0,0,0,0,0,0,21,21,38,3,3,12,0,0,0,122,139,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,111,98,209,0,4,6,0,0,3,113,106,217,39,28,72,271,277,548
UCL221061,5,3,7,27,24,49,0,0,0,0,0,3,0,0,0,122,128,251,0,0,5,3,8,14,8,12,25,0,0,0,0,0,3,0,0,0,0,0,3,3,4,9,8,3,15,0,0,0,0,0,0,4,5,17,8,8,18,0,0,0,203,204,409,0,5,9,13,8,19,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,148,96,241,0,0,0,0,3,5,147,98,249,101,81,184,470,397,871
UCL221062,4,9,12,77,94,168,0,0,0,0,7,6,0,0,0,113,124,239,0,0,0,3,0,5,6,5,11,0,0,0,4,3,6,0,0,3,0,0,3,0,4,3,29,28,55,0,3,3,0,3,4,31,35,63,4,11,12,0,0,0,281,322,597,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,139,115,254,0,0,3,3,0,6,137,117,258,47,42,93,472,491,965
UCL221063,0,0,0,34,40,77,0,0,0,0,0,0,0,0,0,71,70,137,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,0,0,0,0,3,3,0,0,0,10,7,17,0,0,0,0,0,0,28,49,75,0,3,3,0,0,0,150,173,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,79,175,0,0,0,0,0,0,94,82,175,37,33,71,285,290,574
UCL221064,3,0,4,14,26,39,0,0,0,11,11,14,0,0,0,48,60,110,0,0,0,0,0,0,0,3,3,4,0,5,0,0,3,0,0,0,4,0,4,4,4,7,10,3,8,0,0,0,0,0,0,19,13,31,18,24,35,0,0,0,126,136,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,170,165,333,4,3,3,0,0,0,179,165,342,29,21,46,335,330,664
UCL221065,3,5,7,35,42,80,0,0,0,3,0,4,0,0,0,58,65,121,3,0,7,0,0,0,9,12,17,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,22,3,24,0,0,0,0,0,0,12,13,24,7,5,14,0,0,0,145,142,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,105,210,0,0,3,0,0,0,106,100,211,37,23,53,296,272,568
UCL221066,0,0,0,57,56,111,0,0,0,0,0,0,0,0,0,68,63,131,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,21,0,3,3,0,0,0,17,26,44,0,4,4,0,0,0,158,160,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,82,181,0,0,0,0,0,0,96,85,182,13,12,21,270,254,525
UCL221067,11,4,16,26,47,76,0,0,0,8,13,15,0,0,0,69,49,118,0,0,0,6,3,9,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,3,0,3,3,3,9,0,0,4,0,0,5,8,11,22,10,15,19,0,0,0,141,136,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,199,184,387,0,3,3,0,0,0,201,191,391,38,42,79,391,369,762
UCL221068,0,3,3,92,113,207,0,0,0,5,8,12,0,0,0,102,87,193,0,0,0,0,0,0,4,7,12,0,0,0,11,3,14,0,0,0,0,0,0,0,0,5,12,5,21,0,0,0,0,0,0,35,48,76,7,8,18,0,0,0,272,290,564,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,123,278,3,3,3,0,0,0,155,130,278,36,45,82,469,468,935
UCL221069,5,10,15,93,108,198,0,0,0,18,17,42,0,0,0,170,178,345,0,0,0,3,3,4,0,0,0,0,0,0,6,7,13,0,0,0,0,0,0,3,4,10,32,37,65,4,3,4,5,4,13,34,34,67,26,17,40,0,0,0,386,415,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,4,9,348,362,706,0,5,9,0,0,0,349,365,718,63,63,130,809,856,1664
UCL221070,0,0,0,63,66,126,0,0,0,4,12,19,0,0,0,60,79,141,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,0,0,0,0,0,0,0,0,0,15,9,25,0,0,0,0,0,0,40,54,94,11,9,13,0,0,0,195,231,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,131,282,0,0,0,0,0,0,158,131,282,38,38,77,391,402,796
UCL221071,0,3,4,37,35,66,0,0,0,5,3,12,0,0,0,54,67,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,3,10,0,0,0,0,0,0,10,22,39,4,8,14,0,0,0,119,142,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,90,202,0,0,0,0,0,0,114,96,204,27,28,54,262,261,526
UCL221072,10,9,21,36,60,97,0,0,0,0,0,3,0,0,0,52,59,117,0,0,0,3,0,4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,8,7,13,0,0,0,4,4,3,12,22,36,3,0,3,0,0,0,120,166,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,158,159,313,0,0,0,0,4,3,161,158,322,54,76,130,353,412,764
UCL221073,5,4,10,39,45,87,0,0,0,0,0,7,0,0,0,37,57,93,0,0,3,6,9,14,0,0,0,0,0,0,0,3,3,0,0,0,0,4,3,0,0,0,13,6,15,0,0,0,0,0,0,14,16,34,3,3,4,0,0,0,118,154,268,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,152,312,0,3,5,0,0,0,164,155,319,20,28,44,304,337,644
UCL221074,9,3,5,46,46,87,0,0,0,0,3,3,0,0,0,61,58,119,0,0,0,3,7,11,0,0,0,0,3,3,3,4,8,0,0,0,0,0,0,0,0,3,11,11,16,0,0,0,0,0,0,9,15,22,6,6,12,0,0,0,142,156,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,156,141,299,3,3,11,0,0,0,163,146,310,179,148,326,493,452,944
UCL221075,6,6,13,48,66,115,0,0,0,3,7,7,0,0,0,56,56,111,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,12,9,13,24,0,5,7,0,0,3,25,33,61,10,11,19,0,0,0,166,196,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,3,9,12,115,125,237,0,0,0,0,0,0,115,127,235,37,28,61,326,363,684
