UCL_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
UCL215094,9,20,27,169,199,371,0,0,0,13,22,33,0,0,0,211,221,434,3,5,14,3,3,7,4,11,14,0,0,0,9,7,20,0,0,0,3,3,9,3,4,4,21,52,74,0,0,3,13,25,40,41,50,91,56,66,122,0,0,0,559,680,1244,0,5,4,0,3,3,0,0,0,0,0,0,3,0,4,10,13,23,11,12,27,719,610,1332,3,4,4,8,11,14,728,630,1353,162,163,324,1471,1505,2980
UCL215095,3,5,5,89,101,192,0,0,0,3,5,8,0,0,0,104,114,218,0,0,0,0,0,0,3,0,5,4,3,9,0,0,0,0,0,3,0,4,4,3,6,13,14,19,35,7,0,3,0,0,0,34,46,78,18,19,37,0,0,0,280,320,602,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,177,387,0,5,9,0,4,4,213,185,395,59,62,119,553,573,1124
UCL215096,3,11,12,166,204,371,0,0,0,0,4,6,0,0,0,143,163,308,3,0,3,0,0,3,3,4,4,4,0,9,0,6,8,0,0,0,3,3,7,0,7,10,32,42,75,0,0,3,0,3,3,54,82,137,23,12,31,3,0,0,442,537,976,4,4,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,249,552,5,0,7,0,0,0,303,253,555,85,93,180,839,899,1734
UCL215097,4,8,8,106,116,222,0,0,0,8,10,15,0,0,0,102,92,199,0,0,0,0,4,6,4,0,5,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,30,39,68,0,3,3,0,0,0,24,30,51,16,19,29,0,0,0,295,320,614,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,4,4,8,227,203,426,3,3,7,0,3,3,231,208,434,48,46,95,585,586,1170
UCL221001,0,0,3,26,34,58,0,0,0,4,5,7,0,0,0,98,95,193,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,35,25,62,0,0,0,0,0,0,17,21,43,3,3,10,0,0,0,182,198,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,154,131,287,0,0,0,0,0,0,153,131,286,37,22,58,373,350,727
UCL221002,9,7,17,59,68,124,0,0,0,3,0,3,0,0,0,95,96,195,0,0,0,0,0,0,0,0,3,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,15,16,29,0,0,0,3,0,3,27,29,61,3,10,10,4,3,3,204,224,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,146,126,271,0,0,0,0,0,0,146,129,273,58,57,121,421,425,843
UCL221003,9,3,9,110,108,221,0,0,0,4,0,9,0,0,0,61,58,118,0,0,0,3,0,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,12,19,35,4,7,6,0,0,0,36,54,92,9,10,12,0,0,0,241,268,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,164,348,0,0,0,0,0,0,188,164,347,55,46,98,491,486,972
UCL221004,0,7,3,54,45,97,0,0,0,10,9,20,0,0,0,45,61,105,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,3,0,4,3,21,13,30,0,0,0,3,5,4,19,15,30,16,9,26,0,0,0,167,167,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,75,61,131,0,0,0,0,0,0,73,59,134,30,28,63,270,257,530
UCL221005,0,0,0,36,49,86,0,0,0,0,0,0,0,0,0,109,115,226,0,3,3,8,11,17,0,0,0,0,0,0,8,4,21,0,0,0,0,0,3,0,0,0,27,14,43,0,0,0,4,4,10,13,23,39,29,31,58,0,0,3,235,266,502,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,78,192,0,0,0,0,0,0,109,78,192,34,26,60,386,374,764
UCL221006,0,0,3,29,44,66,0,0,0,3,0,3,0,0,0,121,124,241,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,7,9,11,10,5,14,0,0,0,0,0,0,46,66,104,4,4,8,0,0,0,214,247,461,6,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,65,139,0,0,0,0,0,0,77,65,135,33,29,68,335,350,686
