UCL_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
UCL212005,0,0,0,5,0,0,3,64,0,8,8,3,0,0,3,0,3,0,0,0,0,0,0,25,0,0,0,0,0,0,4,3,0,3,0,0,5,0,4,20,0,0,0,0,0,0,14,9,3,0,3,16,17,22,20,97,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,4,3,3,6,0,0,0,0,6,5,0,40,0,3,7,9,0,0,0,0,0,0,0,0,0,0,0,18,0,37,32,4,3,0,4,3,0,0,0,0,0,0,0,88,0,0,0,23,47,54,93,56,13,20,13,5,13,3,11,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,17,17,29,9,7,3,3,3,7,3,111,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,4,0,0,0,7,0,0,0,0,12
UCL213001,0,0,3,0,0,0,0,42,0,18,16,17,0,0,0,0,0,0,0,0,0,0,4,55,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,18,0,20,23,10,8,3,0,0,0,0,0,0,0,0,6,69,0,13,27,3,12,0,5,0,0,3,0,0,0,0,6,73,0,3,0,16,32,43,66,26,18,7,3,0,0,0,10,237,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,14,10,0,0,3,0,0,0,0,43,0,0,0,0,5,3,3,3,0,0,0,0,0,0,0,21,0,0,0,3,0,0,3,12,0,3,0,0,0,0,0,17
UCL213002,0,0,0,0,0,0,0,13,0,25,22,0,0,0,0,0,0,0,0,0,0,0,3,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,9,0,0,0,16,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,17,25,6,4,0,0,0,0,0,0,0,0,0,0,57,0,3,5,16,25,18,30,10,3,3,0,0,0,0,7,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,15,6,8,0,9,9,10,8,3,3,84,0,0,3,0,3,3,0,0,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
UCL213003,0,0,0,0,0,0,0,4,0,22,18,3,0,0,0,0,0,0,0,0,0,0,5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,11,17,0,3,0,0,3,0,0,0,0,0,0,0,33,0,0,6,8,22,14,19,12,4,10,4,6,0,0,14,116,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,10,10,9,0,0,0,3,6,0,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
UCL213004,0,0,0,0,0,0,0,20,0,14,8,5,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,43,37,8,13,3,0,0,0,4,0,0,0,0,3,110,0,3,0,8,28,23,32,11,6,5,0,3,0,0,3,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,4,13,0,0,0,0,4,0,7,46,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3
UCL213005,0,0,0,0,0,0,0,33,0,11,25,6,4,0,3,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,4,0,0,0,0,0,0,0,17,0,10,14,3,0,0,0,0,0,0,0,0,0,0,0,25,0,31,22,13,0,0,0,0,0,0,0,0,0,0,6,74,0,0,8,12,26,25,24,14,9,3,3,0,0,0,4,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,3,0,0,0,3,0,0,0,25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,8
UCL213006,4,3,0,0,0,0,3,32,3,12,3,3,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,6,0,3,0,0,0,0,0,0,0,0,0,5,32,0,0,4,10,20,22,41,17,3,3,3,4,4,4,5,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,10,14,7,7,5,6,8,0,62,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
UCL213007,0,0,0,3,0,0,0,16,0,20,21,4,7,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0,0,0,0,0,0,0,0,0,0,0,3,34,0,0,0,3,15,11,24,8,0,0,5,0,4,0,3,74,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,6,0,0,0,0,8,3,4,44,7,4,3,3,6,11,0,90,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
UCL213008,0,11,0,0,0,0,0,48,0,11,6,7,0,0,3,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,8,0,4,10,3,4,0,0,0,0,0,0,0,0,0,0,15,0,36,29,3,6,0,0,0,0,0,0,0,0,0,4,91,0,0,0,4,21,19,35,19,7,3,0,0,0,0,3,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,90,73,7,0,4,9,9,3,8,219,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,14,3,0,0,0,4,0,0,0,27
UCL213009,0,0,0,0,0,0,0,34,0,16,23,15,3,0,0,0,0,0,0,0,0,0,3,73,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,3,6,0,0,0,0,0,0,0,0,0,0,0,13,0,39,29,5,0,3,3,0,0,0,0,0,0,0,0,79,0,0,0,9,16,23,11,10,0,4,4,3,0,0,0,101,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,3,17,15,14,0,0,0,0,4,0,3,63,0,5,3,0,5,3,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
