UCL_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL201001,20137,61109,16884,13177,2711,150716,28612,14996,81554,36201,36433,6737,204535,2671,1309,10774,4935,5951,829,26467,3451,1361,9810,9493,26388,1792,52295,5727,1365,16645,9105,17026,7928,57795,182590,71639,503144,230689,352426,50740,1391235
UCL203001,767,2658,853,781,103,6262,832,718,3483,1625,2286,291,9244,40,29,212,128,248,35,688,59,39,239,339,1168,46,1892,59,26,279,227,653,268,1507,3455,2377,13612,8119,17612,1827,46999
UCL211001,154,401,170,193,19,1074,143,137,583,446,668,60,2035,6,0,14,14,35,7,72,8,3,27,76,333,18,461,3,4,31,37,170,71,307,450,435,1980,1934,5090,423,10318
UCL211002,571,1641,448,515,52,3885,560,519,2136,1024,1305,163,5705,33,15,156,80,170,20,482,19,16,95,158,663,35,992,31,13,123,90,327,122,713,1971,1614,7454,4319,10533,971,26854
UCL211003,500,1439,403,421,73,3219,548,496,1965,1067,1583,188,5839,22,13,85,63,155,16,351,41,23,98,176,779,41,1157,21,11,102,82,382,140,746,1485,1466,6814,4084,11480,1082,26408
UCL211004,119,461,184,239,28,1113,88,83,460,527,665,68,1895,9,0,36,42,94,14,200,19,4,38,86,454,21,626,14,3,64,99,290,125,590,544,331,2239,2424,6589,681,12800
UCL212001,136,493,174,165,23,1057,124,94,540,355,476,57,1651,6,0,15,20,50,0,85,0,3,26,41,259,21,355,8,0,16,34,156,73,289,311,323,1879,1404,3737,484,8134
UCL212002,266,546,194,206,27,1375,227,176,816,590,716,94,2618,0,0,11,27,47,0,88,11,12,43,93,403,24,576,13,5,37,51,204,101,407,608,605,2514,2077,4972,586,11363
UCL212003,169,523,174,209,25,1223,101,118,455,334,445,61,1512,6,3,44,36,71,9,168,10,3,32,91,370,11,512,17,7,40,61,167,40,331,468,467,2333,2072,5000,425,10770
UCL212004,108,335,89,94,17,735,140,98,523,278,356,57,1454,0,4,14,14,31,4,62,6,4,19,42,242,10,321,4,3,28,8,107,46,194,353,306,1623,1220,3507,321,7336
