UCL_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
UCL201001,0,0,33,481,619,826,647,526,113,3241,215,1543,2813,12256,4409,3274,2186,796,221,27709,59,111,490,2232,218,232,140,22,8,3522,157,697,1105,2232,245,108,62,11,4,4621,10,65,201,1486,1584,1972,1827,743,169,8052,37,106,314,2304,2201,1323,785,339,71,7473,267,1119,1000,2744,1249,759,543,127,41,7865,210,829,3085,12103,8185,6949,2427,836,354,34974,11,56,66,465,363,282,268,154,66,1734,11,67,236,919,335,179,73,16,3,1845,1005,4171,7660,28360,12302,9785,7727,4734,1896,77642,7004,11230,15341,41250,16713,14066,11089,7370,3324,127389,137494,252600,286454,639075,265362,211120,149599,82732,31661,2056095,68,517,1539,3021,741,340,162,52,14,6447,116319,195147,183032,335360,155673,117549,78160,42867,26330,1250452,59,217,341,2145,325,148,30,8,0,3283,4,23,228,1415,912,759,376,254,44,4013,36,136,629,3050,1396,1111,535,209,88,7188,81,227,422,1994,570,375,159,61,40,3936,20,42,98,1174,756,676,609,189,65,3635
UCL203001,0,0,0,10,36,44,53,51,4,198,3,7,44,91,17,15,14,4,0,195,0,3,4,9,0,0,0,0,0,19,5,77,57,35,3,0,0,0,0,184,0,3,4,20,51,87,71,42,7,284,0,3,3,18,18,8,3,3,0,65,3,20,18,69,32,17,18,0,0,182,0,10,29,70,34,25,6,0,0,177,0,3,3,23,18,15,21,13,3,88,0,6,4,35,11,7,3,0,0,66,24,95,159,347,144,180,183,168,87,1387,243,449,615,1276,755,659,548,392,191,5130,5029,9312,10993,20117,9480,8701,6667,3744,1596,75635,4,26,60,82,28,8,5,0,0,218,4361,7662,9138,15985,7817,7030,4906,2905,1848,61648,0,3,0,25,3,0,0,0,0,37,0,0,9,45,61,39,27,17,3,200,0,0,0,15,7,9,3,0,0,26,7,11,13,53,18,12,3,0,0,111,0,0,0,4,3,3,3,0,0,21
UCL211001,0,0,0,0,3,3,8,3,3,19,0,3,5,17,4,0,4,0,0,35,0,0,0,5,0,0,0,0,0,9,0,4,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,3,12,4,4,4,0,0,31,0,0,0,3,3,0,0,0,0,10,0,0,0,0,3,4,3,0,3,11,0,0,0,0,0,0,0,0,0,7,9,30,36,67,44,33,38,32,10,298,67,107,159,336,137,168,107,68,19,1164,1299,2392,2476,4474,2164,1968,1464,702,234,17169,0,0,0,0,0,0,0,0,0,0,1182,2068,1896,3954,1881,1804,1182,608,270,14859,0,0,0,4,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3
UCL211002,0,0,0,0,0,3,6,9,0,20,0,7,3,35,7,5,0,0,0,62,0,0,3,23,0,0,0,0,0,21,0,6,13,11,5,0,0,0,0,31,0,0,0,0,0,0,0,0,0,5,0,0,0,3,4,0,0,0,0,13,0,17,9,30,13,21,18,0,0,112,3,0,7,17,7,3,0,0,0,37,0,0,0,6,0,6,11,9,4,37,0,0,3,7,0,3,3,0,0,18,7,42,66,124,49,45,26,34,13,411,173,276,398,777,408,352,397,221,89,3097,3198,5917,6602,11553,5441,5053,4084,2217,758,44809,0,0,0,0,0,0,0,0,0,0,2754,5168,5810,10094,5117,4750,3659,2202,1230,40783,0,3,3,19,0,0,0,0,0,26,0,0,0,0,0,3,3,0,0,8,0,3,0,0,0,0,0,0,0,11,0,0,3,22,7,5,3,0,0,40,0,0,0,3,0,0,3,0,0,12
UCL211003,0,0,0,0,3,0,3,0,0,6,0,15,6,30,14,11,6,3,3,88,0,0,0,16,0,0,0,0,0,17,11,73,65,28,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,6,4,16,12,16,15,0,0,63,0,6,4,18,4,0,0,0,0,33,0,4,3,3,3,6,3,0,0,24,0,3,3,3,0,0,0,0,0,12,3,23,46,70,35,36,33,21,3,268,170,339,368,782,444,437,369,246,116,3263,3110,6069,6272,11186,5338,5222,4041,2311,875,44424,0,6,5,14,0,0,0,0,0,28,2760,5077,5705,9972,4894,4927,3708,2268,1287,40587,0,3,0,15,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,3,7,20,6,3,6,0,0,52,0,0,0,3,0,0,0,0,0,3
UCL211004,0,0,0,3,13,15,13,10,3,58,0,9,7,62,22,14,10,0,0,124,0,0,0,8,0,0,0,0,0,11,3,9,8,12,3,0,0,0,0,32,0,0,0,23,21,13,13,3,0,79,0,0,0,9,14,7,3,3,0,39,0,10,3,20,3,4,3,0,0,40,4,6,4,42,18,18,5,0,0,102,0,0,0,5,8,5,0,0,0,16,0,0,3,11,5,0,0,0,0,22,11,140,212,429,193,138,109,40,10,1284,184,279,250,639,275,236,174,82,15,2121,2366,4050,3624,7798,3103,2782,2057,700,186,26665,0,0,0,3,0,0,0,0,0,3,2102,3161,2688,5414,2019,1922,1079,377,166,18936,0,3,0,32,0,3,0,0,0,36,0,0,5,22,18,5,9,0,0,58,0,0,0,8,0,3,0,0,0,8,0,0,3,15,0,0,0,0,0,27,0,3,8,14,18,9,10,3,0,63
UCL212001,0,0,0,0,0,5,3,0,3,19,0,3,3,24,9,0,4,0,0,40,0,0,4,22,0,0,0,0,0,26,4,7,4,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,7,0,0,5,22,36,20,16,7,0,118,0,0,3,5,3,0,0,0,0,11,0,0,3,16,12,16,10,0,0,62,0,0,0,0,0,0,3,0,0,6,0,0,0,3,3,0,0,0,0,5,0,22,28,91,32,41,21,18,3,257,66,137,185,404,194,216,190,130,56,1579,1105,2083,2158,4093,1892,1912,1613,877,337,16080,0,16,19,40,12,5,3,0,0,91,996,1748,1753,3260,1620,1623,1311,822,400,13535,0,0,0,7,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,6,5,0,3,0,0,0,16,0,0,0,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
UCL212002,0,0,0,0,0,0,3,0,0,9,4,11,3,28,13,7,0,0,0,66,0,0,6,28,0,0,0,0,0,33,0,0,3,3,0,0,3,0,0,13,0,0,0,0,0,12,8,10,0,24,0,7,6,32,45,19,6,4,0,109,0,3,3,9,0,3,0,0,0,24,0,0,0,10,3,3,0,0,0,13,0,0,0,0,0,0,3,0,0,3,0,3,3,3,3,0,0,0,0,14,6,58,102,207,84,56,30,20,14,580,126,217,203,552,303,262,214,140,55,2071,1636,3212,2958,5704,2863,2514,2026,1173,419,22520,0,27,115,124,30,3,6,0,0,298,1396,2499,2222,4028,2270,2130,1590,993,510,17645,0,0,0,10,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,0,0,4,4,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0
UCL212003,0,0,0,0,4,0,4,0,0,14,3,3,0,12,6,3,3,0,0,34,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,16,0,0,0,0,5,0,0,0,0,7,0,0,0,0,3,0,0,0,0,4,0,0,3,4,6,0,0,3,0,21,0,0,0,10,7,3,0,0,0,18,0,0,3,3,4,3,3,0,0,20,0,0,0,4,3,0,0,0,0,7,3,9,8,59,53,30,27,19,7,205,53,78,104,255,125,128,105,43,16,891,1168,2308,2412,4381,2374,2025,1284,592,210,16743,0,0,0,0,0,0,0,0,0,0,1062,1989,2089,3720,1961,1600,869,431,235,13949,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,5,7,4,0,0,0,25,0,0,0,3,9,0,0,0,0,14
UCL212004,0,0,0,0,0,0,0,0,0,0,0,0,3,12,5,5,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,0,0,0,0,13,0,0,0,10,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,12,0,0,0,4,3,0,0,0,0,7,0,18,18,42,34,14,22,21,8,173,46,112,116,231,135,155,114,85,37,1023,883,1685,1545,3183,1584,1479,1078,605,207,12267,0,0,0,0,0,0,0,0,0,0,733,1481,1350,2824,1306,1220,821,522,208,10468,0,4,0,13,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,4,3,8,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0
