UCL_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL213008,3283,3359,6639,899,992,1887,37,39,72,1271,1404,2672,44,53,94,7,10,11,17,27,46,14,15,26,10,11,18,4,3,4,0,0,0,1394,1540,2938,95,108,199,29,21,52,2417,2662,5076,286,320,609,5986,6340,12322
UCL213009,2743,2877,5621,610,677,1288,23,29,50,1409,1657,3065,40,45,90,8,8,24,15,19,31,12,11,20,0,0,3,6,8,15,0,0,0,1515,1779,3298,63,74,140,24,25,55,2217,2559,4773,285,283,562,5242,5716,10956
UCL213010,4170,4350,8525,1025,1209,2232,27,26,59,834,896,1731,43,49,93,3,6,3,21,29,53,10,8,18,7,6,13,3,0,0,0,0,0,949,1020,1974,42,73,118,41,39,78,2055,2340,4400,672,665,1336,6904,7356,14262
UCL213011,3542,3636,7177,778,835,1611,47,38,79,924,1000,1922,39,58,102,7,14,25,28,16,45,7,11,17,0,3,3,0,4,5,0,0,0,1059,1136,2198,82,100,184,39,32,78,1962,2101,4065,725,745,1472,6235,6481,12718
UCL213012,4438,4681,9113,1279,1423,2704,74,83,159,1609,1880,3488,71,75,143,20,15,39,36,42,77,9,13,19,15,13,31,9,15,22,0,0,0,1850,2139,3988,154,160,309,45,28,70,3330,3743,7074,411,437,849,8178,8860,17033
UCL213013,2763,2785,5549,720,766,1480,49,49,97,483,514,1000,25,21,49,63,82,142,30,35,65,14,23,39,3,8,12,3,0,4,0,0,0,666,740,1404,38,48,82,14,14,35,1438,1568,3002,469,451,917,4673,4801,9474
UCL213014,3107,3409,6513,922,1076,1993,135,127,261,874,925,1800,110,102,211,38,42,77,51,49,97,12,12,27,27,27,54,16,18,38,0,0,0,1258,1311,2568,165,180,346,43,43,84,2383,2614,4991,542,570,1109,6025,6593,12616
UCL213015,2467,2639,5109,751,865,1611,117,107,225,565,636,1205,33,39,71,26,25,47,15,15,35,3,0,4,8,9,17,0,0,3,0,0,0,775,835,1616,179,138,318,21,18,41,1728,1866,3588,572,583,1154,4761,5093,9851
UCL213016,3630,3786,7415,1192,1295,2481,99,110,207,1810,1901,3713,72,62,134,30,36,69,47,55,95,18,19,34,10,18,26,11,15,26,0,0,0,2099,2214,4309,264,290,548,45,32,80,3596,3823,7418,411,406,815,7636,8018,15649
UCL213017,4656,5214,9872,1354,1578,2929,127,158,284,1096,1273,2368,94,99,189,22,22,43,30,27,57,18,17,30,11,24,33,8,9,13,0,0,0,1402,1621,3023,92,94,182,53,50,100,2897,3337,6233,623,799,1418,8169,9354,17526
UCL213018,3288,3761,7048,974,1086,2055,63,80,146,1305,1414,2727,52,60,111,15,21,33,25,28,52,13,25,43,12,4,20,3,0,3,0,0,0,1496,1638,3129,90,112,206,33,33,60,2583,2866,5456,442,510,949,6311,7138,13452
UCL214001,1922,2010,3929,510,553,1064,20,21,45,400,400,800,27,29,52,18,15,32,16,17,25,3,4,6,6,15,18,0,0,3,0,0,0,495,500,992,41,70,111,19,14,33,1059,1137,2202,231,222,455,3216,3370,6583
UCL214002,2367,2607,4974,668,764,1430,63,68,136,568,649,1222,44,54,100,6,9,21,14,20,37,4,14,19,3,15,16,6,0,6,0,0,0,715,834,1545,40,41,80,18,25,43,1437,1669,3102,337,427,765,4134,4707,8840
UCL214003,2301,2549,4855,464,559,1026,32,50,86,676,856,1535,21,23,50,20,18,42,14,13,28,3,10,13,19,22,45,9,10,17,0,0,0,796,1007,1802,87,99,181,16,21,41,1362,1689,3047,1073,476,1548,4738,4711,9450
UCL214004,1382,1420,2801,330,344,676,118,120,237,266,287,558,32,31,57,5,11,16,9,21,27,5,0,8,8,3,9,0,0,4,0,0,0,445,477,919,78,75,151,11,18,28,864,910,1775,241,245,492,2485,2579,5064
UCL214005,286,291,576,45,47,92,50,52,98,59,56,111,4,8,7,0,3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,117,115,233,0,6,8,3,7,10,169,178,344,29,22,54,484,483,967
UCL214006,2397,2509,4902,538,590,1120,43,41,83,981,1056,2039,52,35,86,15,16,27,15,14,24,4,4,13,5,7,12,4,4,8,0,0,0,1113,1179,2291,53,68,121,22,27,46,1721,1865,3586,244,288,535,4362,4659,9022
UCL214007,2365,2654,5021,587,639,1229,38,40,70,471,558,1027,25,46,67,51,54,105,15,19,40,6,14,23,4,3,11,0,0,0,0,0,0,613,730,1347,75,77,152,17,21,39,1294,1471,2766,276,332,611,3944,4451,8396
UCL214008,2297,2420,4719,507,607,1115,18,24,40,582,681,1259,25,21,49,11,13,24,9,9,20,0,4,9,3,0,9,4,4,7,0,0,0,661,760,1418,54,68,122,14,11,24,1240,1445,2686,279,286,567,3817,4159,7973
