UCL_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
UCL201001,888,1754,6596,361,436,3667,13708,241,1616,397,330,99,43,2729,1150,13640,2563,829,498,193,18871,3293,5580,4248,1476,719,148,15452,4870,2807,3561,663,550,110,12563,21284,2641,7271,867,1342,214,33622,86787,2750,17237,677,2235,432,110121,108272,1344,14456,287,1295,348,126002,46652,248,6944,126,479,149,54595,21575,98,3314,49,224,65,25320,9739,56,1575,23,102,32,11526,4825,31,954,24,58,21,5914,2480,17,476,3,39,10,3026,5605,15,1120,3,108,35,6887,6071,2235,4243,613,731,640,14539,323735,34833,74963,6342,8916,6096,454883
UCL203001,22,150,211,18,55,146,598,13,114,26,25,14,3,198,140,1039,211,106,38,21,1554,740,412,436,150,52,11,1799,736,206,352,107,41,11,1459,2308,236,664,70,68,24,3363,4124,134,781,40,63,12,5165,2587,26,395,26,46,14,3091,507,8,101,0,7,0,620,135,0,32,3,3,0,167,35,0,20,0,0,0,52,21,0,18,0,0,0,41,9,0,9,0,0,0,19,31,0,17,0,0,0,47,186,145,124,46,63,30,592,11581,2476,3395,598,452,275,18771
UCL211001,3,47,43,9,7,16,117,0,26,0,3,3,0,38,58,369,35,8,7,3,479,299,165,91,17,10,8,580,327,139,129,4,21,3,611,689,54,172,3,165,9,1089,962,19,114,3,73,8,1174,555,3,41,0,9,3,615,42,0,5,0,10,0,56,9,3,0,0,0,0,8,5,0,0,0,0,0,7,3,0,3,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,3,46,46,22,3,11,3,128,2993,863,666,46,309,49,4920
UCL211002,22,75,107,12,29,75,314,20,66,20,21,3,0,132,270,667,157,65,14,16,1189,744,273,251,87,26,9,1385,714,136,292,48,14,9,1213,2561,140,476,34,25,14,3253,2449,23,279,8,26,11,2791,857,8,111,4,20,10,1009,106,0,29,3,4,3,149,24,0,6,0,0,3,34,12,4,3,0,0,0,22,4,0,3,0,0,0,7,4,0,0,0,0,0,8,7,0,8,0,0,4,16,103,88,71,26,14,17,316,7879,1492,1809,311,184,168,11841
UCL211003,11,80,113,5,16,81,302,6,55,14,14,0,5,99,132,560,157,31,22,13,923,523,330,273,59,35,8,1228,526,153,296,74,23,11,1086,2077,76,506,66,40,15,2775,2514,24,450,13,32,14,3054,776,8,139,0,9,0,941,70,3,30,0,3,0,110,15,3,11,0,5,0,31,11,0,6,0,0,0,14,7,0,3,0,0,0,8,0,0,3,0,0,0,3,5,0,4,0,0,0,13,73,78,62,20,14,21,278,6750,1372,2068,288,212,169,10866
UCL211004,12,20,55,0,8,38,135,0,17,3,0,0,0,24,12,103,28,4,5,0,151,32,57,73,18,12,3,196,111,26,102,22,6,7,267,1226,48,259,14,27,8,1578,1744,10,274,3,33,15,2084,284,3,76,7,10,4,384,22,0,7,3,0,0,35,10,0,3,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,0,0,0,0,8,0,4,0,0,0,11,63,32,52,8,5,5,165,3527,320,951,88,105,72,5063
UCL212001,15,38,60,10,6,26,150,5,37,9,0,3,0,56,77,283,75,24,21,7,492,527,170,184,42,18,11,952,329,60,142,9,24,0,565,747,38,172,0,22,4,986,812,9,116,14,11,3,964,223,6,30,0,11,0,269,20,0,9,0,3,0,30,7,0,3,0,4,0,11,4,0,5,0,0,0,6,4,0,0,0,0,0,4,0,3,0,0,0,0,4,4,0,0,0,0,0,4,48,48,31,10,15,9,154,2820,699,834,113,137,67,4660
UCL212002,8,47,52,12,15,32,160,14,33,11,5,3,0,67,104,311,81,39,27,12,570,447,198,186,46,38,14,928,461,136,160,26,37,14,830,770,39,248,15,23,4,1100,854,20,161,7,41,3,1084,293,11,70,3,7,0,383,34,0,11,0,0,3,45,7,0,3,0,0,0,10,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,4,0,0,0,7,57,50,35,8,19,16,189,3051,834,1023,163,207,105,5386
UCL212003,3,5,31,0,3,9,55,0,0,3,0,0,0,10,0,60,16,3,0,0,77,21,27,31,6,0,4,95,37,5,30,3,0,0,81,167,3,85,3,3,0,260,914,11,161,3,7,0,1102,517,3,70,0,3,0,589,58,0,10,0,0,0,70,12,0,5,0,0,0,14,3,0,3,0,0,0,7,3,0,0,0,0,0,0,4,0,0,0,0,0,4,15,0,4,0,0,0,15,31,8,21,3,0,0,67,1791,135,464,27,13,18,2449
UCL212004,3,19,30,4,9,15,78,0,15,4,4,4,0,32,73,141,43,11,7,6,275,231,77,72,12,22,0,411,212,31,73,10,10,6,333,439,10,102,7,5,3,570,494,5,84,0,0,0,585,220,0,23,0,4,0,241,16,0,4,0,0,0,18,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,16,23,4,0,3,68,1708,322,460,40,59,32,2625
