UCL_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
UCL201001,745417,546572,667453,581080,527499,420295,297104,172966,80156,4038537,477,669,580,440,420,364,365,292,168,3768,432,1063,2230,2347,2653,2152,1106,299,82,12364,11252,16531,20528,12737,10972,10258,8528,6284,3850,100944,335,746,1236,1076,1573,1317,762,181,43,7266,180,394,552,540,698,675,408,115,26,3585,173,434,628,656,795,725,458,124,28,4019,96,358,225,281,372,510,347,101,15,2314,61,128,90,77,77,68,41,6,0,554,36,133,255,170,186,175,118,23,5,1101,0,8,0,0,3,3,3,0,0,17,12573,19792,25751,17888,17337,15885,11774,7133,4038,132164,13043,20462,26337,18322,17754,16249,12136,7427,4203,135935,758463,567034,693786,599406,545249,436547,309239,180395,84361,4174477
UCL203001,27123,20719,20580,18759,19056,17445,13195,8194,4323,149397,21,31,26,14,11,15,16,13,13,161,11,67,29,23,26,30,20,6,3,209,479,1166,827,509,491,461,386,250,227,4794,7,26,20,25,22,38,31,3,0,185,6,13,16,11,19,12,13,3,0,83,3,10,9,5,11,12,9,0,0,66,0,13,7,10,10,8,13,0,0,64,3,4,7,3,3,0,0,0,0,15,3,0,11,8,5,9,0,0,0,26,0,0,0,0,0,0,0,0,0,0,514,1305,920,592,583,569,468,273,229,5440,533,1333,940,611,596,579,488,284,240,5600,27661,22053,21522,19371,19646,18025,13681,8476,4562,155004
UCL211001,7024,4286,4618,4107,4207,3858,2776,1426,568,32872,4,7,5,8,5,3,4,5,0,40,46,115,65,33,43,26,20,20,11,380,145,237,198,117,130,99,85,43,30,1084,8,47,37,17,14,11,6,0,0,140,0,3,3,7,0,3,0,0,0,22,3,7,10,3,7,0,0,0,0,30,10,0,3,0,3,0,0,0,0,22,0,7,14,3,5,0,0,0,0,23,0,11,3,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,209,423,333,190,204,149,108,63,41,1712,218,425,337,200,208,153,111,69,42,1748,7236,4714,4959,4301,4413,4006,2887,1495,614,34622
UCL211002,17193,12380,11811,10895,11098,10158,7969,4692,2148,88351,7,27,11,3,15,12,11,7,8,105,0,27,13,15,14,19,26,10,0,118,400,889,580,360,322,348,289,191,119,3490,4,7,5,9,17,27,16,0,0,79,4,11,9,8,5,12,9,5,0,66,3,0,0,4,10,5,4,0,0,33,0,0,3,3,3,15,7,4,0,36,5,8,5,3,3,7,0,0,0,31,0,0,3,0,4,3,0,3,0,15,0,0,0,0,0,0,0,0,0,0,415,944,619,401,386,428,357,208,123,3876,427,975,629,403,400,444,368,215,129,3983,17622,13354,12442,11301,11495,10602,8337,4904,2272,92335
UCL211003,17305,11941,11571,10528,10678,10375,7832,4773,2341,87346,24,14,15,7,11,10,8,3,4,93,8,41,34,16,29,27,32,14,0,210,366,844,572,339,316,335,220,141,124,3260,10,8,12,10,16,16,21,4,0,92,0,12,11,8,9,31,11,3,0,81,0,5,11,9,16,12,3,8,0,59,0,4,4,0,6,6,16,0,0,39,0,4,0,0,3,3,5,0,0,12,0,3,3,3,6,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,387,923,650,380,396,427,306,173,124,3767,411,938,665,390,406,439,311,180,133,3867,17718,12882,12235,10918,11082,10810,8139,4951,2471,91213
UCL211004,12414,6825,8271,7324,6193,5761,3918,1405,491,52601,10,19,7,10,4,4,0,5,0,60,4,3,4,8,4,9,0,0,0,43,247,236,252,181,119,93,69,41,18,1258,0,3,0,3,6,3,4,0,0,24,0,0,0,3,3,5,0,0,0,7,3,3,9,3,0,0,0,0,0,20,3,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,255,257,271,201,137,109,76,42,18,1371,267,274,281,209,149,115,74,50,21,1424,12683,7100,8547,7536,6337,5869,3993,1454,506,54033
UCL212001,6028,3988,4274,3647,3794,3705,3145,1959,874,31412,3,3,0,3,0,3,3,3,0,27,15,42,38,31,56,49,40,10,16,294,109,215,227,151,166,195,165,89,35,1356,7,5,8,10,12,23,18,0,0,82,17,37,43,35,48,57,63,36,3,331,0,3,0,3,3,9,4,4,0,31,0,0,0,4,6,4,5,5,0,32,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,149,301,323,242,289,338,293,145,50,2132,148,303,323,247,289,344,295,149,49,2157,6173,4294,4596,3890,4080,4050,3437,2110,930,33565
UCL212002,9091,5479,5771,5384,5599,4970,3805,2357,1126,43594,8,11,14,10,3,3,4,9,3,70,9,24,10,9,26,26,7,4,0,122,224,313,296,255,220,202,141,100,45,1802,5,3,3,10,6,13,3,5,0,47,0,0,7,12,5,5,0,0,0,25,4,0,0,3,0,0,4,0,0,13,0,0,0,4,0,15,3,3,0,25,0,0,0,0,4,0,0,0,0,3,0,0,0,3,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,242,345,320,299,260,265,164,111,50,2060,253,360,332,306,267,264,168,119,53,2127,9342,5839,6102,5696,5866,5242,3974,2474,1179,45716
UCL212003,6616,4559,4166,4507,4858,3994,2497,1251,561,33006,6,0,0,3,0,0,0,3,5,20,3,4,3,0,0,3,3,3,0,22,123,130,118,90,53,73,49,27,22,684,0,0,3,3,5,3,0,0,0,19,0,0,3,0,0,0,3,0,0,9,0,0,0,0,5,3,0,0,0,14,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,127,136,130,94,71,84,56,35,25,758,128,136,131,94,73,84,63,36,33,775,6744,4693,4292,4607,4932,4080,2559,1292,587,33783
UCL212004,4856,2915,3345,2956,3056,2817,2044,1290,584,23864,5,5,0,3,7,3,0,3,0,27,3,3,7,3,12,10,4,3,0,49,98,181,196,126,111,122,98,103,59,1096,0,0,12,0,3,3,0,0,0,20,0,0,0,5,0,3,0,0,0,16,0,0,3,3,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,187,215,143,134,140,116,103,59,1199,104,195,215,143,144,146,119,105,62,1230,4961,3107,3560,3095,3204,2962,2155,1397,645,25095
