UCL_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL201001,1211,6258,83961,481141,318553,57192,10151,20006,978483,370,10222,76076,52890,10162,1037,236,4377,155370,225,2796,26676,54526,15226,2072,366,2074,103957,592,13017,102755,107410,25387,3110,600,6449,259326,1078,19624,46496,15366,1621,191,156,2831,87360,837,16048,26863,3788,215,47,51,1298,49142,2463,31022,47663,8787,517,62,112,2433,93048,7,97,127,67,14,0,3,17,329,4387,66790,121143,28009,2364,292,313,6581,229883,255,1544,1935,1175,386,66,27,340,5735,71,597,1168,1200,531,104,64,676,4412,6516,88207,310968,618943,347224,60767,11165,34052,1477840
UCL203001,58,524,6325,27805,11606,1597,364,1085,49368,29,1360,3348,1182,148,16,11,226,6320,4,139,476,602,102,3,0,32,1361,34,1502,3825,1786,249,22,12,255,7684,23,577,924,255,17,4,3,94,1891,3,33,68,3,0,0,0,5,107,0,46,93,32,7,3,3,8,186,0,0,3,0,0,0,0,0,4,30,654,1084,293,21,3,6,105,2189,11,82,109,75,71,15,7,17,399,0,10,47,63,24,3,0,15,170,138,2775,11388,30025,11979,1641,385,1472,59805
UCL211001,7,57,962,6048,3508,346,62,208,11197,0,182,902,222,10,0,0,51,1374,0,3,54,44,0,0,0,9,101,0,183,952,260,13,3,0,56,1478,0,60,222,26,3,0,0,18,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,222,26,3,0,0,18,329,3,18,6,3,11,0,0,3,44,0,0,8,3,3,0,0,3,24,16,320,2157,6342,3535,349,61,292,13075
UCL211002,24,242,3616,16100,7466,895,142,628,29115,13,697,1990,1554,402,27,12,156,4853,0,19,158,212,96,9,4,10,508,12,718,2147,1770,501,39,16,166,5361,15,315,559,165,10,3,7,48,1113,0,17,31,12,0,0,0,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,332,587,178,14,3,7,52,1187,0,8,16,23,6,0,0,6,59,0,26,31,41,22,3,0,21,154,54,1325,6398,18112,8011,938,169,868,35872
UCL211003,25,306,3773,16671,8347,961,151,674,30907,15,417,1626,551,49,4,0,136,2804,0,31,125,191,22,3,0,21,388,17,449,1752,736,69,5,0,161,3196,3,86,234,99,7,0,0,30,460,0,24,17,3,3,0,0,8,56,0,14,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,124,254,105,12,0,0,36,529,21,50,39,17,3,0,0,13,138,3,10,27,39,20,4,3,12,124,67,935,5846,17571,8452,970,157,895,34897
UCL211004,28,94,640,8156,5558,624,129,414,15639,7,123,621,878,332,12,3,73,2045,0,3,46,182,45,9,3,5,294,4,123,664,1059,376,27,5,78,2342,0,0,20,30,4,0,0,3,61,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,20,29,4,0,0,3,70,0,0,3,13,0,0,0,0,19,0,3,7,15,8,0,0,5,38,31,232,1338,9270,5946,650,134,492,18101
UCL212001,11,67,989,6000,2298,222,42,262,9891,7,121,865,528,17,0,0,82,1613,0,0,22,33,3,0,0,0,58,7,121,889,565,19,0,0,81,1678,4,196,633,75,0,0,3,64,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,196,633,75,0,0,3,64,979,8,24,14,9,0,0,0,12,66,0,8,11,16,6,0,0,8,53,30,412,2533,6666,2331,224,47,424,12667
UCL212002,23,131,1663,7952,3665,383,63,395,14275,10,302,1158,267,47,6,0,110,1904,0,6,42,28,9,3,0,7,97,10,313,1202,292,58,5,3,115,1993,0,39,52,5,0,0,0,17,112,0,10,13,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,62,4,0,0,0,18,142,9,48,20,11,3,0,0,9,96,0,6,9,10,4,0,0,3,29,34,554,2950,8270,3733,394,62,541,16531
UCL212003,6,32,342,5302,4063,601,83,163,10598,7,25,258,102,7,0,0,21,411,0,0,21,61,6,0,0,7,95,7,26,278,167,8,0,0,26,504,8,60,463,257,11,0,0,22,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,60,463,257,11,0,0,22,814,0,0,0,5,0,0,0,0,5,0,0,3,0,3,0,0,4,18,18,113,1090,5731,4090,601,83,214,11937
UCL212004,10,54,710,4750,2335,240,44,156,8295,11,68,267,102,8,0,0,22,485,0,7,10,24,3,0,0,0,46,11,79,283,123,9,0,0,25,528,4,175,383,85,3,0,0,33,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,175,383,85,3,0,0,33,677,0,19,34,7,0,0,0,5,61,0,7,14,3,3,0,0,16,46,24,327,1414,4971,2352,246,49,230,9605
