UCL_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
UCL201001,188,744,4142,17487,9046,7558,2666,1239,534,43607,5,45,73,377,294,283,233,158,80,1556,5,101,286,1036,269,199,79,21,8,2001,973,4192,7973,31238,12709,10220,8206,5588,2829,83923,6687,10561,15088,40782,16606,14601,12391,9014,5900,131630,130480,239991,279615,657772,280226,228049,167930,102445,53590,2140106,140,1105,3990,7881,1850,821,337,94,31,16255,239117,400356,371033,663078,302943,226902,144599,74840,39947,2462808,110,444,797,4748,703,344,95,12,6,7253,6,40,475,2774,1662,1472,724,490,79,7714,57,280,1237,5253,2711,2115,1017,364,134,13176,148,479,703,3463,1164,723,322,113,69,7189,37,93,170,2274,1462,1210,1209,350,85,6893,1248,5845,39512,62741,19614,14605,6434,3913,1431,155340,6,36,190,1499,2105,2649,3028,2582,516,12616,109,854,655,2456,1513,2346,2450,1421,601,12394,1007,6144,6542,27628,23231,20472,20289,11909,5133,122350,22,263,712,4046,2078,1464,729,326,81,9720,62,315,623,2863,894,529,540,255,122,6207,89,356,971,3525,2128,1949,5324,2971,1386,18711
UCL203001,0,5,22,96,32,24,7,3,0,188,0,7,3,9,15,21,24,10,10,86,0,0,4,25,7,0,0,3,0,47,16,78,127,379,179,199,225,216,125,1552,237,413,637,1295,762,720,610,544,377,5594,4732,8797,10898,21117,10403,9767,7721,5024,2996,81462,9,66,156,194,58,14,8,0,0,506,8978,15751,17991,31031,14879,13230,9057,4975,2770,118672,0,14,7,48,13,0,0,0,0,86,0,0,21,88,94,92,46,49,7,396,0,0,3,16,10,16,3,0,0,45,3,23,29,74,33,21,11,0,0,198,0,0,0,10,7,12,7,3,0,36,21,78,257,626,142,115,61,24,15,1332,0,3,20,108,171,205,301,279,59,1152,0,10,12,31,10,11,12,6,0,86,28,195,200,687,768,945,917,600,288,4624,0,4,8,50,20,7,4,0,0,91,0,4,11,52,17,15,12,5,4,121,0,5,22,73,44,100,352,164,104,876
UCL211001,0,0,0,6,0,0,0,0,0,11,0,0,4,0,6,0,3,0,0,11,0,0,0,5,0,0,0,0,0,12,9,23,27,95,27,36,49,41,15,336,65,95,140,325,153,173,146,91,21,1210,1272,2269,2173,4847,2286,2223,1640,886,374,17962,0,0,0,3,0,0,0,0,0,4,2387,4235,4082,7623,3666,3373,2223,1064,423,29081,0,0,0,6,3,0,0,0,0,16,0,0,0,4,5,3,7,3,0,19,0,0,0,3,0,0,0,0,0,3,0,0,8,10,0,7,3,0,0,28,0,0,0,0,3,0,0,0,0,8,0,0,12,36,16,8,11,3,0,78,0,0,0,3,13,17,27,32,12,105,0,0,0,3,0,0,3,0,0,10,6,15,31,94,131,110,134,74,17,625,0,0,5,14,7,0,0,0,0,23,0,0,0,0,5,3,8,0,0,24,0,0,5,12,20,45,110,46,28,260
UCL211002,0,6,6,27,6,5,0,0,0,53,0,0,0,0,5,0,5,9,3,25,0,0,3,11,3,0,4,0,0,26,5,30,52,136,60,48,37,46,19,430,159,272,413,797,480,431,437,307,136,3425,2956,5691,6640,12319,6189,5820,4804,2965,1560,48947,0,0,12,0,0,0,0,0,0,13,5733,10518,11556,19538,9603,8902,6714,3801,1781,78139,0,9,4,39,7,0,3,0,0,64,0,0,0,4,0,3,3,0,0,14,0,5,0,0,0,0,0,0,0,11,0,4,7,28,18,16,7,3,0,88,0,0,0,6,0,0,3,3,0,21,4,38,258,281,72,38,16,5,0,711,0,0,0,3,14,19,27,27,7,104,0,9,3,8,3,3,3,3,0,35,13,92,60,280,265,372,438,261,104,1899,0,4,9,21,10,10,3,3,0,66,0,3,4,17,8,3,4,0,0,39,3,3,6,24,21,41,112,32,29,272
UCL211003,0,4,3,25,4,4,0,0,0,41,0,0,0,0,0,3,4,3,0,12,0,0,3,12,0,0,4,0,0,20,4,13,29,85,33,32,26,21,12,250,159,292,385,845,435,454,397,327,196,3503,2967,5644,6456,12108,5846,5864,4583,2862,1619,47953,6,6,16,40,10,0,0,0,0,72,5652,10538,11214,19245,9294,9263,6906,4090,1970,78160,0,7,0,30,4,3,0,0,0,48,0,0,0,0,0,0,3,0,0,4,0,4,0,8,0,0,0,0,0,11,0,3,6,39,9,7,14,0,3,88,0,0,0,7,0,0,0,0,0,4,0,12,53,136,48,19,9,3,0,282,0,0,0,3,3,0,11,6,0,25,0,5,6,21,11,3,7,0,0,52,5,42,45,178,270,296,339,191,90,1452,0,10,7,23,15,3,0,0,0,53,0,0,0,9,3,3,9,3,0,26,0,3,4,16,18,38,63,20,14,185
UCL211004,4,3,4,91,19,12,3,0,0,144,0,4,0,4,3,8,8,3,0,23,0,0,3,15,3,4,0,0,0,32,12,107,191,511,193,132,101,41,10,1291,186,284,239,637,266,265,198,88,42,2202,2363,3906,3518,8333,3270,3197,2086,786,336,27791,0,0,0,5,0,0,0,0,0,3,4195,6449,5441,10593,3917,3596,2104,670,257,37229,0,11,4,55,10,8,3,0,0,89,0,0,12,54,29,13,8,0,0,117,0,0,0,8,0,3,0,0,0,16,0,4,0,25,13,3,3,0,0,47,0,3,13,28,24,17,24,7,0,113,3,7,11,83,35,23,9,3,3,177,0,0,7,17,33,48,35,17,8,167,0,29,14,22,11,33,25,11,9,147,0,17,41,165,308,362,369,220,64,1542,0,10,16,76,23,11,3,0,0,140,0,0,0,3,3,8,10,0,0,27,0,0,10,16,23,43,122,24,11,246
UCL212001,0,0,3,34,15,17,5,0,0,73,0,0,0,5,3,0,0,3,0,13,0,0,0,3,0,0,0,0,0,9,4,18,21,95,44,29,33,17,11,277,79,103,194,378,196,203,209,194,94,1663,1103,1972,2139,4367,2103,2066,1807,1217,578,17361,0,26,50,102,48,24,13,0,0,260,2008,3595,3487,6211,3038,3054,2437,1399,631,25857,0,3,0,14,5,4,0,0,0,26,0,0,0,4,0,0,0,0,0,5,0,3,4,13,6,9,0,0,0,35,0,0,7,6,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,27,48,11,8,9,4,0,107,0,0,0,0,3,12,10,15,6,46,0,0,0,6,0,0,3,0,0,11,3,4,29,73,93,83,115,52,25,477,0,0,0,14,0,0,4,0,0,28,0,0,7,3,3,0,0,0,3,22,0,0,3,13,3,3,52,6,4,83
UCL212002,0,0,0,3,7,0,0,0,0,13,0,0,0,0,0,0,0,3,0,4,0,0,7,10,3,0,0,0,0,16,11,65,104,203,66,60,24,20,7,557,119,187,215,525,268,258,256,168,131,2121,1566,2974,2917,6066,2979,2781,2230,1417,754,23678,3,69,221,321,104,33,9,3,0,755,2855,5122,4498,7768,4277,4019,3028,1785,798,34141,0,9,0,16,5,0,0,0,0,32,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,5,0,3,0,8,9,7,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,3,16,76,24,6,14,3,0,143,0,0,0,3,4,4,11,6,0,23,0,16,3,0,0,0,3,0,0,19,3,25,23,76,82,127,167,90,28,616,0,7,8,22,5,0,0,0,0,38,0,0,0,5,6,3,0,0,0,16,0,0,0,10,15,12,31,5,3,79
UCL212003,0,7,4,30,5,3,0,0,0,44,0,0,0,3,3,0,3,0,0,22,0,0,0,0,0,0,0,0,0,3,7,10,6,66,45,38,34,26,13,247,53,78,100,233,135,125,99,46,41,904,1133,2185,2323,4627,2656,2203,1418,748,384,17680,0,0,0,0,0,0,0,0,0,0,2155,4127,4222,7268,3732,3041,1623,758,359,27281,0,8,0,3,3,0,0,0,0,13,0,0,3,3,6,0,0,0,0,15,0,0,0,3,0,0,0,0,0,3,3,5,4,11,14,9,0,0,0,38,0,0,0,3,9,5,3,0,0,22,0,10,7,41,15,13,3,7,4,97,0,0,0,6,13,19,14,8,3,66,0,3,4,0,6,6,14,4,0,35,3,27,40,185,262,279,285,160,65,1315,0,0,3,21,17,16,10,3,0,64,0,0,0,3,12,0,3,3,3,25,0,0,0,10,21,41,73,31,13,189
UCL212004,0,0,0,13,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,7,0,0,0,3,3,0,0,0,0,9,0,17,15,50,21,9,9,18,7,161,36,98,127,277,143,141,135,126,100,1184,782,1649,1567,3493,1647,1599,1259,819,401,13219,0,0,0,0,0,0,0,0,0,0,1561,2980,2693,5433,2552,2323,1536,874,319,20278,0,6,0,14,10,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,11,0,0,3,5,8,4,3,0,0,30,0,0,0,0,0,0,3,0,0,5,0,4,9,49,15,11,3,0,0,96,0,0,0,0,0,0,3,3,0,11,0,0,0,7,0,3,3,0,0,18,8,15,14,48,90,106,151,93,41,559,0,0,0,11,0,0,0,0,0,14,0,0,0,4,0,3,0,0,0,10,0,3,0,4,9,21,58,27,9,132
