UCL_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
UCL201001,7603,2178,23530,10319,7639,7032,3315,5646,648,67923,171,164,207,221,198,191,190,414,77,1822,3855,5989,2137,2740,3785,1910,1438,1407,748,24005,2929,3466,4693,3147,3256,2840,2665,3521,5087,31613,200727,468146,184317,140724,171701,89068,48711,66631,21208,1391235
UCL203001,267,70,1037,437,260,271,113,278,37,2773,7,13,7,11,6,7,8,9,0,62,81,151,65,84,94,46,51,49,17,646,93,104,207,138,110,114,146,227,172,1311,5276,14077,7823,6412,5040,2962,1840,2930,654,46999
UCL211001,62,21,237,118,72,85,48,82,3,723,0,3,3,0,3,0,3,5,0,17,22,17,19,27,15,8,16,10,3,132,24,17,48,39,28,32,40,51,51,331,1122,2401,1921,1557,1223,678,571,689,159,10318
UCL211002,136,35,600,260,178,195,68,170,14,1649,0,4,3,6,3,8,3,6,0,31,56,95,41,56,61,16,22,27,11,387,52,53,110,76,51,83,63,100,88,669,3032,8274,4495,3578,2917,1696,913,1593,364,26854
UCL211003,135,47,621,249,167,182,58,190,12,1670,0,6,3,0,0,4,0,6,0,26,39,80,37,38,38,31,25,29,8,327,79,62,111,96,77,71,57,120,79,748,2890,7810,4596,3630,2802,1550,993,1826,315,26408
UCL211004,79,18,267,129,112,96,70,102,16,885,3,0,3,0,3,3,8,3,3,26,19,18,21,33,30,11,33,16,10,191,25,18,77,62,48,49,73,66,76,503,1158,2062,2616,2010,1719,828,1170,988,250,12800
UCL212001,71,17,221,76,61,69,23,75,9,617,3,0,3,0,3,0,6,3,0,20,13,19,11,17,5,5,7,11,3,94,30,22,43,36,24,55,39,53,45,342,941,2226,1300,1209,805,566,331,623,134,8134
UCL212002,89,20,287,105,80,101,42,108,3,832,0,3,4,0,0,0,0,11,0,15,20,32,18,10,17,11,7,17,0,140,33,32,54,38,30,52,38,91,69,438,1339,3188,1916,1579,1117,656,459,955,158,11363
UCL212003,59,17,214,104,95,93,44,62,3,679,0,0,0,0,0,0,3,6,0,13,13,28,17,29,40,13,18,7,5,169,26,24,40,22,35,24,31,23,23,250,1272,2492,2176,1481,1423,684,567,560,119,10770
UCL212004,41,11,180,76,69,65,17,47,4,517,0,0,0,0,0,0,0,0,0,3,13,10,16,6,14,8,0,4,4,83,19,13,38,28,17,14,13,36,23,206,781,1919,1552,902,890,363,340,460,124,7336
