UCL_CODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
UCL201001,156,478,477,507,1091,1265,558,1155,86,5765,179,83,58,53,285,653,389,1247,25,2970,1825,3099,3510,4426,30502,27776,15613,18368,940,106063,264,304,347,442,3605,4028,1888,2571,121,13563,2953,4465,5774,8815,20948,43685,17436,30020,1952,136047,712,1693,1734,1845,10108,12496,6281,8710,296,43872,1901,15191,9647,8156,17260,15381,8484,13333,1001,90357,1296,15781,11032,6390,8220,7334,4556,8917,1009,64538,1993,3363,4572,6204,13663,17122,9580,15039,1106,72641,500,1358,1127,1336,6497,8274,3349,4890,227,27558,939,1034,1292,1775,8994,16949,6142,10538,362,48027,276,946,826,961,2673,3987,2242,5259,159,17324,1729,5241,4389,5432,16575,33120,13131,24008,687,104315,765,4206,4807,4137,7282,6784,2890,4309,482,35667,1795,2186,1934,2510,13447,13519,7418,6556,442,49802,1031,8374,3984,4097,10211,10098,5359,9475,496,53136,1435,3929,4453,6848,11101,10847,5574,8188,548,52919,567,4535,2105,2247,3317,4072,1818,3302,245,22205,621,2589,2672,2773,8300,8998,4409,6599,445,37410,1384,4059,3743,3627,11464,12848,4391,8091,10891,60503
UCL203001,21,43,28,25,64,93,35,84,6,402,6,0,0,0,15,26,21,89,0,161,103,125,118,146,1056,1332,609,684,34,4197,21,12,12,22,192,154,94,114,10,638,155,187,210,329,909,1852,797,1262,67,5772,27,55,52,57,244,276,168,203,10,1100,100,630,346,339,689,595,363,531,39,3644,69,797,274,244,262,211,123,258,37,2264,103,105,134,186,329,503,354,601,34,2343,10,54,26,31,119,115,57,91,0,503,21,22,28,30,173,280,142,191,5,899,7,29,19,27,60,84,48,125,4,405,55,126,105,125,360,561,291,476,20,2130,25,185,137,97,166,157,65,95,17,948,96,113,72,103,547,619,299,269,19,2135,63,240,154,192,539,473,279,426,17,2380,82,174,213,351,443,426,234,315,27,2261,13,191,72,65,91,82,56,94,7,665,24,103,68,90,287,350,141,220,18,1299,48,120,94,111,285,368,128,242,336,1729
UCL211001,4,10,11,15,19,24,7,36,0,129,0,0,0,3,3,0,4,14,0,22,29,25,39,66,281,407,275,236,12,1382,3,3,0,3,37,20,15,26,0,99,39,35,28,67,187,322,169,303,6,1171,3,12,14,8,58,63,58,63,3,279,28,92,49,91,154,132,87,107,3,745,11,150,31,48,47,32,39,53,6,412,15,27,31,36,134,102,67,186,12,614,0,3,0,6,23,21,10,17,0,89,4,3,0,0,18,26,19,35,0,117,3,6,3,7,7,17,5,20,0,67,9,13,14,24,78,75,50,65,0,322,10,40,22,27,56,39,20,35,6,262,41,37,24,34,222,273,229,201,7,1072,6,43,23,23,82,61,43,41,0,315,12,32,43,74,107,73,29,46,3,416,4,15,9,9,9,10,3,7,0,66,16,13,13,23,91,82,65,59,12,370,9,25,15,17,69,92,41,60,74,396
UCL211002,13,31,20,36,54,59,51,94,3,366,15,6,10,11,19,22,50,123,0,257,43,74,67,85,615,637,430,412,16,2378,5,4,3,11,85,81,41,54,0,294,75,65,98,186,539,1050,446,667,53,3178,15,36,28,32,140,144,101,126,7,634,53,332,186,214,445,292,209,279,23,2037,40,465,150,148,155,109,107,153,18,1353,49,63,61,85,150,199,148,297,21,1080,14,39,19,25,137,101,120,81,0,540,9,13,7,21,57,98,49,70,3,335,3,13,3,4,34,50,46,90,4,257,29,79,62,88,183,345,174,235,8,1189,9,73,55,57,113,78,32,53,11,480,42,64,50,51,345,354,159,143,13,1226,41,161,95,105,303,247,193,274,12,1437,54,114,122,250,328,289,173,234,7,1565,14,103,43,47,69,53,39,48,6,416,18,62,45,65,178,150,93,118,5,743,30,59,42,53,145,161,59,112,175,837
UCL211003,7,45,33,67,121,92,63,104,9,539,18,8,5,10,27,55,102,280,3,512,74,91,82,103,730,617,401,366,32,2486,20,14,5,26,76,106,58,67,3,378,85,76,106,214,540,1051,468,609,50,3188,12,28,26,20,116,112,72,122,5,514,65,417,189,180,449,269,248,236,24,2075,39,429,137,131,148,88,81,166,23,1255,38,60,61,93,162,177,165,273,23,1054,8,24,10,16,95,58,38,50,0,299,21,22,14,28,204,186,129,129,3,731,6,13,10,16,35,39,31,75,4,222,21,57,39,56,180,226,135,185,3,897,19,80,61,60,115,82,33,66,3,512,69,40,52,73,323,338,210,147,11,1266,36,128,69,125,230,182,124,203,9,1102,67,117,123,227,333,308,133,212,10,1515,13,56,27,34,49,40,20,45,4,284,31,61,37,58,184,177,117,154,9,833,33,72,38,64,180,167,69,136,150,909
UCL211004,0,4,3,0,11,18,3,6,0,57,3,0,0,6,8,8,9,36,0,62,39,26,32,51,450,354,212,204,10,1380,9,3,0,7,55,62,24,55,4,223,49,60,74,128,389,699,281,382,28,2087,13,15,19,19,166,134,101,84,3,548,24,152,78,95,258,179,91,135,15,1032,8,165,64,40,72,51,37,45,10,495,50,54,66,142,340,469,268,503,32,1921,3,11,11,9,55,39,20,25,0,176,7,7,7,8,71,87,18,21,0,222,8,11,3,3,31,34,25,44,0,151,15,27,21,15,90,129,43,51,10,402,17,29,31,50,94,83,37,47,5,388,26,29,29,33,187,212,92,81,6,700,9,30,27,26,96,55,37,47,0,325,11,25,28,59,89,61,19,34,5,339,8,28,22,18,37,32,9,23,6,183,9,17,19,31,120,170,63,116,10,553,22,46,27,48,173,180,62,86,154,799
UCL212001,18,41,36,59,92,130,50,139,7,572,4,0,0,0,3,11,12,58,3,96,15,13,14,18,140,172,97,108,3,575,0,5,0,5,35,43,14,23,0,125,11,20,15,58,135,235,113,153,14,739,6,12,9,4,67,68,51,63,0,284,16,131,67,83,195,108,72,87,9,755,11,105,64,42,105,50,27,68,7,493,19,25,17,20,52,87,56,155,10,442,3,8,4,0,31,24,7,12,3,98,0,3,4,4,19,39,12,28,0,111,0,0,4,3,23,16,3,19,0,68,5,10,3,18,47,62,38,67,0,256,4,35,27,25,58,55,22,38,5,271,25,14,12,15,94,111,68,41,0,384,5,29,13,23,86,57,45,75,3,338,16,36,26,42,114,94,48,41,5,421,3,26,7,12,21,11,12,4,0,97,3,15,12,15,79,84,25,49,4,291,25,30,14,23,60,69,27,42,78,377
UCL212002,18,29,40,61,96,129,62,93,13,558,0,0,0,0,4,10,9,11,0,35,38,37,29,72,386,339,245,229,17,1380,12,7,9,16,94,83,65,42,3,325,34,36,47,71,255,464,178,250,25,1364,11,17,14,10,62,84,41,63,3,311,23,169,69,88,230,145,98,156,8,979,21,154,41,39,51,56,37,82,8,490,24,47,35,38,88,115,70,196,6,622,8,11,3,9,29,30,14,16,0,124,3,4,4,9,32,38,26,38,3,147,4,5,6,3,21,18,8,30,3,102,6,21,13,23,90,99,55,84,0,390,6,33,23,42,53,59,29,36,7,276,26,16,4,23,104,115,59,52,0,405,9,43,31,40,115,90,67,74,3,473,28,35,48,88,132,161,80,70,8,657,5,28,6,4,10,8,7,11,3,96,10,27,27,22,122,134,62,75,6,486,16,46,22,37,93,95,32,74,126,540
UCL212003,0,3,0,3,8,13,3,11,0,53,3,0,0,0,11,8,0,19,0,41,13,18,21,26,213,241,126,184,3,856,3,6,0,0,36,49,13,38,0,149,28,36,43,78,237,594,235,421,17,1703,6,9,8,12,68,89,64,73,6,331,15,123,65,67,134,124,79,83,11,699,14,147,47,43,56,39,24,50,4,416,35,30,45,91,252,297,222,304,17,1293,4,4,5,4,39,32,18,23,0,132,5,6,4,14,50,66,37,45,0,217,3,3,5,8,20,20,20,38,0,117,5,26,15,31,65,130,62,79,7,417,4,30,30,28,39,52,16,27,0,225,25,24,18,21,174,174,88,77,3,614,11,32,24,29,73,64,44,56,3,338,7,10,22,25,74,54,24,33,3,251,0,50,12,17,25,35,11,19,0,168,14,22,12,22,76,103,52,86,4,392,10,22,9,14,85,99,39,45,57,393
UCL212004,3,6,4,8,11,19,20,49,3,128,8,3,3,6,49,22,25,71,0,188,25,8,22,16,212,155,197,110,5,755,36,13,14,16,192,116,88,95,3,571,31,29,29,52,103,305,100,255,4,906,5,4,0,3,28,23,24,38,0,129,24,99,34,37,104,76,48,91,9,511,15,108,38,36,33,30,24,44,5,337,10,20,10,12,39,53,44,76,3,270,3,5,0,4,12,16,9,7,0,55,4,0,0,4,18,23,13,25,0,84,0,3,0,7,3,13,12,19,0,56,9,14,6,13,49,55,22,58,0,234,4,11,7,10,31,22,16,13,3,123,17,22,10,25,116,94,65,46,3,387,4,21,8,12,36,40,24,47,0,202,8,21,18,40,72,76,42,44,3,324,0,18,0,4,11,3,4,3,0,51,3,12,7,13,53,63,22,41,3,218,6,15,11,9,37,42,20,44,55,231
