UCL_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
UCL221003,51,942,449,180,943,0.7,750,2.1
UCL221004,37,1200,662,260,1639,0.8,1388,2.6
UCL221005,42,1800,702,265,2098,0.8,2032,3.4
UCL221006,47,650,498,137,1205,0.7,894,2.3
UCL221007,41,1394,603,230,1514,0.8,1130,2.3
UCL221008,47,1083,497,195,1444,0.8,1006,2.2
UCL221009,56,650,465,150,1095,0.7,855,2.1
UCL221010,38,1092,568,245,1294,0.8,1065,2.4
UCL221011,44,1083,493,223,1190,0.8,900,2.2
UCL221012,40,1614,768,265,1854,0.8,1692,2.9
UCL221013,41,1300,698,175,1762,0.9,1672,3.2
UCL221014,40,1517,661,285,1895,0.8,1554,2.7
UCL221015,52,1200,537,243,1183,0.7,880,2.1
UCL221016,34,1593,667,255,1656,0.7,1493,2.9
UCL221017,44,1083,487,190,1221,0.8,985,2.5
UCL221018,55,780,454,153,1009,0.7,754,1.9
UCL221019,51,1083,455,200,1053,0.7,819,2.1
UCL221020,56,650,471,126,1074,0.7,774,1.9
UCL221021,54,1300,464,260,1028,0.7,893,2.2
UCL221022,57,981,453,240,912,0.6,730,1.9
UCL221023,45,1070,582,138,1431,0.8,1031,2.2
UCL221024,57,758,424,153,782,0.7,607,1.8
UCL221025,56,1300,545,240,1217,0.7,1062,2.2
UCL221026,47,1300,491,250,1239,0.8,936,2.3
UCL221027,57,636,488,140,1116,0.6,818,1.8
UCL221028,56,1020,465,218,1059,0.7,787,1.9
UCL221029,53,964,477,175,1077,0.7,771,2
UCL221030,58,2000,820,400,1843,0.7,1553,2.3
UCL221031,37,1419,712,255,1853,0.8,1568,2.7
UCL221032,52,1083,463,250,972,0.8,749,2
UCL221033,43,1733,646,128,1854,0.8,1437,2.8
UCL221034,44,1300,567,260,1478,0.8,1215,2.5
UCL221035,56,667,498,120,1116,0.6,825,2
UCL221036,35,1993,704,345,2083,0.9,2032,3.5
UCL221037,53,737,439,175,1081,0.7,779,2
UCL221038,41,1419,647,250,1691,0.9,1418,2.8
UCL221039,50,650,497,115,1300,0.7,949,2.1
UCL221040,40,1517,617,298,1611,0.8,1350,2.6
UCL221041,37,1794,659,271,1866,0.9,1571,2.8
UCL221042,47,964,583,180,1338,0.8,1060,2.3
UCL221043,51,1307,529,250,1039,0.7,935,2.2
UCL221044,38,1480,584,248,1528,0.8,1368,2.9
UCL221045,63,700,402,150,771,0.6,606,1.6
UCL221046,58,1083,467,180,1077,0.7,759,1.9
UCL221047,45,1300,599,300,1490,0.7,1237,2.3
UCL221048,28,1649,776,320,1713,0.8,1580,2.9
UCL221049,39,2000,651,190,2018,0.9,1924,3.1
UCL221050,58,1300,573,260,1194,0.7,1018,2.1
UCL221051,37,1800,721,320,2071,0.9,1991,3.2
UCL221052,51,1083,489,188,1093,0.8,841,2.3
UCL221053,49,758,481,155,1119,0.7,868,2.1
UCL221054,42,1625,660,273,1841,0.8,1562,2.7
UCL221055,46,1517,566,210,1388,0.8,1218,2.5
UCL221056,59,1213,494,300,1092,0.7,922,2.2
UCL221057,51,1134,510,220,1079,0.7,850,2.1
UCL221058,39,1473,561,300,1433,0.8,1335,2.8
UCL221059,45,1300,606,265,1360,0.7,1149,2.3
UCL221060,65,1300,472,185,1067,0.7,824,1.8
UCL221061,41,1202,581,200,1312,0.9,1021,2.2
UCL221062,55,867,452,175,970,0.7,770,2
UCL221063,53,640,450,128,972,0.7,775,2
UCL221064,34,1517,712,320,1630,0.9,1511,2.8
UCL221065,39,1247,608,220,1375,0.8,1180,2.4
UCL221066,39,1083,579,198,1449,0.8,1158,2.5
UCL221067,42,1200,591,250,1301,0.7,983,2.3
UCL221068,48,1083,514,193,1281,0.7,1014,2.1
UCL221069,39,1733,668,310,1757,0.8,1634,2.9
UCL221070,48,1083,560,215,1183,0.7,971,2.2
UCL221071,36,1733,829,390,2337,0.9,2195,3.2
UCL221072,55,1237,527,280,1347,0.7,996,2
UCL221073,58,1349,561,250,1271,0.6,1029,2.2
UCL221074,58,1000,443,218,821,0.6,677,1.8
UCL221075,55,1060,459,200,1044,0.7,820,2.1
UCL221076,45,1517,635,283,1529,0.8,1260,2.2
UCL221077,56,672,439,130,938,0.7,664,1.8
UCL221078,49,1700,572,310,1328,0.8,1030,2.1
UCL221079,39,1733,619,180,1770,0.8,1337,2.7
UCL221080,55,650,451,120,956,0.7,770,1.9
UCL221081,48,1517,614,270,1544,0.8,1189,2.3
UCL221082,40,1127,555,220,1375,0.8,1171,2.4
UCL222001,46,1733,820,0,2050,0.7,1916,2.9
UCL222002,46,2000,738,380,1962,0.7,1740,2.6
UCL222003,36,1365,658,193,1687,0.9,1375,3
UCL222004,28,0,833,0,0,0,0,0
UCL222005,47,1119,514,178,1187,0.7,888,2.3
UCL222006,49,1509,653,265,1602,0.7,1473,2.4
UCL222007,50,1047,535,180,1416,0.8,1263,2.3
UCL222008,44,1300,685,245,1517,0.8,1194,2
UCL222009,53,975,503,180,1270,0.7,860,2
UCL222010,45,1794,707,270,1921,0.7,1946,3
UCL222011,37,1430,624,250,1721,0.9,1649,3.2
UCL222012,53,1500,598,260,1593,0.6,1268,2.3
UCL222013,54,1400,552,275,1170,0.7,988,2.1
UCL222014,54,2000,711,369,1766,0.7,1485,2.3
UCL222015,40,1733,725,266,1607,0.8,1418,2.6
UCL222016,39,1600,697,285,2042,0.8,1702,2.8
UCL222017,35,1213,555,240,1156,0.7,947,2.2
UCL222018,36,1409,603,245,1413,0.8,1273,2.7
UCL222019,49,747,450,100,955,0.8,783,2.2
UCL222020,57,650,444,140,885,0.7,695,1.9
UCL222021,37,1762,917,365,1949,0.8,1875,2.7
UCL222022,45,1520,643,188,1763,0.8,1625,2.7
UCL222023,41,1040,578,200,1437,0.8,1170,2.4
UCL222024,54,1116,471,125,1181,0.8,891,2.1
UCL222025,38,1300,586,260,1489,0.8,1346,2.8
UCL222026,31,1625,796,289,2041,1,1471,2.1
UCL222027,48,1019,530,210,1145,0.6,927,2.2
UCL222028,43,1408,689,300,1600,0.8,1433,2.8
UCL222029,46,1138,565,228,1350,0.7,1138,2.2
UCL222030,58,761,395,180,790,0.7,661,1.7
UCL222031,39,1138,521,200,1355,0.8,1258,2.6
UCL222032,42,1300,609,210,1805,0.8,1388,2.6
UCL222033,52,437,397,83,850,0.7,732,1.9
UCL222034,50,1083,488,210,1013,0.8,900,2.2
UCL222035,49,737,492,120,1199,0.7,885,2.1
UCL222036,44,1231,689,200,1399,0.8,1191,2.2
UCL222037,49,1083,619,200,1406,0.8,1125,2.3
UCL222038,41,1250,510,253,962,0.7,833,2.2
UCL222039,55,467,393,128,778,0.7,665,1.9
UCL222040,45,750,467,170,1093,0.6,752,2.2
UCL222041,40,1105,626,200,1575,0.6,1199,2.2
UCL222042,41,1300,747,243,1944,0.8,1797,2.9
UCL222043,40,1600,715,260,1713,0.9,1604,3
UCL222044,49,1517,523,250,1346,0.7,1021,2.2
UCL222045,44,1083,503,190,1297,0.8,1083,2.3
UCL222046,53,650,527,130,1213,0.6,877,2.1
UCL222047,46,1285,575,220,1327,0.7,1076,2.3
UCL222048,52,1062,439,193,1007,0.7,852,2.2
UCL222049,55,655,467,106,942,0.6,669,1.8
UCL222050,43,1408,658,370,1613,0.8,1527,2.7
UCL222051,49,943,474,175,991,0.8,866,2.3
UCL222052,53,796,453,150,1055,0.6,700,2.1
UCL222053,53,558,462,130,1100,0.7,857,2
UCL222054,56,1102,549,300,1187,0.7,979,2.2
UCL222055,55,1500,557,200,1597,0.7,1133,2.2
UCL222056,57,1105,517,280,1176,0.7,881,2
UCL222057,46,1257,540,220,1312,0.8,1047,2.3
UCL222058,40,1232,529,230,1194,0.8,1025,2.6
UCL222059,43,888,473,180,1260,0.8,946,2.5
UCL222060,41,1300,677,240,1387,0.7,1138,2.4
UCL222061,60,510,438,120,900,0.7,672,1.9
UCL222062,31,0,845,240,2625,1,1375,2.2
UCL222063,46,1200,745,235,1542,0.7,1273,2.2
UCL222064,27,0,859,462,1812,1,1375,2.2
UCL222065,44,1083,516,102,1087,0.7,860,2.2
UCL222066,49,650,537,110,1270,0.8,875,2.2
UCL222067,36,1668,655,0,2083,0.8,1850,3.2
UCL222068,53,779,628,140,1287,0.7,980,1.9
UCL222069,54,1305,575,260,1355,0.7,1166,2.2
UCL222070,37,1946,843,360,2206,0.8,2125,3
UCL222071,40,1733,654,250,1542,0.9,1437,3
UCL222072,47,1083,484,187,1437,0.7,1107,2.7
UCL222073,54,851,495,180,1266,0.7,918,2.1
UCL222074,48,585,432,160,787,0.7,719,2.2
UCL222075,46,1092,481,180,1083,0.7,900,1.9
UCL222076,39,1478,655,260,1680,0.8,1416,2.6
UCL222077,48,1950,791,291,2250,0.8,1968,3
UCL222078,54,713,489,150,1257,0.7,930,2.1
UCL222079,42,1228,482,245,1262,0.8,1089,2.4
UCL222080,60,979,466,200,1062,0.6,774,1.8
UCL222081,39,1849,762,240,2041,0.7,1624,2.4
UCL222082,44,1018,483,290,1091,0.9,929,2.5
UCL222083,42,1380,495,280,1270,0.8,1194,2.7
UCL222084,48,650,486,125,1184,0.8,794,2.1
UCL222085,58,509,441,75,825,0.6,630,1.7
UCL222086,54,640,451,70,1053,0.7,746,2.1
UCL222087,44,726,479,163,1023,0.8,779,2.2
UCL222088,47,2000,738,410,1766,0.8,1573,2.6
UCL222089,59,1497,536,270,1156,0.6,919,2
