UCL_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
UCL201001,106,42,21,43,11,126,0,126,50,8473,107,9104,28,80,14,32,0,60,11,350,57,2875,46,3539,15,112,3,33,4,99,9,775,55,1723,26,2857,11,14,0,11,0,109,3,642,48,870,6,1726,58,377,31,91,4,319,39,1382,141,12493,181,15122,65,433,20,185,13,926,45,2207,210,4032,66,8195,238,1296,94,469,39,2312,120,3072,293,30823,498,39253,360,1649,83,1178,87,4337,131,3625,399,11850,180,23882,1092,2601,139,3544,200,5765,223,3294,466,12850,198,30375,3529,2263,202,6141,369,4677,258,2385,361,8470,189,28846,3963,1121,128,5403,306,4122,172,1375,253,2743,62,19660,6830,1095,190,5303,442,3425,201,1079,217,3008,77,21864,22432,1581,428,9280,997,5435,327,1548,347,3888,111,46376,18412,817,300,6327,790,1987,188,814,156,1820,51,31666,12500,443,197,3182,515,878,98,359,64,1024,30,19288,8173,199,124,1188,303,1977,44,343,82,703,18,13161,15004,971,298,4309,589,2598,151,1167
UCL203001,6,3,0,0,0,3,0,0,0,170,0,182,0,3,0,0,0,3,0,6,0,83,0,98,0,8,0,0,0,3,0,28,4,63,3,103,0,0,0,0,0,0,0,13,0,40,0,53,3,24,4,3,0,10,4,67,3,621,3,742,3,27,0,12,0,31,3,88,3,200,0,371,6,55,4,31,3,91,5,177,19,1673,37,2099,18,77,4,60,3,183,10,212,13,661,6,1252,37,110,4,171,12,229,9,171,23,689,13,1472,154,126,7,301,22,170,8,127,17,427,8,1370,162,50,7,265,16,135,11,46,5,125,0,833,261,48,11,273,19,130,11,43,3,120,0,926,859,70,18,437,39,151,15,59,7,149,8,1806,592,28,14,300,31,50,12,32,8,43,3,1114,325,8,5,101,14,31,4,15,0,31,0,543,184,9,4,33,12,36,0,6,7,20,0,315,247,25,8,141,13,62,3,30
UCL211001,0,0,0,0,0,0,0,0,0,26,0,28,0,0,0,0,0,0,0,6,0,26,0,27,0,0,0,0,0,0,0,3,0,8,0,12,0,0,0,0,0,0,0,3,0,6,0,7,3,3,0,0,0,3,0,15,0,107,0,132,0,3,0,5,0,6,0,20,0,44,0,85,0,14,0,0,0,24,0,45,3,375,7,466,7,15,3,15,3,53,0,48,5,146,0,295,12,36,5,69,0,52,0,41,6,153,4,376,50,19,0,101,7,52,6,30,3,84,0,362,65,8,0,77,0,33,5,10,4,41,0,249,79,9,0,67,9,38,0,9,0,26,0,244,240,19,4,117,14,39,7,14,6,20,3,482,123,6,6,62,8,16,0,4,0,10,0,239,70,0,0,20,4,10,0,0,0,5,0,115,23,0,0,3,0,3,0,0,0,0,0,38,34,0,0,13,0,6,0,0
UCL211002,3,0,0,0,0,3,0,4,0,74,7,94,0,0,0,0,0,0,0,7,0,45,0,56,0,4,0,0,0,0,0,13,0,37,0,57,0,0,0,0,0,0,0,9,3,27,0,43,0,10,3,5,0,9,0,41,3,296,3,368,4,12,0,8,0,12,4,58,8,128,3,234,3,40,4,19,0,44,0,107,15,1108,19,1366,12,48,0,48,4,106,3,112,13,420,3,767,42,77,0,110,7,128,5,116,14,409,3,909,109,59,3,210,11,115,5,79,12,257,9,867,131,25,4,185,8,101,8,34,4,76,0,576,181,20,3,162,17,86,8,24,7,63,0,571,495,52,17,235,30,105,6,26,11,83,3,1052,308,14,8,142,18,20,7,11,3,33,3,567,171,3,5,67,6,4,0,0,0,11,0,279,94,0,5,18,3,19,0,5,0,8,0,151,117,12,6,75,9,21,3,16
UCL211003,0,0,0,0,0,3,0,4,0,66,0,72,3,3,0,0,0,0,0,7,3,43,0,62,0,0,0,3,0,4,0,13,0,30,0,48,0,0,0,0,0,0,0,3,0,11,0,20,4,7,0,3,0,8,0,36,7,299,6,366,0,13,0,6,0,12,0,63,8,111,4,225,7,39,0,18,0,56,6,101,12,1085,9,1330,14,52,8,53,0,103,6,132,17,429,4,817,31,62,6,146,5,142,16,119,14,466,16,1015,151,68,0,231,15,100,7,66,16,308,0,972,128,19,5,180,13,91,4,30,5,67,0,555,193,38,11,133,12,48,8,24,5,76,0,556,456,34,6,279,35,96,13,44,6,91,0,1057,289,23,10,141,23,26,3,14,4,32,3,568,183,6,5,73,5,8,7,8,3,16,0,309,72,6,3,22,3,19,0,4,0,5,0,136,90,13,5,73,5,33,3,12
UCL211004,0,0,0,0,0,3,0,4,5,56,0,70,0,3,0,0,0,0,0,3,0,18,0,25,0,0,0,0,0,4,0,9,0,22,0,33,0,0,0,0,0,0,0,4,0,3,0,6,0,4,0,0,0,4,0,17,0,160,3,187,0,3,0,4,0,12,0,28,7,59,0,113,7,12,0,11,3,40,0,49,5,513,4,639,8,20,0,13,0,88,3,49,7,137,0,322,15,30,0,41,3,117,3,39,4,168,0,424,60,16,3,118,7,109,0,34,7,77,0,433,66,15,5,84,14,71,4,16,6,12,0,279,127,10,8,65,9,59,6,10,3,16,0,311,287,13,8,115,17,67,3,3,0,16,0,529,155,7,6,47,15,10,0,3,0,4,0,245,79,3,4,28,3,9,0,0,0,3,0,125,34,3,0,8,0,13,0,3,3,0,0,58,23,0,0,20,3,4,0,3
UCL212001,0,0,0,0,0,3,0,0,0,47,0,49,0,0,0,0,0,3,0,3,0,17,0,24,0,0,0,0,0,0,0,4,0,11,0,18,0,0,0,0,0,0,0,3,0,8,0,14,0,0,0,4,0,0,0,14,0,128,9,161,0,7,0,0,0,10,0,14,3,47,0,88,10,17,3,13,0,28,0,28,3,496,9,600,8,11,0,24,0,41,0,42,5,154,3,288,25,17,0,50,0,57,0,31,7,164,4,356,73,20,0,99,9,36,6,14,7,106,0,366,56,3,0,53,3,32,4,6,3,15,0,177,81,19,6,53,7,19,3,9,4,19,0,210,199,10,0,84,12,27,3,7,3,29,0,370,94,3,3,43,3,9,3,3,0,8,0,172,58,9,4,19,3,3,0,0,0,0,0,90,18,0,0,5,0,6,0,0,0,0,0,40,29,7,0,19,0,6,0,0
UCL212002,0,0,0,0,0,0,0,0,0,62,0,63,3,0,0,0,0,0,0,3,0,23,3,30,0,0,0,0,0,0,0,3,0,17,0,25,0,0,0,0,0,0,0,4,0,13,0,14,5,4,0,3,0,3,0,9,0,174,9,202,0,5,0,3,0,12,3,29,0,56,3,124,6,12,0,12,0,28,3,48,8,556,11,675,7,14,0,17,3,55,0,42,10,185,3,332,25,29,4,69,5,82,3,50,10,196,0,466,79,12,3,100,4,53,3,34,3,105,4,409,66,18,5,72,0,42,4,13,4,18,0,255,114,23,0,68,9,26,3,7,3,33,0,287,224,8,3,115,9,40,3,15,0,38,0,469,156,11,3,84,8,22,3,9,3,11,0,305,73,3,0,20,6,0,0,4,0,7,0,120,25,0,0,4,0,11,0,0,0,4,0,50,37,8,3,28,0,15,0,9
UCL212003,0,0,0,0,0,0,0,0,0,40,3,40,0,0,0,0,0,0,0,3,0,9,3,21,0,3,0,0,0,0,0,0,0,12,0,17,0,0,0,0,0,0,0,8,0,8,0,9,3,3,0,0,0,0,0,15,0,92,5,118,0,0,0,0,0,0,0,14,0,38,0,63,0,3,0,3,0,14,3,26,3,266,11,327,3,10,0,6,0,32,0,27,3,127,0,213,7,14,0,27,3,55,0,38,3,151,0,306,38,14,0,59,6,49,0,18,4,85,0,271,37,8,0,60,0,43,0,17,0,16,0,189,63,7,0,65,5,38,0,12,3,23,0,220,222,13,6,89,8,53,8,12,8,21,0,439,168,0,7,63,10,19,0,9,0,14,0,290,75,0,0,24,4,3,0,0,0,5,0,117,47,3,0,3,3,21,0,0,0,0,0,83,40,4,0,17,4,10,0,4
UCL212004,0,0,0,3,0,0,0,0,0,18,0,22,0,0,0,0,0,0,0,0,0,10,0,14,0,0,0,0,0,0,0,9,0,4,0,11,0,0,0,0,0,0,0,5,0,10,0,12,0,4,0,0,0,0,0,11,0,76,0,93,0,0,0,3,0,9,0,14,0,35,0,68,3,8,0,3,0,10,5,35,3,276,10,350,4,13,0,11,0,31,0,32,10,110,0,209,8,11,0,25,0,37,4,18,0,113,0,211,30,16,0,55,3,38,4,24,12,80,8,254,30,8,0,46,0,28,0,6,0,17,0,140,47,3,0,45,4,19,0,3,3,21,0,149,127,5,0,87,12,45,4,11,9,26,0,314,98,0,0,62,3,13,3,3,0,6,3,198,67,0,0,35,5,4,0,0,0,3,0,117,31,0,3,10,6,19,0,0,0,0,0,63,54,6,0,32,0,11,0,6
