UCL_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
UCL201001,1353,3607,9267,8083,7997,4700,1401,330,117,36847,42691,93822,242586,209920,197250,121420,25394,2113,396,935589,227,795,2110,2038,2059,1377,531,147,23,9302,11,111,978,1167,989,595,138,13,7,4002,3359,8677,30780,38173,39578,25326,4918,445,57,151318,127,974,5890,5528,4329,2436,422,23,9,19735,4708,16610,44436,36300,31303,18009,3823,353,62,155607,1093,4541,16073,18173,17527,10304,2238,241,34,70222,22678,37556,47980,34791,32114,20308,5131,519,64,201144,27078,28378,34102,17229,13442,7915,1576,173,26,129917,852,5636,23253,22854,23179,15880,3525,230,31,95450,1125,3374,13083,12609,8971,4296,765,64,19,44297,397,5123,28544,27557,18811,8870,2026,231,70,91620,573,3104,10059,7856,6666,4153,1494,252,41,34195,1180,12289,57333,50401,35004,20407,6911,821,100,184452,1062,6608,19317,15958,14931,10142,2806,282,31,71125,772,4698,22663,25483,24959,16149,3387,368,40,98519,3778,11861,40811,39386,39499,29619,6388,498,64,171909,2167,16318,61696,54679,53999,39875,9524,760,101,239115,4174,6778,11103,7889,6014,3567,1213,191,32,40972
UCL203001,69,123,185,186,191,142,47,13,6,961,2176,3956,7558,7052,7314,5186,926,70,25,34262,18,58,119,109,123,85,29,21,4,562,3,4,41,38,48,35,3,0,0,176,191,456,1075,1189,1336,956,127,9,3,5348,7,65,260,213,224,118,12,0,0,903,241,853,1846,1421,1095,757,139,18,5,6370,41,157,317,359,355,266,50,3,0,1559,1064,1625,1961,1459,1347,979,203,16,3,8661,1526,1307,995,591,470,341,90,8,0,5337,37,156,560,585,731,607,133,8,0,2820,60,94,208,190,150,117,22,0,0,850,12,119,575,560,499,220,45,10,3,2046,12,91,217,191,160,129,44,7,0,855,37,292,965,1002,781,542,162,18,3,3797,32,153,411,475,523,390,113,8,0,2104,33,213,882,1032,1120,757,147,21,0,4217,113,450,1596,1705,1712,1347,226,12,0,7157,106,888,2532,2347,2676,2102,384,21,3,11055,159,212,220,220,183,115,53,4,0,1170
UCL211001,16,18,38,46,36,28,9,0,0,193,545,719,1756,1553,1647,1194,188,12,3,7624,10,18,31,27,34,31,11,3,0,164,0,0,11,5,11,3,0,0,0,30,63,161,413,376,411,269,23,0,0,1713,7,5,27,15,39,22,0,0,0,120,66,183,380,272,228,157,47,4,0,1343,13,22,81,83,87,60,15,0,0,370,237,247,405,326,327,225,57,6,0,1835,366,201,226,124,113,76,13,3,0,1128,9,41,133,158,193,161,51,0,0,756,9,17,36,36,25,12,0,0,0,140,3,21,80,77,72,47,3,0,0,305,8,11,41,31,37,21,5,0,0,168,17,42,135,138,144,90,30,3,0,594,18,40,103,112,125,115,25,7,0,541,51,208,420,394,411,225,40,0,0,1748,21,60,303,279,285,239,30,3,0,1225,47,182,554,518,569,480,72,6,0,2416,28,13,36,23,27,14,0,0,0,138
UCL211002,43,43,75,92,110,86,26,7,3,485,1327,2337,4291,4166,4374,3086,516,43,7,20146,22,51,95,89,94,56,45,18,0,467,3,18,76,80,88,39,0,0,0,297,132,232,583,802,831,531,72,4,3,3180,3,25,77,95,104,67,8,0,0,380,168,531,1055,666,621,432,71,7,3,3541,35,64,158,188,198,132,35,7,0,820,650,851,996,752,750,561,123,9,3,4688,925,758,572,392,322,224,56,3,3,3258,17,65,254,266,343,327,94,14,0,1374,33,86,247,220,167,100,17,0,0,870,0,55,160,169,188,108,24,3,0,711,7,57,125,91,104,72,27,3,0,488,30,227,609,546,406,250,85,13,0,2166,23,92,203,219,253,200,30,9,0,1027,31,114,546,652,614,448,67,5,3,2480,77,303,950,1080,1104,850,153,4,0,4519,63,552,1622,1492,1628,1347,208,16,3,6923,85,157,182,137,135,90,38,5,0,826
UCL211003,39,54,86,99,84,80,34,9,3,493,1356,2336,4294,3985,4209,3234,554,38,16,20020,25,63,153,133,136,136,58,14,0,718,3,50,190,152,132,45,5,0,0,583,161,453,830,666,747,526,82,9,0,3473,3,27,136,104,144,82,15,0,0,509,129,499,1039,716,641,447,78,10,0,3561,24,61,148,157,160,106,24,4,0,683,715,892,918,760,760,584,140,15,0,4780,928,699,518,321,277,199,40,3,0,2973,16,62,174,248,357,340,97,3,4,1295,16,52,127,116,89,64,17,0,0,489,11,110,430,485,365,198,38,0,0,1643,9,34,107,89,101,78,25,3,0,440,27,138,454,418,316,258,72,5,0,1698,23,84,229,241,278,242,46,8,0,1159,16,110,471,589,637,496,85,11,3,2419,61,263,794,869,893,689,128,7,3,3698,92,581,1571,1411,1616,1465,227,20,3,6980,63,93,100,101,81,78,32,4,0,564
UCL211004,18,65,98,98,84,52,6,3,0,421,636,1071,2547,2163,1978,1418,190,12,4,10024,0,0,28,31,21,16,4,0,0,107,0,3,17,18,20,12,3,0,0,74,55,115,418,473,398,304,45,3,0,1821,0,32,86,63,63,43,6,0,0,302,136,355,667,537,393,211,33,0,0,2337,3,52,217,197,177,119,23,6,0,793,292,408,601,482,417,288,59,3,0,2555,431,223,244,153,118,90,17,0,0,1283,24,145,628,619,573,450,78,0,0,2511,20,20,99,74,34,26,3,0,0,281,3,43,210,152,101,66,11,0,0,578,10,34,95,72,61,34,8,0,0,316,26,64,258,195,135,107,21,0,0,800,13,78,191,196,189,129,19,0,0,825,10,59,295,321,303,242,57,0,0,1292,29,92,376,339,266,254,35,0,0,1388,24,207,610,564,522,388,65,0,0,2381,33,62,78,82,60,37,7,0,0,360
UCL212001,12,13,40,48,38,31,15,0,0,198,435,670,1441,1330,1418,1078,220,16,3,6619,13,79,201,156,148,111,35,13,0,758,0,6,32,28,23,16,4,0,0,102,34,60,179,189,190,115,26,3,0,781,0,9,30,32,43,39,7,0,0,156,42,98,242,165,151,110,16,0,0,833,23,36,95,79,65,62,14,0,0,376,281,248,373,277,306,266,52,3,0,1803,261,206,258,140,119,113,36,3,0,1135,6,38,92,111,141,138,36,0,0,556,18,20,37,37,32,12,4,0,0,165,0,15,60,58,59,35,0,3,0,238,0,8,41,43,31,25,10,0,0,160,16,40,141,115,93,73,32,5,0,512,13,57,139,119,140,125,20,0,0,612,6,40,159,200,191,154,41,5,0,792,13,71,255,301,300,227,43,0,0,1216,27,173,464,415,454,386,73,3,0,1990,29,12,29,43,25,18,3,0,0,153
UCL212002,13,32,68,51,56,47,18,4,3,296,647,820,1921,1868,2036,1520,281,24,4,9121,14,49,199,185,161,101,59,10,0,790,0,3,8,7,6,7,0,0,0,31,70,156,366,417,431,325,36,4,0,1805,8,24,115,107,117,72,6,0,0,451,75,189,411,293,306,206,47,8,0,1546,13,29,86,94,105,76,24,3,0,426,406,266,449,378,411,285,81,10,0,2291,369,182,210,146,149,99,35,0,0,1191,12,32,110,150,188,177,77,8,3,757,11,23,58,35,49,29,11,3,0,220,6,31,57,81,78,59,11,0,0,324,4,22,34,44,56,33,13,3,0,207,21,79,197,160,167,126,32,3,0,778,15,53,147,120,153,99,32,0,0,621,5,41,153,215,208,182,35,3,0,843,49,94,343,356,392,311,53,5,0,1598,35,214,716,709,703,643,124,10,0,3146,32,14,39,29,25,18,11,0,0,167
UCL212003,14,20,38,59,49,40,11,3,0,241,550,839,1601,1731,2029,1272,198,14,3,8231,0,11,19,11,17,14,3,0,0,78,0,0,9,16,18,4,0,0,0,51,35,89,197,241,337,216,26,0,0,1144,0,16,40,47,57,36,3,0,0,209,92,264,565,415,348,185,32,3,0,1905,10,37,73,139,128,82,18,0,0,491,261,331,317,267,356,217,45,0,0,1793,384,185,140,102,114,75,11,0,0,1012,22,96,318,412,553,342,56,0,0,1794,7,20,39,62,63,31,5,0,0,227,0,33,118,166,148,79,18,0,0,561,3,26,53,62,62,39,10,0,0,254,12,63,200,219,198,110,38,4,0,853,16,38,102,113,132,82,21,0,0,508,10,45,199,297,350,274,63,0,0,1234,26,104,287,336,342,282,41,0,0,1420,27,166,372,379,471,393,51,0,0,1858,44,52,65,47,58,31,14,0,0,309
UCL212004,12,10,24,16,24,24,10,0,0,120,333,573,1260,1176,1121,820,146,18,3,5443,3,16,33,35,28,21,17,0,0,161,0,6,55,45,63,34,4,0,0,208,17,57,167,201,219,188,16,0,0,867,9,29,125,119,214,143,23,0,0,654,36,124,300,218,194,122,26,0,0,1019,7,16,39,45,44,20,0,0,0,168,200,172,301,243,201,133,30,3,0,1283,240,145,129,104,85,63,18,3,0,797,3,19,64,67,94,76,17,0,0,345,9,22,27,22,15,18,3,0,0,116,3,22,60,61,56,28,7,0,0,229,4,11,30,30,30,18,10,0,0,129,11,28,138,89,82,43,18,6,0,410,5,25,54,63,70,46,16,0,0,289,11,92,257,268,220,166,22,3,0,1034,11,52,178,208,215,170,24,0,0,861,20,156,467,369,361,307,69,4,0,1751,16,19,15,28,19,18,6,0,0,117
