UCL_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
UCL222091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,8,0,10,0,3,3,0,0,0,0,17,0,0,0,3,3,0,3,3,0,13,3,5,3,0,3,0,0,0,0,17,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,24,5,11,13,0,3,10,3,71
UCL222092,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8,5,0,0,0,3,0,4,3,0,16,5,4,4,0,0,3,3,0,0,27,10,3,3,3,0,0,3,3,3,22,0,3,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,15,8,8,6,12,11,4,95
UCL222093,0,0,0,0,0,7,0,3,0,8,0,0,0,0,0,0,0,0,0,4,0,9,7,6,0,0,0,0,0,26,6,0,5,0,0,3,0,0,0,21,3,3,5,3,4,3,3,0,0,23,4,0,8,3,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,21,11,14,9,8,5,0,100
UCL222094,0,0,3,0,0,3,0,0,0,10,0,0,8,0,4,0,0,3,0,13,0,4,3,0,0,0,0,0,0,12,0,6,10,0,3,0,0,0,0,18,12,9,10,0,0,0,4,3,0,43,14,25,15,3,3,3,0,4,3,70,8,7,4,0,3,0,0,0,3,15,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,31,57,44,8,17,10,5,17,7,196
UCL222095,0,0,3,0,0,6,0,4,0,13,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,3,3,0,0,15,0,3,3,3,0,4,6,4,3,23,0,3,7,4,3,4,3,4,0,24,3,4,3,5,0,5,5,3,0,30,4,0,0,3,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,18,17,7,21,18,20,5,127
UCL222096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,13,0,5,0,5,0,4,0,0,0,17,3,3,6,0,0,0,0,6,0,22,5,3,4,3,7,0,0,3,0,31,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,18,14,11,10,0,9,3,88
UCL222097,0,0,0,3,0,4,0,3,0,13,0,0,0,0,0,5,0,3,3,11,0,3,9,0,3,0,0,7,0,17,3,4,4,3,0,4,3,7,0,27,3,4,5,4,3,3,0,5,0,31,3,3,0,0,7,0,3,6,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,12,13,21,16,10,16,6,29,3,125
UCL222098,0,0,3,4,3,0,0,0,0,11,0,0,7,8,0,3,0,0,0,16,3,10,5,8,3,0,0,0,0,36,6,6,3,8,8,3,0,0,0,27,6,10,11,3,6,3,0,4,0,46,3,10,4,0,9,4,7,8,0,40,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,42,38,29,30,13,11,18,0,193
UCL222099,0,0,0,0,0,0,0,0,0,3,0,0,7,0,4,0,0,4,0,15,4,5,5,3,0,0,0,3,0,23,0,0,0,3,0,3,3,7,0,14,4,3,9,9,8,3,3,12,0,50,6,3,6,3,8,5,3,11,0,42,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,22,16,30,21,19,10,13,41,0,161
UCL222100,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,8,3,7,7,3,3,5,0,0,0,37,11,7,6,13,3,3,0,3,0,46,3,3,10,7,0,4,3,0,4,33,0,5,9,3,4,0,0,8,5,42,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,22,38,34,16,18,7,14,6,180
UCL222101,0,0,0,0,0,3,0,0,0,5,0,0,4,3,0,0,0,6,0,11,0,0,3,0,0,0,0,4,0,9,0,3,0,0,0,4,0,7,0,12,0,0,0,0,9,0,3,0,0,18,4,0,3,3,4,0,3,5,0,28,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,14,10,16,8,5,19,3,85
UCL222102,0,0,0,0,0,7,0,3,0,6,3,0,3,0,0,4,0,0,0,12,0,6,3,3,4,0,4,3,0,19,0,0,0,3,0,0,0,3,0,8,3,3,0,5,0,4,4,5,0,27,5,3,3,3,4,0,4,3,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,15,12,14,12,14,10,18,0,95
UCL222103,0,0,0,0,0,5,0,3,0,7,0,0,3,0,0,0,0,3,0,8,3,5,10,3,6,0,0,5,0,26,0,5,8,0,3,0,0,4,4,27,6,5,8,4,3,3,0,0,0,27,9,3,0,3,11,7,7,4,0,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,27,8,21,15,6,17,3,141
UCL222104,0,0,0,0,0,5,0,3,0,13,0,0,0,3,0,3,0,3,0,8,3,5,4,0,0,4,0,3,0,24,8,9,3,8,8,3,4,6,0,53,0,4,9,7,4,10,9,5,0,47,3,4,3,0,7,0,0,0,3,22,4,3,3,0,0,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,31,19,17,19,24,23,26,8,185
UCL222105,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,11,4,3,3,0,3,0,3,0,0,23,8,7,7,6,3,6,0,5,0,35,4,8,12,5,6,0,4,5,0,46,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,23,23,13,9,5,11,3,132
UCL222106,0,0,3,0,0,5,0,0,0,9,0,3,0,0,0,4,0,0,0,12,3,7,6,4,9,0,0,0,0,33,3,8,9,6,7,0,6,4,0,43,3,5,8,5,7,6,3,4,0,42,0,5,6,3,3,0,0,11,0,32,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,34,39,12,32,13,12,26,0,176
UCL222107,0,0,3,4,0,5,0,0,0,15,0,0,0,0,0,0,0,3,0,14,4,9,20,9,8,5,7,8,4,76,3,4,6,0,3,0,3,4,0,29,3,7,4,7,4,7,5,7,3,48,4,7,7,0,4,3,4,3,0,38,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30,44,22,26,23,20,36,4,223
UCL222108,0,0,3,0,0,4,0,3,0,14,3,0,3,0,0,0,0,3,0,13,3,0,9,3,0,3,3,9,0,21,3,4,3,3,4,0,4,3,0,22,3,0,5,6,3,0,8,6,0,37,3,8,7,9,3,0,8,9,0,35,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,28,21,12,12,22,30,0,157
UCL222109,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,6,3,0,4,3,0,5,0,6,0,23,3,0,0,4,0,0,0,0,0,8,6,0,3,3,3,4,6,4,3,31,4,0,0,0,5,0,9,12,0,27,3,0,0,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,8,12,7,17,21,22,0,116
UCL222110,0,0,0,3,0,0,0,3,0,7,0,0,0,3,3,0,0,3,0,12,3,3,3,9,0,4,0,8,3,37,3,8,13,9,3,4,6,3,0,49,6,6,8,5,3,5,4,0,0,45,5,6,8,9,8,0,4,6,0,45,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,38,26,25,15,17,29,3,202
UCL222111,0,0,0,0,0,0,0,0,0,6,0,0,5,5,0,4,0,0,0,15,0,4,3,3,3,3,4,3,0,25,7,4,0,0,4,0,0,0,0,21,4,6,9,3,6,7,5,7,0,39,3,4,3,4,0,0,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,22,15,13,9,16,21,0,126
UCL222112,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,9,4,4,0,3,3,0,3,0,0,21,6,0,0,3,0,0,3,0,0,16,4,0,3,4,0,0,0,3,0,18,9,0,0,0,0,0,0,3,0,10,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,35,9,6,13,6,0,3,6,0,84
UCL222113,0,0,3,0,0,3,0,0,0,6,0,0,3,0,0,0,0,0,0,10,0,3,7,4,3,0,0,11,0,22,10,4,3,0,3,3,0,0,0,31,3,6,3,6,3,3,0,5,0,38,8,6,3,3,3,4,0,4,4,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,21,14,12,11,5,24,4,137
UCL222114,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,3,0,14,3,0,7,3,3,3,3,3,0,30,0,0,3,0,0,0,3,0,0,9,0,0,3,0,3,3,3,0,0,16,0,0,3,3,0,0,0,5,0,17,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,19,3,10,7,21,15,0,91
UCL222115,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,8,0,0,4,0,0,0,6,5,0,21,3,0,5,7,0,0,0,9,0,24,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,11,11,3,4,3,18,0,64
UCL222116,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,4,3,3,3,0,0,0,0,3,0,12,3,4,0,3,3,0,0,3,0,17,0,4,3,5,3,0,0,0,0,30,3,0,4,0,6,0,3,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,19,8,19,7,5,12,0,96
UCL222117,0,0,0,0,0,0,0,3,0,10,0,0,3,0,0,0,0,0,0,9,3,3,5,7,0,3,0,6,0,27,0,9,3,3,3,6,3,4,0,28,3,9,13,5,6,0,0,10,0,48,0,8,4,6,6,8,4,5,0,39,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,37,24,13,19,14,26,3,165
UCL222118,0,0,3,0,0,0,0,3,0,6,3,0,3,0,0,0,0,0,0,11,0,3,0,0,0,3,0,0,0,11,0,8,5,0,3,0,0,0,0,20,4,10,0,0,3,0,0,0,0,22,0,7,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,20,26,13,7,12,7,0,4,0,94
UCL222119,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,3,3,3,0,0,0,3,0,0,12,3,0,3,3,4,3,4,6,0,23,3,3,3,7,3,0,0,6,0,25,3,0,0,3,5,3,9,3,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,15,12,10,7,15,14,0,91
UCL222120,0,0,3,0,0,0,0,0,0,11,0,0,0,4,0,4,0,3,0,7,3,0,3,4,3,4,0,0,0,15,3,0,8,0,4,0,0,5,0,23,0,0,0,3,3,0,4,8,0,25,0,3,4,6,3,0,3,6,0,24,0,4,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,21,20,14,9,9,20,0,118
UCL222121,0,0,0,0,0,0,0,7,0,9,0,3,3,0,0,0,0,0,0,10,0,4,3,0,0,3,3,7,0,22,0,0,3,0,0,0,3,5,0,16,0,0,0,0,3,0,4,7,0,19,0,0,5,0,3,0,6,3,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,21,7,10,3,14,23,3,100
UCL222122,0,0,3,0,3,3,0,0,0,10,0,3,3,0,3,3,0,0,0,13,0,0,3,0,0,0,0,0,0,11,0,0,7,0,0,8,3,0,0,18,0,3,11,0,3,0,7,0,0,27,6,8,5,3,4,3,3,0,0,29,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,27,10,15,18,8,10,0,105
UCL231777,381,160,1915,1644,407,3588,243,2748,237,11331,1060,1061,3510,2194,1056,1755,712,2252,257,13855,4097,4404,5047,2505,2650,1538,1595,3165,363,25363,8202,6453,5616,2991,4528,1935,2446,3351,604,36129,12066,8163,6853,4535,6684,2825,3920,4993,820,50857,11914,7308,5019,3470,4929,2246,3406,4548,711,43557,6860,1879,1037,614,1280,581,807,1204,366,14633,2039,176,93,49,138,54,67,193,146,2963,309,26,26,13,28,16,16,45,45,520,46932,29621,29124,18031,21702,14545,13209,22505,3548,199216
UCL279997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,3,0,23
UCL299994,6,0,9,15,0,16,4,10,0,64,20,28,35,79,16,31,9,66,5,289,52,183,113,99,60,39,48,104,13,726,38,74,62,38,33,21,55,51,20,386,36,52,37,26,23,17,48,44,14,300,22,53,30,19,26,10,30,28,5,215,5,4,3,4,9,4,3,0,0,42,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,178,405,297,277,182,134,200,307,57,2033
