UCL_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
UCL222060,0,0,0,0,0,4,0,3,0,8,0,0,4,0,0,0,0,3,0,4,0,3,5,0,3,0,3,0,0,25,4,0,4,8,7,0,0,0,0,31,3,4,0,3,0,3,0,0,0,18,3,6,5,3,3,4,0,5,0,31,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,14,16,18,7,7,11,0,120
UCL222061,0,0,0,0,0,0,0,3,0,7,0,0,4,3,0,0,0,0,0,9,0,0,0,5,0,3,0,4,0,9,5,0,0,3,0,0,0,0,0,18,3,0,4,7,0,3,3,4,0,20,10,5,3,4,4,0,5,4,0,37,3,0,3,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,14,20,10,6,9,21,3,111
UCL222062,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,3,7,5,0,21,3,3,7,16,3,4,3,11,0,47,3,11,0,3,0,3,0,0,0,28,0,3,0,4,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,14,29,5,7,8,16,0,125
UCL222063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,7,0,3,0,3,0,4,0,17,0,9,4,0,7,0,0,5,0,26,3,7,8,3,8,3,3,9,0,35,3,0,3,7,6,3,0,6,0,22,0,3,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,16,11,21,16,12,19,0,119
UCL222064,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,3,7,0,22,3,4,3,3,3,8,3,13,0,42,3,3,0,0,4,0,0,0,0,13,0,0,3,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,7,13,9,10,9,26,3,95
UCL222065,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7,0,6,0,3,0,3,0,0,3,0,0,18,0,6,0,3,0,0,0,3,0,10,3,0,0,0,4,0,3,0,0,18,3,0,0,0,0,3,0,0,0,15,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,8,9,7,4,7,17,0,80
UCL222066,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,14,8,3,3,0,3,0,3,3,0,22,4,0,0,3,0,0,10,3,0,27,3,3,0,0,0,0,0,5,0,15,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,5,9,6,5,15,16,0,85
UCL222067,0,0,0,0,0,0,0,10,0,9,0,0,8,5,3,0,0,0,0,15,0,0,6,0,0,0,0,0,0,10,4,8,4,0,3,0,3,0,0,26,6,3,10,3,3,0,7,3,0,39,0,3,3,0,3,3,7,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,35,13,13,5,22,16,0,124
UCL222068,0,0,0,0,0,0,0,8,0,5,0,0,0,0,4,0,0,0,0,7,3,3,4,3,0,0,0,0,0,23,0,8,4,3,3,0,6,3,0,32,3,14,6,13,0,3,3,3,3,54,7,3,16,11,6,3,4,6,0,55,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,20,34,30,26,12,16,16,24,5,179
UCL222069,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,3,9,8,0,0,4,0,6,0,25,0,6,5,4,0,6,0,0,0,21,7,14,10,0,5,3,0,0,0,37,10,5,11,4,11,3,0,3,0,47,3,0,0,0,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,34,37,13,19,23,3,15,5,162
