UCL_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL201001,35350,32749,68098,113547,105324,218876,35304,34531,69830,19125,19861,38989,167980,159713,327695,71461,67128,138592,29156,30304,59455,27566,28529,56096,128180,125959,254141,10418,9462,19875,7121,10058,17177,9571,4467,14041,10640,13743,24376,366,285,646,38113,38012,76124,76494,86764,163256,26355,29364,55719,6123,7609,13730,17609,27300,44904,465,612,1075,127044,151645,278693,8255,9877,18131,10071,18638,28709,268,389,657,18593,28905,47500,132003,135783,267781,647266,672771,1320030
UCL203001,1285,1164,2447,3931,3696,7632,1385,1356,2746,709,705,1416,6028,5763,11792,2550,2201,4755,1141,1452,2594,1316,1169,2485,5009,4825,9834,328,372,703,151,295,452,442,269,707,432,550,979,5,16,21,1354,1508,2861,2199,2599,4794,811,805,1620,198,293,492,520,966,1488,9,22,27,3739,4690,8431,205,262,468,338,608,951,13,13,23,554,884,1440,5149,5710,10859,23129,24544,47668
UCL211001,368,349,720,1006,931,1933,418,404,821,192,208,398,1608,1547,3158,700,623,1324,350,360,708,124,145,270,1182,1127,2306,100,86,185,49,102,152,164,106,270,118,223,344,6,0,3,438,517,953,90,179,269,54,123,178,21,53,74,119,249,366,0,0,0,286,604,881,57,54,111,53,115,173,6,3,12,116,177,288,1218,1211,2426,5215,5523,10742
UCL211002,798,785,1581,2483,2308,4786,1063,1063,2135,397,423,816,3942,3797,7739,1324,1323,2640,1070,960,2024,604,659,1265,2997,2936,5937,157,148,308,67,112,179,196,133,330,226,286,506,14,7,20,652,686,1338,1119,1494,2611,379,529,901,106,172,275,387,689,1077,9,7,20,2002,2885,4883,112,109,226,173,283,458,6,3,10,292,398,691,3077,3445,6527,13755,14939,28692
UCL211003,793,705,1494,2569,2404,4974,1052,996,2044,305,291,595,3928,3689,7614,1839,1734,3573,745,700,1443,379,357,740,2966,2793,5756,182,231,406,107,181,291,242,165,414,201,355,552,9,7,15,740,937,1678,764,1295,2059,216,359,573,72,126,196,269,489,756,7,10,15,1327,2280,3604,83,107,188,155,255,411,8,6,16,242,370,606,3442,3714,7154,13430,14486,27913
UCL211004,507,506,1012,1882,1781,3666,468,532,996,270,239,504,2621,2551,5173,1235,1130,2363,327,367,697,214,204,417,1773,1704,3475,113,99,214,63,114,176,157,86,244,121,189,306,5,4,7,465,487,945,251,414,669,105,167,270,44,68,113,126,248,371,5,8,11,533,903,1434,123,161,286,111,300,419,3,7,11,238,467,708,2103,2230,4328,8235,8842,17076
UCL212001,334,279,612,954,875,1829,244,237,476,140,126,268,1339,1235,2573,751,741,1492,219,225,444,60,54,112,1023,1020,2049,80,76,154,45,65,106,88,86,178,122,145,268,3,3,10,338,366,706,75,173,240,33,94,132,16,42,59,68,153,220,0,4,4,197,463,654,36,44,83,42,95,131,3,7,9,86,145,229,1577,1643,3220,4887,5149,10041
UCL212002,356,328,684,1445,1306,2748,485,499,985,115,106,220,2047,1906,3952,875,909,1780,528,495,1021,207,179,386,1608,1579,3191,82,138,214,75,127,201,142,93,230,100,236,339,4,3,10,404,588,991,123,212,335,51,123,172,19,58,80,100,218,322,3,4,3,300,616,913,73,87,155,71,161,234,7,0,8,155,251,403,2117,2237,4354,6982,7508,14483
UCL212003,284,284,566,1102,998,2097,348,364,717,95,77,173,1538,1441,2978,764,770,1536,350,329,671,107,112,218,1222,1207,2423,68,67,136,23,50,79,153,83,234,82,109,192,0,0,0,337,307,639,281,400,684,66,127,194,46,62,112,103,214,320,0,3,8,505,807,1310,28,51,77,77,126,207,3,0,6,111,182,286,869,930,1800,4863,5145,10013
UCL212004,209,182,386,690,606,1296,319,349,664,96,112,207,1106,1065,2168,328,391,720,318,308,631,126,131,252,776,831,1608,35,43,79,20,40,58,82,50,134,55,103,155,0,0,0,194,229,427,94,178,277,39,90,128,15,39,57,75,132,205,0,0,3,229,440,664,35,21,59,34,82,119,0,0,0,68,101,173,1047,1202,2247,3626,4054,7674
