UCL_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
UCL201001,78401,70128,148525,11279,13205,24481,297,112,408,22861,27936,50799,2633,1321,3946,663195,518882,1182076,31064,45279,76344,9881,196,10074,6578,736,7311,20796,8734,29531,6439,3383,9828,29640,31276,60916,883055,721186,1604242,10852,9416,20268,12,13,21,7813,8006,15818,14248,10578,24832,1970,3555,5530,2091,921,3010,36994,32488,69480,11,4,14,1150,1612,2766,687,655,1347,559,1038,1596,205,192,394,2607,3498,6109,8011,5620,13626,47612,41604,89219,8562,8798,17367,292,338,637,475,289,766,9330,9431,18762,33860,47037,80899,61343,108641,169986,9471,7692,17167,1044686,935589,1980273
UCL203001,1007,552,1559,494,567,1064,16,10,28,12,14,19,94,72,165,25421,22185,47609,1522,2007,3523,292,7,299,178,14,197,565,165,734,193,95,284,1005,1112,2124,30804,26798,57603,57,45,100,0,0,0,65,63,128,264,168,434,33,25,57,58,14,71,474,311,786,0,0,0,0,0,0,26,30,62,17,54,75,15,5,23,64,98,157,259,156,413,798,559,1357,174,150,326,11,4,19,18,5,26,204,164,369,954,1319,2278,2752,5112,7864,351,305,662,35868,34262,70130
UCL211001,7,3,13,33,41,76,3,3,6,0,3,0,13,14,22,6512,5493,12006,419,448,863,95,4,100,58,0,59,116,20,134,53,24,77,230,158,385,7535,6211,13750,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,3,4,7,3,0,3,3,4,12,65,29,92,72,35,113,3,3,4,0,0,0,4,0,7,9,3,10,115,269,386,525,1047,1572,82,62,146,8339,7624,15964
UCL211002,313,192,507,153,211,357,9,0,12,0,5,9,60,51,109,15077,13429,28510,968,1158,2126,159,6,162,73,7,83,239,55,289,96,46,148,637,607,1239,17784,15768,33552,10,11,23,0,0,0,21,13,33,94,52,145,12,11,26,25,4,25,158,96,261,0,0,0,0,0,0,11,12,16,13,31,40,4,3,8,26,43,67,127,82,206,310,222,535,55,53,105,10,10,14,9,0,9,68,60,129,579,802,1382,1642,3119,4765,206,175,376,20591,20146,40738
UCL211003,111,72,187,188,194,378,7,7,13,8,7,12,34,43,77,15192,13568,28759,937,1190,2124,241,12,248,151,26,176,292,75,362,101,49,156,626,661,1289,17890,15890,33784,11,8,21,0,0,0,6,3,6,31,23,58,9,0,9,4,0,3,57,38,97,0,0,0,0,0,0,8,5,20,13,18,28,15,6,22,36,31,65,157,89,246,254,156,410,16,12,34,5,4,6,4,3,11,30,23,55,524,717,1240,1687,3056,4738,191,178,367,20572,20020,40593
UCL211004,489,544,1030,54,86,138,4,0,4,4,4,10,10,3,18,8917,6568,15485,598,565,1167,211,6,215,45,3,51,22,11,34,73,35,109,104,132,238,10545,7954,18501,60,54,115,0,0,0,23,35,58,128,110,233,18,28,49,12,3,14,242,227,471,0,0,0,0,0,0,8,0,9,17,14,28,4,0,3,21,16,39,84,35,116,349,283,625,90,108,194,0,0,0,7,0,7,100,109,204,169,341,511,738,1234,1971,144,112,253,12035,10024,22062
UCL212001,5,0,3,37,16,50,4,0,7,4,0,3,9,12,20,5078,4679,9758,442,512,950,51,5,49,44,3,45,83,22,106,42,24,61,222,229,447,6006,5504,11510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,3,3,13,30,35,64,40,35,75,0,0,0,0,0,0,0,0,3,3,0,4,136,247,383,494,752,1247,106,73,181,6780,6619,13397
UCL212002,6,7,15,39,35,74,3,0,3,0,3,3,17,19,38,7528,6358,13886,503,733,1236,72,0,75,50,9,55,130,47,177,60,23,83,307,312,618,8723,7544,16266,0,0,0,0,0,0,3,0,3,3,0,6,0,0,0,0,0,0,6,5,11,0,0,0,0,0,0,3,0,4,3,5,12,3,0,3,11,8,15,70,28,98,82,43,122,0,3,5,0,0,0,3,3,7,3,3,10,173,302,475,638,1126,1762,123,102,231,9751,9121,18868
UCL212003,477,466,941,33,47,81,4,3,3,5,0,7,15,4,17,6364,5253,11620,357,376,733,125,0,127,37,6,43,19,0,19,49,15,66,85,94,173,7567,6262,13825,56,48,107,0,0,0,14,19,36,132,109,238,18,28,47,15,5,18,234,200,440,0,0,0,0,0,0,12,16,25,4,9,18,0,0,0,17,26,43,57,29,85,302,260,565,47,71,113,0,3,3,0,0,0,47,74,122,183,393,575,645,1196,1840,62,49,111,8806,8231,17038
UCL212004,21,17,37,48,37,78,0,0,3,3,0,4,13,14,24,4403,3897,8300,277,278,554,30,3,37,22,3,26,46,8,56,42,11,54,129,132,254,5035,4387,9425,3,5,3,0,0,0,0,0,0,5,3,8,0,3,6,7,0,7,13,15,31,0,0,0,0,0,0,4,3,3,5,8,11,0,0,0,8,7,16,35,16,55,56,43,97,12,3,14,0,4,4,0,0,0,9,5,13,85,149,235,522,811,1325,55,52,105,5763,5443,11209
