UCL_CODE_2016,A0_14_SEO_B00,A0_14_SEO_00_05,A0_14_SEO_06_10,A0_14_SEO_11,A0_14_SEO_12,A0_14_SEO_13,A0_14_SEO_14,A0_14_SEO_15,A0_14_SEO_16,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_SOLSE_VWW_B00,A0_14_SOLSE_VWW_00_05,A0_14_SOLSE_VWW_06_10,A0_14_SOLSE_VWW_11,A0_14_SOLSE_VWW_12,A0_14_SOLSE_VWW_13,A0_14_SOLSE_VWW_14,A0_14_SOLSE_VWW_15,A0_14_SOLSE_VWW_16,A0_14_SOLSE_VWW_YNS,A0_14_SOLSE_VWW_T,A0_14_SOLSE_NWNAA_B00,A0_14_SOLSE_NWNAA_00_05,A0_14_SOLSE_NWNAA_06_10,A0_14_SOLSE_NWNAA_11,A0_14_SOLSE_NWNAA_12,A0_14_SOLSE_NWNAA_13,A0_14_SOLSE_NWNAA_14,A0_14_SOLSE_NWNAA_15,A0_14_SOLSE_NWNAA_16,A0_14_SOLSE_NWNAA_YNS,A0_14_SOLSE_NWNAA_T,A0_14_SOLSE_PinE_NS_B00,A0_14_SOLSE_PinE_NS_00_05,A0_14_SOLSE_PinE_NS_06_10,A0_14_SOLSE_PinE_NS_11,A0_14_SOLSE_PinE_NS_12,A0_14_SOLSE_PinE_NS_13,A0_14_SOLSE_PinE_NS_14,A0_14_SOLSE_PinE_NS_15,A0_14_SOLSE_PinE_NS_16,A0_14_SOLSE_PinE_NS_YNS,A0_14_SOLSE_PinE_NS_T,A0_14_SOLSE_T_B00,A0_14_SOLSE_T_00_05,A0_14_SOLSE_T_06_10,A0_14_SOLSE_T_11,A0_14_SOLSE_T_12,A0_14_SOLSE_T_13,A0_14_SOLSE_T_14,A0_14_SOLSE_T_15,A0_14_SOLSE_T_16,A0_14_SOLSE_T_YNS,A0_14_SOLSE_T_T,A0_14_L_PinE_NS_B00,A0_14_L_PinE_NS_00_05,A0_14_L_PinE_NS_06_10,A0_14_L_PinE_NS_11,A0_14_L_PinE_NS_12,A0_14_L_PinE_NS_13,A0_14_L_PinE_NS_14,A0_14_L_PinE_NS_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B00,A0_14_T_00_05,A0_14_T_06_10,A0_14_T_11,A0_14_T_12,A0_14_T_13,A0_14_T_14,A0_14_T_15,A0_14_T_16,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B00,A15_24_SEO_00_05,A15_24_SEO_06_10,A15_24_SEO_11,A15_24_SEO_12,A15_24_SEO_13,A15_24_SEO_14,A15_24_SEO_15,A15_24_SEO_16,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_SOLSE_VWW_B00,A15_24_SOLSE_VWW_00_05,A15_24_SOLSE_VWW_06_10,A15_24_SOLSE_VWW_11,A15_24_SOLSE_VWW_12,A15_24_SOLSE_VWW_13,A15_24_SOLSE_VWW_14,A15_24_SOLSE_VWW_15,A15_24_SOLSE_VWW_16,A15_24_SOLSE_VWW_YNS,A15_24_SOLSE_VWW_T,A15_24_SOLSE_NWNAA_B00,A15_24_SOLSE_NWNAA_00_05,A15_24_SOLSE_NWNAA_06_10,A15_24_SOLSE_NWNAA_11,A15_24_SOLSE_NWNAA_12,A15_24_SOLSE_NWNAA_13,A15_24_SOLSE_NWNAA_14,A15_24_SOLSE_NWNAA_15,A15_24_SOLSE_NWNAA_16,A15_24_SOLSE_NWNAA_YNS,A15_24_SOLSE_NWNAA_T,A15_24_SOLSE_PinE_NS_B00,A15_24_SOLSE_PinE_NS_00_05,A15_24_SOLSE_PinE_NS_06_10,A15_24_SOLSE_PinE_NS_11,A15_24_SOLSE_PinE_NS_12,A15_24_SOLSE_PinE_NS_13,A15_24_SOLSE_PinE_NS_14,A15_24_SOLSE_PinE_NS_15,A15_24_SOLSE_PinE_NS_16,A15_24_SOLSE_PinE_NS_YNS,A15_24_SOLSE_PinE_NS_T,A15_24_SOLSE_T_B00,A15_24_SOLSE_T_00_05,A15_24_SOLSE_T_06_10,A15_24_SOLSE_T_11,A15_24_SOLSE_T_12,A15_24_SOLSE_T_13,A15_24_SOLSE_T_14,A15_24_SOLSE_T_15,A15_24_SOLSE_T_16,A15_24_SOLSE_T_YNS,A15_24_SOLSE_T_T,A15_24_L_PinE_NS_B00,A15_24_L_PinE_NS_00_05,A15_24_L_PinE_NS_06_10,A15_24_L_PinE_NS_11,A15_24_L_PinE_NS_12,A15_24_L_PinE_NS_13,A15_24_L_PinE_NS_14,A15_24_L_PinE_NS_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B00,A15_24_T_00_05,A15_24_T_06_10,A15_24_T_11,A15_24_T_12,A15_24_T_13,A15_24_T_14,A15_24_T_15,A15_24_T_16,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B00,A25_34_SEO_00_05,A25_34_SEO_06_10,A25_34_SEO_11,A25_34_SEO_12,A25_34_SEO_13,A25_34_SEO_14,A25_34_SEO_15,A25_34_SEO_16,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_SOLSE_VWW_B00,A25_34_SOLSE_VWW_00_05,A25_34_SOLSE_VWW_06_10,A25_34_SOLSE_VWW_11,A25_34_SOLSE_VWW_12,A25_34_SOLSE_VWW_13,A25_34_SOLSE_VWW_14,A25_34_SOLSE_VWW_15,A25_34_SOLSE_VWW_16,A25_34_SOLSE_VWW_YNS,A25_34_SOLSE_VWW_T,A25_34_SOLSE_NWNAA_B00,A25_34_SOLSE_NWNAA_00_05,A25_34_SOLSE_NWNAA_06_10,A25_34_SOLSE_NWNAA_11,A25_34_SOLSE_NWNAA_12,A25_34_SOLSE_NWNAA_13,A25_34_SOLSE_NWNAA_14,A25_34_SOLSE_NWNAA_15,A25_34_SOLSE_NWNAA_16,A25_34_SOLSE_NWNAA_YNS,A25_34_SOLSE_NWNAA_T,A25_34_SOLSE_PinE_NS_B00,A25_34_SOLSE_PinE_NS_00_05,A25_34_SOLSE_PinE_NS_06_10,A25_34_SOLSE_PinE_NS_11,A25_34_SOLSE_PinE_NS_12,A25_34_SOLSE_PinE_NS_13,A25_34_SOLSE_PinE_NS_14,A25_34_SOLSE_PinE_NS_15,A25_34_SOLSE_PinE_NS_16,A25_34_SOLSE_PinE_NS_YNS,A25_34_SOLSE_PinE_NS_T,A25_34_SOLSE_T_B00,A25_34_SOLSE_T_00_05
UCL201001,..,2728,9218,2650,2929,2583,2347,2542,1269,1440,27699,..,2646,14426,4191,5077,6345,5389,5015,2020,1880,46982,..,26,185,169,364,974,1542,2831,2781,1195,10070,..,13,74,15,35,65,60,115,99,77,548,..,2683,14685,4381,5479,7383,6992,7958,4902,3148,57605,..,8,19,13,10,9,12,30,49,146,309,..,5423,23927,7045,8418,9983,9344,10529,6215,4735,85614,5866,9556,6907,1276,1545,1465,1903,2650,2318,1294,34789,5790,13464,20897,5831,7873,10714,15428,18217,12935,4618,115759,51,327,640,374,783,1485,2145,3116,2567,1487,12973,34,84,117,28,40,57,96,92,76,63,684,5876,13872,21653,6236,8685,12253,17677,21426,15571,6168,129412,8,27,24,3,5,8,20,23,11,272,403,11752,23460,28585,7511,10242,13725,19593,24093,17902,7734,164611,19150,7104,13565,4257,4683,4372,4111,4021,2331,1877,65479,25386,28093,72524,11297,14257,16038,17080,16359,9101,4472,214597,282,1458,5186,1407,2253,3094,2451,2902,1907,1294,22226,196,151,451,58,98,115,101,98,50,84,1403,25859,29696
UCL203001,..,71,233,72,61,61,71,56,33,31,688,..,42,247,66,87,153,89,97,38,34,852,..,0,3,3,4,28,30,64,71,32,235,..,0,0,0,0,4,0,6,3,0,13,..,42,247,71,99,177,122,167,117,66,1100,..,0,0,0,0,0,0,0,3,0,7,..,108,485,141,154,242,188,228,152,98,1801,116,205,187,40,16,21,48,55,45,30,754,58,176,350,61,130,184,205,266,194,57,1679,0,3,6,6,12,32,23,45,28,25,187,3,5,0,3,0,0,0,3,5,0,16,61,183,351,73,146,214,228,316,233,81,1886,0,0,0,0,0,0,0,0,0,8,9,180,385,536,108,162,239,271,368,275,116,2651,372,121,241,64,69,58,63,61,37,59,1146,213,212,1026,165,219,242,225,257,142,62,2752,3,4,76,26,27,57,27,41,35,14,301,4,0,6,0,0,3,0,0,0,6,18,219,222
UCL211001,..,5,30,7,14,9,15,8,7,7,102,..,3,54,4,25,13,8,11,12,8,141,..,0,3,0,0,0,0,4,15,0,33,..,0,0,0,0,0,0,0,0,0,0,..,3,58,4,24,20,9,19,33,8,174,..,0,0,0,0,0,0,0,0,0,0,..,7,87,12,35,23,21,30,37,16,276,19,22,33,8,9,0,0,5,0,3,105,12,10,51,17,10,7,0,10,15,12,146,0,0,0,0,0,0,3,3,4,4,14,0,0,0,0,0,0,0,0,0,0,5,13,16,51,16,15,7,3,11,19,13,159,0,0,0,0,0,0,0,0,0,0,0,29,39,86,29,18,8,9,13,17,19,265,77,22,25,3,11,5,4,3,3,7,164,9,21,152,22,33,27,9,21,13,8,317,0,0,0,0,5,4,3,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,9,21
UCL211002,..,28,102,35,35,28,28,18,12,20,315,..,19,120,18,28,15,22,24,16,14,276,..,0,5,0,4,0,4,10,9,3,38,..,0,0,0,0,0,0,0,0,0,0,..,19,119,18,35,23,29,35,19,12,309,..,0,0,3,0,0,0,0,0,0,4,..,52,221,56,69,43,60,55,31,42,627,59,87,77,11,15,5,11,12,11,18,302,13,60,97,21,30,48,50,70,81,30,494,0,0,0,0,3,0,8,20,24,11,62,0,3,3,0,0,0,0,0,0,0,8,13,64,104,25,32,51,58,82,107,44,567,0,0,0,0,0,0,0,0,0,0,0,73,152,173,35,52,52,68,97,112,61,874,132,43,84,23,39,33,14,34,16,15,432,50,80,403,59,88,64,47,70,37,13,915,0,3,14,3,12,8,10,9,3,0,64,0,0,3,0,3,0,0,0,0,0,7,50,83
UCL211003,..,25,80,21,13,14,10,16,11,15,202,..,19,137,21,29,45,27,28,11,20,331,..,0,4,0,0,13,11,20,34,12,99,..,0,3,0,0,0,0,0,0,0,3,..,19,144,25,27,62,41,48,44,28,435,..,0,0,0,0,0,0,0,0,3,3,..,40,225,44,39,74,54,61,50,48,642,50,80,54,11,5,12,3,14,0,14,243,12,54,166,17,31,32,27,23,13,24,407,0,3,22,12,5,15,16,14,12,17,106,0,0,0,0,0,0,0,0,0,0,5,12,56,187,32,34,45,40,37,29,39,517,0,0,0,0,0,0,0,0,0,0,0,66,141,240,40,39,54,46,54,27,55,761,116,30,69,14,14,22,8,18,4,13,312,37,70,334,57,45,58,56,58,36,17,773,0,6,60,13,7,13,15,18,12,4,153,0,0,3,0,0,0,3,3,0,0,11,41,75
UCL211004,..,43,127,34,51,37,52,31,13,28,418,..,74,251,41,40,52,61,46,19,22,616,..,0,3,0,0,10,14,26,11,8,69,..,0,3,0,0,0,0,3,0,5,12,..,74,257,47,46,65,76,74,35,29,690,..,0,0,0,0,0,0,0,0,0,4,..,113,387,80,99,106,127,100,50,58,1111,64,106,107,19,23,15,18,4,12,17,386,66,229,233,35,21,51,51,50,31,13,781,0,0,3,0,3,4,10,8,10,0,33,0,5,3,0,0,0,0,0,0,0,17,67,237,244,40,25,52,60,50,39,17,828,0,0,3,0,0,0,0,0,0,6,8,137,339,352,52,54,68,74,62,46,36,1221,180,47,98,19,27,16,22,22,3,19,450,180,259,610,76,69,84,82,60,26,28,1482,0,4,57,13,6,12,15,9,11,4,139,0,3,10,0,0,0,0,0,0,0,13,184,270
UCL212001,..,6,30,3,5,11,9,3,6,3,80,..,9,39,16,15,24,16,21,3,10,158,..,0,0,0,0,3,0,15,12,4,34,..,0,0,0,0,0,0,0,0,0,0,..,9,39,15,15,28,18,41,11,13,196,..,0,0,0,0,0,0,0,0,0,0,..,18,69,21,24,38,28,44,24,15,275,17,31,14,4,0,8,0,14,7,5,95,11,50,70,14,6,19,15,27,27,15,259,3,0,0,0,0,4,11,12,27,15,72,0,0,0,0,0,0,0,0,0,0,0,15,51,72,20,6,21,28,40,51,33,333,0,0,0,0,0,0,0,0,3,3,7,28,74,90,20,7,32,27,52,62,39,437,38,16,41,15,14,13,10,16,9,9,178,53,42,147,28,52,47,46,45,33,25,520,0,9,24,7,18,3,18,23,27,24,157,0,0,0,0,0,0,0,0,0,0,4,52,49
UCL212002,..,13,53,25,16,16,30,11,3,14,189,..,33,146,47,29,86,44,39,16,23,471,..,0,3,0,3,8,23,23,33,15,105,..,0,0,0,0,0,0,0,0,0,3,..,38,146,47,35,90,69,66,51,37,576,..,0,0,0,0,0,3,3,0,0,7,..,53,205,68,50,105,96,84,53,48,771,23,40,40,5,5,6,5,9,0,9,147,51,140,230,31,29,77,61,50,25,13,703,0,3,6,4,3,10,14,19,20,18,100,0,0,3,0,0,0,0,0,0,0,7,51,147,237,37,31,93,77,67,49,22,812,0,0,0,0,0,0,0,0,0,0,0,68,192,275,42,41,97,83,76,49,37,963,61,23,46,12,10,11,14,11,6,5,196,94,122,449,52,91,84,83,90,40,28,1138,3,25,69,11,26,32,39,55,15,24,294,0,4,3,0,0,0,0,0,0,3,12,95,146
UCL212003,..,17,48,15,20,12,5,16,4,10,146,..,3,31,8,3,20,20,10,0,5,92,..,0,0,0,0,0,6,0,4,3,10,..,0,0,0,0,0,0,0,0,0,0,..,3,30,8,3,20,22,12,3,5,104,..,0,0,0,0,0,0,0,0,0,3,..,22,74,26,26,32,28,26,9,18,257,26,88,37,4,10,0,3,6,0,10,189,13,18,33,3,8,8,10,7,7,0,113,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,14,18,37,3,12,8,7,7,3,5,116,0,0,0,0,0,0,0,0,0,0,0,35,107,77,8,22,7,16,16,3,12,307,83,40,55,22,14,15,3,9,10,6,250,38,29,92,16,14,11,18,12,6,5,231,0,0,3,4,3,3,3,3,0,0,18,0,0,0,0,0,0,0,0,0,0,3,38,29
UCL212004,..,7,24,5,4,4,12,8,8,3,66,..,7,48,4,8,4,8,9,7,0,94,..,0,0,0,0,0,5,0,5,0,13,..,0,0,0,0,0,0,0,0,0,0,..,7,48,4,8,8,9,9,12,0,107,..,0,0,0,0,0,0,0,0,0,0,..,14,64,8,12,17,22,15,16,8,172,6,27,26,3,3,4,7,7,0,3,75,5,11,33,3,6,6,6,6,10,4,87,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,11,33,0,6,6,6,10,8,3,95,0,0,0,0,0,0,0,0,0,0,0,10,37,52,7,7,9,15,15,13,7,170,52,16,16,4,5,3,5,5,3,3,119,12,21,102,9,7,17,21,21,7,3,212,0,4,7,0,0,0,0,3,0,3,14,0,0,0,0,0,0,0,0,0,0,3,12,24
