UCL_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
UCL201001,173,2968,26,2992,..,23925,1033,24955,188,25140,..,13888,1564,15453,176,15627,..,11949,1186,13137,119,13259,..,2750,671,3422,30,3453,..,12308,2325,14637,154,14790,..,34255,12140,46401,367,46759,..,84709,20344,105054,2061,107121,..,575730,105682,681408,7133,688543,..,4991,1279,6269,110840,117112,1250438,580720,106961,687680,117975,2056095,1288155,..,..,..,..,1288155,..,2135,28,2159,11,2174,..,30080,6794,36873,406,37280,..,119,3,122,0,122,..,29920,10199,40126,227,40352,..,74550,25955,100506,553,101060,..,6968,2856,9825,57,9879,..,111440,39018,150459,833,151295,..,7393,1321,8716,106,8819,..,3106,98,3206,39,3242,..,8628,346,8973,69,9045,..,7752,240,7995,94,8090,..,43650,11009,54654,508,55163,..,4393,433,4824,32,4859,..,21459,1413,22867,175,23044,..,19300,2901,22201,222,22425,..,16211,1188,17402,128,17529,..,7868,1173,9042,90,9132,..,12940,1454,14396,89,14482,..,82166,8561,90723,745,91469,..,43542,8861,52399,658,53058,..,5042,889,5929,51,5982,..,5510,2234,7749
UCL203001,4,63,3,64,..,371,7,381,5,389,..,158,26,184,0,185,..,108,0,112,0,112,..,46,17,66,0,65,..,106,29,139,0,139,..,187,66,251,4,257,..,1706,518,2220,57,2276,..,8432,1481,9911,142,10052,..,194,29,224,4300,4526,61063,8630,1505,10133,4438,75635,66024,..,..,..,..,66024,..,49,0,49,0,49,..,203,56,263,3,263,..,11,0,11,0,11,..,163,25,186,0,191,..,615,171,782,12,799,..,32,8,45,0,45,..,809,200,1014,14,1032,..,793,189,987,7,991,..,189,0,193,6,198,..,147,8,151,3,155,..,322,12,330,3,336,..,257,55,309,7,319,..,43,9,56,0,56,..,189,6,192,0,194,..,276,38,318,3,321,..,93,10,102,0,102,..,67,9,85,0,85,..,129,7,137,3,141,..,800,81,880,9,887,..,801,173,968,14,984,..,104,7,114,0,114,..,57,11,71
UCL211001,0,11,0,11,..,73,5,76,0,76,..,17,3,25,0,25,..,9,0,9,0,9,..,7,0,9,0,9,..,0,0,0,0,0,..,8,0,6,0,6,..,208,37,243,10,254,..,915,128,1039,23,1057,..,32,8,36,1028,1064,15038,943,127,1079,1053,17169,15738,..,..,..,..,15738,..,11,0,18,0,18,..,23,0,28,0,28,..,0,0,0,0,3,..,12,3,19,0,19,..,39,20,51,0,51,..,4,0,4,0,4,..,53,20,76,0,76,..,48,13,60,0,61,..,19,0,19,0,19,..,32,0,32,0,32,..,78,4,78,0,81,..,16,3,19,0,19,..,4,0,8,0,7,..,36,3,33,0,33,..,49,5,55,0,52,..,23,0,26,0,26,..,14,0,12,0,18,..,87,35,122,3,123,..,214,49,262,4,264,..,49,6,58,3,58,..,9,0,14,0,14,..,5,3,7
UCL211002,0,15,0,15,..,142,5,151,0,153,..,47,3,50,0,50,..,39,3,43,0,43,..,26,11,32,0,32,..,10,0,10,0,10,..,38,8,45,0,45,..,437,93,530,18,546,..,2204,333,2539,35,2574,..,131,4,139,2658,2796,39445,2331,342,2674,2697,44809,43198,..,..,..,..,43198,..,27,0,27,0,27,..,60,4,61,0,61,..,7,0,7,0,10,..,68,24,88,0,89,..,319,93,415,4,418,..,29,5,38,0,38,..,417,127,538,3,547,..,52,10,61,0,60,..,88,0,84,3,89,..,63,3,68,0,65,..,86,8,91,0,91,..,54,8,60,0,59,..,29,4,31,0,31,..,96,8,108,0,108,..,93,22,114,0,115,..,38,4,38,0,38,..,35,9,42,0,42,..,50,3,51,0,51,..,337,48,383,0,382,..,87,11,103,0,104,..,72,8,79,0,79,..,22,3,26
UCL211003,0,7,0,7,..,107,4,110,0,112,..,26,3,29,0,29,..,28,3,29,0,33,..,13,3,16,0,22,..,6,0,11,0,11,..,36,16,49,0,46,..,551,314,858,12,872,..,1754,463,2220,25,2246,..,101,13,118,2926,3039,39143,1857,475,2337,2947,44424,42270,..,..,..,..,42270,..,23,3,27,0,27,..,61,6,66,0,66,..,4,0,4,0,4,..,56,14,63,0,63,..,168,81,242,0,245,..,10,3,15,0,15,..,227,89,324,3,325,..,10,0,18,0,18,..,27,0,24,3,31,..,43,3,46,0,46,..,54,0,54,0,54,..,42,12,57,0,57,..,28,6,31,0,32,..,77,10,84,0,86,..,75,9,80,0,86,..,50,8,56,0,56,..,35,3,37,0,37,..,57,3,66,0,66,..,311,39,347,0,347,..,73,4,77,0,77,..,24,0,26,0,29,..,24,6,27
UCL211004,0,34,0,34,..,317,15,330,8,341,..,221,24,248,3,248,..,21,0,27,0,27,..,24,3,31,0,31,..,88,16,106,0,105,..,107,47,151,7,156,..,1120,251,1369,21,1388,..,4562,691,5253,70,5321,..,101,11,114,1738,1854,19495,4660,703,5370,1805,26665,20120,..,..,..,..,20120,..,19,0,19,0,19,..,201,45,247,9,254,..,0,0,0,0,0,..,36,19,61,3,61,..,103,46,147,0,151,..,13,3,18,0,18,..,157,64,227,3,226,..,100,19,120,0,120,..,21,0,20,0,22,..,42,4,45,0,43,..,68,0,68,0,70,..,125,28,153,0,155,..,55,9,61,0,62,..,212,18,225,3,231,..,269,58,331,7,331,..,120,4,124,0,124,..,78,8,84,0,86,..,43,34,74,0,74,..,766,130,900,9,905,..,169,15,188,6,193,..,15,0,14,0,14,..,14,11,29
UCL212001,20,56,0,56,..,72,28,97,0,97,..,6,0,11,0,11,..,17,12,27,0,27,..,13,6,21,0,20,..,126,55,186,0,184,..,48,39,86,3,93,..,401,168,564,10,572,..,1422,492,1911,21,1931,..,39,0,41,1352,1391,12755,1458,497,1952,1373,16080,13965,..,..,..,..,13965,..,13,0,13,0,13,..,29,4,35,0,35,..,8,0,8,0,8,..,40,11,52,0,55,..,79,60,140,0,140,..,7,0,7,0,7,..,128,72,200,0,198,..,24,0,20,0,20,..,15,0,15,0,15,..,11,0,10,0,10,..,25,0,25,0,25,..,89,15,106,0,109,..,17,0,17,0,17,..,22,0,22,0,22,..,65,12,79,0,80,..,22,0,25,0,25,..,3,0,3,0,3,..,26,0,26,0,26,..,154,15,175,0,174,..,245,55,296,4,305,..,11,9,19,0,19,..,13,9,24
UCL212002,3,23,0,26,..,110,11,122,0,127,..,11,3,15,0,15,..,32,4,34,0,34,..,20,5,26,0,26,..,148,61,213,3,209,..,13,4,22,0,22,..,837,381,1216,33,1251,..,3142,863,4005,64,4067,..,74,16,87,1775,1858,16595,3216,875,4087,1842,22520,17701,..,..,..,..,17701,..,16,0,18,0,18,..,414,190,605,8,611,..,21,0,21,0,21,..,45,27,70,0,71,..,127,105,230,3,230,..,0,3,3,0,3,..,168,133,304,6,310,..,12,0,12,0,12,..,15,0,14,3,17,..,17,0,18,0,22,..,25,3,24,0,24,..,65,17,78,0,79,..,15,3,17,0,17,..,57,3,58,0,62,..,280,56,337,6,342,..,55,8,59,0,58,..,55,3,59,0,59,..,60,12,70,0,73,..,517,82,600,8,614,..,363,92,452,3,458,..,11,0,14,0,9,..,13,4,13
UCL212003,0,3,0,3,..,69,0,73,0,73,..,32,8,44,0,41,..,3,0,3,0,3,..,15,9,25,0,25,..,23,0,22,0,22,..,15,14,25,0,25,..,127,33,167,3,170,..,1106,114,1224,13,1234,..,20,3,27,745,772,14742,1130,120,1249,757,16743,15391,..,..,..,..,15391,..,31,3,35,3,36,..,35,3,36,0,36,..,0,0,0,0,0,..,24,7,31,0,31,..,47,16,68,0,68,..,3,5,10,0,10,..,76,28,106,0,106,..,70,3,72,0,71,..,19,0,19,0,19,..,21,0,21,0,19,..,59,0,62,0,65,..,61,10,73,0,73,..,7,0,7,0,7,..,52,0,52,0,52,..,41,4,47,0,47,..,32,4,32,0,32,..,18,3,23,0,23,..,13,0,13,0,12,..,161,16,179,0,179,..,162,13,183,0,182,..,27,3,29,0,29,..,4,0,7
UCL212004,0,12,0,11,..,41,0,41,0,43,..,23,3,23,0,23,..,12,0,12,0,12,..,3,0,10,0,10,..,0,0,0,0,0,..,17,3,17,0,17,..,143,42,181,0,181,..,737,108,844,6,852,..,29,5,35,921,951,10462,765,111,879,926,12267,11210,..,..,..,..,11210,..,18,0,21,0,21,..,17,6,25,6,23,..,0,0,0,0,0,..,19,14,30,0,30,..,46,18,61,0,61,..,3,0,3,0,3,..,69,29,98,0,98,..,4,0,4,0,4,..,29,0,33,0,33,..,15,0,15,0,15,..,26,0,24,0,24,..,71,15,81,0,83,..,16,0,14,0,14,..,29,0,29,0,29,..,6,0,6,0,6,..,22,0,22,0,22,..,9,0,9,0,9,..,20,3,25,3,23,..,101,3,106,3,106,..,95,14,109,3,113,..,8,0,13,0,13,..,5,3,8
