UCL_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
UCL222099,198,185,386,71,33,105,19,30,45,5,3,15,7,3,13,105,66,172,77,104,178,6.7,4.5,7.6,53,35.7,44.6,48,35.7,42.7,0,0,0,0,9,11,10,11,15,7,15,20,54,19,71,3,4,4,5,3,7,56,23,82,176,181,356,24,20,42,151,139,290,45,53,96
UCL222100,162,175,331,62,26,89,26,43,67,9,11,20,6,7,8,102,88,190,45,59,108,5.9,8,4.2,63,50.3,57.4,59.9,45.7,53.2,3,0,8,4,0,5,7,15,22,10,19,28,55,25,79,3,3,5,3,9,11,58,36,95,162,161,320,26,35,61,90,75,159,86,112,200
UCL222101,135,111,252,29,15,45,19,19,39,3,3,7,9,8,20,60,43,105,63,57,120,15,18.6,19,44.4,38.7,41.7,37.8,33.3,36.1,4,0,3,0,0,0,0,7,6,8,10,22,33,10,45,0,3,5,0,3,4,32,23,53,120,106,219,14,11,25,94,78,169,42,32,73
UCL222102,83,79,161,42,23,66,7,19,21,5,6,8,3,4,4,55,47,102,22,33,54,5.5,8.5,3.9,66.3,59.5,63.4,65.1,60.8,59,0,3,3,0,0,3,7,5,17,9,10,20,22,10,31,0,0,0,3,10,11,25,18,44,87,79,164,8,8,12,66,63,123,27,20,45
UCL222103,103,101,206,62,26,89,9,38,44,0,5,5,3,0,3,71,68,143,21,22,50,4.2,0,2.1,68.9,67.3,69.4,68.9,68.3,67,0,0,0,0,3,5,3,9,16,9,9,15,39,4,40,0,0,0,0,0,3,38,10,49,112,101,210,11,7,19,90,83,175,20,21,35
UCL222104,150,164,310,65,45,112,16,47,67,3,5,9,3,0,11,95,101,197,53,59,107,3.2,0,5.6,63.3,61.6,63.5,56,59.1,60.6,3,5,7,3,4,9,3,17,21,9,17,21,46,31,76,0,4,6,0,3,3,48,35,85,165,186,347,15,14,32,126,126,253,43,60,103
UCL222105,133,132,265,52,26,76,19,34,52,3,5,4,0,0,0,71,65,135,53,62,116,0,0,0,53.4,49.2,50.9,55.6,49.2,49.8,3,5,7,4,6,13,16,22,40,7,13,20,42,16,54,0,3,3,0,0,0,38,20,57,122,129,253,22,25,43,101,111,215,41,39,76
UCL222106,137,119,263,74,37,112,10,47,57,3,0,6,6,5,10,98,88,184,31,25,58,6.1,5.7,5.4,71.5,73.9,70,63.5,70.6,66.5,4,4,5,3,6,13,13,21,35,12,15,19,46,11,63,0,4,4,3,6,10,51,17,69,164,144,306,10,9,24,109,96,204,55,52,103
UCL222107,185,186,373,96,25,123,14,64,79,11,10,18,10,11,18,129,109,238,48,68,116,7.8,10.1,7.6,69.7,58.6,63.8,65.4,53.2,59,3,3,3,0,6,9,0,20,19,10,21,27,77,32,110,0,0,3,3,3,11,84,42,123,198,205,405,35,18,53,132,127,266,81,72,154
UCL222108,173,201,382,47,32,78,22,41,67,6,7,7,5,0,7,81,81,166,82,107,190,6.2,0,4.2,46.8,40.3,43.5,43.4,39.8,39.8,0,5,5,0,0,6,4,15,23,6,16,21,59,29,85,0,0,0,6,6,12,59,33,96,160,175,336,31,37,63,112,130,242,72,77,143
