UCL_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
UCL213001,6568,7138,13703,3232,1662,4891,672,1813,2482,191,225,417,271,260,528,4372,3955,8326,1812,2775,4590,6.2,6.6,6.3,66.6,55.4,60.8,62.3,51.8,56.8,142,171,309,75,193,262,461,806,1262,474,787,1260,1900,894,2797,51,102,157,97,179,278,2051,1172,3222,6730,7119,13842,924,1028,1951,4369,4572,8940,2886,3257,6148
UCL213002,4888,5770,10661,1721,938,2654,575,1275,1849,148,193,339,188,148,336,2635,2552,5187,1743,2569,4314,7.1,5.8,6.5,53.9,44.2,48.7,50,41.7,45.4,68,67,130,48,104,153,273,535,808,286,564,850,1317,674,1991,40,93,129,82,130,220,1440,894,2340,4401,5003,9400,863,1002,1864,2872,3210,6082,2097,2466,4565
UCL213003,4662,5075,9737,1942,933,2871,608,1324,1937,155,167,318,134,96,233,2844,2517,5366,1490,2202,3694,4.7,3.8,4.3,61,49.6,55.1,58,47.8,52.6,48,60,102,38,70,108,224,431,658,255,458,711,1208,662,1868,46,75,116,77,109,190,1333,839,2172,4501,4744,9246,745,799,1544,3165,3367,6530,1813,1901,3711
UCL213004,4455,5006,9459,1921,908,2829,492,1178,1673,120,165,287,157,159,316,2691,2413,5102,1433,2237,3668,5.8,6.6,6.2,60.4,48.2,53.9,56.9,45,50.6,69,74,137,52,126,179,272,497,764,297,495,790,1405,749,2153,30,89,116,61,129,190,1498,968,2460,4132,4532,8661,941,1081,2018,2370,2581,4956,2454,2729,5182
UCL213005,4785,5443,10230,1939,975,2918,579,1493,2070,143,151,287,180,154,331,2837,2772,5601,1699,2393,4086,6.3,5.6,5.9,59.3,50.9,54.8,55.6,48.1,51.6,90,93,179,75,138,213,371,620,993,421,637,1051,1475,774,2246,45,80,128,83,148,230,1596,1007,2609,4672,5051,9725,808,927,1740,2994,3321,6317,2248,2541,4784
UCL213006,4975,5628,10605,2025,1196,3218,565,1394,1960,179,206,379,170,145,311,2934,2940,5869,1655,2238,3897,5.8,4.9,5.3,59,52.2,55.3,55.7,49.7,52.4,42,83,128,59,122,182,344,568,915,265,510,776,1404,719,2121,38,72,107,60,109,167,1503,903,2401,4703,5156,9860,818,930,1752,3178,3435,6611,2100,2385,4485
UCL213007,5925,6757,12681,2664,1381,4049,720,1821,2536,187,244,431,231,174,402,3799,3617,7423,1752,2747,4497,6.1,4.8,5.4,64.1,53.5,58.5,60.3,51,55.3,106,124,229,60,170,230,385,792,1174,380,687,1063,1577,847,2418,70,115,181,75,134,207,1713,1094,2808,5808,6230,12030,1024,1255,2279,3914,4228,8149,2551,2954,5506
UCL213008,5034,5404,10440,2731,1311,4046,569,1617,2188,155,201,354,166,155,322,3626,3278,6904,1212,1889,3099,4.6,4.7,4.7,72,60.7,66.1,68.6,57.9,63.1,95,100,198,53,124,180,412,689,1101,479,617,1095,1511,813,2329,42,81,126,84,115,198,1640,1010,2650,5172,5345,10515,831,930,1755,3283,3359,6639,2417,2662,5076
UCL213009,4476,4985,9461,2150,1099,3252,532,1525,2060,132,184,316,166,154,321,2980,2966,5947,1305,1815,3123,5.6,5.2,5.4,66.6,59.5,62.9,62.9,56.3,59.5,76,96,169,47,104,152,305,603,912,417,623,1044,1426,808,2232,36,73,108,86,112,196,1550,992,2538,4561,4896,9456,696,799,1493,2743,2877,5621,2217,2559,4773
UCL213010,6071,6579,12650,2010,919,2932,617,1463,2083,148,185,329,462,324,787,3238,2891,6130,2339,3220,5559,14.3,11.2,12.8,53.3,43.9,48.5,45.7,39,42.2,39,55,91,37,87,118,216,437,655,323,504,822,1904,913,2819,68,122,189,99,155,251,2067,1192,3260,5690,6020,11709,821,964,1781,4170,4350,8525,2055,2340,4400
UCL213011,5425,5788,11213,1606,777,2388,526,1124,1645,158,139,299,440,309,745,2729,2348,5076,2139,2859,5005,16.1,13.2,14.7,50.3,40.6,45.3,42.2,35.2,38.6,37,41,85,52,57,111,215,353,572,288,384,675,1499,715,2216,64,131,191,73,118,186,1633,962,2590,4945,5071,10018,819,941,1754,3542,3636,7177,1962,2101,4065
UCL213012,6779,7555,14333,3035,1522,4563,1005,2382,3385,206,256,462,204,180,383,4447,4344,8791,2009,2885,4895,4.6,4.1,4.4,65.6,57.5,61.3,62.6,55.1,58.7,309,339,650,205,414,622,1067,1569,2640,683,1013,1698,1799,759,2556,35,73,106,96,159,255,1928,988,2919,6815,7281,14097,1256,1398,2659,4438,4681,9113,3330,3743,7074
UCL213013,4067,4265,8336,1536,659,2198,457,1045,1500,161,161,322,185,133,320,2337,2003,4342,1392,1906,3297,7.9,6.6,7.4,57.5,47,52.1,53,43.7,48.2,38,38,73,32,82,113,206,353,563,177,381,554,1131,552,1689,41,85,125,67,95,160,1238,731,1976,3876,3965,7838,545,609,1156,2763,2785,5549,1438,1568,3002
UCL213014,5169,5799,10969,2172,1126,3298,563,1431,1993,167,180,352,225,189,413,3127,2929,6058,1625,2434,4058,7.2,6.5,6.8,60.5,50.5,55.2,56.1,47.2,51.4,99,131,234,79,170,249,432,720,1152,397,550,944,1399,725,2125,46,78,121,54,118,180,1501,927,2427,4826,5194,10022,946,1101,2051,3107,3409,6513,2383,2614,4991
UCL213015,4122,4480,8603,1776,950,2727,440,1041,1481,137,149,279,133,101,237,2485,2235,4722,1182,1775,2959,5.4,4.5,5,60.3,49.9,54.9,57.1,47.8,52.2,31,53,81,43,85,127,256,458,713,251,353,608,977,503,1478,27,70,99,46,84,130,1048,662,1709,3771,4075,7848,693,708,1399,2467,2639,5109,1728,1866,3588
UCL213016,6289,6741,13025,3101,1543,4644,843,2184,3023,203,249,447,175,184,355,4322,4154,8478,1641,2261,3909,4,4.4,4.2,68.7,61.6,65.1,65.9,59,62.3,313,344,660,164,315,481,1193,1540,2734,660,903,1568,1523,601,2119,29,76,104,80,145,222,1628,820,2446,6184,6478,12663,1427,1455,2875,3630,3786,7415,3596,3823,7418
UCL213017,6989,8234,15223,2857,1529,4382,808,2096,2905,220,277,499,227,213,438,4110,4120,8232,2336,3410,5746,5.5,5.2,5.3,58.8,50,54.1,55.6,47.4,51.1,123,147,275,106,202,307,509,936,1445,475,804,1280,1863,1015,2886,66,124,190,104,183,287,2038,1323,3358,6721,7552,14272,1155,1325,2486,4656,5214,9872,2897,3337,6233
UCL213018,5435,6249,11683,2372,1162,3534,624,1598,2222,155,200,352,173,200,375,3327,3160,6484,1768,2659,4427,5.2,6.3,5.8,61.2,50.6,55.5,58,47.4,52.3,156,165,323,119,193,311,518,794,1315,395,671,1067,1503,764,2264,37,116,147,69,135,207,1602,1012,2620,5126,5683,10804,971,1104,2074,3288,3761,7048,2583,2866,5456
UCL214001,2825,3001,5826,1060,605,1670,360,689,1050,88,98,185,118,76,197,1626,1475,3104,1049,1354,2407,7.3,5.2,6.3,57.6,49.2,53.3,53.4,46.4,49.9,20,33,58,22,66,89,132,261,397,174,272,449,662,375,1041,29,39,71,44,70,114,733,486,1218,2654,2775,5429,480,488,972,1922,2010,3929,1059,1137,2202
UCL214002,3634,4218,7848,1302,684,1986,366,895,1262,100,131,229,129,102,234,1895,1813,3711,1475,2085,3561,6.8,5.6,6.3,52.1,43,47.3,48.7,40.5,44.3,43,65,108,48,87,135,198,357,554,254,397,651,954,514,1463,29,80,111,64,83,145,1045,676,1719,3363,3749,7116,588,680,1271,2367,2607,4974,1437,1669,3102
UCL214003,4209,4203,8408,1182,696,1877,576,1079,1652,83,123,209,108,104,214,1949,2004,3954,1949,1800,3749,5.5,5.2,5.4,46.3,47.7,47,43.7,45.2,44.5,182,248,434,108,216,320,469,731,1199,279,435,710,752,339,1090,26,49,71,53,58,117,831,447,1272,3293,3790,7088,533,609,1146,2301,2549,4855,1362,1689,3047
UCL214004,2158,2279,4437,797,371,1171,186,451,633,76,80,155,58,74,129,1113,970,2089,859,1123,1975,5.2,7.6,6.2,51.6,42.6,47.1,49.1,39.6,44.2,11,28,40,16,21,38,104,162,265,96,193,284,510,239,748,18,40,56,35,47,82,560,329,886,2003,2089,4092,369,358,727,1382,1420,2801,864,910,1775
UCL214005,424,430,856,176,91,269,43,103,145,17,14,31,12,14,29,242,229,470,158,186,346,5,6.1,6.2,57.1,53.3,54.9,55.7,48.4,52,0,0,4,3,9,9,8,45,49,21,33,56,126,54,180,4,4,10,6,6,11,134,71,208,419,412,830,51,63,117,286,291,576,169,178,344
UCL214006,3568,3910,7483,1936,876,2812,398,1238,1633,95,136,225,105,126,231,2531,2369,4899,832,1305,2139,4.1,5.3,4.7,70.9,60.6,65.5,68.1,57.5,62.4,144,118,266,94,164,255,452,737,1191,344,481,823,1006,407,1411,17,45,66,58,107,163,1083,556,1639,3735,3944,7674,626,635,1265,2397,2509,4902,1721,1865,3586
UCL214007,3450,3981,7429,1374,752,2119,448,999,1442,118,138,259,126,89,213,2064,1975,4039,1168,1744,2911,6.1,4.5,5.3,59.8,49.6,54.4,56.2,47.5,51.4,71,56,125,43,87,132,250,447,695,192,353,542,930,474,1403,42,81,126,48,72,115,1021,630,1649,3257,3659,6921,589,649,1231,2365,2654,5021,1294,1471,2766
UCL214008,3292,3662,6947,1418,656,2069,391,1006,1394,131,132,267,107,83,187,2042,1873,3913,1059,1576,2627,5.2,4.4,4.8,62,51.1,56.3,58.9,49,53.7,58,78,139,52,90,140,271,447,719,242,433,668,941,457,1402,32,60,98,46,85,128,1022,602,1625,3294,3531,6825,459,512,967,2297,2420,4719,1240,1445,2686
UCL214009,1969,2258,4223,629,327,955,241,498,734,65,73,141,52,39,97,982,941,1927,856,1157,2012,5.3,4.1,5,49.9,41.7,45.6,47.5,39.8,43.3,57,78,136,46,88,128,225,337,561,177,270,444,546,212,755,5,30,32,36,56,94,586,301,883,1825,1990,3815,371,431,799,1112,1213,2325,980,1120,2101
UCL214010,2642,2848,5491,1183,572,1753,255,691,946,77,100,178,92,89,180,1605,1454,3061,858,1192,2051,5.7,6.1,5.9,60.7,51.1,55.7,57.3,47.9,52.4,48,56,104,31,66,103,139,295,437,176,288,463,803,362,1170,29,44,73,44,91,134,875,494,1370,2665,2678,5343,463,530,992,1711,1737,3450,1219,1349,2568
UCL214011,2301,2614,4916,830,442,1270,242,549,789,99,75,170,82,70,150,1250,1129,2388,868,1234,2104,6.6,6.2,6.3,54.3,43.2,48.6,50.9,40.8,45.3,19,26,46,19,50,66,118,216,337,121,230,351,619,320,937,18,55,69,44,45,93,679,426,1107,2217,2410,4626,318,320,643,1546,1701,3242,861,926,1789
UCL214012,2517,2699,5210,633,326,959,251,554,804,89,105,193,102,78,175,1073,1064,2136,1158,1331,2487,9.5,7.3,8.2,42.6,39.4,41,38.7,36.5,37.5,23,27,47,16,39,56,95,201,296,152,230,378,735,317,1053,24,47,72,60,66,125,821,433,1252,2193,2317,4507,401,432,834,1565,1627,3194,920,999,1921
UCL214013,1911,2207,4116,766,350,1120,239,550,788,65,70,135,53,50,108,1130,1017,2145,650,1026,1681,4.7,4.9,5,59.1,46.1,52.1,56,44,49.6,28,38,67,20,56,77,121,230,351,110,219,322,555,258,812,18,33,52,19,49,72,595,344,936,1799,2044,3844,357,391,742,1204,1377,2590,835,951,1783
UCL214014,2977,3348,6328,828,441,1264,331,671,999,78,82,158,134,85,214,1361,1271,2633,1413,1827,3241,9.8,6.7,8.1,45.7,38,41.6,41.6,35.7,38.3,23,25,48,22,34,53,111,223,335,113,235,354,822,399,1222,38,56,89,45,69,110,905,521,1422,2773,3043,5813,465,523,987,1979,2110,4094,1127,1317,2442
UCL214015,2934,3132,6063,722,382,1102,306,572,883,70,74,151,113,93,209,1212,1129,2338,1479,1747,3223,9.3,8.2,8.9,41.3,36,38.6,37.4,32.8,35.2,63,79,136,42,72,119,237,332,571,231,336,566,834,296,1132,19,47,68,39,92,135,898,440,1339,2548,2700,5244,463,486,947,1694,1725,3415,1247,1375,2623
UCL214016,2419,2516,4937,819,427,1251,261,569,835,74,63,140,88,87,177,1250,1150,2400,897,1072,1974,7,7.6,7.4,51.7,45.7,48.6,47.7,42.1,45.1,12,25,36,21,28,48,104,171,276,131,219,353,570,294,860,27,51,80,40,48,89,632,395,1032,2088,2206,4292,390,353,744,1549,1600,3149,801,843,1642
UCL214017,2249,2463,4715,809,470,1279,247,494,745,72,75,147,98,48,144,1232,1089,2316,843,1176,2019,8,4.4,6.2,54.8,44.2,49.1,50.2,42.2,46,22,26,45,13,27,46,97,200,292,124,204,320,554,273,826,29,45,73,29,56,79,613,368,980,2103,2159,4257,305,397,695,1548,1590,3141,748,884,1635
UCL214018,3225,3342,6564,1699,848,2549,338,902,1243,119,121,234,116,143,260,2270,2012,4281,714,1063,1775,5.1,7.1,6.1,70.4,60.2,65.2,66.9,56,61.3,55,42,98,31,82,111,164,308,472,198,363,563,962,457,1417,28,66,91,42,95,135,1033,614,1649,3335,3391,6727,479,495,975,2245,2222,4466,1341,1449,2793
UCL214019,3089,3518,6602,881,405,1290,410,803,1217,98,119,220,131,109,240,1529,1443,2969,1290,1755,3043,8.6,7.6,8.1,49.5,41,45,45,37.7,41.3,22,34,56,29,53,76,129,248,374,149,278,431,840,422,1263,28,63,96,47,72,121,924,558,1475,2808,3109,5921,528,599,1126,1820,2046,3870,1331,1506,2840
UCL214020,3125,3369,6492,1086,479,1558,257,763,1023,106,107,206,88,74,163,1535,1419,2949,1261,1621,2885,5.7,5.2,5.5,49.1,42.1,45.4,46.4,40,42.9,32,43,73,24,55,75,163,290,456,179,267,450,908,413,1319,21,59,82,48,66,115,977,542,1519,2814,2962,5776,544,587,1133,1862,1959,3823,1317,1433,2752
UCL215001,470,489,965,155,86,237,100,149,247,8,11,17,5,13,18,267,252,522,171,201,373,1.9,5.2,3.4,56.8,51.5,54.1,56,50.3,51.9,13,37,51,10,17,32,91,117,212,57,70,131,112,27,142,3,4,10,11,12,26,126,47,172,436,437,866,79,72,148,323,323,654,179,178,355
UCL215002,1005,1068,2069,368,178,544,105,234,337,30,30,65,29,35,60,537,472,1010,380,515,892,5.4,7.4,5.9,53.4,44.2,48.8,50,41.4,45.7,7,26,36,19,22,45,61,104,169,75,108,185,280,117,392,3,18,21,15,25,41,300,157,450,908,975,1887,152,157,311,623,656,1281,394,428,817
UCL215003,1047,1114,2157,394,210,608,148,316,461,29,46,78,18,10,32,594,585,1184,380,472,845,3,1.7,2.7,56.7,52.5,54.9,54.5,51.3,53.2,53,57,112,22,60,80,198,250,445,110,147,252,258,78,341,10,17,19,20,24,41,285,119,404,963,996,1967,187,173,357,691,685,1375,418,460,875
UCL215004,569,596,1167,178,107,280,119,161,279,26,35,56,9,7,16,329,304,633,181,245,423,2.7,2.3,2.5,57.8,51,54.2,56.8,50.8,52.7,6,13,20,10,24,30,50,82,133,40,77,123,167,66,228,4,5,10,12,8,19,175,78,254,491,524,1009,96,104,198,311,327,633,250,268,512
UCL215005,879,977,1854,352,182,536,100,217,320,33,27,54,52,30,80,532,455,986,284,451,737,9.8,6.6,8.1,60.5,46.6,53.2,55.2,43.6,49.1,13,24,30,22,28,54,60,117,178,68,92,158,236,116,357,11,16,25,14,22,39,258,160,417,906,947,1853,103,122,221,572,606,1173,376,419,799
UCL215006,900,997,1895,353,178,535,127,294,428,35,42,73,18,22,42,538,538,1076,296,390,689,3.3,4.1,3.9,59.8,54,56.8,57.2,51.6,54.7,38,37,79,29,52,83,131,196,331,107,135,244,245,98,340,4,11,12,15,17,33,262,124,383,900,984,1882,105,113,219,608,671,1280,363,379,745
UCL215007,1820,1864,3688,988,432,1418,192,573,766,64,92,155,38,47,81,1285,1138,2417,448,646,1094,3,4.1,3.4,70.6,61.1,65.5,68.4,58.9,63.4,19,30,53,23,50,70,116,240,356,157,217,370,617,317,935,14,31,44,28,53,73,657,399,1057,1998,1974,3977,316,306,622,1105,1079,2183,1013,1026,2038
UCL215008,619,633,1252,372,168,545,54,227,287,23,19,46,15,22,33,467,433,904,118,166,287,3.2,5.1,3.7,75.4,68.4,72.2,72.5,65.4,70.1,17,19,41,9,26,42,61,114,179,72,99,164,220,99,324,12,10,27,5,12,21,241,128,373,693,764,1458,97,100,194,445,470,914,297,323,615
UCL215009,356,351,706,111,47,156,52,97,142,13,11,23,10,5,18,180,161,342,158,165,329,5.6,3.1,5.3,50.6,45.9,48.4,49.4,44.2,45.5,0,3,3,0,4,7,8,24,33,8,31,38,90,44,134,0,3,6,10,6,14,96,60,158,362,326,684,31,41,72,260,236,499,101,112,218
UCL215010,858,827,1688,451,185,633,104,302,405,31,37,71,27,16,42,613,544,1151,199,243,443,4.4,2.9,3.6,71.4,65.8,68.2,68.3,63.4,65.7,29,23,51,19,34,52,102,147,246,69,105,180,281,78,357,3,13,16,15,23,34,298,110,412,931,873,1806,131,112,240,689,651,1341,325,291,617
UCL215011,435,478,918,131,44,180,38,106,145,9,19,24,14,3,17,189,174,366,210,253,465,7.4,1.7,4.6,43.4,36.4,39.9,40.9,35.4,38,0,4,7,8,6,8,22,32,55,17,46,62,96,43,143,4,4,11,3,8,11,108,55,161,403,415,817,58,77,135,284,302,584,153,166,321
UCL215012,1130,1323,2452,400,260,665,177,357,541,43,48,94,34,27,59,658,694,1355,382,533,919,5.2,3.9,4.4,58.2,52.5,55.3,54.9,50.3,53,46,60,109,31,74,102,137,236,369,105,193,301,278,115,388,11,18,30,13,25,42,305,158,457,1060,1231,2296,179,200,384,701,829,1529,482,560,1042
UCL215013,665,653,1317,416,201,613,52,164,218,17,34,52,21,22,38,505,420,927,111,192,299,4.2,5.2,4.1,75.9,64.3,70.4,72.9,61.1,67,12,10,24,10,11,18,36,80,117,57,88,142,190,85,274,4,17,22,13,16,30,208,118,327,656,627,1281,203,195,393,197,205,400,564,543,1106
UCL215014,490,484,971,277,130,399,46,153,196,14,20,34,12,19,33,346,318,668,121,143,259,3.5,6,4.9,70.6,65.7,68.8,68.8,62.6,64.8,3,4,9,4,9,13,11,36,51,31,54,89,174,81,255,0,10,11,7,18,22,187,105,294,490,496,989,68,67,130,362,376,739,161,158,321
UCL215015,931,1009,1941,309,198,502,145,233,382,31,29,62,24,10,29,503,471,974,330,438,766,4.8,2.1,3,54,46.7,50.2,52.1,45.6,48.7,26,16,41,21,33,55,107,153,261,82,117,202,230,83,312,8,8,14,9,30,37,246,118,364,844,874,1718,152,180,334,571,572,1138,394,431,829
UCL215016,1479,1559,3042,698,320,1015,144,388,538,55,46,100,56,61,119,959,818,1772,436,649,1088,5.8,7.5,6.7,64.8,52.5,58.3,60.6,48.4,54.3,7,9,23,8,28,39,48,111,157,97,160,255,460,209,667,15,36,52,23,34,50,494,278,772,1509,1541,3050,212,227,439,999,1035,2037,615,649,1258
UCL215017,737,807,1545,351,142,494,67,223,294,22,38,59,20,18,40,462,429,888,228,325,552,4.3,4.2,4.5,62.7,53.2,57.5,59.7,49.9,54.8,8,10,17,7,19,28,47,74,121,35,101,139,272,103,377,8,14,22,8,24,35,285,142,422,751,811,1558,107,117,227,540,557,1096,282,332,616
UCL215018,1168,1331,2496,423,194,618,136,324,461,33,46,81,37,19,58,632,585,1212,444,644,1090,5.9,3.2,4.8,54.1,44,48.6,50.7,42.4,46.5,20,22,42,17,15,31,58,130,191,71,89,161,297,151,448,6,24,35,19,30,46,321,201,529,1098,1228,2320,175,194,374,823,918,1741,396,442,840
UCL215019,646,673,1318,259,120,381,109,209,314,27,38,63,29,19,50,426,377,804,193,263,457,6.8,5,6.2,65.9,56,61,61.1,54.5,57.5,13,15,33,13,24,33,77,106,180,49,94,141,211,85,291,8,13,20,9,15,24,232,114,340,629,635,1264,145,151,292,434,426,854,283,327,609
UCL215020,562,605,1165,146,80,232,58,124,180,19,15,25,19,9,27,244,227,467,258,316,571,7.8,4,5.8,43.4,37.5,40.1,39.7,36.2,37.5,5,10,9,4,12,12,17,43,61,18,52,66,125,67,188,7,11,15,10,11,23,143,83,223,505,558,1062,77,82,157,379,435,822,181,183,371
UCL215021,492,522,1015,188,112,300,62,133,202,17,22,37,25,17,43,298,288,583,160,188,348,8.4,5.9,7.4,60.6,55.2,57.4,54.3,51.1,53.1,3,3,9,3,10,16,24,47,69,24,62,82,147,72,222,10,4,19,10,12,22,174,94,265,483,515,996,63,68,128,350,359,709,171,191,363
UCL215022,1825,1925,3748,570,293,861,197,458,659,50,37,91,144,101,241,954,888,1845,679,842,1520,15.1,11.4,13.1,52.3,46.1,49.2,44.8,40.9,43,55,48,99,22,27,48,122,184,307,98,146,240,519,219,739,25,42,70,20,23,50,566,287,851,1645,1688,3332,268,334,600,1151,1135,2286,675,812,1490
UCL215023,641,673,1318,269,111,383,64,153,218,18,27,40,21,16,34,371,305,674,231,329,558,5.7,5.2,5,57.9,45.3,51.1,54.8,43.2,48.6,0,0,3,7,11,14,31,51,77,32,49,83,163,79,241,6,5,14,3,15,19,172,99,276,644,627,1269,75,89,163,482,482,963,208,210,412
UCL215024,760,845,1605,242,105,348,75,184,255,25,17,40,21,14,35,363,316,676,333,467,798,5.8,4.4,5.2,47.8,37.4,42.1,45,36.2,40.1,4,6,10,9,12,20,33,57,91,30,58,89,189,78,269,7,6,14,3,14,14,197,99,301,693,809,1495,93,110,199,515,558,1076,251,301,557
UCL215025,491,513,1010,161,66,228,51,103,157,18,17,31,14,6,19,245,194,442,195,261,455,5.7,3.1,4.3,49.9,37.8,43.8,46.8,36.3,41.2,3,5,11,5,8,14,27,34,55,22,39,67,146,66,208,3,11,18,10,3,13,161,83,240,427,444,874,83,77,162,293,329,625,197,185,380
UCL215026,1962,2295,4251,532,273,811,255,505,761,64,75,142,71,61,127,924,918,1837,889,1222,2110,7.7,6.6,6.9,47.1,40,43.2,43.4,37.2,40.3,30,35,73,22,54,79,147,216,364,170,256,429,571,206,778,17,28,43,35,68,100,620,302,922,1710,1950,3659,403,452,854,1010,1126,2134,1031,1210,2240
UCL215027,1081,1206,2285,359,163,528,98,241,340,37,48,88,45,33,73,545,485,1023,446,591,1039,8.3,6.8,7.1,50.4,40.2,44.8,45.7,37.5,41.8,35,25,56,21,38,58,69,109,180,79,136,216,298,146,441,13,19,30,17,33,51,328,191,523,993,1068,2061,131,194,329,670,701,1373,407,488,899
UCL215028,1313,1636,2948,427,270,692,230,448,674,51,53,104,39,33,78,745,804,1546,483,732,1212,5.2,4.1,5,56.7,49.1,52.4,53.9,47.1,49.9,60,76,141,33,67,104,162,288,444,129,181,317,272,116,391,10,15,32,26,22,49,312,159,469,1215,1428,2647,204,284,483,827,944,1768,546,714,1261
UCL215029,864,887,1747,448,258,714,98,237,337,36,44,74,25,24,51,612,564,1174,200,270,471,4.1,4.3,4.3,70.8,63.6,67.2,67.4,60.8,64.4,14,16,30,9,11,22,64,115,176,53,99,156,261,128,396,0,17,20,15,34,47,282,182,463,785,778,1560,183,213,391,531,509,1036,387,436,820
UCL215030,570,657,1222,177,84,267,49,112,153,18,16,40,10,15,25,256,227,483,260,343,601,3.9,6.6,5.2,44.9,34.6,39.5,42.8,32.3,37.6,4,6,9,3,10,14,28,47,76,33,65,95,129,48,177,0,8,10,14,10,21,145,68,217,540,590,1125,61,62,121,402,441,851,171,189,360
UCL215031,568,623,1186,199,73,274,59,132,184,19,19,36,14,10,23,286,233,517,208,314,521,4.9,4.3,4.4,50.4,37.4,43.6,48.8,36,41.7,4,3,5,4,16,15,28,45,73,21,42,63,139,56,194,3,18,23,3,8,8,143,79,227,525,542,1067,67,86,155,405,403,802,168,191,359
UCL215032,1156,1305,2465,385,212,590,141,276,420,42,33,77,34,28,61,595,550,1142,461,640,1104,5.7,5.1,5.3,51.5,42.1,46.3,49.1,39.9,44.1,18,16,35,19,28,49,64,113,182,65,128,189,283,152,435,4,12,16,13,23,42,305,189,491,1088,1165,2257,170,195,368,759,827,1587,449,478,924
UCL215033,875,913,1793,642,336,979,74,260,332,31,47,79,24,33,53,764,684,1445,85,209,294,3.1,4.8,3.7,87.3,74.9,80.6,85.4,70.4,77.5,22,38,58,23,45,69,107,184,288,90,120,213,279,134,407,7,13,19,24,20,50,312,169,476,989,1017,2006,197,208,406,296,348,645,769,764,1532
UCL215034,471,568,1040,116,60,178,58,107,166,12,21,31,10,14,25,206,199,401,241,340,582,4.9,7,6.2,43.7,35,38.6,39.5,33.1,36.1,9,9,12,0,18,19,32,49,78,36,42,79,131,53,184,0,12,10,10,10,22,145,65,210,417,507,926,73,73,150,282,335,617,184,235,416
UCL215035,485,495,974,246,80,330,56,158,207,15,29,41,10,10,23,325,275,602,126,185,313,3.1,3.6,3.8,67,55.6,61.8,65.4,53.9,59.3,14,3,18,0,14,11,23,50,76,22,47,72,186,66,253,4,8,13,6,13,22,200,92,288,526,505,1033,63,66,137,338,337,672,210,208,416
UCL215036,450,444,891,225,84,310,54,131,188,25,28,52,17,14,33,320,261,577,109,156,262,5.3,5.4,5.7,71.1,58.8,64.8,67.6,54.7,61.7,4,7,14,14,10,24,39,67,105,28,58,86,141,57,202,3,7,11,3,6,13,152,74,225,503,467,974,50,68,124,323,305,625,197,196,396
