UCL_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL201001,265276,164993,82466,36526,2115997
UCL203001,10957,7245,4013,2033,75861
UCL211001,2423,1553,648,225,16117
UCL211002,6450,4589,2452,947,44154
UCL211003,6629,4509,2430,1188,43200
UCL211004,2878,1753,595,168,21781
UCL212001,2060,1477,836,370,14194
UCL212002,2802,1848,985,458,19162
UCL212003,2497,1387,604,234,15872
UCL212004,1803,1147,675,284,12022
UCL212005,2284,1528,848,398,14242
UCL213001,1134,777,327,130,7626
UCL213002,954,851,548,302,6055
UCL213003,809,553,338,161,4900
UCL213004,812,690,346,123,5396
UCL213005,1097,854,537,184,6103
UCL213006,904,718,457,213,5798
UCL213007,1126,708,384,193,6838
UCL213008,827,500,210,72,5992
UCL213009,766,614,307,99,5551
UCL213010,1171,859,514,207,6661
UCL213011,938,698,424,152,5730
UCL213012,1850,1380,482,188,9610
UCL213013,812,526,280,127,4389
UCL213014,1003,667,382,178,6340
UCL213015,636,463,268,133,4562
UCL213016,1376,987,376,129,8955
UCL213017,1381,971,641,427,8560
UCL213018,1125,935,465,162,6826
UCL214001,479,403,199,85,2854
UCL214002,745,640,391,190,4204
UCL214003,1006,813,467,210,5685
UCL214004,305,298,199,61,2107
UCL214005,69,79,23,4,421
UCL214006,659,516,215,110,4823
UCL214007,682,531,302,162,3984
UCL214008,717,533,266,97,4012
UCL214009,481,558,267,97,2661
UCL214010,422,342,196,59,3108
UCL214011,412,341,221,116,2601
UCL214012,590,574,283,137,2874
UCL214013,338,335,167,69,2215
UCL214014,491,522,309,135,3061
UCL214015,842,858,360,167,3592
UCL214016,443,318,187,112,2575
UCL214017,391,348,194,77,2349
UCL214018,532,273,88,18,3635
UCL214019,577,519,344,150,3386
UCL214020,609,588,372,170,3624
UCL215001,187,120,65,13,702
UCL215002,211,196,104,47,1150
UCL215003,307,305,119,47,1515
UCL215004,149,124,47,18,735
UCL215005,186,132,66,39,1072
UCL215006,270,205,123,33,1329
UCL215007,252,171,71,18,2231
UCL215008,128,53,17,4,886
UCL215009,71,57,21,3,313
UCL215010,206,132,62,21,1123
UCL215011,81,95,60,37,455
UCL215012,360,287,156,63,1691
UCL215013,60,28,7,0,768
UCL215014,66,51,25,3,526
UCL215015,235,226,101,56,1211
UCL215016,265,143,63,32,1577
UCL215017,130,105,44,22,902
UCL215018,210,208,131,47,1292
UCL215019,151,108,39,6,863
UCL215020,84,95,68,32,547
UCL215021,121,91,33,8,585
UCL215022,349,260,87,24,2092
UCL215023,86,78,48,23,604
UCL215024,119,139,90,23,722
UCL215025,86,72,53,25,544
UCL215026,454,511,257,167,2452
UCL215027,247,216,139,69,1386
UCL215028,402,286,137,52,1839
UCL215029,150,74,19,3,1028
UCL215030,129,78,53,36,598
UCL215031,106,104,66,45,604
UCL215032,224,205,135,94,1290
UCL215033,95,42,0,0,1212
UCL215034,101,119,56,55,536
UCL215035,82,71,22,3,559
UCL215036,86,46,19,3,540
UCL215037,170,152,102,31,797
UCL215038,85,69,60,30,578
