UCL_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
UCL201001,21752,3984,1988,53,62,27835,8350,1429,614,18,9,10417,7351,1232,598,15,13,9207,12053,2046,1037,14,19,15167,17121,3007,1544,27,29,21732,52803,9806,5669,111,101,68486,66404,12371,7136,125,141,86176,92938,15793,9342,180,198,118448,42547,8147,4243,85,115,55135,37589,8116,3332,59,104,49199,28799,6389,2092,43,91,37412,19369,2865,1231,40,48,23550,407073,75181,38830,773,930,522783
UCL203001,886,57,11,0,0,952,507,42,7,0,0,557,448,40,7,0,0,496,884,74,23,4,0,982,1202,112,33,3,0,1350,3484,290,85,8,8,3872,3714,230,40,9,7,4001,3492,170,32,20,9,3721,1186,56,12,6,0,1255,828,27,5,0,0,868,429,20,0,0,4,452,745,53,11,5,0,815,17804,1167,266,65,35,19334
UCL211001,169,10,0,0,0,176,106,5,0,0,0,108,97,3,0,0,0,107,207,15,3,0,0,223,315,23,5,0,0,339,1048,52,9,0,0,1107,1017,13,0,0,0,1038,682,3,3,0,0,686,179,0,0,0,0,179,111,0,0,0,3,117,61,0,0,0,0,61,160,7,3,0,0,172,4146,128,24,3,4,4309
UCL211002,428,34,4,0,0,467,314,30,0,0,0,348,304,29,5,0,0,339,568,64,9,3,3,648,968,91,3,3,0,1069,2714,246,21,5,10,2997,2285,171,15,0,5,2479,1648,89,4,0,6,1754,489,23,0,3,0,515,297,23,0,0,0,319,188,7,0,0,0,198,372,25,0,0,0,404,10572,828,74,18,35,11522
UCL211003,521,15,5,0,3,545,369,10,3,0,0,385,318,12,3,0,0,336,640,25,4,0,0,667,914,37,3,3,3,953,2744,86,18,0,5,2853,2640,50,15,3,3,2710,1859,31,8,4,7,1899,494,3,0,0,0,502,325,8,0,0,0,337,173,6,0,0,0,179,454,3,0,3,0,459,11441,284,58,16,28,11826
UCL211004,263,34,0,0,0,299,176,14,0,0,0,193,166,15,0,0,0,182,294,32,0,0,0,331,483,51,3,0,0,538,1828,205,5,0,3,2036,1916,167,3,0,3,2094,1318,90,0,0,7,1409,270,19,0,0,0,289,172,12,0,0,0,190,113,6,0,0,0,116,333,23,0,0,0,359,7342,653,11,0,12,8022
UCL212001,126,10,7,0,0,144,101,6,3,0,0,109,99,6,0,0,0,110,259,19,5,0,0,284,387,24,13,0,0,430,1074,60,9,0,0,1148,707,17,5,0,0,729,404,3,0,0,0,408,101,0,0,0,0,102,59,0,0,0,0,55,38,0,0,0,0,38,134,10,0,0,0,143,3495,156,47,4,4,3704
UCL212002,213,11,0,0,0,222,125,9,0,0,0,137,144,6,0,0,0,148,339,17,0,0,0,353,519,28,0,0,0,543,1376,37,0,0,0,1413,1068,21,0,0,0,1092,725,17,0,0,0,736,195,0,0,0,0,197,115,4,0,0,0,121,65,0,0,0,0,65,221,10,0,3,0,232,5096,157,0,9,7,5270
UCL212003,224,3,7,0,0,228,128,3,0,0,0,128,94,0,4,0,0,99,203,3,12,0,0,219,286,3,7,0,0,300,991,20,44,0,0,1052,1216,22,52,0,0,1296,1189,8,17,0,0,1214,422,0,0,0,0,422,278,3,0,0,0,282,113,0,0,0,0,119,217,3,3,0,0,226,5357,77,141,0,3,5582
UCL212004,124,3,5,0,0,131,78,0,5,0,0,82,86,3,3,0,0,95,224,4,3,0,0,236,331,7,8,0,0,351,863,21,12,0,0,900,729,11,12,0,0,749,578,10,3,0,0,594,148,0,0,0,0,148,81,4,0,0,0,90,58,0,0,0,0,58,126,3,0,0,0,136,3428,65,58,3,3,3558
