UCL_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
UCL201001,1630,9243,7756,7914,14710,12995,6395,8589,787,70016,2689,9448,7897,7498,17414,17874,5833,10158,18524,97352,59484,231310,205760,212936,382559,403468,184434,263038,37293,1980273
UCL203001,68,374,250,312,484,471,216,274,34,2466,109,296,185,242,404,451,162,282,562,2688,2737,9810,7826,8386,12698,12628,6292,8492,1264,70130
UCL211001,19,71,53,77,140,117,80,66,13,637,22,52,35,39,102,116,47,62,117,586,625,1799,1508,2020,3179,2774,1708,2103,259,15964
UCL211002,50,218,137,190,285,212,142,152,14,1398,65,163,85,98,205,206,70,142,302,1330,1625,5693,4405,5109,7590,6786,3852,4980,702,40738
UCL211003,64,215,148,195,309,240,162,189,16,1526,54,163,91,126,234,210,82,160,273,1398,1758,5587,4293,5202,7944,6558,3783,4775,694,40593
UCL211004,20,92,69,87,184,195,86,127,14,868,34,100,64,96,256,246,80,95,253,1219,771,2291,1938,2497,5016,4530,1972,2549,500,22062
UCL212001,9,47,36,52,123,108,35,57,7,476,29,58,38,46,91,91,31,49,130,576,475,1617,1260,1647,2908,2303,1176,1738,280,13397
UCL212002,21,91,84,81,203,163,80,94,14,833,36,75,63,64,138,132,51,84,207,842,721,2206,1784,2368,3841,3458,1810,2249,416,18868
UCL212003,23,88,69,67,129,138,75,106,5,692,23,54,36,43,114,140,43,65,110,635,554,1958,1745,1928,3347,3385,1647,2219,261,17038
UCL212004,10,71,39,41,94,82,28,54,3,418,12,31,24,18,51,55,21,50,94,355,492,1432,1091,1283,2186,1867,1143,1532,179,11209
UCL212005,12,102,49,52,107,98,29,53,3,502,17,50,33,31,90,73,30,36,113,469,587,2074,1499,1865,2588,2331,1285,1618,248,14105
UCL213001,3,38,18,31,65,64,27,48,3,295,8,23,27,28,46,76,27,48,69,349,267,933,724,823,1366,1575,786,1170,145,7794
UCL213002,8,34,22,24,32,42,17,38,4,225,15,16,7,15,28,39,5,19,42,196,242,609,533,711,888,736,399,634,102,4853
UCL213003,0,26,17,21,40,23,17,29,0,167,4,31,13,14,38,24,7,18,67,231,196,721,540,674,1068,702,481,621,122,5127
UCL213004,3,31,32,31,52,42,31,43,0,255,17,27,16,20,28,39,14,34,52,238,187,643,471,558,849,847,492,650,97,4789
UCL213005,5,30,29,23,54,30,14,25,3,221,10,29,10,17,25,31,15,18,51,206,189,734,666,670,962,899,427,630,99,5268
UCL213006,7,32,15,24,76,38,20,30,0,250,12,24,9,14,36,38,15,35,68,248,266,712,530,716,1015,898,559,755,120,5560
UCL213007,11,41,29,45,64,68,31,32,4,329,6,27,24,17,39,28,8,30,64,246,297,927,721,891,1379,1187,637,843,134,7014
UCL213008,7,40,19,26,48,34,21,30,3,221,10,17,11,18,40,43,16,36,51,241,253,842,639,707,1264,1318,607,855,97,6581
UCL213009,8,32,34,19,52,44,14,35,0,235,11,22,15,3,32,35,8,20,38,187,234,705,664,691,1066,1062,506,615,81,5630
UCL213010,8,26,23,22,51,48,13,28,0,221,8,21,15,13,40,37,11,22,62,235,213,787,617,680,1123,853,425,536,122,5344
UCL213011,3,24,10,18,31,35,15,27,0,164,11,13,12,11,33,21,12,17,59,201,180,589,495,564,899,636,361,496,115,4331
UCL213012,9,58,34,40,46,45,21,25,3,271,12,33,24,26,40,42,12,46,58,291,326,1209,1084,1096,1207,1489,720,1142,134,8407
UCL213013,0,30,19,24,36,21,21,18,4,166,14,24,8,13,22,19,11,24,44,177,214,552,444,505,626,641,407,523,111,4023
UCL213014,6,27,24,29,35,41,17,24,3,212,0,18,17,15,37,32,13,26,51,200,245,726,602,664,941,966,534,860,103,5646
UCL213015,3,27,13,15,51,35,21,21,3,185,10,21,11,16,18,26,13,24,36,175,176,558,396,533,878,844,396,601,102,4483
UCL213016,7,36,27,39,45,47,20,36,0,257,11,47,27,24,24,57,18,34,54,288,328,1154,905,960,1155,1487,714,1295,117,8121
UCL213017,6,30,27,26,57,76,16,54,4,295,8,40,16,21,42,57,17,36,71,308,332,975,849,1086,1440,1344,660,942,164,7789
UCL213018,8,45,35,39,74,44,29,37,3,315,12,16,15,9,27,25,13,21,50,201,262,835,664,727,1044,982,612,892,94,6111
UCL214001,5,17,9,17,19,18,11,16,0,120,7,8,11,3,16,11,4,14,25,107,141,379,279,389,555,534,236,340,45,2903
UCL214002,7,27,14,15,23,28,18,18,3,133,6,19,12,15,31,24,11,13,24,154,169,421,370,470,687,584,340,371,57,3476
UCL214003,3,11,5,14,24,23,11,16,3,120,9,30,15,18,18,17,8,18,32,176,148,583,493,580,555,602,316,405,62,3737
UCL214004,0,10,7,4,19,13,7,9,0,64,13,10,4,5,12,14,8,8,23,108,102,212,180,244,354,308,239,267,49,1954
UCL214005,0,4,0,0,5,6,3,3,0,24,0,0,0,3,3,3,3,3,3,23,16,48,53,44,78,92,49,45,8,438
UCL214006,3,25,20,23,17,23,21,22,0,149,0,22,16,12,24,24,11,28,25,158,173,630,507,503,683,823,493,812,57,4674
UCL214007,6,21,15,12,31,39,20,21,4,169,11,6,12,11,17,18,9,10,24,113,192,512,408,519,645,658,366,445,69,3818
UCL214008,6,19,18,17,40,40,20,18,0,187,13,24,12,22,35,37,15,18,49,219,160,488,445,461,623,607,351,489,102,3725
UCL214009,3,11,4,7,9,16,0,6,0,59,4,14,11,10,8,4,9,17,16,93,98,261,211,262,263,292,165,239,40,1832
UCL214010,3,14,5,12,22,15,15,23,4,111,7,12,12,11,29,20,13,11,26,136,117,345,305,297,496,525,315,414,62,2877
UCL214011,4,17,6,11,16,24,17,16,4,113,4,7,0,3,22,10,5,3,24,79,124,257,228,308,426,360,224,266,48,2233
UCL214012,3,8,9,6,11,9,3,18,0,71,7,8,9,10,3,7,0,9,32,87,137,297,230,282,296,247,132,285,61,1961
UCL214013,0,9,9,6,8,10,15,17,0,80,4,9,8,13,14,12,3,4,19,81,98,289,223,281,315,308,228,270,37,2041
UCL214014,7,11,13,5,27,11,7,10,3,86,3,6,10,14,22,24,11,7,26,117,100,353,305,338,483,352,176,250,62,2420
UCL214015,3,19,6,6,11,9,4,12,0,65,6,10,9,8,11,14,4,7,15,103,110,325,266,289,324,390,138,246,37,2131
