UCL_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
UCL201001,60,640,747,2187,4115,7395,13055,13408,3446,45053,254,847,3118,8297,2705,3460,1411,501,106,20699,3200,9011,16786,99017,12873,8794,5324,2316,834,158148,180,613,3905,8454,1490,975,733,294,103,16759,171,1494,1710,8869,1689,961,511,183,49,15641,167,1406,2284,7484,3250,1692,781,357,94,17522,107,630,404,5831,1617,1378,1301,903,434,12599,79,404,806,4146,4394,10140,16877,17230,7294,61376,132,620,976,3901,1171,449,334,105,69,7762,146,919,2569,7801,1590,620,241,85,16,13979,92,298,770,5124,3904,3061,1910,778,219,16156,581,2381,8562,18209,5994,6338,3630,1214,314,47223,4,39,120,587,1040,3539,5457,3061,806,14657,17,283,787,3962,1761,2021,1341,688,298,11160,53,725,1843,4672,1200,627,302,201,74,9694,48,322,1958,5994,265,156,54,15,3,8819,46,293,256,1333,912,1875,3372,2162,1046,11293,1343,7771,10344,30378,11188,7887,3586,1306,453,74261,10,79,113,941,685,721,854,515,183,4106,625,2031,3183,11644,1261,632,302,64,18,19763
UCL203001,0,0,3,6,26,38,95,82,32,289,3,12,50,45,14,16,14,3,0,160,43,112,361,1333,83,58,32,20,13,2066,3,11,37,69,37,6,14,4,0,184,5,69,70,205,41,27,12,3,3,439,18,38,13,97,27,6,4,0,0,209,3,23,17,92,57,43,53,28,18,334,0,7,15,43,86,191,354,363,178,1251,5,13,6,51,18,0,0,3,0,99,3,16,24,83,11,4,0,0,0,143,3,3,3,17,14,21,9,5,0,76,3,17,75,170,62,63,17,12,3,431,0,0,0,3,0,33,57,13,3,113,0,3,6,27,7,4,3,0,0,58,3,13,79,159,50,31,29,5,3,376,0,7,17,70,4,0,0,0,0,95,0,6,13,36,25,144,354,213,113,908,21,79,161,553,279,239,102,36,13,1486,0,7,5,29,34,68,69,46,10,272,16,72,78,185,17,5,6,0,0,378
UCL211001,0,0,0,0,0,3,3,3,0,7,0,0,0,3,0,5,4,0,0,9,9,20,5,195,19,12,9,4,3,282,0,0,0,3,5,0,0,0,0,13,0,0,0,15,0,3,0,0,0,21,0,0,0,3,0,0,0,0,0,3,0,0,0,14,3,3,4,4,0,34,0,0,3,6,0,9,21,18,9,64,0,0,0,3,0,0,0,0,0,6,0,3,0,9,0,0,0,0,0,20,0,0,0,3,3,3,0,0,0,15,0,3,3,13,4,5,5,0,0,31,0,0,0,0,0,3,7,3,0,9,0,3,0,8,3,0,0,0,0,16,0,0,0,4,0,0,0,0,0,10,3,27,26,15,0,0,0,0,0,74,0,0,3,6,6,23,51,26,11,131,0,24,26,95,60,47,36,11,3,299,0,0,0,3,3,3,5,0,0,19,0,3,0,24,0,0,0,0,0,28
UCL211002,0,0,0,0,3,9,17,20,5,57,0,9,9,8,9,9,9,0,0,47,15,66,69,574,61,32,27,5,6,847,0,3,9,20,3,4,7,0,0,47,0,3,4,36,3,4,5,0,0,58,0,3,0,18,11,0,0,0,0,32,0,5,6,34,13,11,22,18,8,122,0,0,0,3,11,26,47,47,31,167,0,6,3,42,7,3,3,9,0,79,0,4,3,24,0,0,0,0,0,38,0,0,0,5,3,0,0,0,0,12,0,18,21,64,28,29,7,9,0,180,0,0,0,3,3,16,26,10,0,53,0,0,3,9,0,4,0,0,0,22,0,0,3,9,3,0,0,3,0,14,0,0,3,27,3,0,0,0,0,36,3,3,3,12,19,77,201,148,32,493,8,45,75,208,127,125,65,35,13,706,0,0,0,3,12,11,17,16,5,62,0,9,9,46,4,3,0,0,0,65
UCL211003,0,0,0,0,5,6,6,17,4,47,0,0,4,18,4,4,8,0,0,41,20,50,58,449,42,27,18,9,4,675,0,0,10,20,18,5,3,0,0,61,5,19,5,12,7,0,0,0,0,47,0,0,6,11,0,3,3,0,0,22,0,6,6,33,14,13,21,13,6,117,0,0,4,6,13,20,29,23,20,120,0,8,7,10,3,3,0,0,0,30,0,5,6,31,3,3,0,0,0,51,0,0,0,8,4,3,0,0,0,17,0,5,21,52,30,18,14,3,0,148,0,0,0,0,0,9,8,6,3,31,0,3,0,21,7,0,0,0,0,34,0,17,72,223,64,34,19,11,0,448,3,3,0,29,0,0,0,0,0,37,0,0,3,14,9,38,64,38,16,175,7,24,54,207,106,106,58,19,3,594,0,0,0,6,12,12,13,10,3,46,0,10,7,41,3,0,0,0,0,61
UCL211004,0,0,0,6,18,27,35,21,3,118,3,0,0,10,3,7,4,0,0,21,19,87,83,859,83,73,36,11,11,1264,0,3,7,39,15,4,0,3,0,79,0,3,3,9,12,4,4,0,0,37,0,0,0,27,3,4,3,0,0,41,0,8,5,12,14,15,36,12,4,105,0,0,4,14,33,87,76,40,10,257,0,0,0,7,0,0,3,0,0,12,0,6,3,21,13,0,3,0,0,51,0,0,7,19,13,16,14,0,0,75,7,15,3,47,23,16,11,3,0,122,4,13,21,60,76,181,215,74,10,657,0,0,0,28,13,6,5,0,0,59,0,17,40,67,20,13,0,3,0,153,0,5,16,13,0,4,0,0,0,36,0,0,0,17,9,28,61,18,7,134,62,269,263,477,188,115,64,14,5,1453,0,0,0,7,9,19,17,4,4,59,3,19,10,85,20,12,3,0,0,142
UCL212001,0,0,0,0,4,14,35,43,5,108,0,0,6,25,5,10,3,0,0,47,4,19,15,225,17,14,11,4,0,313,4,0,0,7,0,6,0,0,0,21,0,5,4,17,3,0,0,0,0,33,0,8,5,23,14,0,0,0,0,48,0,0,0,10,5,3,6,0,4,27,0,3,3,13,21,44,107,126,58,376,0,0,7,18,0,3,0,0,0,24,3,4,17,40,0,0,0,0,0,56,0,0,0,0,3,0,0,0,0,3,4,4,48,120,8,3,3,0,0,185,0,0,0,0,0,3,3,0,0,4,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,23,0,0,3,8,7,14,28,8,3,59,8,24,50,100,53,23,24,13,0,291,0,0,0,3,0,3,3,0,0,10,0,17,11,12,3,0,0,0,0,43
UCL212002,0,3,5,5,8,12,26,45,5,115,0,0,10,20,3,3,3,0,0,34,16,85,77,693,96,55,24,10,3,1062,0,0,0,17,0,0,0,3,0,28,5,36,29,36,3,0,0,0,0,114,3,23,86,225,87,24,9,0,0,462,0,10,0,14,10,11,6,5,0,57,0,0,0,10,28,87,180,175,87,572,0,0,3,7,5,0,0,0,0,12,0,0,3,20,0,0,0,0,0,25,0,0,5,4,3,3,0,0,0,10,3,3,24,112,20,17,4,0,0,188,0,0,0,0,0,6,8,0,0,12,0,0,3,3,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,7,0,0,3,13,0,3,0,0,0,25,0,0,0,3,5,28,48,25,18,122,18,79,75,151,84,45,35,9,3,508,0,0,0,6,0,10,14,3,0,29,4,60,36,101,13,8,0,0,0,223
UCL212003,0,0,0,5,12,7,12,17,4,51,0,0,0,10,0,9,0,0,0,19,10,11,43,138,57,35,26,22,12,337,0,0,3,16,4,0,0,3,0,29,0,3,0,8,0,3,0,0,0,12,0,0,0,5,0,3,0,0,0,7,0,3,9,44,23,19,13,8,6,127,0,0,6,6,33,41,58,31,16,201,4,4,0,7,3,0,0,0,0,21,0,3,4,5,4,0,0,0,0,15,0,3,0,7,8,4,0,0,0,26,0,6,5,20,13,14,11,3,0,70,0,0,3,14,18,54,64,22,7,168,0,0,0,9,4,3,0,0,0,18,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,19,39,24,6,113,7,48,58,194,131,78,42,11,8,575,0,0,3,4,14,9,15,7,0,52,0,4,14,16,12,9,0,0,0,53
UCL212004,0,0,0,0,3,0,12,10,3,34,0,3,0,10,0,3,0,0,0,17,3,19,13,115,21,10,8,3,0,182,0,0,0,10,0,3,3,0,0,18,0,0,0,7,0,0,0,0,0,7,4,3,0,3,0,0,0,0,0,5,0,3,0,13,9,14,9,7,6,53,0,0,0,6,10,37,43,34,25,156,0,0,0,13,3,0,0,0,0,18,0,3,0,7,0,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,5,20,5,7,0,0,0,44,0,0,0,3,0,8,20,7,5,40,0,0,0,6,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,11,0,0,0,10,0,0,0,0,0,17,0,0,0,10,7,26,80,41,18,180,0,14,24,80,48,59,19,7,3,254,0,0,0,3,5,10,13,6,0,28,0,0,0,4,0,0,0,0,0,10
