UCL_CODE_2016,M_Mng_0,M_Mng_1_15,M_Mng_16_24,M_Mng_25_34,M_Mng_35_39,M_Mng_40,M_Mng_41_48,M_Mng_49over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_15,M_Pro_16_24,M_Pro_25_34,M_Pro_35_39,M_Pro_40,M_Pro_41_48,M_Pro_49over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_15,M_TTW_16_24,M_TTW_25_34,M_TTW_35_39,M_TTW_40,M_TTW_41_48,M_TTW_49over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_15,M_CPS_16_24,M_CPS_25_34,M_CPS_35_39,M_CPS_40,M_CPS_41_48,M_CPS_49over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_15,M_CA_16_24,M_CA_25_34,M_CA_35_39,M_CA_40,M_CA_41_48,M_CA_49over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_15,M_Sal_16_24,M_Sal_25_34,M_Sal_35_39,M_Sal_40,M_Sal_41_48,M_Sal_49over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_15,M_MOD_16_24,M_MOD_25_34,M_MOD_35_39,M_MOD_40,M_MOD_41_48,M_MOD_49over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_15,M_Lab_16_24,M_Lab_25_34,M_Lab_35_39,M_Lab_40,M_Lab_41_48,M_Lab_49over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_15,F_Mng_16_24,F_Mng_25_34,F_Mng_35_39,F_Mng_40,F_Mng_41_48,F_Mng_49over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_15,F_Pro_16_24,F_Pro_25_34,F_Pro_35_39,F_Pro_40,F_Pro_41_48,F_Pro_49over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_15,F_TTW_16_24,F_TTW_25_34,F_TTW_35_39,F_TTW_40,F_TTW_41_48,F_TTW_49over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_15,F_CPS_16_24,F_CPS_25_34,F_CPS_35_39,F_CPS_40,F_CPS_41_48,F_CPS_49over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_15,F_CA_16_24,F_CA_25_34,F_CA_35_39,F_CA_40,F_CA_41_48,F_CA_49over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_15,F_Sal_16_24,F_Sal_25_34,F_Sal_35_39,F_Sal_40,F_Sal_41_48,F_Sal_49over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_15,F_MOD_16_24,F_MOD_25_34,F_MOD_35_39,F_MOD_40,F_MOD_41_48,F_MOD_49over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_15,F_Lab_16_24,F_Lab_25_34,F_Lab_35_39,F_Lab_40,F_Lab_41_48,F_Lab_49over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot
UCL201001,2729,3789,4210,6235,21895,41411,24559,59085,1727,165650,4382,12764,10143,13957,44505,71209,30770,47804,2260,237783,4155,7863,10551,13085,47000,60791,25450,31028,3734,203671,2136,12199,8025,8179,9012,10470,5655,6140,1166,62984,1697,4734,4291,4670,21169,20030,8822,10331,865,76610,1695,15559,8902,6886,13060,13743,6880,11024,1147,78903,2292,5191,6670,7718,24196,20719,10982,14500,2148,94414,2606,19444,14713,10808,21638,17360,7207,8408,2412,104607,621,1367,974,1041,3052,3503,1175,2260,6064,20060,22323,82907,68489,72587,205537,259231,121511,190585,21512,1044686,3604,4581,7008,10291,18167,20776,12201,19054,802,96483,12849,26142,34518,39339,47615,52758,24263,30045,2246,269766,1317,5600,5712,6087,9097,5978,2607,2423,604,39424,5519,31887,27256,27087,21577,11632,5233,6032,2404,138626,7106,24323,29425,29897,49685,35157,11756,8077,1951,197373,4077,38823,20576,16233,14627,9399,4123,4137,1744,113738,438,1404,1475,1936,4344,2155,773,508,228,13258,1569,14322,10209,8368,9839,4619,1485,1373,1071,52848,693,1319,1091,1105,2068,1768,489,807,4739,14074,37165,148402,137266,140345,177018,144231,62918,72459,15783,935589
UCL203001,99,112,112,192,593,1046,708,1668,42,4569,166,352,291,443,1214,1679,910,1240,47,6331,218,319,310,454,1857,2575,1111,1330,133,8310,105,456,283,330,380,508,239,281,47,2641,63,144,116,133,529,456,263,284,21,2011,78,667,296,256,424,414,232,383,39,2788,130,223,245,258,775,828,491,719,81,3740,147,1004,487,476,965,923,311,419,104,4841,34,37,19,29,82,122,37,70,195,635,1039,3318,2162,2578,6819,8544,4306,6386,714,35868,130,162,211,278,529,477,321,482,24,2617,495,912,1394,1441,1460,1357,754,855,67,8745,73,255,245,322,392,237,114,75,27,1732,344,1497,1295,1372,871,515,246,218,108,6460,291,868,1043,1040,1625,915,335,237,61,6415,207,1773,883,753,541,256,136,120,70,4738,26,77,57,54,129,94,25,24,3,492,112,894,517,498,271,177,50,73,50,2638,26,48,29,41,54,49,10,22,141,438,1698,6488,5668,5802,5871,4084,1988,2101,552,34262
UCL211001,30,19,22,47,116,222,191,395,5,1042,27,42,42,65,246,272,154,177,3,1025,44,51,63,100,470,596,383,423,23,2163,31,77,46,67,92,106,79,88,3,589,14,16,20,42,111,98,60,67,3,423,16,105,42,48,104,91,60,80,5,564,34,44,48,77,270,225,166,265,21,1153,42,202,98,122,241,248,133,90,25,1209,3,13,5,10,27,22,14,32,48,176,244,573,382,580,1679,1879,1242,1614,146,8339,16,33,30,64,125,107,79,113,3,569,97,124,217,300,293,265,124,160,10,1582,16,46,42,83,86,46,29,21,9,377,82,283,247,341,260,113,68,67,29,1487,70,169,212,288,444,233,113,52,14,1590,52,355,219,223,155,53,30,38,10,1143,3,9,12,19,26,13,3,4,0,90,39,194,133,121,85,48,19,24,17,681,6,10,3,12,9,5,4,4,34,88,379,1223,1123,1442,1497,893,460,487,115,7624
UCL211002,61,69,67,108,393,595,476,998,27,2799,80,212,190,296,701,885,544,713,34,3648,108,170,160,290,1167,1482,659,752,69,4860,71,313,160,194,206,250,143,145,32,1510,30,75,58,80,340,231,136,137,8,1103,59,368,140,146,275,262,165,225,29,1666,67,98,108,145,370,377,298,428,34,1937,91,532,270,275,593,397,269,213,52,2700,9,26,19,29,59,54,34,43,100,367,571,1861,1178,1573,4101,4530,2723,3668,392,20591,57,99,107,179,287,238,155,299,9,1436,314,530,790,948,878,812,424,532,40,5263,29,173,136,159,195,136,63,50,11,954,220,880,721,797,533,254,120,151,58,3727,184,510,621,707,992,556,235,143,28,3966,146,1075,510,409,339,147,69,53,51,2789,7,32,23,27,37,20,9,6,0,170,77,516,302,292,190,61,46,60,28,1585,20,25,14,26,27,24,4,14,82,248,1050,3829,3222,3536,3486,2255,1136,1310,311,20146
UCL211003,61,73,81,120,353,527,471,928,33,2665,102,177,137,278,734,813,458,646,19,3368,146,165,148,278,1148,1345,682,821,71,4811,87,238,136,213,235,281,134,151,20,1497,42,76,64,87,336,237,159,153,5,1161,41,359,148,133,280,205,173,181,26,1557,71,131,102,142,408,394,297,470,51,2070,104,598,282,327,743,509,276,222,54,3118,21,32,25,21,50,42,20,39,87,338,677,1850,1133,1603,4286,4358,2672,3616,377,20572,63,75,118,196,312,261,162,274,10,1475,329,460,775,946,921,749,385,440,37,5038,37,148,140,163,232,104,60,43,12,945,215,821,665,826,490,279,128,137,53,3611,189,513,596,707,1004,481,213,135,44,3877,125,1106,511,416,345,135,77,64,32,2807,9,26,21,37,76,39,16,4,5,239,99,560,313,280,249,130,64,49,34,1772,16,32,26,29,30,23,8,10,89,267,1088,3734,3160,3598,3658,2196,1109,1159,317,20020
UCL211004,18,24,17,39,199,283,162,347,16,1105,23,38,52,61,240,255,114,149,9,935,65,81,90,153,771,999,391,446,60,3057,38,80,68,81,122,177,77,79,15,746,22,26,35,45,238,236,113,125,18,852,19,153,62,61,157,129,79,109,12,790,76,93,86,170,596,600,357,538,51,2571,51,240,142,160,418,329,141,179,35,1688,8,18,6,17,46,54,20,27,97,291,319,744,567,793,2787,3057,1446,2009,315,12035,40,35,42,79,201,155,77,91,4,714,78,118,163,207,322,268,105,129,15,1396,20,50,49,90,111,71,40,23,4,458,77,334,339,494,387,228,62,103,29,2062,117,217,304,359,707,486,148,94,31,2471,74,487,290,268,240,121,43,30,23,1572,22,42,47,35,91,55,26,22,6,341,28,243,134,160,140,70,25,34,8,840,10,16,12,10,22,21,4,11,60,166,454,1541,1375,1705,2228,1476,519,540,188,10024
UCL212001,17,29,24,34,134,216,156,348,22,983,25,35,27,54,216,246,126,186,7,924,25,49,44,68,386,422,185,257,25,1463,29,53,47,69,103,83,49,43,4,490,7,21,12,15,71,89,40,40,3,301,11,120,52,54,144,79,59,78,8,605,28,39,36,28,147,167,103,224,16,779,38,197,116,121,235,203,81,80,17,1097,10,10,0,13,18,17,8,17,58,141,189,554,355,464,1465,1516,806,1269,156,6780,21,31,29,49,105,112,59,106,3,520,76,91,197,246,333,232,116,166,14,1476,8,36,28,51,80,42,21,19,3,293,61,198,217,284,238,90,48,43,24,1206,41,139,144,227,380,198,58,52,14,1250,43,351,152,184,162,57,32,32,9,1029,0,5,10,4,14,4,7,3,0,48,22,197,125,119,113,45,27,37,13,700,7,7,0,13,13,8,0,4,37,93,284,1064,901,1184,1442,791,371,465,121,6619
UCL212002,30,37,35,60,222,310,244,531,17,1488,36,65,63,101,306,364,212,205,14,1358,54,60,68,103,559,680,311,307,38,2174,29,62,40,68,79,103,42,55,9,495,15,32,17,40,114,101,65,66,3,453,28,181,46,59,154,126,61,126,11,789,46,64,67,63,258,251,144,239,26,1161,60,259,138,182,349,327,157,132,40,1643,9,14,0,10,19,22,12,19,77,185,299,761,483,694,2059,2277,1250,1677,243,9751,35,28,42,84,135,140,99,130,9,707,131,142,272,381,420,345,178,195,20,2084,14,46,49,72,103,58,26,23,12,398,78,292,288,374,298,141,59,86,37,1656,61,220,289,301,451,289,96,63,18,1790,50,467,195,264,164,74,42,32,19,1312,10,16,13,8,27,9,11,9,0,99,33,229,144,175,162,106,54,32,23,956,13,10,8,9,13,10,0,5,43,119,425,1446,1307,1677,1780,1178,567,575,178,9121
UCL212003,17,22,21,48,165,290,202,446,4,1217,37,48,49,91,236,302,141,192,7,1095,54,59,60,101,521,794,338,444,24,2400,21,88,46,52,94,121,78,70,4,576,10,28,22,26,197,180,87,99,3,650,14,124,57,66,102,118,54,92,10,635,23,31,53,80,244,261,166,258,34,1149,21,199,97,72,153,192,91,110,19,958,6,11,3,7,24,27,9,17,30,130,196,607,394,541,1740,2287,1174,1727,138,8806,22,31,40,61,146,125,78,127,5,628,94,134,266,248,293,286,132,166,11,1641,16,71,60,73,102,46,27,17,3,415,67,306,287,344,268,120,62,64,24,1536,74,222,344,367,558,374,118,71,13,2145,40,427,262,199,146,73,38,28,19,1239,8,13,7,17,29,22,6,3,0,113,16,143,67,70,55,34,11,12,6,419,9,13,8,5,16,19,0,7,31,110,350,1352,1346,1387,1610,1094,472,489,123,8231
UCL212004,19,18,12,33,112,170,112,258,0,729,15,41,20,42,198,196,112,168,5,803,66,51,46,67,394,450,228,324,20,1648,12,57,27,27,48,61,42,36,5,318,13,15,15,18,98,57,36,44,0,292,11,93,29,19,49,43,31,66,7,346,40,24,31,32,140,122,144,164,10,705,32,128,57,77,150,139,103,105,18,800,5,6,3,4,25,17,20,10,28,118,209,428,233,322,1212,1250,829,1181,103,5763,15,24,19,45,87,71,52,72,3,386,67,125,187,217,220,189,98,148,9,1256,12,43,36,46,56,28,19,26,0,266,48,226,171,215,138,79,37,39,16,965,79,156,234,242,340,185,52,39,12,1334,33,302,122,122,97,30,33,16,14,760,3,6,4,5,9,6,14,4,0,45,13,126,79,66,23,15,9,8,8,343,6,4,10,9,13,5,3,4,27,83,282,1007,862,957,973,613,317,351,80,5443
