UCL_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
UCL214006,142,190,416,623,587,370,96,8,0,2428,0,0,4,8,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,10,6,8,29,22,6,0,0,0,81,0,0,4,0,3,0,0,0,0,13,3,4,13,22,17,7,0,0,0,72,3,3,9,7,8,0,0,0,0,36,58,28,18,47,49,37,3,0,0,233,36,28,11,20,14,3,0,0,0,115,3,8,19,26,23,8,0,0,0,91,0,0,4,6,0,0,0,0,0,14,0,8,25,30,30,10,0,0,0,104,5,0,8,11,3,3,3,0,0,34,0,11,20,53,31,22,7,0,0,145,0,8,12,30,23,18,3,0,0,96,3,12,43,36,57,29,4,0,0,182,5,13,81,103,110,67,7,0,0,386,11,23,89,127,122,59,21,0,0,445,3,9,8,5,8,3,0,0,0,33,0,7,19,20,16,12,3,0,0,74
UCL214007,133,179,358,352,385,379,130,15,3,1931,5,6,3,7,9,8,11,0,0,50,0,0,0,3,3,0,0,0,0,11,7,5,0,9,11,8,3,0,0,42,0,0,0,0,0,0,0,0,0,0,0,7,3,5,10,3,0,0,0,24,0,3,0,3,9,3,0,0,0,24,41,33,42,46,59,39,13,0,0,281,29,32,39,20,33,24,7,0,0,178,0,0,3,6,4,11,0,0,0,26,0,0,3,6,3,5,3,0,0,26,3,5,12,13,17,3,0,0,0,46,0,5,0,4,5,3,0,0,0,16,3,4,21,22,8,16,3,0,0,80,0,0,4,11,4,13,0,0,0,40,0,0,19,35,40,31,5,0,0,122,3,10,35,55,82,62,10,0,0,255,18,41,117,76,149,124,21,3,0,546,4,3,5,7,7,0,0,0,0,25,0,10,11,20,10,13,3,0,0,66
UCL214008,102,154,330,388,464,367,102,24,3,1938,0,4,4,3,8,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,19,14,23,41,38,24,8,0,0,168,0,0,0,4,0,0,0,0,0,9,0,0,5,10,8,4,0,0,0,35,0,0,8,5,7,0,0,0,0,23,18,16,28,42,62,34,9,0,0,202,28,35,43,38,20,23,5,3,0,189,0,0,9,6,6,8,0,0,0,21,0,0,3,5,3,3,0,0,0,18,0,3,5,9,9,3,0,0,0,32,0,0,3,10,3,3,0,0,0,22,0,3,21,29,25,10,3,0,0,96,0,0,13,13,16,18,3,0,0,67,0,6,15,15,13,23,11,0,0,76,3,3,40,49,57,48,8,0,0,213,5,15,52,85,91,101,20,0,0,362,10,6,7,15,18,10,3,0,0,64,7,13,14,12,16,12,4,0,0,75
UCL214009,39,35,169,204,207,208,68,8,3,929,0,0,0,0,4,3,6,0,0,18,0,0,4,0,0,0,0,0,0,4,3,0,0,4,6,3,0,0,0,16,0,0,0,3,0,0,0,0,0,3,0,0,5,10,4,4,3,0,0,19,0,0,0,0,3,4,0,0,0,8,21,8,16,19,20,28,6,0,0,116,14,6,12,5,9,6,0,0,0,58,0,0,0,0,3,0,0,0,0,8,0,0,0,7,5,0,0,0,0,12,0,0,5,11,0,3,0,0,0,19,0,0,7,3,3,6,0,0,0,19,3,0,5,11,12,8,7,0,0,41,0,0,0,9,9,10,5,0,0,26,0,3,10,20,7,18,4,0,0,58,3,3,21,51,44,36,3,0,0,158,3,8,33,38,61,66,11,0,0,216,0,0,4,3,4,8,0,0,0,20,3,0,7,3,10,10,0,0,0,32
UCL214010,96,140,276,332,359,249,57,11,0,1519,0,0,0,0,3,0,0,0,0,10,0,0,0,0,3,0,0,0,0,3,7,6,9,20,23,13,0,0,0,77,0,0,3,3,4,0,0,0,0,7,0,0,14,5,14,5,0,0,0,34,0,0,3,3,5,7,0,0,0,18,13,22,32,23,37,19,0,0,0,154,45,20,8,19,22,11,3,0,0,126,0,4,10,13,9,12,0,0,0,42,0,4,3,0,0,0,0,0,0,7,0,0,6,22,8,11,0,0,0,41,0,0,3,3,7,3,0,0,0,14,3,7,11,15,17,4,3,0,0,65,0,0,5,10,13,6,3,0,0,39,3,11,27,26,30,14,0,0,0,105,3,6,37,58,51,30,5,0,0,194,0,17,54,68,84,56,19,0,0,291,0,3,13,4,9,4,0,0,0,33,0,8,12,10,10,0,0,0,0,43
UCL214011,61,110,235,215,233,247,56,6,3,1172,0,0,0,14,18,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,4,10,15,22,20,16,3,0,0,84,0,0,6,3,3,0,0,0,0,15,0,0,4,0,3,3,0,0,0,8,0,0,3,3,0,0,0,0,0,9,22,18,21,23,40,21,10,0,0,142,5,8,9,11,15,6,0,0,0,62,0,3,3,3,0,6,3,0,0,16,0,0,0,0,0,0,0,0,0,3,0,3,3,4,6,4,0,0,0,24,0,0,0,4,3,0,0,0,0,13,3,3,21,9,10,6,0,0,0,56,0,0,0,10,6,11,0,0,0,34,0,0,10,7,12,7,3,0,0,43,0,6,33,30,47,26,4,0,0,151,0,18,66,59,68,80,10,3,0,298,0,0,0,0,0,3,0,0,0,10,0,8,9,3,5,12,3,0,0,36
UCL214012,68,81,155,174,205,215,67,10,0,973,0,0,7,0,5,3,4,0,0,16,0,0,0,0,0,0,0,0,0,0,4,0,11,9,14,8,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,10,0,0,0,0,3,3,0,0,0,7,13,13,23,24,33,20,6,0,0,135,29,22,23,24,49,35,14,0,0,203,0,0,0,3,4,7,0,0,0,13,0,0,0,0,0,7,0,0,0,8,0,0,5,3,0,0,0,0,0,15,0,0,4,4,5,3,0,0,0,16,0,7,0,3,3,3,0,0,0,21,0,3,3,5,9,5,3,0,0,28,3,0,3,10,10,12,3,0,0,50,0,4,21,20,32,21,3,0,0,106,3,9,34,46,62,67,13,0,0,232,0,0,5,0,3,3,0,0,0,16,0,0,8,5,3,4,5,0,0,34
UCL214013,69,90,218,221,212,198,60,9,3,1079,0,3,6,4,8,10,0,4,0,32,0,0,0,0,0,0,0,0,0,3,3,0,0,7,14,8,0,0,0,33,0,0,0,3,0,0,0,0,0,6,0,0,8,0,9,0,0,0,0,20,0,0,5,3,0,4,0,0,0,12,24,20,33,27,32,21,6,0,0,155,30,10,16,19,10,7,0,0,0,88,0,3,0,0,8,9,0,0,0,16,3,0,0,0,3,0,0,0,0,9,0,0,6,4,4,4,0,0,0,23,0,0,5,0,6,3,0,0,0,15,0,0,10,10,10,3,3,0,0,40,0,0,3,6,5,8,3,0,0,27,0,0,12,14,7,13,3,0,0,46,0,3,23,33,34,25,0,0,0,118,3,6,50,53,64,52,13,0,0,244,3,0,3,0,4,3,0,0,0,18,3,6,10,3,3,6,0,0,0,32
UCL214014,82,133,210,231,252,253,55,7,3,1229,0,5,3,10,3,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,11,10,17,16,31,22,3,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,8,33,24,29,26,39,32,9,0,0,187,29,17,23,18,20,18,3,0,0,122,0,0,4,4,3,3,0,0,0,13,3,0,0,5,3,3,0,0,0,11,0,3,5,8,9,0,0,0,0,23,0,0,0,3,0,0,0,0,0,9,0,4,3,5,5,11,0,0,0,33,0,0,3,3,10,10,7,0,0,32,0,0,11,7,23,16,5,3,0,58,0,4,29,26,34,24,5,0,0,130,7,22,44,52,96,74,16,0,0,307,0,4,4,3,3,0,3,0,0,14,0,3,6,8,8,6,0,0,0,38
UCL214015,54,79,126,165,274,289,95,8,3,1099,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,3,4,4,9,12,0,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0,8,3,12,7,0,0,0,26,0,0,0,3,8,3,0,0,0,10,16,10,15,18,41,33,7,0,0,138,12,9,7,21,25,15,4,0,0,91,0,0,0,0,5,3,3,0,0,17,0,0,0,3,4,0,0,0,0,8,0,0,3,8,5,9,3,0,0,27,0,0,3,3,3,4,4,3,0,18,0,0,6,13,5,15,12,0,0,52,0,0,6,9,10,6,3,0,0,39,0,3,8,17,24,26,7,0,0,80,0,3,17,26,43,44,7,0,0,141,4,12,25,46,72,78,19,0,0,260,0,0,0,3,9,3,0,0,0,17,0,0,10,3,15,8,0,0,0,37
