UCL_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
UCL214016,55,115,231,200,247,251,47,11,4,1159,0,0,5,3,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,7,7,8,5,6,13,3,0,0,43,0,0,0,0,0,3,0,0,0,5,3,0,3,9,15,9,0,0,0,33,0,0,3,0,3,0,0,0,0,13,25,25,20,18,31,32,10,0,0,157,34,13,13,20,19,16,3,0,0,119,0,3,7,6,5,8,0,0,0,35,0,0,3,0,0,0,0,0,0,9,0,0,7,0,3,0,0,0,0,20,0,0,0,3,0,0,0,0,0,9,0,0,3,10,10,6,3,0,0,29,0,5,10,6,20,13,0,0,0,58,0,3,12,22,23,24,0,0,0,84,3,3,15,28,27,26,5,0,0,108,5,11,30,47,75,64,15,0,0,245,0,3,7,3,3,3,0,0,0,19,3,7,4,3,8,4,0,0,0,31
UCL214017,67,106,220,202,244,220,61,11,0,1130,0,0,3,6,3,6,0,3,0,21,0,0,3,3,5,0,0,0,0,10,13,15,17,13,22,12,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,7,16,8,21,18,28,25,7,0,0,118,21,7,20,9,34,18,0,0,0,111,0,0,0,0,3,3,0,0,0,10,0,0,0,0,3,0,0,0,0,9,0,4,0,0,5,0,0,0,0,9,0,0,3,3,3,0,0,0,0,9,0,0,5,3,4,3,3,0,0,22,0,0,3,10,4,3,3,0,0,21,3,13,14,27,29,18,0,0,0,99,5,6,19,22,20,17,4,0,0,100,3,21,61,58,85,65,12,0,0,303,0,3,0,9,5,3,0,0,0,22,0,3,3,4,7,7,0,0,0,27
UCL214018,110,185,454,457,535,333,62,7,3,2151,0,0,0,5,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,3,16,38,30,19,6,0,0,115,0,0,3,0,4,0,0,0,0,13,3,5,18,9,18,10,0,0,0,54,0,3,8,15,12,17,0,0,0,54,22,39,42,58,55,27,3,0,0,252,65,16,14,16,23,9,0,0,0,142,0,5,11,20,24,7,0,0,0,73,4,0,4,4,4,0,0,0,0,18,0,7,14,18,15,8,0,0,0,55,0,6,4,4,15,9,0,0,0,32,0,10,16,22,19,10,0,0,0,82,0,7,21,17,25,14,0,0,0,81,0,6,25,35,35,12,0,0,0,120,4,13,43,68,53,40,7,0,0,228,9,22,81,73,108,70,4,0,0,363,3,5,7,6,3,3,0,0,0,31,8,7,25,13,9,7,3,0,0,70
UCL214019,93,123,294,229,318,267,57,9,3,1394,0,0,5,4,10,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,7,5,3,10,4,0,3,0,0,34,0,0,0,0,0,4,0,0,0,10,0,0,7,8,11,0,0,0,0,23,0,0,11,0,8,5,0,0,0,18,37,27,49,47,59,35,4,0,0,264,48,20,28,18,16,16,0,0,0,144,0,0,0,0,0,10,0,0,0,12,0,0,0,3,0,3,0,0,0,11,0,0,14,3,4,3,0,0,0,28,0,0,3,0,6,3,0,0,0,14,0,0,12,14,12,3,3,0,0,45,3,0,4,11,16,6,3,0,0,40,0,0,16,14,15,15,3,0,0,64,6,5,17,30,37,21,4,0,0,121,0,18,53,59,98,85,12,0,0,335,4,6,0,3,3,4,0,0,0,19,3,9,9,8,23,18,3,0,0,67
UCL214020,98,121,251,302,309,282,63,12,0,1446,0,0,0,6,0,3,5,3,0,17,0,0,0,0,0,0,0,0,0,0,5,6,11,25,22,11,3,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,3,8,12,3,0,0,0,36,0,0,0,0,0,4,4,0,0,6,38,13,32,35,36,32,11,0,0,195,28,29,37,29,51,39,11,0,0,231,0,0,0,0,0,3,3,0,0,19,0,0,0,3,4,3,0,0,0,11,3,0,0,14,3,0,0,0,0,25,0,3,0,11,3,0,0,0,0,20,0,4,5,11,10,12,0,0,0,52,3,3,12,12,18,6,0,3,0,53,0,4,6,8,10,7,0,0,0,33,0,5,26,43,39,32,4,0,0,150,3,18,62,60,82,75,11,0,0,317,0,0,0,5,3,3,0,0,0,10,0,5,14,10,9,10,0,0,0,57
UCL215001,19,14,22,36,67,72,18,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,6,12,3,3,0,0,28,0,5,7,0,5,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,3,0,0,0,8,0,0,0,0,3,0,3,0,0,15,0,0,0,5,3,3,0,0,0,12,0,0,0,0,10,3,0,0,0,11,0,3,0,9,15,18,3,0,0,48,0,3,0,11,13,15,0,0,0,46,0,0,0,0,4,3,0,0,0,11,0,0,0,0,0,0,0,0,0,6
UCL215002,27,49,89,107,103,102,22,4,3,507,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,10,7,5,10,15,12,3,0,0,68,3,4,5,7,6,11,0,0,0,38,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,3,0,0,3,9,4,3,0,0,0,20,0,0,0,0,0,0,0,0,0,6,0,0,9,8,12,11,0,0,0,43,0,3,14,25,16,15,0,0,0,74,3,3,18,23,36,22,6,0,0,107,0,0,0,3,0,0,0,0,0,3,0,0,3,6,0,0,0,0,0,11
UCL215003,30,29,88,98,141,140,40,6,0,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,3,0,5,3,4,0,0,21,0,0,0,4,0,0,0,0,0,5,13,5,3,5,15,18,3,0,0,68,14,17,10,9,11,13,0,0,0,74,0,0,0,0,3,5,0,0,0,8,0,0,0,0,3,0,0,0,0,4,0,0,3,3,4,3,0,0,0,8,0,0,0,3,0,0,3,0,0,13,0,0,3,11,12,6,3,0,0,39,0,0,0,4,12,7,0,0,0,23,0,0,9,15,17,11,0,0,0,48,0,0,10,13,20,27,7,0,0,85,0,0,17,25,27,30,9,0,0,100,0,0,9,3,6,7,5,0,0,29,0,4,3,7,7,0,0,0,0,23
UCL215004,19,22,49,75,58,65,24,8,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,3,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,3,0,12,13,0,0,0,40,7,9,26,13,17,14,7,0,0,97,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,10,0,0,0,5,4,0,0,0,0,10,0,0,4,3,7,6,0,0,0,20,0,0,3,0,0,3,0,0,0,9,0,3,3,4,5,12,0,0,0,25,0,0,10,9,9,10,0,0,0,43,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3
UCL215005,30,49,80,115,100,91,13,8,0,481,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,3,3,11,12,14,7,0,0,0,40,19,8,6,0,3,0,0,0,0,34,0,0,0,3,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3,0,0,6,0,4,0,0,0,0,13,0,0,4,0,0,4,0,0,0,7,0,3,3,4,8,6,3,0,0,28,0,0,5,3,4,0,0,0,0,12,0,0,10,13,18,9,0,0,0,43,0,3,17,15,16,11,0,0,0,66,0,3,18,30,24,29,4,0,0,105,0,0,3,3,0,0,0,0,0,10,0,0,3,7,0,3,0,0,0,13
UCL215006,22,33,79,108,119,110,39,9,0,514,0,0,0,3,8,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,3,0,0,21,0,0,3,3,0,3,0,0,0,11,11,15,5,13,12,7,0,0,0,61,8,4,5,11,4,3,0,0,0,38,0,0,0,0,3,4,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,0,6,0,0,3,0,0,0,0,0,0,6,0,0,5,7,6,7,0,0,0,27,0,0,3,12,7,0,0,0,0,26,0,3,4,11,12,3,0,0,0,31,0,3,12,12,30,32,3,0,0,97,0,8,15,11,40,34,3,0,0,114,0,3,0,5,0,6,0,0,0,11,0,3,4,3,3,3,0,0,0,17
UCL215007,66,103,277,364,260,137,33,5,0,1251,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,5,10,7,5,0,0,0,39,0,0,3,5,0,0,0,0,0,3,0,0,5,11,0,0,0,0,0,26,0,0,8,3,9,0,0,0,0,21,14,15,44,46,29,13,3,0,0,163,26,18,11,13,5,3,0,0,0,76,0,0,5,3,6,0,0,0,0,16,0,3,4,9,3,0,3,0,0,22,0,0,13,19,0,0,0,0,0,34,0,4,0,5,3,0,0,0,0,12,0,0,16,15,12,7,0,0,0,41,0,0,10,8,8,0,0,0,0,29,0,7,25,27,22,8,0,0,0,90,0,7,47,49,32,24,0,0,0,154,3,27,62,73,74,33,3,0,0,267,0,0,0,3,3,0,0,0,0,11,0,4,11,17,8,6,0,0,0,41
UCL215008,18,34,92,120,125,59,13,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,4,16,5,8,7,10,3,0,0,0,56,10,3,5,0,4,3,0,0,0,26,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,12,0,0,5,3,0,0,0,0,0,14,0,3,3,9,0,0,0,0,0,14,0,0,3,4,3,0,0,0,0,15,0,0,8,9,19,4,0,0,0,39,0,0,16,18,14,9,0,0,0,53,4,6,23,30,35,23,0,0,0,118,6,0,0,0,0,0,0,0,0,7,0,0,4,7,5,0,0,0,0,17
UCL215009,9,14,21,29,36,42,21,0,0,170,0,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,3,3,14,0,0,0,0,31,3,0,3,0,3,11,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,9,0,0,5,0,3,3,0,0,0,14,0,0,3,0,0,3,0,0,0,13,0,0,10,4,9,8,0,0,0,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7
UCL215010,32,54,74,144,133,123,30,3,0,586,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,9,8,6,0,0,0,39,0,0,0,0,0,0,0,0,0,6,0,0,7,20,7,3,0,0,0,42,0,0,0,3,6,3,0,0,0,13,5,15,3,19,11,11,0,0,0,57,13,11,5,3,8,3,0,0,0,39,0,0,0,4,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,0,0,0,0,17,0,0,0,3,3,0,0,0,0,11,0,0,7,17,9,0,0,0,0,33,0,3,0,3,4,4,0,0,0,14,0,0,0,13,9,10,0,0,0,23,3,3,13,18,26,22,4,0,0,89,0,0,12,14,28,24,5,0,0,89,3,7,0,0,5,3,0,0,0,11,0,3,0,7,4,4,0,0,0,18
UCL215011,3,8,23,35,43,40,15,6,0,177,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,3,3,3,4,5,5,0,0,28,3,0,0,6,3,0,0,0,0,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,9,0,0,3,3,0,0,0,0,0,6,0,0,3,0,3,3,0,0,0,16,0,0,7,0,4,5,0,0,0,15,0,3,9,6,5,13,4,0,0,37,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
UCL215012,26,26,85,113,143,162,59,11,0,622,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,9,7,8,4,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,4,11,7,8,15,14,15,3,0,0,77,12,3,14,9,20,13,3,0,0,77,0,0,3,3,3,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,9,4,3,0,0,0,15,0,3,4,3,7,3,0,0,0,21,0,0,9,12,24,22,3,0,0,75,3,0,8,36,21,28,6,0,0,104,0,6,28,36,36,57,12,0,0,186,0,0,0,3,0,3,3,0,0,13,0,0,5,5,6,3,0,0,0,16
UCL215013,12,34,156,140,94,44,10,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,3,3,0,0,0,27,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,3,0,0,0,12,0,3,3,6,6,0,0,0,0,15,3,3,15,11,5,5,0,0,0,41,5,3,3,6,3,0,0,0,0,25,0,0,16,5,8,0,0,0,0,28,0,0,0,0,0,0,0,0,0,5,0,0,8,5,0,0,0,0,0,12,0,0,3,0,5,0,0,0,0,10,0,0,4,8,3,0,0,0,0,17,0,0,5,8,3,0,0,0,0,14,0,0,15,13,0,3,0,0,0,31,0,3,9,15,10,8,0,0,0,43,0,3,32,19,15,6,0,0,0,71,0,0,0,0,0,0,0,0,0,4,0,5,4,3,0,4,0,0,0,18
UCL215014,15,28,61,70,91,58,11,3,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,6,7,0,0,0,25,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,3,0,0,0,12,0,0,0,8,4,0,0,0,0,14,4,7,7,3,6,3,0,0,0,32,8,0,5,5,3,3,0,0,0,24,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,4,3,0,0,0,0,6,0,0,4,3,3,3,0,0,0,15,0,3,0,3,4,4,0,0,0,12,0,0,3,8,5,4,0,0,0,23,0,0,18,7,8,6,0,0,0,36,0,3,8,11,13,13,0,0,0,56,0,3,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,8
UCL215015,32,34,61,94,113,104,35,4,0,482,0,3,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,8,5,3,7,18,13,3,0,0,52,10,4,20,22,23,14,5,0,0,102,0,3,0,0,3,4,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,0,0,0,0,14,0,0,3,9,0,0,0,0,0,10,0,0,5,9,10,0,4,0,0,35,0,0,3,8,4,10,0,0,0,21,0,0,7,6,8,3,0,0,0,24,0,0,11,12,9,10,0,0,0,47,0,3,7,9,26,22,6,0,0,71,0,0,0,3,5,0,0,0,0,9,0,3,0,0,3,0,0,0,0,10
UCL215016,37,83,203,168,207,174,33,3,0,900,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,4,12,15,28,18,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,3,5,13,3,0,0,0,27,0,3,0,4,6,3,0,0,0,14,5,13,15,15,22,15,3,0,0,99,18,12,13,9,9,3,0,0,0,67,0,3,4,5,3,5,0,0,0,26,0,0,3,0,3,0,0,0,0,9,0,0,7,3,3,3,0,0,0,19,0,0,3,4,3,0,0,0,0,12,0,0,6,4,6,0,0,0,0,18,0,3,10,4,8,6,0,0,0,30,0,3,11,13,10,10,0,0,0,52,0,5,17,14,17,14,0,0,0,83,5,14,33,39,33,34,4,0,0,162,0,0,5,4,3,0,0,0,0,8,0,6,14,5,3,0,0,0,0,30
UCL215017,33,34,81,85,114,74,15,0,0,442,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,6,4,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,4,3,7,8,0,0,0,0,22,0,0,3,4,0,0,0,0,0,8,8,8,6,11,9,9,3,0,0,55,13,7,8,5,3,0,0,0,0,36,0,0,3,3,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,0,0,4,0,3,0,0,0,0,8,0,0,6,7,3,0,0,0,0,20,0,0,0,3,0,0,0,0,0,9,0,0,7,8,5,0,0,0,0,18,3,3,8,19,16,5,0,0,0,52,3,9,16,11,30,17,4,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,0,0,0,0,21
UCL215018,34,53,91,100,138,109,50,7,3,596,0,7,0,4,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,4,3,10,3,8,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,3,3,0,0,0,0,9,10,3,10,17,17,16,3,0,0,81,4,4,5,12,4,9,3,0,0,44,0,0,0,3,3,0,0,0,0,6,0,0,0,0,3,0,0,0,0,7,0,0,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,4,10,0,4,0,0,0,20,0,0,3,3,0,3,3,0,0,14,0,0,7,11,4,12,0,0,0,29,0,3,17,21,27,17,0,0,0,93,0,15,18,19,48,43,10,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,3,0,0,0,16
UCL215019,11,22,69,97,96,73,20,0,0,397,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,5,3,10,11,15,5,0,0,0,47,3,4,3,11,12,6,0,0,0,42,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,3,4,0,3,0,0,0,6,0,0,0,7,7,7,0,0,0,20,0,0,0,4,4,0,0,0,0,12,0,0,8,6,4,7,0,0,0,20,0,0,7,17,18,11,0,0,0,60,0,3,20,5,19,4,3,0,0,59,0,5,7,9,3,3,3,0,0,27,0,0,0,3,3,0,3,0,0,15
UCL215020,11,20,30,38,45,50,17,7,0,225,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,8,0,3,7,10,14,0,0,0,36,4,3,3,4,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,5,3,3,0,0,0,0,11,0,0,9,3,7,7,3,0,0,32,0,7,12,10,25,18,4,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4
UCL215021,5,25,38,51,65,63,18,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,6,5,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,8,8,4,13,18,9,0,0,0,54,7,0,6,0,5,4,0,0,0,26,0,0,4,3,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,8,8,4,3,0,0,27,0,0,0,4,9,6,0,0,0,21,0,0,7,11,27,16,0,0,0,60,0,0,0,0,0,0,0,0,0,0,4,0,5,0,3,0,0,0,0,9
UCL215022,41,103,203,149,133,155,32,0,3,815,0,0,4,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,3,0,3,5,4,0,0,0,15,0,0,3,0,6,0,0,0,0,8,0,0,7,3,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,4,24,22,24,25,18,18,0,0,0,122,29,23,11,11,9,5,0,0,0,87,0,0,0,4,0,0,0,0,0,8,0,0,3,3,3,5,0,0,0,13,0,4,3,3,4,0,0,0,0,13,0,0,3,0,0,4,0,0,0,7,0,5,9,4,5,4,0,0,0,21,0,5,3,8,7,9,0,0,0,34,3,5,22,8,16,20,0,0,0,71,0,10,22,22,37,25,3,0,0,123,3,20,51,37,37,40,3,0,0,184,3,0,0,0,3,0,0,0,0,13,0,8,3,5,3,3,0,0,0,22
