UCL_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
UCL201001,71,594,2445,4859,1111,485,176,42,16,9807,122795,205205,187999,327720,147276,109346,66432,31973,13615,1212362,53,226,450,2599,378,192,62,5,7,3974,3,21,249,1352,750,718,343,233,27,3705,28,142,605,2206,1312,1007,482,163,50,5986,70,255,281,1465,594,346,162,49,27,3253,21,55,73,1097,707,530,601,163,18,3259,650,2893,17585,26681,7908,6352,3086,1732,602,67496,8,27,104,760,1045,1274,1395,1277,207,6086,51,459,339,1265,749,1162,1213,674,241,6160,516,3180,3368,14947,12291,10430,10245,5577,2059,62606,12,132,363,1797,973,689,326,129,37,4457,38,173,326,1542,480,277,283,107,38,3252,43,199,434,1664,1076,961,2582,1511,452,8919,30,303,368,1158,2202,3648,5613,6238,1662,21212,129,460,1583,3962,1139,1556,678,264,42,9811,1564,4737,10808,53905,6805,4333,2588,1042,321,86101,90,311,1888,3530,614,398,342,152,51,7378,84,772,940,4922,966,486,271,79,22,8551,102,747,1145,3669,1831,895,388,150,39,8962
UCL203001,3,36,97,112,28,8,0,0,0,285,4616,8089,8856,15047,7066,6207,4151,2076,925,57022,0,9,7,25,12,0,0,0,0,48,0,0,17,45,31,44,23,29,3,193,0,0,3,3,3,5,4,0,0,21,3,8,13,29,16,7,7,0,0,86,0,0,0,10,3,7,0,0,0,17,11,52,143,293,62,51,30,8,3,652,0,3,8,48,86,102,128,131,21,542,0,0,7,22,5,8,4,3,0,52,14,100,107,369,374,463,447,260,108,2241,0,0,4,22,7,3,0,0,0,39,0,3,4,29,8,4,6,0,3,62,0,3,15,33,24,37,166,69,32,382,0,0,5,3,20,18,36,45,16,142,0,4,31,21,9,5,8,3,0,86,26,57,274,780,52,16,22,9,0,1239,0,4,22,15,12,5,5,3,0,64,5,34,36,104,30,10,7,4,3,226,13,19,5,50,17,3,0,0,0,113
UCL211001,0,0,0,3,0,0,0,0,0,4,1202,2164,2187,3666,1778,1564,1045,456,151,14221,0,0,0,4,0,0,0,0,0,5,0,0,0,0,4,0,3,3,0,10,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,3,12,3,0,5,0,0,31,0,0,0,0,6,10,12,16,3,41,0,0,0,3,0,0,0,0,0,3,3,10,18,50,63,57,71,39,4,315,0,0,3,7,4,0,0,0,0,14,0,0,0,0,0,3,3,0,0,7,0,0,4,6,5,21,53,22,8,127,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,4,0,0,5,7,9,0,106,10,5,7,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0
UCL211002,0,0,12,0,0,0,0,0,0,13,2979,5348,5740,9441,4490,4148,3054,1601,554,37365,0,9,0,20,5,0,0,0,0,39,0,0,0,3,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,5,0,3,6,11,12,8,4,3,0,43,0,0,0,8,0,0,0,0,0,7,4,15,146,124,33,13,9,0,0,340,0,0,0,0,7,9,13,20,3,55,0,4,0,7,4,0,3,0,0,24,8,44,31,148,128,178,198,115,38,891,0,4,4,6,7,3,0,0,0,29,0,0,4,3,5,0,0,0,0,16,3,3,3,12,9,16,58,9,7,118,0,0,0,0,0,3,6,6,4,31,0,5,6,0,3,3,3,0,0,26,6,37,39,319,37,18,11,0,0,470,0,0,3,10,3,4,0,0,0,20,0,3,3,23,5,0,0,0,0,31,0,3,0,11,9,0,0,0,0,21
UCL211003,3,3,4,21,5,0,0,0,0,45,2892,5455,5507,9271,4400,4338,3199,1820,678,37571,0,3,0,16,0,0,0,0,0,22,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,17,6,6,8,0,3,42,0,0,0,0,0,0,0,0,0,0,0,8,24,59,16,9,4,3,0,117,0,0,0,0,0,0,4,7,0,14,0,4,0,12,4,0,7,0,0,25,4,18,27,96,142,148,176,81,30,720,0,5,3,7,3,3,0,0,0,23,0,0,0,3,0,3,8,0,0,12,0,0,3,10,11,18,34,6,3,85,0,0,0,0,3,3,4,11,0,19,0,0,3,6,3,3,3,0,0,23,11,31,28,235,21,14,14,3,0,352,0,0,4,0,3,0,3,0,0,9,0,5,0,4,3,0,0,0,0,19,0,0,3,3,0,0,3,0,0,8
UCL211004,0,0,0,3,0,0,0,0,0,3,2090,3293,2746,5177,1898,1677,1026,296,89,18298,0,3,4,22,9,3,3,0,0,52,0,0,3,24,12,4,8,0,0,60,0,0,0,0,0,0,0,0,0,3,0,3,0,11,8,4,0,0,0,22,0,0,6,14,8,6,17,3,0,50,0,3,4,33,7,10,3,0,0,65,0,0,3,6,12,19,15,12,0,79,0,16,10,9,8,11,11,9,3,75,0,13,16,82,149,158,189,108,30,746,0,0,6,30,9,3,4,0,0,56,0,0,0,3,3,3,3,0,0,13,0,0,7,6,12,24,60,12,3,125,0,0,0,5,13,17,21,9,3,60,0,0,0,3,0,0,0,0,0,11,10,42,49,460,44,24,17,9,0,663,0,0,7,10,5,0,0,3,0,20,0,3,4,10,3,4,0,0,0,26,0,0,0,19,3,3,0,0,0,20
UCL212001,0,9,34,64,35,20,10,0,0,170,1012,1847,1731,2955,1419,1433,1129,571,232,12325,0,0,0,3,0,3,0,0,0,9,0,0,0,3,0,0,0,0,0,5,0,3,0,6,3,3,0,0,0,19,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,17,3,6,3,0,0,50,0,0,0,0,0,4,9,8,0,21,0,0,0,6,0,0,0,0,0,5,3,3,15,44,41,49,59,22,6,239,0,0,0,10,0,0,3,0,0,21,0,0,5,3,3,0,0,0,0,13,0,0,0,3,0,3,22,3,0,33,0,0,0,0,4,10,16,23,6,56,0,0,0,15,0,4,0,0,0,20,4,12,8,117,10,8,9,0,0,173,0,0,0,3,0,3,0,0,0,9,0,0,4,11,3,0,0,0,0,24,0,5,3,14,13,0,0,0,0,30
UCL212002,0,50,104,200,73,27,8,0,0,456,1459,2619,2273,3740,2003,1885,1440,792,293,16501,0,6,0,5,3,0,0,0,0,14,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,7,31,8,4,8,3,0,60,0,0,0,0,3,4,3,4,0,13,0,7,0,0,0,0,0,0,0,9,0,16,22,39,53,59,91,35,8,307,0,0,3,5,3,0,0,0,0,18,0,0,0,5,4,3,0,0,0,10,0,0,0,3,7,3,14,3,3,38,0,0,3,3,3,13,8,19,0,53,0,0,0,9,0,0,0,0,0,8,4,54,43,354,61,26,11,7,3,561,0,0,0,5,0,0,0,0,0,15,3,18,21,15,0,0,0,0,0,58,0,12,45,99,57,17,7,0,0,240
UCL212003,0,0,0,0,0,0,0,0,0,0,1097,2136,2136,3555,1772,1438,751,326,124,13333,0,3,0,3,0,0,0,0,0,6,0,0,3,3,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,3,0,0,0,19,0,0,0,0,4,3,0,0,0,15,0,4,7,17,3,7,0,3,0,42,0,0,0,5,8,11,13,7,0,36,0,0,4,0,4,4,9,0,0,18,5,11,26,100,115,137,138,80,27,637,0,0,0,13,5,3,4,5,0,27,0,0,0,0,4,0,0,0,0,6,0,0,0,10,8,18,26,8,4,81,0,0,0,0,3,7,5,10,0,21,0,0,0,3,0,0,0,0,0,10,3,5,18,67,21,23,13,8,6,164,0,0,3,3,4,0,0,3,0,15,0,0,0,3,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,4
UCL212004,0,0,0,0,0,0,0,0,0,0,823,1503,1348,2607,1249,1106,718,351,114,9810,0,0,0,5,9,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,4,0,21,4,5,0,0,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,3,0,0,6,0,3,7,24,52,41,63,41,10,246,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0,0,3,3,8,27,13,6,53,0,0,0,0,0,0,10,12,3,17,0,0,0,3,0,0,0,0,0,9,3,7,3,62,11,4,7,0,0,100,0,0,0,3,0,4,0,0,0,6,0,0,0,4,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3
