UCL_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
UCL201001,15,42,207,673,690,867,1317,1062,308,305,357,370,476,288,210,7189,46,261,800,680,2497,16377,28303,34998,7199,8642,10268,13768,15922,8650,6940,155340,15,222,2252,5994,563,1294,1546,134,36,37,45,43,47,10,387,12616,16,820,1976,2280,666,1878,1529,1238,277,307,422,229,270,130,361,12394,14,36,84,283,929,2952,2376,1500,229,255,269,215,220,113,237,9720,179,4969,3693,1851,1438,1052,1805,1298,284,268,277,334,388,231,629,18711,86,3319,18715,15106,1821,1014,582,303,312,696,557,389,287,116,1747,45053,31,56,270,861,2588,6102,4127,2172,447,625,716,827,863,451,572,20699,44,365,367,4838,3007,8628,25394,55474,6066,7229,9129,12324,12014,8768,4498,158148,20,136,159,336,779,1642,5011,2787,589,718,827,955,1341,1069,376,16759,3,16,16,162,598,1342,1634,2710,1456,1918,3178,855,894,452,392,15641,0,3,12,98,346,2190,5129,3742,998,638,1571,897,726,754,421,17522,29,334,857,1708,966,1646,1335,2086
UCL203001,0,0,7,22,14,16,55,34,7,9,3,14,7,15,10,198,3,0,75,5,15,66,169,359,72,80,68,127,142,91,57,1332,0,25,260,527,45,114,112,11,3,0,3,0,0,0,45,1152,0,3,4,15,0,7,22,18,0,3,3,8,0,3,5,86,0,0,0,7,3,17,11,18,5,3,6,6,7,0,0,91,4,438,178,54,37,29,35,29,3,4,3,3,5,7,42,876,4,27,118,94,12,12,6,0,0,0,0,0,0,0,22,289,0,0,3,8,17,31,24,24,3,12,6,18,15,5,9,160,4,12,4,33,14,34,117,813,82,77,141,198,275,197,59,2066,0,3,9,3,5,20,49,30,7,3,10,26,10,4,3,184,0,0,0,3,9,23,36,52,23,84,107,39,42,8,5,439,0,0,0,0,0,0,27,14,6,20,24,5,45,52,9,209,0,17,40,61,17,42,25,49
UCL211001,0,0,0,6,0,3,11,0,0,0,0,0,0,0,0,28,0,3,0,0,0,10,16,22,4,0,3,10,3,0,0,78,0,4,39,47,6,3,4,0,0,0,0,0,0,0,3,105,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,6,8,4,3,0,0,0,0,0,0,23,0,114,70,34,16,3,5,8,0,3,0,0,0,0,3,260,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,9,0,0,0,8,0,6,28,159,9,13,13,13,17,16,4,282,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,4,0,7,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,9,3,7,3,7
UCL211002,0,0,4,14,4,9,20,10,0,0,0,0,3,0,3,88,0,0,3,0,6,23,116,163,29,38,52,69,78,102,42,711,0,3,48,38,3,4,3,3,0,0,0,0,0,0,4,104,0,0,3,3,0,3,9,13,0,0,0,0,6,0,0,35,0,3,0,4,9,14,4,8,0,10,4,5,0,3,3,66,0,121,58,25,14,10,14,11,0,0,3,0,0,3,9,272,0,6,27,15,4,3,0,0,0,0,0,0,0,0,4,57,0,0,0,5,7,12,9,10,0,0,0,0,3,0,6,47,0,6,3,21,7,11,103,389,43,53,61,39,52,36,34,847,0,5,0,3,3,4,6,12,0,4,0,6,0,0,0,47,0,0,0,0,3,4,10,15,7,5,12,0,0,0,0,58,0,0,0,0,0,0,5,15,0,0,0,3,4,0,0,32,0,14,9,25,9,11,19,9
UCL211003,0,0,3,16,8,7,21,10,3,4,0,3,11,3,0,88,0,0,0,0,4,19,55,87,20,22,10,18,21,11,14,282,0,3,4,10,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,3,0,7,14,9,3,0,9,3,0,0,0,52,0,3,0,0,3,7,8,16,3,0,0,7,0,8,0,53,0,76,32,19,14,7,17,11,0,0,3,0,0,0,7,185,0,5,21,10,3,0,0,0,0,0,0,0,0,0,3,47,0,0,7,0,6,6,6,6,0,0,6,0,0,0,0,41,0,0,9,14,5,3,90,296,26,34,36,49,52,34,33,675,0,0,0,0,4,3,20,13,3,0,0,0,3,3,0,61,0,0,0,0,0,0,3,9,0,0,12,6,3,9,0,47,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,22,0,12,18,18,3,14,13,17
UCL211004,0,0,0,3,0,8,20,3,4,0,6,0,3,0,0,47,0,0,0,3,3,14,33,53,7,8,7,7,12,8,16,177,0,0,19,86,6,21,28,0,0,0,0,0,3,0,3,167,0,8,25,22,12,19,38,12,0,0,10,4,0,0,10,147,0,0,3,0,5,25,33,47,10,6,0,4,0,4,3,140,0,117,41,30,11,14,15,8,3,0,0,0,0,0,11,246,0,10,31,48,5,3,3,0,0,0,0,0,0,0,10,118,0,0,0,3,3,3,6,0,0,0,0,0,0,7,0,21,0,3,3,33,19,32,211,599,37,34,61,91,62,34,36,1264,0,0,3,0,0,7,27,15,7,5,3,0,0,0,0,79,0,0,0,0,0,4,3,3,7,11,4,0,0,0,0,37,0,0,0,0,0,4,11,13,3,0,6,0,0,4,0,41,0,6,15,37,5,21,4,6
UCL212001,0,0,0,3,0,0,3,4,0,0,0,0,4,0,0,16,0,0,3,0,3,3,12,31,5,13,12,10,4,3,9,107,5,10,16,14,0,3,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,5,0,13,11,0,0,0,0,0,0,0,28,0,41,9,4,6,4,3,3,0,0,0,0,3,0,6,83,0,19,57,20,4,7,0,0,0,0,0,0,0,0,9,108,0,0,0,0,3,9,4,4,0,5,0,4,6,0,10,47,0,0,0,3,0,3,30,134,12,18,21,20,23,32,16,313,0,0,3,0,0,0,4,0,0,0,0,0,4,3,0,21,0,0,0,0,3,0,3,3,3,5,11,0,0,3,3,33,0,0,0,0,0,0,19,9,3,7,4,0,3,0,0,48,0,5,3,8,3,0,3,7
UCL212002,0,0,3,8,3,3,5,3,0,3,0,0,0,0,0,28,0,0,0,8,3,15,19,51,10,4,9,12,9,7,9,143,0,0,6,11,3,4,4,0,0,0,0,0,0,0,0,23,0,0,3,0,0,0,11,5,0,0,0,0,0,0,0,19,0,0,0,3,0,6,12,11,3,3,0,0,3,0,0,38,0,28,12,3,5,4,3,3,0,0,0,3,0,7,3,79,3,23,51,8,7,8,0,0,0,3,0,0,0,0,10,115,0,0,0,3,3,3,5,7,0,0,0,4,5,0,0,34,0,3,0,5,0,23,116,553,51,46,54,75,64,43,34,1062,0,3,5,0,0,0,5,11,0,3,3,4,0,0,3,28,0,0,0,0,0,0,12,23,4,3,38,13,0,9,0,114,0,0,0,0,0,51,222,76,17,19,23,22,17,8,14,462,0,0,3,18,3,5,8,6
UCL212003,0,0,0,7,3,3,11,5,3,0,0,4,3,0,0,38,0,0,0,6,0,13,28,17,5,7,8,15,0,0,0,97,0,3,10,37,4,7,3,3,0,0,0,0,0,0,0,66,0,8,15,4,0,0,7,4,0,0,0,0,0,0,0,35,0,0,0,0,8,22,13,0,0,3,0,0,3,3,0,64,0,73,53,19,8,11,3,4,3,0,0,0,0,4,3,189,0,7,22,13,7,0,0,0,0,4,0,0,0,0,3,51,0,0,0,0,3,0,9,3,0,0,0,0,0,0,0,19,0,3,8,36,12,29,65,103,10,7,7,17,6,10,17,337,0,0,0,3,0,0,18,3,0,0,0,0,0,0,0,29,0,0,0,0,3,0,0,8,3,0,0,3,0,0,0,12,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,7,0,0,17,17,13,33,24,13
UCL212004,0,0,0,3,0,4,7,12,0,0,0,0,0,0,0,30,0,0,0,0,0,5,27,28,6,0,0,4,11,0,4,96,0,0,8,4,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,4,0,0,0,0,0,4,0,18,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,14,0,71,29,15,3,3,3,0,0,0,0,0,3,0,3,132,0,6,14,9,0,0,0,0,0,0,0,0,0,0,5,34,0,0,0,0,0,0,4,3,0,0,0,3,0,3,0,17,0,3,0,0,4,3,32,84,9,6,11,11,16,3,4,182,0,0,0,3,3,4,0,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,5,0,6,8,6,7,15,3,3
