UCL_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
UCL221033,73,135,0,0,9,49,3,21,32,136,45,201,5,14,10,34,19,67,32,119,83,323,0,0,0,14,0,0,6,20,8,32,0,0,3,5,4,12,13,20,20,49,0,0,167,501
UCL221034,56,111,3,8,4,31,3,11,35,130,42,178,3,10,0,9,16,41,16,61,62,239,0,0,0,6,0,7,9,12,7,27,0,0,3,12,15,28,19,39,29,68,0,3,146,423
UCL221035,83,167,0,0,3,22,0,7,13,60,20,91,0,3,4,9,3,15,12,26,29,122,0,5,5,4,0,0,8,14,12,27,0,0,4,3,5,19,9,19,17,43,3,10,139,346
UCL221036,55,115,0,9,18,87,0,9,76,320,98,429,7,30,11,51,24,80,44,152,140,584,0,0,3,17,0,3,8,16,13,38,0,0,0,0,7,14,7,14,14,52,3,3,216,750
UCL221037,84,164,4,13,9,38,0,5,28,103,38,163,3,8,0,0,19,48,19,53,58,220,0,0,0,6,0,14,5,17,10,30,0,0,0,0,19,36,19,36,25,61,3,10,170,458
UCL221038,74,151,3,18,16,69,0,3,51,217,68,301,5,35,7,13,19,67,32,111,102,408,0,0,0,10,0,3,7,20,8,32,0,0,0,0,10,19,7,18,16,47,0,3,203,604
UCL221039,90,175,0,7,3,20,0,12,32,111,37,154,3,13,4,21,4,9,11,42,49,195,0,3,0,4,0,4,4,12,9,19,0,7,5,9,10,15,16,27,17,50,4,11,164,432
UCL221040,122,235,0,8,21,97,9,45,70,268,100,416,12,34,5,28,25,84,47,150,143,563,0,7,0,7,0,4,11,26,17,39,0,7,3,6,18,40,24,50,37,89,0,3,304,892
UCL221041,73,143,0,0,14,68,6,20,72,278,89,362,11,28,11,33,24,69,39,131,126,492,0,0,0,5,0,0,11,29,8,33,3,10,0,3,5,18,13,27,24,64,0,0,226,693
UCL221042,100,197,0,6,9,44,3,8,46,183,61,247,0,4,8,19,13,41,23,68,81,315,0,0,0,6,0,0,9,14,5,27,0,0,5,7,10,23,18,32,25,53,0,0,203,563
UCL221043,81,163,0,3,3,22,0,0,26,114,36,138,0,3,0,13,12,33,12,44,48,188,0,0,0,0,0,0,18,40,18,40,0,0,4,9,13,19,15,29,32,69,3,4,164,423
UCL221044,54,111,6,22,10,41,3,21,38,170,55,252,0,12,6,17,20,64,32,92,87,343,0,0,0,0,3,7,7,20,13,24,0,0,0,6,3,8,6,16,18,43,0,3,159,497
UCL221045,139,274,0,9,3,16,4,16,15,48,21,87,0,0,0,0,4,15,4,15,24,99,0,3,3,21,0,4,9,19,17,42,0,0,0,4,7,15,11,22,21,62,3,3,190,440
UCL221046,156,305,0,0,5,20,0,4,32,135,42,159,0,0,6,28,8,32,18,62,58,221,0,0,11,37,4,4,11,25,21,70,3,9,5,5,11,24,17,35,36,105,3,4,256,637
UCL221047,80,156,0,5,3,6,0,4,39,141,41,165,0,7,5,22,17,49,22,80,66,239,0,4,0,9,4,13,3,12,14,39,0,3,3,10,12,23,18,34,28,73,3,8,181,478
UCL221048,81,156,0,0,7,36,4,15,109,405,117,459,3,20,6,14,14,28,18,57,138,523,0,0,0,4,3,8,16,63,23,75,0,0,5,8,9,13,8,21,29,96,0,3,244,773
UCL221049,48,88,0,23,10,48,3,4,33,145,48,219,16,68,12,43,16,47,40,159,88,375,0,0,0,3,0,0,3,8,7,12,0,0,0,0,3,11,3,11,10,25,3,4,149,498
UCL221050,236,461,0,0,6,36,3,11,46,185,60,224,3,7,6,12,15,44,22,68,78,294,0,6,4,16,0,3,14,35,20,61,0,0,5,11,7,11,14,22,27,83,4,6,344,839
UCL221051,66,123,0,7,13,66,0,3,65,274,82,343,11,51,6,19,17,46,34,109,117,459,0,0,0,3,0,3,5,4,3,11,0,0,3,4,0,3,3,7,11,19,0,7,188,607
UCL221052,88,165,0,0,9,41,3,18,31,131,38,195,0,13,0,0,13,38,13,48,56,241,0,0,3,6,0,7,12,46,18,58,4,13,3,6,12,22,15,41,38,94,0,0,180,503
UCL221053,89,180,0,4,12,52,0,3,32,133,45,195,3,17,6,25,13,34,24,81,71,272,0,0,0,0,0,4,14,43,18,50,0,6,3,8,9,25,18,36,30,81,0,3,197,538
UCL221054,44,90,3,14,9,25,4,12,26,103,37,154,5,19,6,22,22,85,39,126,75,286,0,4,3,5,0,0,8,22,11,33,0,3,3,3,7,20,13,27,18,62,5,4,143,439
UCL221055,109,217,0,7,11,56,3,10,47,201,65,269,4,19,13,38,15,37,31,93,89,370,0,0,0,3,0,5,6,21,8,33,3,10,0,7,12,20,13,34,25,71,0,4,233,652
UCL221056,140,276,0,0,4,12,0,3,32,117,31,130,4,4,4,12,8,29,16,48,49,176,0,0,0,6,0,5,3,7,4,14,0,0,0,0,6,13,6,13,15,33,0,3,198,486
UCL221057,82,160,0,0,0,8,0,12,31,125,38,142,3,10,4,10,9,23,13,48,49,193,0,0,3,3,0,0,12,31,11,33,0,0,0,3,7,14,11,18,21,54,3,7,159,407
UCL221058,71,137,0,0,13,53,0,3,54,204,62,264,3,15,5,27,15,56,32,99,96,366,0,0,0,0,3,4,20,55,20,59,0,0,3,9,8,21,14,26,33,87,4,9,199,591
UCL221059,83,173,0,3,9,26,3,5,40,156,47,196,0,5,3,15,7,30,15,50,68,241,0,0,0,0,0,6,11,32,13,42,0,5,0,0,8,16,7,18,21,66,0,5,176,480
UCL221060,119,236,0,3,4,11,0,7,11,30,13,56,0,3,0,4,6,13,4,22,20,74,0,0,0,5,0,0,3,6,0,12,0,5,0,3,3,12,10,18,8,31,0,6,153,339
UCL221061,64,131,3,12,3,17,4,12,34,136,45,175,3,10,3,8,24,73,26,92,69,264,0,4,4,5,3,7,15,50,25,69,0,3,0,3,18,51,26,56,45,129,3,10,187,535
UCL221062,127,253,0,9,5,16,3,8,33,131,38,166,4,27,0,4,11,38,20,69,59,231,3,14,0,0,0,3,17,51,20,65,0,9,5,13,16,37,28,57,49,127,4,4,241,614
UCL221063,67,136,0,0,0,13,0,10,26,97,31,123,0,0,3,15,7,18,11,32,40,149,0,0,3,6,0,0,12,24,13,34,0,3,3,6,11,19,14,28,24,59,3,7,138,354
UCL221064,54,112,0,0,10,30,3,8,59,249,74,287,0,7,7,24,18,54,28,81,98,374,0,3,0,5,4,6,11,23,14,40,6,8,0,0,15,23,15,34,30,73,0,0,184,564
UCL221065,64,126,3,15,4,25,4,12,38,155,51,212,3,18,3,12,13,42,20,68,71,272,0,0,0,0,0,5,10,25,12,30,0,0,0,0,5,16,8,14,21,46,0,0,153,445
UCL221066,57,112,0,10,3,23,3,11,28,133,39,174,3,19,0,3,11,31,14,53,52,224,0,4,3,6,0,3,9,34,18,50,0,3,0,0,3,13,4,16,19,65,3,5,138,414
UCL221067,70,136,0,0,4,19,0,3,60,243,67,266,0,6,7,10,14,34,20,54,82,319,0,0,0,7,0,6,15,40,19,50,0,0,4,5,9,26,16,30,35,80,3,3,192,544
UCL221068,120,226,4,21,9,33,4,9,44,179,61,248,3,11,6,18,7,26,21,54,74,300,0,0,3,17,0,0,15,51,23,67,0,0,4,10,10,20,18,37,42,105,0,4,235,638
UCL221069,183,362,5,21,25,116,13,52,130,498,169,681,18,73,18,59,47,147,80,270,248,956,0,7,0,11,3,8,22,63,24,85,0,0,3,13,14,38,25,51,47,133,0,0,481,1449
UCL221070,87,173,0,0,9,32,0,8,41,170,52,208,0,0,11,40,18,43,24,80,80,283,0,3,0,0,3,9,17,47,17,58,0,6,7,17,13,28,24,51,39,109,8,10,215,581
UCL221071,36,75,0,12,14,53,0,0,49,200,62,268,3,15,8,20,11,35,23,75,86,342,0,0,0,0,0,3,5,9,3,18,0,3,5,13,3,3,10,17,14,33,0,0,134,450
UCL221072,96,193,0,0,7,23,3,9,30,129,41,161,0,3,8,12,12,46,21,65,60,220,0,0,4,9,0,0,5,17,13,30,0,3,3,11,11,23,12,32,23,66,5,3,187,485
UCL221073,101,203,0,4,0,0,3,12,30,110,32,129,0,7,9,24,10,31,21,59,48,185,0,7,0,3,0,4,4,13,7,33,0,0,5,8,12,22,12,26,24,61,0,3,181,451
UCL221074,108,214,0,0,0,5,3,6,22,88,30,101,0,6,0,0,9,33,14,38,40,137,0,0,3,13,0,6,11,21,12,36,0,0,0,3,13,19,11,20,25,57,0,0,172,408
UCL221075,81,156,0,7,3,14,0,0,30,103,30,126,7,17,3,5,9,17,16,42,49,170,0,0,3,15,0,4,9,37,17,53,0,5,0,3,9,15,10,20,28,72,6,10,155,411
UCL221076,63,121,0,3,4,13,3,13,24,89,31,115,6,15,8,18,8,37,18,66,52,185,0,5,0,0,0,0,10,18,12,23,0,4,0,0,9,24,10,28,23,50,0,0,130,359
UCL221077,70,134,0,6,4,17,0,0,18,85,28,112,0,7,4,17,3,16,10,38,39,152,0,0,0,0,0,4,11,28,11,29,0,0,8,13,15,32,19,39,26,71,0,3,139,354
UCL221078,90,179,0,0,7,35,0,7,26,105,33,145,0,0,7,15,19,61,23,79,58,226,0,0,3,12,0,0,12,24,16,33,0,0,0,4,7,15,9,20,22,53,0,3,169,458
UCL221079,85,164,8,32,14,59,3,7,64,260,87,363,6,22,10,31,18,61,35,119,124,478,0,6,9,21,0,0,15,51,26,77,0,8,4,9,13,32,18,49,47,128,0,3,255,774
UCL221080,68,144,0,4,4,12,0,0,21,86,28,106,0,7,7,21,3,13,12,41,38,142,0,5,3,5,0,0,13,31,16,46,0,3,0,3,6,20,14,27,28,67,3,6,136,356
UCL221081,112,222,0,0,14,55,3,21,64,250,81,327,3,13,13,36,16,35,27,90,108,410,3,4,4,13,4,4,18,45,19,64,0,0,3,4,3,4,8,11,31,79,0,0,249,716
UCL221082,58,116,0,0,6,31,5,13,28,118,43,167,4,20,11,26,9,33,22,80,65,251,0,0,0,5,0,0,22,57,20,60,0,3,4,14,8,19,13,27,35,91,0,0,162,454
UCL222001,30,66,3,12,3,6,4,11,17,77,25,109,0,8,3,20,6,25,13,49,41,158,0,0,0,7,0,0,0,0,0,7,0,0,3,4,0,3,6,5,5,15,0,0,81,236
UCL222002,48,100,0,0,11,45,0,3,25,107,36,150,0,3,4,13,9,26,15,41,51,195,0,0,0,0,0,5,5,11,7,13,0,0,0,0,3,3,4,4,9,21,0,0,112,314
UCL222003,23,46,3,19,0,9,0,5,20,90,23,118,3,11,3,8,7,23,10,40,37,160,0,0,0,0,0,0,3,12,9,12,0,4,0,0,0,3,5,6,11,21,0,3,70,233
UCL222004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL222005,21,44,0,0,0,12,0,3,11,48,12,59,0,0,3,12,3,16,4,24,18,85,0,0,0,0,0,3,3,6,3,5,0,0,0,0,12,18,12,18,10,22,3,6,60,160
UCL222006,59,110,0,5,3,26,0,0,19,69,26,95,0,3,9,30,11,20,16,55,38,153,0,0,0,0,0,0,5,9,5,9,0,5,3,4,3,7,7,12,9,21,0,3,105,285
UCL222007,30,58,0,0,5,20,0,3,9,25,15,48,3,10,7,14,3,8,11,31,24,80,0,0,3,9,0,0,0,3,3,14,3,6,0,0,0,0,3,6,7,19,0,0,59,155
UCL222008,30,58,0,9,0,7,0,0,15,66,21,73,0,6,0,5,6,6,7,14,24,91,0,0,0,0,0,0,5,13,5,13,0,9,0,0,6,13,9,16,15,31,0,0,66,183
UCL222009,42,89,0,0,4,12,0,5,14,59,17,79,0,0,6,11,6,18,9,30,31,113,0,0,0,0,0,0,4,17,5,19,0,0,0,3,5,13,5,16,13,33,0,0,91,232
UCL222010,29,59,0,0,7,27,4,21,22,78,32,124,3,10,3,17,12,41,18,66,49,195,0,0,0,0,0,0,9,22,9,22,0,3,0,0,8,20,11,21,18,44,0,0,97,298
UCL222011,26,58,0,4,7,37,0,0,26,100,34,144,4,12,3,15,10,35,22,69,54,209,0,0,0,0,0,4,6,25,12,27,0,3,0,0,6,15,6,14,16,43,0,0,94,312
UCL222012,51,93,0,9,0,3,0,3,17,63,16,79,0,3,8,13,5,19,16,40,35,120,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,15,4,15,5,20,3,6,92,236
UCL222013,34,63,0,0,3,9,3,12,11,32,11,53,3,9,0,0,5,21,10,26,24,80,0,0,0,0,0,0,3,7,3,7,0,0,0,0,4,7,4,6,8,11,0,0,61,153
UCL222014,75,143,0,3,3,21,0,0,19,74,28,102,0,3,4,17,10,29,12,50,38,151,0,0,0,0,0,0,0,9,0,9,0,0,0,3,5,5,6,10,10,14,0,0,122,311
UCL222015,30,65,0,15,4,33,3,7,21,87,36,140,3,24,3,15,19,65,28,103,64,244,0,7,3,10,0,0,9,21,9,39,0,0,0,3,12,18,13,20,24,59,4,6,122,372
UCL222016,37,65,0,8,4,11,3,8,35,128,37,155,3,25,3,8,14,35,21,63,56,218,0,5,0,3,0,0,3,8,6,12,0,5,0,0,5,9,5,18,12,34,0,3,107,320
UCL222017,44,84,0,0,4,24,3,15,30,128,39,158,0,3,0,3,3,17,7,25,49,183,0,0,0,4,0,0,15,42,15,41,0,0,4,3,13,21,14,31,30,74,0,0,126,348
UCL222018,31,62,3,15,7,31,6,19,23,105,38,171,0,5,3,13,16,43,15,56,61,228,0,5,0,3,0,0,4,15,5,23,0,0,0,3,4,4,4,7,15,32,3,5,107,327
UCL222019,41,74,0,0,0,9,0,3,10,40,11,50,0,9,0,5,0,5,3,15,20,69,0,0,0,0,0,4,5,16,9,19,0,0,0,3,3,6,3,10,8,24,0,0,65,172
UCL222020,27,63,0,0,3,18,0,0,12,42,16,54,3,8,0,3,4,15,8,26,23,82,0,0,0,0,0,0,4,10,7,14,0,0,0,0,3,7,3,7,4,18,3,3,63,158
UCL222021,14,22,0,0,0,0,0,0,6,31,6,31,0,4,0,0,0,6,0,6,13,40,0,0,0,4,0,0,0,11,3,15,0,0,0,3,0,0,3,8,6,20,0,0,32,88
UCL222022,46,90,0,6,3,13,6,31,19,78,29,123,5,17,7,17,10,29,22,58,47,182,0,0,0,0,0,3,4,10,4,7,0,0,0,5,4,8,6,17,11,25,3,4,107,301
UCL222023,25,55,0,0,0,8,0,5,21,87,23,104,0,0,3,10,4,16,4,21,31,125,0,0,0,3,0,0,7,20,5,20,0,0,0,0,0,3,3,3,11,28,3,3,72,208
UCL222024,43,79,0,0,0,3,0,4,15,55,17,62,0,3,0,6,4,17,6,29,26,89,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,8,3,7,3,7,0,3,69,185
UCL222025,51,102,0,0,7,38,3,5,42,157,49,199,0,0,6,21,7,26,15,47,64,250,0,0,0,0,0,3,3,4,3,8,0,0,3,6,7,9,6,17,9,29,0,0,126,379
UCL222026,7,12,0,0,0,0,0,0,17,50,17,50,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,4,9,4,9,0,0,0,0,0,3,0,3,7,10,0,0,26,72
UCL222027,27,49,0,0,0,5,0,0,13,45,11,50,0,0,0,0,0,0,0,0,16,53,0,0,0,0,0,3,3,14,5,18,0,0,0,3,3,9,6,14,9,27,0,0,48,137
UCL222028,47,81,0,0,13,48,0,4,27,98,39,150,0,0,0,5,12,35,10,42,46,190,0,0,0,0,0,0,3,12,3,12,0,0,0,0,0,3,0,3,3,10,0,0,95,281
UCL222029,43,86,0,0,0,5,0,3,26,90,27,99,0,3,3,7,8,28,12,40,34,131,0,0,0,0,0,0,5,14,5,14,0,0,3,8,3,4,5,12,11,28,0,0,90,251
UCL222030,75,145,0,4,0,9,0,5,8,28,11,53,0,0,0,7,7,16,7,28,21,76,0,0,0,0,0,0,6,12,6,12,0,0,0,4,3,10,3,13,14,24,4,5,109,259
UCL222031,31,60,3,14,3,27,0,0,20,70,29,117,3,15,0,0,9,15,6,30,36,142,0,0,0,0,0,0,4,15,4,15,0,4,0,0,4,5,4,13,7,21,0,3,74,227
UCL222032,51,98,0,4,7,28,3,14,25,88,32,138,3,16,3,12,13,39,19,62,51,197,0,5,0,4,0,0,7,24,11,33,0,0,3,8,7,12,9,20,21,51,3,4,124,351
UCL222033,28,62,0,0,0,3,0,3,5,23,11,30,3,10,0,11,3,7,8,21,15,53,0,0,0,4,0,0,3,12,6,17,0,3,0,4,4,5,3,15,10,26,0,0,60,147
UCL222034,24,51,0,0,0,3,0,0,11,38,14,45,0,0,3,3,3,12,9,20,17,64,0,0,3,12,0,0,12,25,10,36,0,0,3,3,0,3,3,6,17,38,3,5,63,163
UCL222035,33,66,0,0,3,17,0,3,13,47,19,68,0,0,0,4,10,28,8,31,25,96,0,0,3,8,0,0,3,7,3,17,0,0,0,0,0,0,0,0,3,17,0,7,64,184
UCL222036,43,79,0,0,3,7,0,0,20,64,24,79,0,0,3,9,3,10,4,19,29,93,0,0,3,6,0,0,0,9,5,14,0,0,0,4,0,4,4,5,5,19,0,3,77,200
UCL222037,34,63,0,0,3,14,0,3,9,26,8,40,0,0,3,13,8,19,12,30,25,69,0,0,0,0,0,0,4,5,4,5,0,3,0,0,3,3,0,7,9,17,0,0,62,155
UCL222038,20,42,0,0,3,7,0,4,13,60,16,75,0,0,3,10,5,8,5,18,26,87,0,0,0,0,3,14,8,31,13,40,0,3,0,0,0,3,3,5,18,45,0,4,58,179
UCL222039,48,89,0,0,3,9,0,0,10,61,13,64,0,3,0,7,6,13,7,25,22,86,0,0,0,3,0,4,4,10,6,13,0,3,3,8,3,7,9,20,15,31,0,0,84,212
UCL222040,20,35,0,10,0,3,0,0,10,29,7,44,0,9,0,5,0,8,6,19,16,63,0,3,0,6,0,0,4,8,9,18,0,4,0,0,8,7,4,15,10,31,3,3,49,136
UCL222041,19,42,0,0,3,22,0,0,11,47,15,72,0,13,3,9,3,9,8,28,24,104,0,0,4,7,0,0,3,9,6,19,0,0,0,0,0,3,3,5,12,23,0,7,57,172
UCL222042,21,42,0,0,3,11,0,3,16,81,21,95,0,10,0,3,3,11,9,26,31,122,0,0,0,0,0,0,6,11,6,11,0,0,0,0,3,9,3,9,7,15,0,0,63,186
UCL222043,38,81,0,4,8,23,0,6,29,120,42,155,3,3,4,10,3,9,11,29,51,182,0,0,0,4,0,0,8,24,9,26,0,0,3,6,0,3,7,6,11,35,0,0,98,300
UCL222044,53,108,0,4,3,23,0,0,27,89,30,120,0,0,0,7,0,8,4,17,35,136,0,0,0,0,0,5,4,7,4,19,0,0,4,3,0,3,3,11,12,24,0,0,95,262
UCL222045,33,62,0,0,3,26,0,0,16,79,26,104,0,0,0,3,4,12,3,11,27,116,0,0,0,3,0,0,9,18,7,24,0,5,0,4,8,10,6,20,17,40,0,3,80,221
UCL222046,42,79,0,6,0,12,0,0,11,32,13,50,0,0,0,5,4,19,5,21,19,78,0,0,3,12,0,0,4,14,7,28,0,0,0,0,0,0,0,0,7,28,0,0,66,178
UCL222047,63,130,0,0,3,17,0,5,22,107,29,126,0,0,7,12,18,49,22,62,52,186,0,0,0,5,0,0,6,13,8,18,0,4,0,5,0,0,3,5,12,26,0,3,124,346
