UCL_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
UCL222048,55,115,0,6,4,11,3,5,16,52,22,79,0,0,8,13,7,18,10,36,29,114,0,5,0,0,0,0,7,20,6,25,0,4,0,5,8,14,11,26,17,46,5,7,114,285
UCL222049,37,80,0,6,0,4,0,0,14,37,14,52,0,0,0,3,8,15,5,15,21,66,0,0,0,0,0,0,4,12,4,12,0,0,0,0,5,8,5,8,7,24,0,0,65,163
UCL222050,25,45,0,0,3,9,0,0,20,73,19,81,0,8,8,23,12,36,20,64,35,142,0,0,0,0,0,6,3,5,3,8,3,3,0,3,6,10,7,17,9,30,0,0,68,215
UCL222051,61,119,0,4,5,34,0,13,10,45,17,94,3,15,0,0,4,20,9,32,26,121,0,0,5,7,3,7,14,36,13,48,0,4,0,0,3,10,5,17,23,66,0,3,110,305
UCL222052,23,50,0,0,3,7,0,0,12,44,17,54,0,0,0,3,3,8,4,15,15,69,0,0,0,0,0,0,6,17,6,17,0,0,0,3,3,3,3,9,15,30,0,0,54,142
UCL222053,29,63,0,0,0,3,4,12,4,18,10,30,0,0,3,12,0,7,8,24,16,51,0,0,0,9,0,0,6,14,3,25,0,0,0,0,3,3,3,5,8,28,0,0,58,150
UCL222054,34,62,0,0,0,13,0,0,18,58,15,68,0,0,3,8,3,8,5,15,24,78,0,0,0,0,0,0,0,3,0,3,0,0,0,3,5,12,6,9,5,14,0,3,60,159
UCL222055,71,130,0,3,0,3,0,3,19,82,25,93,0,3,3,10,12,37,16,50,38,140,0,0,0,5,0,0,3,10,4,17,0,0,0,0,3,4,3,7,7,26,4,8,118,303
UCL222056,59,121,0,0,0,10,0,0,10,44,17,57,0,5,0,0,4,12,7,18,23,78,0,4,0,0,0,0,6,8,5,11,3,4,0,0,3,7,6,15,14,27,0,0,93,226
UCL222057,69,136,0,13,3,25,0,5,26,91,30,136,4,13,5,24,3,14,19,51,48,185,0,0,6,14,0,0,4,9,11,25,0,0,0,0,7,11,4,16,15,33,3,6,134,362
UCL222058,30,57,0,0,3,11,5,14,22,99,30,122,0,15,0,6,7,26,12,42,45,164,0,11,6,16,0,7,12,26,19,49,0,3,0,3,9,15,10,20,28,72,0,0,94,293
UCL222059,47,88,0,5,7,32,3,14,21,92,33,137,4,6,0,3,15,42,20,53,46,189,0,0,0,0,0,3,3,12,4,15,0,4,0,5,5,18,10,20,16,33,5,7,117,327
UCL222060,36,67,0,0,5,18,0,0,20,81,23,99,0,0,3,6,3,10,8,19,26,118,0,0,0,0,0,4,9,19,6,23,0,5,0,0,0,0,4,7,8,29,0,0,77,212
UCL222061,51,94,0,0,0,4,0,0,13,52,14,58,0,7,4,8,6,14,12,30,19,85,0,0,3,6,0,3,8,19,8,30,0,0,0,0,11,17,9,17,22,47,0,0,91,231
UCL222062,0,8,0,0,0,0,0,0,0,5,0,5,0,0,0,5,3,0,0,10,6,11,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,3,3,0,0,12,26
UCL222063,23,51,0,0,0,3,0,6,14,53,13,68,0,3,0,6,0,5,4,16,20,84,0,0,0,0,0,0,4,9,4,9,0,0,0,3,3,8,3,7,10,18,0,0,53,150
UCL222064,7,8,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,7,6,15,0,0,0,0,0,0,0,0,6,15,0,0,12,24
UCL222065,25,58,0,0,0,12,0,0,5,33,13,49,0,0,0,6,3,12,4,15,20,65,0,0,0,11,0,4,4,3,6,18,0,3,0,3,0,3,4,9,11,30,0,0,57,152
UCL222066,28,59,0,3,3,8,0,0,18,61,15,77,0,3,0,7,4,11,6,20,22,94,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,3,3,4,0,0,52,159
UCL222067,17,32,3,9,3,30,0,0,13,52,19,90,3,15,0,8,8,39,18,62,36,149,0,0,0,5,0,0,4,11,5,14,0,0,0,5,3,4,4,7,11,22,0,0,65,206
UCL222068,45,90,0,0,4,16,3,8,15,56,22,75,0,3,3,5,7,17,11,28,27,105,0,0,0,0,0,0,10,26,10,26,0,0,0,0,7,20,7,20,20,45,0,0,99,242
UCL222069,54,106,0,0,4,24,3,9,16,54,21,85,0,0,8,21,8,18,11,34,36,122,0,0,0,0,0,3,9,21,8,25,0,0,4,8,4,12,16,27,21,53,0,0,115,278
UCL222070,48,94,0,5,7,47,3,7,43,183,56,237,4,16,5,20,12,32,22,65,72,305,0,0,0,0,0,0,4,14,7,20,0,4,0,3,3,7,3,16,13,33,0,0,135,424
UCL222071,15,30,0,4,3,23,0,4,17,86,23,117,4,14,0,3,6,20,13,32,39,153,0,0,0,0,0,0,0,5,0,5,0,0,0,3,7,9,4,8,9,12,3,5,58,204
UCL222072,24,48,3,10,3,23,0,0,6,30,15,66,3,16,3,9,6,14,12,37,26,106,0,0,0,0,0,0,0,6,0,6,3,6,0,0,3,3,3,11,8,15,0,0,59,171
UCL222073,38,76,0,0,0,7,0,0,6,32,6,38,0,0,4,10,11,35,17,44,24,84,0,0,0,0,0,0,3,8,3,8,0,0,0,0,3,7,3,7,9,16,3,7,73,183
UCL222074,46,95,0,0,3,15,0,0,16,58,15,71,0,0,0,7,6,26,9,32,29,101,0,3,4,20,0,8,14,31,19,66,0,0,0,0,7,9,7,9,23,75,3,9,102,280
UCL222075,26,52,0,0,3,14,0,0,12,41,16,61,0,0,3,8,4,10,9,21,24,75,0,0,0,6,0,0,3,8,5,15,0,0,0,5,3,6,3,14,11,29,0,3,58,155
UCL222076,42,77,0,7,4,16,3,15,36,159,46,196,0,0,3,9,8,24,8,31,59,223,0,0,0,0,0,0,0,9,3,15,0,0,0,0,4,9,4,10,10,19,0,0,106,321
UCL222077,11,29,0,0,6,20,4,9,9,23,13,55,5,16,6,22,6,21,15,61,33,116,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,17,5,18,8,20,4,3,57,172
UCL222078,64,128,0,6,3,15,3,11,24,98,30,129,0,0,3,7,5,7,8,18,34,143,0,0,0,11,0,0,3,3,3,17,0,0,3,10,7,12,12,20,13,32,0,3,112,307
UCL222079,45,82,0,0,7,23,0,0,28,112,36,131,0,3,3,12,5,18,14,34,44,170,0,0,0,0,0,0,3,12,3,12,0,0,0,5,8,17,8,23,15,28,0,3,100,287
UCL222080,43,79,0,0,0,8,0,0,4,10,3,21,0,0,0,0,3,21,3,21,14,37,0,0,0,3,0,0,5,6,3,11,0,0,3,3,3,3,4,8,7,19,0,3,58,136
UCL222081,26,47,0,0,4,14,0,0,13,55,20,73,0,0,3,7,3,10,9,26,23,91,0,0,0,0,0,6,0,8,3,10,0,0,3,7,4,4,3,11,5,18,0,0,62,167
UCL222082,17,28,0,3,6,42,0,7,12,33,20,83,0,0,0,5,3,9,4,16,21,97,0,0,3,5,0,4,9,16,10,19,0,6,0,0,3,7,3,13,17,35,0,0,51,158
UCL222083,43,82,3,11,7,28,6,18,28,114,39,169,0,4,3,19,9,22,14,49,56,217,0,0,4,7,0,10,7,12,13,30,0,0,3,3,8,20,10,22,22,59,0,0,120,354
UCL222084,54,102,0,6,5,21,0,0,16,78,24,100,0,0,3,9,6,22,10,23,32,129,0,5,3,16,0,0,7,21,13,44,0,0,0,3,7,13,5,15,20,61,0,3,104,292
UCL222085,25,50,0,0,4,6,0,5,3,7,3,20,0,0,0,0,6,11,6,11,8,36,0,0,3,5,0,0,6,7,9,18,0,0,0,3,0,3,3,3,10,22,0,0,45,111
UCL222086,67,124,0,0,0,7,3,9,27,101,27,115,0,0,3,11,3,15,6,23,33,134,0,0,3,6,0,0,10,23,8,29,0,3,0,3,6,16,10,20,20,48,0,3,125,316
UCL222087,31,55,0,7,4,13,4,12,10,38,16,75,0,0,4,4,4,4,6,11,23,86,0,3,3,8,0,0,10,23,9,32,0,0,0,3,3,5,3,9,15,41,0,0,63,176
UCL222088,50,96,0,3,3,16,0,4,31,119,36,147,4,12,5,12,7,24,16,50,52,194,0,0,0,0,0,0,6,12,10,18,3,9,0,6,3,5,7,26,19,36,0,0,112,325
UCL222089,87,173,0,0,6,23,0,9,18,66,25,91,0,0,5,14,6,20,11,29,37,122,0,0,0,0,0,0,10,23,5,23,0,0,0,3,9,21,11,19,21,40,0,0,142,336
UCL222090,45,94,0,9,3,17,0,0,13,50,19,72,0,3,0,10,7,24,10,40,27,113,0,0,0,8,0,4,3,11,5,25,0,0,0,3,7,20,13,23,15,48,0,3,91,251
UCL222091,32,65,0,0,0,8,0,0,11,35,7,40,0,3,0,0,0,3,3,4,14,44,0,0,3,9,0,0,0,3,3,7,0,0,0,0,0,0,3,0,5,10,0,3,53,123
UCL222092,21,39,0,0,0,3,0,6,14,47,14,57,0,0,3,5,0,0,3,5,14,61,0,0,0,4,0,0,3,10,6,13,0,0,0,0,3,3,4,8,11,18,0,0,45,121
UCL222093,15,41,0,0,3,16,0,7,14,54,20,68,0,0,0,11,6,22,12,31,29,102,0,0,4,7,0,0,0,4,3,11,0,0,0,3,4,3,4,11,5,18,0,3,58,161
UCL222094,59,115,0,0,0,10,0,0,19,78,19,87,3,13,6,18,8,26,15,54,42,150,0,0,0,11,0,0,4,6,8,13,0,0,3,10,5,13,10,21,19,40,0,0,117,303
UCL222095,49,102,0,0,3,13,0,6,13,55,17,66,3,15,0,7,5,13,10,36,26,104,0,0,0,8,3,11,3,14,11,29,0,0,0,0,10,23,8,19,15,50,0,0,97,262
UCL222096,19,42,4,11,0,0,0,0,14,46,18,57,0,0,0,4,4,10,4,12,21,71,0,0,0,5,0,0,6,10,4,18,0,0,0,3,4,10,5,12,11,25,0,0,52,142
UCL222097,18,43,0,0,5,39,0,0,14,39,18,79,0,4,4,16,11,39,21,56,36,133,0,0,0,0,0,3,8,23,10,26,0,0,0,0,5,20,5,20,15,45,0,0,76,225
UCL222098,41,81,0,11,11,51,0,17,15,60,34,134,0,3,4,7,16,47,22,58,52,198,0,0,0,0,0,3,8,17,8,19,3,9,0,3,7,15,7,24,16,43,0,3,111,321
UCL222099,65,133,0,0,3,8,3,6,16,70,20,89,0,3,5,7,5,22,13,38,33,122,0,0,0,3,0,0,9,26,10,31,3,8,3,7,13,26,22,41,30,70,0,3,130,324
UCL222100,33,63,0,0,3,24,0,0,33,126,35,150,0,3,10,25,4,12,13,39,45,192,0,0,0,0,0,6,15,44,19,49,0,0,0,0,9,17,12,20,23,70,3,7,109,332
UCL222101,30,63,0,0,0,0,0,3,6,27,8,37,0,3,3,12,11,37,18,51,23,87,0,0,0,4,0,0,3,11,6,12,0,0,0,0,9,15,4,17,13,30,0,7,70,181
UCL222102,21,45,0,0,0,3,0,3,8,40,8,45,0,0,3,13,5,14,12,34,21,75,0,0,0,3,0,7,0,7,6,14,0,0,0,0,4,12,4,12,13,33,0,0,54,154
UCL222103,22,45,0,0,4,19,0,0,20,80,24,101,7,23,0,3,10,30,14,58,38,152,0,0,0,0,0,0,3,8,3,8,0,0,0,0,5,11,5,12,8,12,0,0,73,213
UCL222104,45,83,0,9,8,21,0,5,28,101,32,137,0,11,9,23,8,16,16,48,49,181,0,0,0,5,0,7,17,31,17,43,3,4,6,7,0,5,10,23,28,65,0,0,118,326
UCL222105,48,89,0,0,3,8,0,0,24,84,22,98,0,4,8,14,3,16,8,34,35,129,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,3,6,9,3,12,0,0,85,232
UCL222106,35,66,0,5,10,30,0,0,34,143,45,179,4,11,0,4,10,22,12,45,53,221,0,0,0,0,0,0,5,6,5,6,0,5,0,0,0,0,0,4,5,9,0,0,96,294
UCL222107,46,88,0,4,3,11,3,9,42,175,53,195,0,4,7,11,13,41,19,59,68,249,0,0,0,4,0,4,14,35,15,45,3,6,3,7,5,11,12,28,28,73,0,0,139,411
UCL222108,55,109,0,0,3,20,0,0,16,65,22,88,0,3,3,12,6,18,13,38,34,123,0,0,4,5,0,0,10,23,8,31,0,0,6,13,9,13,13,23,21,58,4,7,113,292
UCL222109,55,104,0,0,0,3,0,3,10,26,6,36,0,0,0,0,7,23,5,26,19,61,0,0,0,4,0,0,11,26,8,27,0,0,0,9,6,12,8,22,20,49,3,6,89,220
UCL222110,40,81,0,9,3,23,0,3,28,108,39,150,0,5,4,25,6,23,15,47,49,193,0,0,0,3,0,0,4,10,3,13,0,0,3,6,6,19,8,22,11,32,0,0,106,311
UCL222111,26,45,3,13,8,30,0,3,17,73,23,127,5,21,3,9,7,16,10,44,36,164,0,0,0,0,0,4,4,8,3,16,0,0,0,0,6,14,6,14,7,32,0,0,68,243
UCL222112,29,50,0,0,4,14,0,0,7,42,12,51,0,0,4,16,3,6,11,25,19,79,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,9,4,9,0,0,54,135
UCL222113,39,75,0,7,3,21,0,0,19,94,27,118,0,3,0,0,6,19,5,18,33,136,0,0,0,0,0,0,3,9,3,9,0,0,0,0,4,3,4,3,7,14,0,0,77,227
UCL222114,25,43,0,0,0,0,0,0,10,45,10,45,0,5,4,12,10,27,8,41,24,86,0,0,0,3,0,0,4,13,4,12,0,0,0,0,6,16,6,16,9,32,0,0,55,158
UCL222115,32,62,0,0,4,17,0,3,3,8,8,33,3,11,0,0,3,9,6,20,11,57,0,0,0,3,0,0,8,13,5,20,0,0,0,3,3,6,0,5,13,28,0,3,57,143
UCL222116,28,54,0,0,3,15,0,0,17,80,19,95,3,11,3,5,3,8,9,27,28,124,0,0,0,3,0,0,3,15,3,19,0,0,0,0,0,0,0,0,6,21,0,3,61,194
UCL222117,39,74,0,5,7,17,0,3,22,88,25,111,0,4,9,18,3,12,11,38,42,148,0,4,3,8,0,0,8,21,9,32,0,0,3,6,6,14,12,18,22,52,0,0,101,277
UCL222118,21,42,0,0,4,33,0,0,10,50,17,82,0,3,6,26,3,16,13,46,33,131,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,4,8,7,11,0,0,56,179
UCL222119,22,47,0,7,3,22,0,3,10,55,21,87,0,0,6,12,0,5,8,19,23,104,0,0,3,11,0,0,3,4,7,17,0,3,0,0,3,10,3,9,9,24,0,3,60,177
UCL222120,35,69,0,0,0,7,5,19,18,58,23,87,3,12,0,6,6,24,9,42,34,123,0,0,0,0,0,0,4,16,4,16,0,0,0,3,6,17,12,22,13,38,3,8,86,236
UCL222121,27,51,0,8,0,3,0,0,12,43,12,55,3,10,0,4,6,21,10,33,23,86,0,0,0,3,0,4,3,21,8,24,0,3,3,3,7,17,14,25,18,53,0,0,67,186
UCL222122,17,33,0,3,0,15,0,0,11,44,15,62,3,5,0,0,14,34,13,43,30,105,0,0,0,0,0,0,6,11,6,11,0,0,0,0,0,0,0,0,8,12,3,6,51,157
UCL231777,50481,99687,1002,5536,5651,26413,1394,6305,23468,95046,31514,133299,2864,11791,4661,15301,10548,33012,18068,60103,49588,193399,132,572,764,2724,328,1159,3745,10186,4969,14644,427,1366,1071,2314,4366,9262,5866,12946,10830,27588,928,1939,111828,322617
UCL279997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL299994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
