UCL_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
UCL221002,71,13,6,0,0,0,0,88
UCL221003,63,5,9,0,0,0,0,81
UCL221004,56,3,4,0,0,0,0,62
UCL221005,124,3,4,0,0,0,0,130
UCL221006,60,5,4,0,0,0,0,68
UCL221007,51,0,8,0,0,0,0,59
UCL221008,53,4,3,0,0,0,0,57
UCL221009,54,4,3,0,0,0,0,58
UCL221010,57,5,3,0,0,0,0,67
UCL221011,48,4,7,0,0,0,0,62
UCL221012,73,15,3,0,0,0,0,91
UCL221013,63,9,6,0,0,0,0,78
UCL221014,63,12,4,0,0,0,0,74
UCL221015,57,0,0,0,0,0,0,64
UCL221016,77,0,3,0,0,0,0,79
UCL221017,80,7,10,0,0,0,0,102
UCL221018,57,4,3,0,0,0,0,69
UCL221019,77,9,9,3,0,0,3,103
UCL221020,52,3,3,0,0,0,0,61
UCL221021,42,0,3,0,0,0,0,47
UCL221022,31,3,0,0,0,0,0,34
UCL221023,46,0,0,0,0,0,0,48
UCL221024,28,3,3,0,0,0,0,39
UCL221025,51,3,3,0,0,0,0,57
UCL221026,63,3,9,0,0,0,0,78
UCL221027,33,7,3,0,0,0,0,43
UCL221028,31,8,3,0,0,0,0,36
UCL221029,46,9,3,0,0,0,0,53
UCL221030,48,5,0,0,0,0,0,55
UCL221031,80,6,5,0,0,0,0,97
UCL221032,46,10,3,0,0,0,3,69
UCL221033,71,0,3,0,0,0,0,83
UCL221034,48,9,4,0,0,0,0,62
UCL221035,23,3,4,0,0,0,0,29
UCL221036,127,9,6,0,0,0,0,140
UCL221037,47,6,3,0,0,0,0,58
UCL221038,94,7,7,0,0,0,0,102
UCL221039,46,0,3,0,0,0,0,49
UCL221040,117,14,7,0,0,0,0,143
UCL221041,117,9,7,0,0,0,0,126
UCL221042,65,11,0,3,0,0,0,81
UCL221043,38,0,5,0,0,0,0,48
UCL221044,75,6,9,0,0,0,0,87
UCL221045,18,3,3,0,0,0,3,24
UCL221046,51,5,0,0,0,0,0,58
UCL221047,63,4,5,0,0,0,0,66
UCL221048,114,17,10,0,0,0,0,138
UCL221049,78,4,3,0,0,0,3,88
UCL221050,66,10,0,0,0,0,0,78
UCL221051,109,3,6,0,0,0,0,117
UCL221052,47,4,3,0,0,0,0,56
UCL221053,66,4,5,0,0,0,0,71
UCL221054,65,5,4,0,0,0,0,75
UCL221055,82,9,3,3,0,0,0,89
UCL221056,45,3,0,0,0,0,0,49
UCL221057,47,4,0,0,0,0,0,49
UCL221058,79,3,8,0,0,0,0,96
UCL221059,55,3,0,0,0,0,0,68
UCL221060,17,4,0,0,0,0,0,20
UCL221061,62,9,0,0,0,0,0,69
UCL221062,42,5,4,0,0,0,3,59
UCL221063,33,3,0,0,0,0,0,40
UCL221064,84,6,5,0,0,0,0,98
UCL221065,62,8,0,0,0,0,0,71
UCL221066,43,3,5,0,0,0,0,52
UCL221067,78,3,0,0,0,0,0,82
UCL221068,63,12,4,0,0,0,0,74
UCL221069,224,16,13,0,0,0,0,248
UCL221070,65,4,3,0,0,0,3,80
UCL221071,71,5,4,0,0,0,0,86
UCL221072,57,6,0,0,0,0,0,60
UCL221073,48,3,0,0,0,0,0,48
UCL221074,40,0,0,0,0,0,0,40
UCL221075,37,4,0,0,0,0,0,49
UCL221076,40,5,5,0,0,0,0,52
UCL221077,36,3,0,0,0,0,0,39
UCL221078,57,3,3,0,0,0,0,58
UCL221079,104,7,7,0,0,0,0,124
UCL221080,33,3,0,0,0,0,4,38
UCL221081,103,0,5,0,0,0,0,108
UCL221082,58,3,3,0,0,0,0,65
UCL222001,36,0,0,0,0,0,0,41
UCL222002,41,0,5,0,0,0,0,51
UCL222003,35,4,3,0,0,0,0,37
UCL222004,0,0,0,0,0,0,0,0
UCL222005,15,3,0,0,0,0,0,18
UCL222006,34,5,3,0,0,0,0,38
UCL222007,19,4,0,0,0,0,0,24
UCL222008,17,5,0,0,0,0,0,24
UCL222009,25,3,0,0,0,0,0,31
UCL222010,45,0,0,0,0,0,0,49
UCL222011,45,0,3,0,0,0,0,54
UCL222012,24,3,0,0,0,0,0,35
UCL222013,19,0,0,0,0,0,0,24
UCL222014,38,0,0,0,0,0,0,38
UCL222015,60,0,5,0,0,0,0,64
UCL222016,53,0,3,0,0,0,0,56
UCL222017,43,0,5,0,0,0,0,49
UCL222018,48,6,5,0,0,0,0,61
UCL222019,11,4,0,0,0,0,0,20
UCL222020,21,0,0,0,0,0,0,23
UCL222021,10,0,0,0,0,0,0,13
UCL222022,36,3,3,0,0,0,0,47
UCL222023,28,3,3,0,0,0,0,31
UCL222024,19,4,0,0,0,0,0,26
UCL222025,56,5,4,0,0,0,0,64
UCL222026,14,0,0,0,0,0,0,17
UCL222027,10,0,0,0,0,0,0,16
UCL222028,40,0,7,3,0,0,0,46
UCL222029,31,3,0,0,0,0,0,34
UCL222030,19,0,0,0,0,0,0,21
UCL222031,30,3,0,0,0,0,0,36
UCL222032,45,8,3,0,0,0,0,51
UCL222033,15,0,0,0,0,0,0,15
UCL222034,14,0,0,0,0,0,0,17
UCL222035,21,0,0,0,0,0,0,25
UCL222036,29,0,0,0,0,0,0,29
UCL222037,23,0,0,0,0,0,0,25
UCL222038,17,0,0,0,0,0,0,26
UCL222039,16,0,0,0,0,0,3,22
UCL222040,8,0,0,0,0,0,0,16
UCL222041,20,5,3,0,0,0,0,24
UCL222042,24,0,0,0,0,0,0,31
UCL222043,48,3,0,0,0,0,0,51
UCL222044,26,4,0,0,0,0,0,35
UCL222045,22,6,0,0,0,0,0,27
UCL222046,17,0,0,0,0,0,0,19
UCL222047,43,0,0,0,0,0,0,52
UCL222048,22,3,3,0,0,0,0,29
UCL222049,17,4,0,0,0,0,0,21
UCL222050,28,4,0,0,0,0,0,35
UCL222051,22,0,0,0,0,0,0,26
UCL222052,13,0,0,0,0,0,0,15
UCL222053,11,0,4,0,0,0,0,16
UCL222054,21,0,0,0,0,0,0,24
UCL222055,36,3,0,0,0,0,0,38
UCL222056,17,4,0,0,0,0,0,23
UCL222057,39,3,3,0,0,0,0,48
UCL222058,31,3,4,0,0,0,0,45
UCL222059,42,0,3,0,0,0,0,46
UCL222060,25,4,0,0,0,0,0,26
UCL222061,19,0,0,0,0,0,0,19
UCL222062,3,0,0,0,0,0,0,6
UCL222063,15,3,0,0,0,0,0,20
UCL222064,0,0,0,0,0,0,0,0
UCL222065,15,0,0,0,0,0,0,20
UCL222066,23,0,0,0,0,0,0,22
UCL222067,34,3,3,0,0,0,0,36
UCL222068,26,0,4,0,0,0,0,27
UCL222069,26,4,3,0,0,0,0,36
UCL222070,68,3,0,0,0,0,0,72
UCL222071,34,0,0,0,0,0,0,39
UCL222072,26,3,0,0,0,0,0,26
UCL222073,18,5,0,0,0,0,0,24
UCL222074,23,3,0,0,0,0,0,29
UCL222075,19,0,3,0,0,0,0,24
UCL222076,48,4,0,0,0,0,0,59
UCL222077,26,4,0,0,0,0,0,33
UCL222078,26,0,0,0,0,0,0,34
UCL222079,37,3,5,0,0,0,0,44
UCL222080,14,0,0,0,0,0,0,14
UCL222081,19,3,3,0,0,0,0,23
UCL222082,17,0,3,0,0,0,0,21
UCL222083,47,6,0,7,0,0,0,56
UCL222084,28,3,3,0,0,0,0,32
UCL222085,10,0,0,0,0,0,0,8
UCL222086,32,3,3,0,0,0,0,33
UCL222087,13,3,6,0,0,0,0,23
UCL222088,49,0,3,0,0,0,0,52
UCL222089,28,3,0,0,0,0,0,37
UCL222090,25,3,0,0,0,0,0,27
UCL222091,14,0,0,0,0,0,0,14
UCL222092,13,0,0,0,0,0,0,14
UCL222093,25,0,0,0,0,0,0,29
UCL222094,36,0,0,0,0,0,0,42
UCL222095,24,0,3,0,0,0,0,26
UCL222096,16,0,4,0,0,0,0,21
UCL222097,31,9,3,0,0,0,0,36
UCL222098,42,0,3,3,0,0,0,52
UCL222099,27,3,0,3,0,0,0,33
UCL222100,40,0,3,0,0,0,0,45
UCL222101,16,4,4,0,0,0,3,23
UCL222102,20,0,0,0,0,0,0,21
UCL222103,36,0,0,0,0,0,0,38
UCL222104,40,0,3,0,0,0,0,49
UCL222105,35,0,0,0,0,0,0,35
UCL222106,52,3,0,0,0,0,0,53
UCL222107,58,5,3,0,0,0,0,68
UCL222108,25,4,3,0,0,0,0,34
UCL222109,17,0,0,0,0,0,0,19
UCL222110,45,0,3,0,0,0,0,49
UCL222111,38,0,0,0,0,0,0,36
UCL222112,19,0,3,0,0,0,0,19
UCL222113,31,0,0,0,0,0,0,33
UCL222114,21,0,0,0,0,0,0,24
UCL222115,11,0,4,0,0,0,0,11
UCL222116,28,0,0,0,0,0,0,28
UCL222117,34,0,3,0,0,0,0,42
UCL222118,32,0,0,0,0,0,0,33
UCL222119,24,0,0,0,0,0,0,23
UCL222120,30,0,0,0,0,0,0,34
UCL222121,15,3,3,0,0,0,0,23
UCL222122,24,3,4,0,0,0,0,30
UCL231777,43874,3055,1857,416,64,24,282,49588
UCL279997,0,0,0,0,0,0,0,0
UCL299994,0,0,0,0,0,0,0,0
