UCL_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
UCL201001,64,7812,..,11219,2600,13820,133,13956,..,6986,613,7595,113,7705,..,5749,1424,7173,62,7233,..,6555,1062,7617,70,7691,..,7558,1758,9320,82,9396,..,4948,336,5291,101,5389,..,6328,1419,7749,79,7826,..,8500,244,8744,81,8820,..,7891,588,8478,57,8534,..,11159,332,11492,129,11621,..,3443,204,3647,27,3679,..,30988,1364,32353,301,32653,..,14765,2021,16785,138,16929,..,10266,1059,11324,100,11421,..,5353,1219,6568,58,6625,..,11567,3258,14827,144,14975,..,34548,19020,53573,400,53973,..,79818,23439,103253,1945,105200,..,587207,139998,727203,7327,734529,..,5193,1354,6544,110874,117417,1288155,592399,141354,733749,118196,2140106,2538591,..,..,..,..,2538591,..,4245,59,4301,24,4325,..,62601,11859,74461,807,75263,..,227,9,238,3,240,..,57365,18168,75531,445,75979,..,136676,46356,183028,1005,184035,..,13429,5135,18564,106,18671,..,207463,69662,277123,1554,278680,..,14236,2278,16512,201,16716,..,5586,164,5748,69,5819,..,16381,650,17029,144,17177,..,14588,426,15010,175,15192
UCL203001,0,71,..,361,115,477,8,484,..,28,3,33,0,33,..,158,43,200,0,201,..,213,43,253,3,257,..,80,30,111,0,111,..,13,0,13,0,13,..,263,88,351,5,361,..,175,6,186,0,186,..,106,3,112,0,112,..,225,4,234,4,235,..,79,3,81,0,83,..,595,15,607,3,614,..,208,51,259,3,263,..,63,5,68,0,68,..,117,27,148,0,147,..,92,26,118,0,116,..,175,80,260,0,260,..,1545,605,2151,38,2185,..,8463,1929,10393,135,10534,..,240,19,261,4645,4908,66024,8702,1950,10656,4786,81462,127090,..,..,..,..,127090,..,113,0,113,0,113,..,497,117,611,10,614,..,19,0,19,0,19,..,312,67,376,3,378,..,1217,320,1538,15,1555,..,91,32,121,0,121,..,1621,415,2034,20,2050,..,1548,317,1873,16,1884,..,327,3,331,9,341,..,266,10,275,3,279,..,571,15,588,7,595
UCL211001,0,7,..,4,0,4,0,4,..,3,0,3,0,3,..,10,0,11,0,11,..,8,0,14,0,14,..,4,0,4,0,4,..,0,0,0,0,0,..,29,4,31,0,31,..,36,3,41,0,41,..,8,0,8,0,8,..,58,4,63,0,63,..,21,0,21,0,21,..,123,7,128,0,130,..,21,0,26,0,29,..,9,0,9,0,9,..,24,9,26,0,26,..,0,0,0,0,0,..,8,0,7,0,7,..,179,59,234,3,241,..,987,177,1166,16,1179,..,34,3,40,1003,1048,15738,1023,180,1206,1019,17962,30780,..,..,..,..,30780,..,28,0,29,0,29,..,52,4,52,0,52,..,10,0,10,0,9,..,25,6,28,0,35,..,69,29,94,0,94,..,3,0,3,0,4,..,98,31,129,3,131,..,90,21,105,0,103,..,38,3,34,0,34,..,61,0,60,0,60,..,143,3,145,0,147
UCL211002,0,26,..,4,0,4,0,4,..,24,0,26,0,28,..,25,4,32,0,32,..,26,4,29,0,29,..,27,4,31,0,31,..,3,0,3,0,3,..,17,0,17,0,19,..,80,3,80,0,80,..,29,0,29,0,29,..,91,3,93,0,93,..,25,0,26,0,24,..,222,5,230,0,232,..,46,3,52,0,50,..,27,4,32,0,32,..,47,8,56,0,60,..,11,3,9,0,9,..,46,9,56,0,59,..,450,65,516,13,528,..,2351,341,2690,36,2723,..,142,10,155,2880,3033,43198,2489,356,2844,2915,48947,82639,..,..,..,..,82639,..,56,3,61,0,61,..,142,7,155,0,155,..,18,0,19,0,20,..,130,36,167,0,165,..,636,187,829,5,830,..,54,20,74,0,74,..,824,241,1066,4,1070,..,92,16,105,0,110,..,144,5,145,4,148,..,111,3,114,0,119,..,148,5,153,0,153
UCL211003,0,27,..,5,0,5,0,5,..,9,0,9,0,9,..,15,0,18,0,18,..,10,0,10,0,10,..,22,0,24,0,24,..,3,0,3,0,3,..,8,0,8,0,8,..,77,0,80,0,80,..,57,0,57,0,57,..,91,0,91,0,91,..,17,0,17,0,20,..,236,0,234,3,241,..,24,8,32,0,32,..,38,3,40,0,40,..,29,0,29,3,35,..,8,0,12,0,12,..,34,10,47,0,45,..,525,342,860,22,885,..,1885,538,2424,40,2464,..,141,3,144,3076,3217,42270,2025,541,2562,3116,47953,81419,..,..,..,..,81419,..,52,3,51,0,51,..,134,12,148,0,148,..,10,0,10,0,10,..,92,20,115,0,111,..,306,134,447,4,446,..,23,3,24,0,24,..,426,161,589,4,589,..,23,0,27,0,27,..,46,0,45,3,45,..,74,3,78,0,78,..,93,0,98,0,97
UCL211004,0,29,..,88,14,103,4,109,..,343,29,369,3,370,..,13,7,15,0,15,..,81,15,94,0,94,..,30,8,35,0,37,..,271,14,283,8,295,..,145,25,166,0,163,..,167,7,173,0,169,..,43,7,45,0,48,..,240,3,248,4,250,..,46,0,43,0,43,..,494,15,509,4,515,..,235,32,264,6,271,..,22,4,27,0,27,..,54,10,65,0,64,..,94,17,111,0,111,..,112,68,180,3,186,..,1085,296,1384,38,1423,..,4774,870,5637,103,5739,..,118,12,131,1796,1929,20120,4886,884,5774,1898,27791,39612,..,..,..,..,39612,..,44,0,44,0,44,..,397,73,471,7,479,..,6,0,6,0,6,..,73,31,107,3,107,..,179,78,256,3,258,..,44,6,46,0,46,..,294,114,409,6,414,..,194,33,225,0,226,..,38,0,44,0,45,..,76,6,86,0,84,..,112,0,118,0,119
UCL212001,0,24,..,5,0,5,0,5,..,3,0,3,0,3,..,9,5,11,0,11,..,3,0,3,0,3,..,3,0,3,0,3,..,32,5,35,0,35,..,6,0,6,0,9,..,40,0,36,0,36,..,0,0,0,0,0,..,41,3,41,0,41,..,27,12,44,0,42,..,107,13,125,0,121,..,12,3,10,0,10,..,12,3,19,0,18,..,18,4,19,0,26,..,119,67,184,0,184,..,32,50,80,0,82,..,384,129,521,4,522,..,1510,463,1968,17,1989,..,51,7,53,1354,1409,13965,1558,468,2023,1370,17361,26717,..,..,..,..,26717,..,21,0,21,0,21,..,76,13,93,0,93,..,6,0,10,0,7,..,64,39,103,0,103,..,137,97,236,3,237,..,7,3,12,0,12,..,215,139,349,4,351,..,48,4,49,0,49,..,28,0,28,0,28,..,28,0,28,0,28,..,38,0,38,0,38
UCL212002,0,13,..,58,15,72,0,71,..,3,0,3,0,3,..,30,10,45,0,45,..,7,3,14,0,14,..,3,0,7,0,7,..,101,3,105,0,106,..,9,3,12,0,12,..,66,3,72,0,72,..,9,3,13,0,11,..,75,3,81,0,81,..,35,9,44,0,44,..,192,17,209,0,213,..,10,3,15,0,15,..,23,0,23,0,23,..,35,6,46,0,46,..,145,49,193,5,197,..,9,7,15,0,19,..,738,335,1068,23,1094,..,3016,981,3996,63,4056,..,72,25,99,1823,1922,17701,3087,1001,4090,1881,23678,34292,..,..,..,..,34292,..,49,0,49,0,49,..,882,338,1220,16,1233,..,31,0,31,0,31,..,74,43,116,0,120,..,211,152,365,3,371,..,6,5,9,0,9,..,297,204,495,5,505,..,15,0,15,0,15,..,28,0,26,3,29,..,44,0,51,0,49,..,45,3,52,0,52
UCL212003,0,7,..,11,0,11,0,11,..,71,0,70,0,70,..,4,0,4,0,4,..,35,4,41,0,41,..,14,0,12,0,12,..,12,0,12,0,12,..,14,3,16,0,16,..,40,0,41,0,44,..,9,0,9,0,9,..,63,0,62,0,62,..,10,0,10,0,10,..,119,3,124,0,126,..,52,3,61,0,61,..,4,0,4,0,4,..,31,4,36,0,36,..,26,3,28,0,28,..,37,15,59,0,59,..,160,33,193,0,198,..,1324,157,1483,8,1493,..,34,4,38,759,797,15391,1361,161,1523,767,17680,30127,..,..,..,..,30127,..,68,3,71,3,73,..,70,3,77,0,77,..,0,0,0,0,0,..,43,10,51,0,51,..,96,36,132,0,132,..,8,6,7,0,7,..,142,50,187,0,187,..,117,6,127,3,130,..,29,0,29,0,29,..,32,0,36,0,35,..,105,0,107,0,106
UCL212004,0,12,..,0,0,0,0,0,..,11,0,8,0,8,..,0,0,0,0,0,..,14,3,15,0,15,..,10,0,10,0,10,..,3,0,3,0,3,..,0,0,0,0,0,..,30,0,30,0,30,..,4,0,4,0,4,..,34,0,34,0,34,..,15,0,16,0,16,..,75,0,78,0,78,..,26,3,31,0,31,..,14,0,12,0,12,..,16,9,27,0,27,..,0,0,0,0,0,..,16,4,24,0,24,..,149,32,182,0,182,..,805,122,919,13,935,..,38,3,42,1039,1079,11210,838,121,965,1047,13219,21669,..,..,..,..,21669,..,36,0,42,0,42,..,35,10,43,7,49,..,0,0,0,0,0,..,40,20,55,0,55,..,83,23,108,0,108,..,10,0,12,0,12,..,132,47,177,0,177,..,11,0,8,0,8,..,50,3,52,0,52,..,21,0,21,0,21,..,57,0,56,0,56
