UCL_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL201001,..,30909,32347,6859,4618,4583,2740,1099,365,83515,..,8951,23578,21321,21773,31918,37224,33119,19199,197080,4198,6943,7541,3679,2985,3534,3349,2607,1207,36030,353681,259617,328598,286799,264423,212263,152477,89232,35645,1982743,..,11759,244715,353259,321785,258696,185232,89520,19923,1484891,..,24317,109897,62226,43304,23215,8475,1879,378,273691,..,3111,15579,35667,50476,29689,12639,9700,5899,162765,717432,..,..,..,..,..,..,..,..,717432,..,230984,..,..,..,..,..,..,..,230984,..,114132,90133,25981,16875,7408,1167,44,4,255746,..,29623,24060,7233,8065,12614,10731,8396,4831,105559,..,18680,20492,5431,3833,2472,940,304,136,52292,..,62773,75133,17814,11443,9797,5798,2220,684,185664,..,17716,49110,46315,48838,56983,56690,45288,26028,346970,8614,13071,15941,8631,6896,6236,5562,3976,1751,70669,726041,526161,645061,562558,511523,407113,287239,161333,59641,3886665
UCL203001,..,1343,769,133,196,197,104,47,13,2814,..,360,894,799,1109,1922,2126,1905,1221,10328,218,397,280,136,144,194,182,103,55,1719,12832,9614,10295,9495,9720,8982,6895,4316,1900,74057,..,346,7063,10421,10321,9982,7805,4038,992,50964,..,1558,4292,2250,1668,966,384,86,11,11214,..,282,1007,1851,2204,1137,461,386,252,7575,25935,..,..,..,..,..,..,..,..,25935,..,7284,..,..,..,..,..,..,..,7284,..,4309,2394,911,600,297,47,3,0,8559,..,842,484,187,231,345,291,205,100,2686,..,567,436,126,118,59,21,9,5,1339,..,2801,1993,419,448,373,250,97,20,6389,..,694,1846,1805,2562,3438,3215,2565,1624,17747,466,742,650,354,299,345,276,157,79,3371,26409,19424,20173,18323,18445,16949,12732,7532,3090,143070
UCL211001,..,124,104,24,61,45,27,9,0,403,..,69,177,150,230,427,440,342,164,2001,68,97,91,34,48,64,45,31,12,483,3371,1979,2424,2087,2146,2018,1450,774,278,16532,..,122,1742,2267,2329,2233,1663,718,155,11225,..,543,1050,529,384,232,88,33,7,2860,..,88,366,490,499,199,89,60,34,1834,6745,..,..,..,..,..,..,..,..,6745,..,1466,..,..,..,..,..,..,..,1466,..,994,326,146,84,40,7,0,0,1597,..,158,78,17,53,89,71,45,29,540,..,130,82,31,23,21,5,3,0,298,..,305,265,77,130,103,53,11,3,946,..,144,432,362,542,743,669,450,214,3559,144,203,197,96,97,110,75,54,16,989,6886,4146,4556,4009,4132,3764,2722,1369,462,32056
UCL211002,..,939,439,103,131,144,69,37,11,1879,..,250,563,474,703,1281,1393,1172,707,6543,192,331,175,87,80,111,118,66,40,1197,8161,5878,5932,5594,5738,5254,4188,2471,1054,44271,..,174,3971,5857,5775,5629,4529,2231,464,28622,..,1138,2661,1405,1097,611,267,69,11,7264,..,226,750,1184,1364,576,223,193,137,4648,16412,..,..,..,..,..,..,..,..,16412,..,3920,..,..,..,..,..,..,..,3920,..,2592,1056,405,314,153,23,3,0,4541,..,423,235,104,150,202,142,80,45,1387,..,311,203,75,64,39,13,3,0,716,..,1864,1085,260,283,278,155,71,22,4018,..,499,1222,1086,1477,2128,2100,1560,890,10947,367,597,409,225,194,196,184,101,55,2325,16782,11749,11588,10594,10720,9803,7634,4311,1617,84803
UCL211003,..,817,387,87,111,135,76,21,11,1645,..,202,540,429,646,1168,1213,1007,612,5812,153,301,160,63,76,113,95,74,35,1070,8144,5849,5896,5373,5434,5339,4050,2430,981,43491,..,245,4120,5661,5684,5955,4660,2452,509,29281,..,1266,2541,1289,1035,517,202,59,16,6920,..,241,748,1192,1264,653,227,194,123,4640,16472,..,..,..,..,..,..,..,..,16472,..,3937,..,..,..,..,..,..,..,3937,..,2609,1058,417,289,167,33,0,0,4570,..,488,241,74,149,198,177,118,71,1520,..,335,213,98,62,38,18,5,3,776,..,1527,906,238,265,275,161,56,15,3438,..,421,1137,1060,1391,2029,1881,1413,816,10145,315,536,378,206,171,213,167,119,45,2153,16782,11610,11332,10236,10321,10044,7522,4414,1598,83860
UCL211004,..,114,119,75,83,88,49,22,3,539,..,53,181,180,231,438,452,261,99,1896,102,107,82,44,44,54,49,19,7,508,5872,3305,4222,3572,3059,2967,1916,675,207,25789,..,177,3176,3852,3345,3395,2302,642,86,16981,..,534,1491,911,532,283,113,23,3,3893,..,169,649,888,778,462,224,84,40,3296,11705,..,..,..,..,..,..,..,..,11705,..,2502,..,..,..,..,..,..,..,2502,..,2215,1253,391,192,53,16,3,0,4122,..,369,239,98,136,214,169,94,52,1359,..,195,172,80,72,44,22,3,0,596,..,223,306,178,186,165,114,43,5,1215,..,114,493,554,600,825,726,376,134,3820,190,231,205,128,92,89,85,37,10,1067,11900,6720,7982,7075,5939,5527,3779,1300,344,50568
UCL212001,..,129,152,40,47,45,32,11,0,462,..,81,197,151,253,437,456,476,251,2299,67,94,61,43,38,47,55,42,18,456,2895,1923,2122,1880,1948,1859,1580,1026,402,15640,..,93,1426,1844,1891,2009,1776,923,224,10177,..,455,899,464,329,209,128,42,3,2521,..,101,337,452,471,184,91,74,44,1756,5724,..,..,..,..,..,..,..,..,5724,..,1296,..,..,..,..,..,..,..,1296,..,964,341,130,124,55,8,0,0,1621,..,198,92,39,73,77,84,51,25,642,..,144,81,39,31,25,3,0,0,330,..,273,348,112,120,129,71,11,0,1060,..,146,389,369,536,780,729,636,343,3920,145,165,151,102,75,91,94,59,19,903,5878,3842,4067,3547,3646,3559,2975,1785,662,29954
UCL212002,..,127,198,43,61,58,28,22,7,553,..,77,215,186,272,529,554,504,288,2617,98,117,102,50,49,55,50,31,17,578,4257,2645,2885,2699,2735,2506,1897,1165,463,21252,..,206,2261,2916,3070,2833,2237,1131,288,14931,..,446,1023,558,429,274,110,34,7,2874,..,125,354,622,641,302,117,87,47,2281,8569,..,..,..,..,..,..,..,..,8569,..,2142,..,..,..,..,..,..,..,2142,..,1385,555,227,130,60,8,0,0,2365,..,258,134,49,86,90,100,55,31,798,..,155,111,52,39,14,3,3,0,381,..,310,443,157,154,124,76,37,13,1306,..,147,487,475,694,944,861,711,376,4690,219,219,217,136,110,97,94,60,17,1161,8786,5379,5577,5189,5340,4737,3602,2116,777,41497
UCL212003,..,43,48,23,26,48,18,3,3,215,..,36,106,97,154,284,334,263,128,1398,60,73,40,28,31,47,34,19,11,340,3174,2223,2103,2298,2543,2052,1283,657,260,16581,..,55,1553,2746,3113,2605,1549,651,142,12411,..,296,946,588,428,234,76,22,7,2598,..,44,203,391,521,277,93,57,36,1623,6390,..,..,..,..,..,..,..,..,6390,..,2012,..,..,..,..,..,..,..,2012,..,1561,758,217,103,48,6,0,0,2688,..,167,88,36,71,93,80,60,42,644,..,94,78,27,30,21,9,5,0,260,..,97,124,50,62,87,50,11,5,477,..,81,258,283,385,495,500,345,168,2512,122,123,115,64,71,63,68,32,25,673,6513,4528,4118,4401,4792,3920,2426,1180,424,32299
UCL212004,..,99,74,11,24,37,12,3,0,266,..,53,182,108,168,291,335,300,163,1602,37,66,59,17,25,24,28,14,5,286,2301,1425,1707,1490,1492,1408,1048,633,221,11740,..,60,1205,1647,1650,1688,1175,619,100,8155,..,370,767,367,290,145,61,17,3,2023,..,55,226,331,333,130,56,30,21,1190,4617,..,..,..,..,..,..,..,..,4617,..,1032,..,..,..,..,..,..,..,1032,..,714,254,88,60,28,7,3,0,1143,..,83,74,18,40,28,26,26,15,306,..,58,33,17,13,10,0,0,0,134,..,213,167,35,54,69,34,10,0,581,..,134,424,298,416,534,515,386,209,2916,84,122,117,59,59,54,58,26,6,588,4706,2840,3266,2859,2915,2701,1927,1120,353,22687
