UCL_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
UCL201001,978483,2876730,155370,335212,103957,268391,259326,603602,87360,166868,49142,85930,93048,173768,329,655,229883,427219,549,804,1389,1907,114,180,3689,8525,5735,11422,4412,9670,1477840,3928640,156535,..,1634376,3928640
UCL203001,49368,125750,6320,10271,1361,2729,7684,12993,1891,2974,107,157,186,307,4,7,2189,3451,46,72,131,174,0,4,216,621,399,872,170,350,59805,143416,6381,..,66188,143416
UCL211001,11197,29067,1374,2187,101,207,1478,2396,329,504,0,0,0,0,0,0,329,504,15,30,8,13,0,0,17,44,44,80,24,55,13075,32107,1268,..,14346,32107
UCL211002,29115,72784,4853,8823,508,1128,5361,9956,1113,1655,70,108,0,0,0,3,1187,1767,3,5,3,10,0,6,49,112,59,129,154,275,35872,84904,4247,..,40120,84904
UCL211003,30907,77620,2804,4363,388,756,3196,5122,460,758,56,87,17,18,0,0,529,859,59,74,31,46,3,8,47,98,138,223,124,241,34897,84067,3985,..,38878,84067
UCL211004,15639,45239,2045,4626,294,796,2342,5423,61,144,0,0,4,11,0,3,70,161,0,3,4,6,0,0,10,45,19,57,38,98,18101,50973,1346,..,19452,50973
UCL212001,9891,25458,1613,2658,58,111,1678,2770,977,1526,0,0,0,0,0,0,979,1521,28,50,24,45,3,11,9,28,66,130,53,98,12667,29977,1478,..,14141,29977
UCL212002,14275,37628,1904,3332,97,196,1993,3531,112,188,21,30,0,0,0,0,142,213,49,58,20,28,0,10,23,80,96,174,29,68,16531,41613,1718,..,18249,41613
UCL212003,10598,30161,411,632,95,193,504,827,814,1366,0,0,0,0,0,0,814,1366,3,6,0,0,0,0,3,6,5,13,18,36,11937,32408,802,..,12740,32408
UCL212004,8295,20723,485,744,46,110,528,851,677,971,0,0,0,0,0,0,677,971,3,5,55,80,0,0,7,10,61,93,46,60,9605,22696,1231,..,10838,22696
