UCL_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL213014,0,3,0,67,3,0,0,0,0,3,0,5,0,12,100,131,0,0,0,0,0,0,0,0,0,17,10,34,219,51,6,206,24,151,20,106,9,507,117,1409
UCL213015,3,0,0,30,3,0,0,3,0,6,0,0,0,8,35,55,5,0,3,0,0,0,0,0,0,12,18,36,227,42,12,141,13,87,5,66,10,379,62,1045
UCL213016,0,10,0,108,8,0,0,4,0,3,0,3,0,9,105,131,0,0,0,0,0,3,0,4,0,17,8,40,342,83,11,236,14,100,6,137,12,606,116,1674
UCL213017,0,9,0,51,4,0,0,4,0,3,0,3,0,27,76,126,3,0,0,4,0,0,0,0,0,21,28,59,328,90,19,309,14,149,14,131,19,824,114,2028
UCL213018,0,4,0,67,0,3,0,3,0,5,0,0,0,12,68,104,0,0,0,0,0,0,0,0,0,23,9,41,236,66,14,220,29,132,13,124,17,658,91,1601
UCL214001,0,6,0,11,3,0,0,0,0,3,0,3,0,7,28,52,0,0,0,0,0,0,0,0,0,5,6,21,126,32,0,110,3,71,11,68,14,328,45,815
UCL214002,0,3,0,26,3,0,0,0,0,9,0,3,0,12,67,89,4,0,0,3,0,3,0,0,0,17,3,33,167,36,9,146,12,86,7,87,13,536,80,1180
UCL214003,0,9,0,30,0,0,0,3,0,4,0,0,0,10,50,63,0,0,0,0,0,0,0,0,0,14,9,25,118,75,3,128,7,76,10,88,17,423,62,1004
UCL214004,0,3,0,11,0,0,0,0,0,0,0,4,0,3,27,40,0,0,0,0,0,0,0,0,0,10,13,28,89,21,7,71,5,49,4,45,5,278,53,629
UCL214005,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,5,23,0,0,14,0,11,0,8,3,53,6,125
