UCL_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
UCL221056,..,0,3,17,24,34,60,25,0,165,..,0,3,6,6,3,3,0,0,16,..,0,0,0,0,0,0,0,0,3,30,..,..,..,..,..,..,..,..,30,..,6,..,..,..,..,..,..,..,6,..,13,0,3,0,0,0,0,0,20,..,0,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,5,0,0,5,..,3,0,0,3,3,7,6,0,24,0,0,0,0,0,0,0,0,0,0,30,21,16,22,34,40,72,35,4,276,..,0,7,17,32,44,62,16,0,162,..,0,4,7,4,3,3,0,0,17,..,0,0,0,6,0,3,0,0,8,36,..,..,..,..,..,..,..,..,36,..,3,..,..,..,..,..,..,..,3,..,0,0,3,0,0,0,0,0,3,..,0,0,0,0,0,3,0,0,4,..,0,0,0,0,0,0,0,0,0
UCL221057,..,0,5,10,19,20,21,17,0,90,..,0,9,4,10,12,4,3,0,35,..,0,0,0,3,0,0,0,0,7,52,..,..,..,..,..,..,..,..,52,..,3,..,..,..,..,..,..,..,3,..,3,0,0,0,0,0,0,0,8,..,3,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,6,11,18,10,3,0,59,3,0,0,0,0,3,0,0,0,7,51,16,16,25,33,56,39,22,3,271,..,0,8,7,11,25,17,15,0,91,..,3,9,3,10,8,3,5,0,34,..,0,0,8,4,3,0,0,0,16,40,..,..,..,..,..,..,..,..,40,..,5,..,..,..,..,..,..,..,5,..,14,7,0,0,0,0,0,0,18,..,7,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0
UCL221058,..,0,14,32,28,26,17,6,0,125,..,3,5,17,7,3,0,0,0,36,..,0,0,3,0,0,0,0,0,6,91,..,..,..,..,..,..,..,..,91,..,15,..,..,..,..,..,..,..,15,..,8,3,8,0,0,0,0,0,17,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,4,0,4,4,3,3,0,21,0,0,0,0,3,0,0,0,0,3,91,22,31,55,46,37,24,10,0,314,..,0,22,29,31,25,13,5,0,125,..,3,10,15,7,5,0,0,0,33,..,0,12,7,8,5,3,0,0,32,72,..,..,..,..,..,..,..,..,72,..,20,..,..,..,..,..,..,..,20,..,14,3,0,0,0,0,0,0,15,..,3,0,0,0,0,4,0,0,13,..,0,0,0,0,0,0,0,0,3
UCL221059,..,0,15,18,16,26,24,14,0,117,..,0,11,7,9,3,0,0,0,29,..,0,0,0,0,0,0,0,0,7,58,..,..,..,..,..,..,..,..,58,..,12,..,..,..,..,..,..,..,12,..,11,0,3,0,0,0,0,0,14,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,3,..,3,0,0,0,5,5,3,0,17,0,3,0,0,0,0,0,0,0,3,58,24,24,33,32,39,34,12,0,263,..,0,17,22,19,30,13,16,0,117,..,0,6,8,11,5,0,0,0,33,..,0,3,3,3,0,3,0,0,17,53,..,..,..,..,..,..,..,..,53,..,7,..,..,..,..,..,..,..,7,..,3,3,3,0,0,0,0,0,11,..,5,0,0,0,0,0,4,0,8,..,0,0,0,0,0,0,0,0,0
UCL221060,..,0,0,5,7,22,49,26,3,120,..,0,0,0,0,8,4,0,0,16,..,0,0,0,0,0,0,0,0,0,16,..,..,..,..,..,..,..,..,16,..,6,..,..,..,..,..,..,..,6,..,7,3,0,0,3,0,0,0,9,..,0,0,0,3,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,4,7,19,10,4,40,0,0,0,3,0,0,0,7,0,8,16,8,5,14,20,47,69,39,7,228,..,0,3,10,8,38,49,11,7,118,..,0,0,0,3,3,4,0,0,21,..,0,0,0,0,0,0,0,3,8,8,..,..,..,..,..,..,..,..,8,..,9,..,..,..,..,..,..,..,9,..,3,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0
UCL221061,..,0,11,22,23,31,13,6,0,102,..,0,14,8,3,3,0,0,0,34,..,5,0,0,0,0,0,0,0,4,64,..,..,..,..,..,..,..,..,64,..,6,..,..,..,..,..,..,..,6,..,24,17,5,0,0,0,0,0,47,..,3,3,0,0,0,0,0,0,9,..,3,0,0,0,0,0,0,0,9,..,3,9,0,4,3,0,0,0,20,..,0,4,16,21,26,16,3,0,90,0,0,0,0,0,0,0,0,0,3,64,45,55,59,55,60,30,10,0,388,..,0,17,15,28,23,12,3,0,106,..,5,4,10,5,0,0,0,0,33,..,0,4,9,9,7,3,0,0,40,49,..,..,..,..,..,..,..,..,49,..,13,..,..,..,..,..,..,..,13,..,16,9,0,0,0,0,0,0,25,..,0,0,0,3,3,0,0,0,5,..,3,4,0,0,0,0,0,0,8
UCL221062,..,0,6,13,23,28,49,21,3,144,..,3,6,3,6,0,8,4,0,34,..,0,0,0,3,3,0,0,0,3,50,..,..,..,..,..,..,..,..,50,..,8,..,..,..,..,..,..,..,8,..,15,3,4,4,0,0,0,0,31,..,3,0,0,0,0,4,0,0,14,..,0,0,0,0,0,0,0,0,4,..,0,3,0,5,3,3,3,0,13,..,0,7,4,21,28,16,20,5,101,3,3,7,0,0,3,0,0,0,19,57,37,34,25,62,69,83,44,8,422,..,0,13,10,27,37,40,16,3,151,..,5,7,6,6,7,7,0,0,36,..,0,9,10,12,5,3,3,0,45,57,..,..,..,..,..,..,..,..,57,..,14,..,..,..,..,..,..,..,14,..,10,4,0,0,0,0,0,0,23,..,0,0,0,0,0,3,0,0,7,..,3,0,0,0,0,0,0,0,3
UCL221063,..,0,4,12,15,28,15,11,4,88,..,0,9,3,5,0,3,0,0,14,..,0,0,0,3,0,0,0,0,7,43,..,..,..,..,..,..,..,..,43,..,6,..,..,..,..,..,..,..,6,..,3,4,3,3,0,0,0,0,13,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,3,4,0,0,12,..,0,3,6,4,5,6,3,0,33,0,0,0,0,3,3,0,0,0,10,43,11,20,24,38,38,29,17,9,236,..,0,6,16,15,26,19,9,3,89,..,3,3,4,3,0,0,0,0,13,..,0,5,0,3,0,4,0,0,21,32,..,..,..,..,..,..,..,..,32,..,7,..,..,..,..,..,..,..,7,..,0,3,3,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0
UCL221064,..,3,18,38,23,30,13,3,0,116,..,0,15,3,6,3,0,0,0,31,..,0,0,0,0,0,0,0,0,3,87,..,..,..,..,..,..,..,..,87,..,12,..,..,..,..,..,..,..,12,..,12,4,3,0,0,0,0,0,26,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,3,..,0,0,4,0,3,0,0,0,7,..,0,0,8,5,4,0,0,0,21,3,5,0,0,0,0,0,0,0,6,88,38,36,52,39,35,19,4,0,315,..,5,25,35,30,18,6,0,0,120,..,3,15,0,13,0,0,0,0,33,..,4,0,5,12,3,3,0,0,27,68,..,..,..,..,..,..,..,..,68,..,13,..,..,..,..,..,..,..,13,..,15,3,0,0,0,0,0,0,22,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,0,0,0,3
UCL221065,..,0,18,18,21,30,14,5,0,102,..,3,8,4,3,6,0,0,0,33,..,0,0,0,0,0,0,0,0,3,60,..,..,..,..,..,..,..,..,60,..,11,..,..,..,..,..,..,..,11,..,9,3,3,0,0,0,0,0,19,..,0,0,0,0,0,0,3,0,5,..,0,6,0,0,0,0,0,0,6,..,0,0,3,0,3,0,0,0,10,..,0,8,3,3,3,9,0,0,23,0,0,0,0,0,3,0,0,0,5,60,25,40,33,32,46,27,7,0,273,..,3,16,20,26,20,16,3,0,103,..,4,6,0,7,5,0,0,0,27,..,3,3,7,5,0,0,0,0,18,52,..,..,..,..,..,..,..,..,52,..,9,..,..,..,..,..,..,..,9,..,4,0,0,0,0,0,0,0,13,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3
