UCL_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
UCL201001,157,36,38,123,14,243,12,129,71,2550,30,3414,43,27,8,59,3,107,6,206,42,721,5,1227,38,73,6,76,11,193,9,533,65,1184,18,2209,17,20,0,22,3,194,0,497,52,686,10,1508,69,165,12,164,14,467,19,1085,111,2856,28,4991,116,352,22,331,30,1503,45,2066,235,2435,51,7175,270,772,47,724,68,3395,88,2573,357,3765,94,12160,488,1267,94,1926,174,7256,157,3393,522,4173,125,19576,1284,2202,148,5368,397,11689,298,3632,632,5443,149,31246,2780,2302,221,9470,762,11566,430,2701,545,4531,133,35444,3505,1769,256,11210,921,11105,411,2146,411,3511,108,35353,5282,1601,289,12491,1095,9939,348,1637,393,3033,98,36205,16136,2829,541,26758,2948,17629,701,2458,666,4256,168,75082,15595,1843,451,24671,2756,6391,632,1381,336,2047,82,56176,13125,1107,309,15609,2130,3287,357,779,165,1212,49,38123,9950,552,220,7271,1390,8157,184,622,267,743,36,29396,26634,1670,540,28340,3189,9936,563,1275
UCL203001,8,0,0,13,0,4,0,0,0,31,0,55,0,0,4,0,0,0,0,4,3,20,0,39,4,3,0,3,0,3,0,13,3,25,0,47,0,3,0,3,0,3,0,10,0,13,0,37,3,9,0,7,0,17,3,32,4,79,0,148,3,11,0,4,3,34,0,52,5,85,3,204,13,23,3,30,0,104,4,72,8,157,4,422,13,28,0,76,3,179,7,124,17,164,0,617,39,60,4,196,22,367,8,147,26,196,3,1064,61,86,13,399,33,382,19,105,17,136,3,1261,102,86,5,513,49,346,18,69,17,94,0,1308,157,72,14,558,64,326,12,51,21,84,4,1366,483,107,25,1208,109,534,37,68,23,101,8,2712,451,51,24,901,140,171,15,38,10,43,7,1852,376,29,19,583,81,75,8,16,0,25,0,1216,270,11,11,219,38,132,6,16,7,12,0,713,488,35,13,659,63,203,16,18
UCL211001,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,4,0,14,0,24,0,3,0,0,0,5,0,12,3,15,0,37,3,3,0,4,0,13,3,11,0,22,0,61,0,6,0,16,4,57,3,21,3,36,0,145,17,16,3,55,8,98,6,18,3,30,0,247,28,26,7,129,12,104,5,15,6,33,0,358,32,22,4,141,15,93,0,8,4,11,0,334,62,13,5,153,10,81,0,7,0,8,0,350,194,22,3,247,34,93,11,7,6,16,3,634,166,16,0,199,36,23,4,0,0,8,0,451,95,8,6,114,14,13,3,4,0,0,0,252,46,0,0,28,13,28,3,0,0,4,0,121,82,4,3,61,3,20,0,3
UCL211002,0,0,0,6,0,0,0,0,0,18,0,26,0,3,0,0,0,0,0,0,0,10,0,15,0,3,0,0,0,0,0,6,3,15,0,23,0,0,0,0,0,0,0,8,0,10,0,17,0,0,0,6,0,3,0,17,0,33,0,56,0,5,0,5,0,20,0,28,0,39,0,101,7,13,0,16,0,48,0,52,3,80,0,219,14,27,0,57,6,131,5,79,11,79,0,407,30,44,4,163,17,220,11,60,21,117,4,679,60,58,7,323,21,223,12,53,14,76,5,845,62,55,11,342,48,226,3,38,11,53,0,847,90,42,0,393,38,164,16,24,7,29,0,799,291,49,16,748,68,228,21,39,10,40,3,1515,300,31,7,490,59,93,9,6,3,10,0,1014,253,21,16,265,31,35,10,3,3,11,0,645,129,13,3,90,17,67,0,7,3,5,0,341,267,18,0,273,42,80,12,18
UCL211003,3,0,0,0,0,0,0,0,0,14,0,21,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,7,0,3,0,11,0,0,0,0,0,0,0,5,0,4,0,8,3,4,0,5,0,7,0,12,0,63,3,90,3,4,0,8,0,16,3,28,0,28,0,87,3,9,0,14,0,46,0,45,3,86,3,215,12,31,0,52,8,136,7,80,6,98,3,439,16,49,3,163,14,233,15,82,20,99,4,688,59,71,10,335,18,252,18,67,8,69,0,899,92,49,5,358,16,208,20,49,18,56,0,868,113,36,10,357,39,194,4,36,3,39,4,837,342,67,18,671,93,220,27,31,8,37,0,1524,312,34,7,520,74,81,14,17,4,16,0,1075,200,12,5,283,31,38,10,0,3,10,0,600,147,7,4,103,20,58,5,0,4,4,0,346,213,21,10,214,16,62,8,14
UCL211004,4,0,0,0,0,5,0,4,0,37,0,55,0,0,0,0,0,3,0,0,0,16,0,19,0,0,0,0,0,0,0,7,0,15,0,24,0,0,0,0,0,3,0,3,0,5,0,13,0,0,0,0,0,5,0,14,3,47,3,71,0,0,0,3,0,26,0,25,0,38,0,106,3,10,0,6,3,48,3,37,8,84,0,198,3,10,0,33,4,125,5,50,10,86,3,322,16,15,0,77,7,247,3,67,11,109,4,567,47,24,10,159,18,272,5,46,20,65,0,665,65,21,0,197,17,224,6,39,15,49,3,632,111,17,4,188,28,181,3,20,13,29,0,591,277,32,7,335,48,198,17,36,11,55,7,1013,205,9,7,202,34,83,13,8,4,21,3,584,139,5,0,99,32,34,0,8,0,10,0,313,80,6,0,38,3,38,0,0,3,8,0,182,106,5,0,71,10,47,3,0
UCL212001,0,0,0,3,0,0,0,3,0,13,0,19,0,0,0,0,0,0,0,4,0,6,0,7,0,0,0,0,0,0,0,3,0,13,0,16,0,0,0,0,0,0,0,4,0,4,0,7,0,0,0,0,0,3,0,3,0,32,0,40,0,0,0,3,0,10,0,18,3,17,0,60,7,4,0,4,0,17,0,14,0,45,0,101,5,5,0,16,0,53,0,28,3,45,0,155,10,17,3,53,3,83,9,23,10,48,3,257,25,11,3,119,8,84,3,29,4,19,0,297,36,15,3,112,11,62,3,15,3,21,0,286,49,6,4,117,12,54,4,9,7,13,0,274,130,11,3,200,17,44,4,6,0,12,0,439,115,7,3,117,17,21,7,5,0,6,0,292,70,0,0,63,10,9,3,0,3,0,0,161,38,3,0,14,3,11,0,0,0,0,0,69,57,0,3,55,8,20,3,0
UCL212002,0,0,0,0,0,3,0,0,0,27,0,33,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,3,0,3,0,3,0,18,0,28,0,0,0,0,0,0,0,3,0,7,0,16,3,0,0,0,0,11,0,14,3,64,0,96,0,6,0,0,0,16,0,22,7,52,0,99,3,5,0,6,0,26,3,24,6,67,0,146,5,14,0,28,4,64,0,30,10,74,0,238,11,28,6,80,3,139,3,43,14,58,0,392,52,16,0,144,13,110,6,27,9,42,0,417,52,30,9,150,16,106,7,25,5,21,0,415,84,15,3,168,15,65,4,11,5,23,3,402,205,19,11,285,47,91,8,16,3,25,0,714,158,12,5,219,24,33,5,4,0,7,0,476,105,4,0,101,15,9,4,7,0,3,0,249,74,3,0,41,4,29,0,0,0,0,0,149,101,10,3,98,10,26,0,8
UCL212003,3,0,0,0,0,3,0,0,0,8,0,17,0,0,0,0,0,3,0,3,0,3,0,6,0,0,0,0,0,0,0,3,0,3,3,10,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,3,0,3,0,7,0,16,0,3,0,0,0,3,0,6,4,9,0,31,4,0,0,3,0,21,0,10,0,22,0,60,3,9,0,19,0,52,0,23,4,30,0,143,3,15,0,44,3,84,3,26,0,35,0,216,19,15,0,107,13,101,3,20,9,25,0,314,23,18,0,145,8,117,7,20,0,28,0,367,47,14,0,162,21,110,5,20,3,25,0,405,181,29,3,360,47,150,15,18,4,29,0,834,159,16,0,281,32,73,3,13,0,5,3,589,155,12,0,171,25,31,0,6,4,9,0,406,109,3,0,67,11,42,0,3,0,10,0,244,181,8,3,157,14,42,11,14
UCL212004,3,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,7,0,14,0,17,0,0,0,0,0,4,0,3,0,12,0,20,0,0,0,3,0,17,0,8,0,25,0,60,0,5,0,9,0,29,0,14,0,18,0,86,7,7,0,32,0,44,7,14,6,34,0,147,14,9,0,58,11,67,3,11,3,11,0,183,17,7,0,86,8,53,5,15,0,15,0,213,31,3,0,90,15,55,3,6,3,3,0,217,90,19,4,225,20,72,11,10,6,14,3,471,78,8,0,183,14,20,3,4,0,4,0,320,51,10,0,82,10,22,3,3,0,4,0,191,39,0,0,38,4,31,0,3,0,3,0,121,74,8,0,103,4,35,8,0
