SA3_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
20101,424,60,101,75,59,78,39,16,992,0,0,0,0,0,0,0,0,0,0,0,195,134,508,91,140,108,78,112,57,28,1439,317,105,92,21,18,25,17,12,3,12,613,83,180,281,35,37,38,24,23,18,10,724,3,5,22,3,11,6,7,8,3,4,68,0,3,3,0,0,0,0,0,0,0,8,94,185,307,37,45,44,33,27,20,15,798,0,0,0,0,0,0,0,0,0,0,0,406,295,394,57,65,64,44,37,28,23,1414,653,89,55,8,19,3,7,8,3,29,862,155,88,81,17,7,6,9,3,5,5,379,9,16,19,4,3,0,0,0,3,3,52,0,0,0,0,0,0,0,0,0,0,0,166,101,103,18,6,10,7,5,10,6,432,0,0,0,0,0,0,0,0,0,0,0,814,185,163,26,28,13,12,13,11,40,1294,896,35,33,0,0,11,0,0,0,48,1024,201,29,27,3
20102,40,0,3,5,4,10,7,3,79,0,0,0,0,0,0,0,0,0,0,0,35,15,59,6,6,14,14,11,9,11,176,144,58,34,10,0,0,0,0,0,13,259,21,21,31,3,9,3,0,3,0,0,100,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,27,21,36,3,9,3,3,3,0,0,99,0,0,0,0,0,0,0,0,0,0,0,168,75,67,8,7,4,3,3,3,13,359,415,47,34,4,0,3,3,4,0,24,535,60,3,10,4,0,3,0,0,0,7,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,3,12,4,0,3,0,0,0,7,99,0,0,0,0,0,0,0,0,0,0,0,477,49,48,7,0,6,3,3,3,30,627,568,14,15,0,3,0,0,0,0,29,635,130,9,3,0
20103,28,3,8,9,11,5,0,0,69,0,0,0,0,0,0,0,0,0,5,5,9,8,35,3,8,9,14,10,0,8,107,72,14,12,3,0,0,0,0,0,3,110,21,11,13,0,0,6,3,0,0,3,64,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,22,11,15,0,0,6,5,0,5,3,67,0,0,0,0,0,0,0,0,0,3,3,99,24,28,4,0,10,5,5,5,14,182,252,16,10,0,0,0,3,3,0,13,302,27,3,11,0,4,0,0,0,0,0,44,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,23,5,12,0,4,0,0,0,0,3,49,0,0,0,0,0,0,0,0,0,15,15,276,22,20,0,3,0,3,3,3,26,365,396,3,8,3,0,0,0,3,0,19,434,64,6,0,0
20201,401,68,56,78,81,75,42,19,932,0,0,0,0,0,0,0,0,0,0,0,162,113,467,83,68,101,87,94,54,38,1249,239,97,92,19,8,11,3,9,3,23,503,62,106,235,40,30,28,25,20,12,13,573,0,3,47,11,8,12,7,11,4,4,113,0,0,0,0,0,0,0,0,0,0,0,67,110,282,49,32,39,37,29,17,19,688,0,0,0,0,0,0,0,0,0,0,0,299,206,374,63,44,47,39,43,24,40,1191,494,41,54,3,7,4,3,4,3,25,637,90,69,74,5,7,7,6,8,5,7,284,15,8,45,0,5,12,9,9,5,7,107,3,0,4,0,0,0,0,0,0,0,10,110,76,120,10,21,23,14,14,10,9,400,0,0,0,0,0,0,0,0,0,0,3,598,123,172,16,26,29,16,18,15,35,1039,624,24,19,0,3,5,9,3,6,23,711,114,25,14,3
20202,47,10,14,21,35,47,14,20,237,0,0,0,0,0,0,0,0,0,74,75,62,25,81,16,23,30,40,49,17,104,456,227,99,79,9,7,5,4,4,0,14,451,44,37,59,5,12,9,0,0,0,3,176,0,3,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,49,38,57,5,16,7,3,0,0,4,182,0,0,0,0,0,0,0,0,0,51,55,273,136,141,17,22,15,5,7,0,74,693,578,74,40,0,3,4,3,0,0,27,730,80,26,25,4,0,3,0,0,0,0,138,0,3,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,85,31,23,3,0,3,5,0,0,3,155,0,0,0,0,0,0,0,0,0,46,49,665,103,60,9,3,5,10,0,0,75,930,825,28,8,0,3,0,3,0,0,29,902,105,3,0,0
20203,9,0,3,0,3,3,3,4,22,0,0,0,0,0,0,0,0,0,0,0,4,3,10,5,3,3,3,3,3,4,42,19,9,3,0,0,0,5,0,4,0,35,3,3,19,4,3,3,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,20,4,3,6,3,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,26,9,22,5,3,6,8,0,5,0,76,73,3,0,0,3,3,0,0,0,5,92,11,0,10,5,3,0,4,0,0,0,34,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,14,0,10,5,4,0,4,3,3,0,37,0,0,0,0,0,0,0,0,0,0,0,85,4,14,5,9,3,3,3,3,5,130,148,0,3,0,0,0,0,0,0,10,163,18,0,3,0
20301,15,0,3,0,0,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,36,17,31,5,3,4,6,0,0,7,119,94,26,20,4,3,4,0,0,0,9,165,16,9,24,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,24,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,112,35,40,6,8,3,4,0,0,9,220,213,22,21,0,3,0,0,0,0,15,272,36,8,7,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,32,7,12,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,254,29,26,0,3,0,3,3,0,12,330,322,4,5,0,3,0,0,0,0,13,356,50,0,3,0
20302,1152,205,248,300,262,308,186,79,3253,0,0,3,0,0,0,0,0,0,78,88,693,395,1432,278,324,362,328,374,222,220,4627,793,292,282,66,42,43,27,27,12,45,1620,406,319,678,92,118,87,60,67,29,37,1893,24,27,80,18,29,38,23,25,19,12,291,7,0,12,0,0,0,0,0,0,0,16,433,347,771,108,139,130,85,88,49,48,2201,0,0,0,0,0,0,0,0,0,71,79,1228,640,1047,168,184,168,110,114,67,169,3896,1810,200,221,28,11,17,12,7,7,50,2370,811,225,254,30,24,23,27,22,16,29,1463,94,23,63,10,25,31,14,20,8,13,304,13,0,3,0,0,0,0,0,0,6,19,917,253,320,43,45,53,42,39,24,48,1784,4,0,0,0,0,0,0,0,0,46,48,2734,453,536,67,59,73,56,45,34,142,4205,2684,88,64,8,11,7,3,7,0,72,2947,1167,73,41,3
20303,112,13,16,23,16,21,11,6,253,0,0,0,0,0,0,0,0,0,0,0,143,69,220,37,38,55,31,33,15,31,670,392,168,176,43,26,32,15,15,10,31,901,68,64,89,18,8,14,4,7,0,5,290,0,7,4,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,71,70,96,18,14,14,4,14,0,5,304,3,0,0,0,0,0,0,0,0,0,3,464,239,263,62,41,47,25,32,8,36,1212,778,124,118,23,11,4,8,7,0,37,1112,96,24,49,7,11,4,3,0,0,4,196,3,3,3,0,0,0,3,3,3,3,22,0,0,0,0,0,0,0,0,0,0,0,95,32,55,7,11,4,5,3,3,11,223,0,0,0,0,0,0,0,0,0,0,0,878,156,174,25,27,11,16,9,4,43,1335,1155,36,23,0,4,6,4,0,0,46,1267,187,5,5,0
20401,91,11,26,24,28,28,15,24,288,0,0,0,0,0,0,0,0,0,0,0,80,51,142,25,33,41,37,40,25,31,498,169,57,45,14,3,0,11,10,4,17,340,33,34,58,20,13,6,3,3,3,6,182,0,3,5,0,0,0,0,4,4,0,14,0,0,0,0,0,0,0,0,0,0,0,33,35,60,22,13,6,3,5,6,5,196,0,0,0,0,0,0,0,0,0,0,0,197,97,108,35,18,14,12,21,11,26,533,528,41,40,6,3,0,0,0,3,24,636,83,11,24,10,0,6,7,0,4,4,145,8,4,3,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,3,98,9,24,7,3,4,7,3,4,6,172,0,0,0,0,0,0,0,0,0,0,0,627,48,63,17,6,4,7,3,9,25,808,759,26,13,0,5,3,3,0,3,28,843,134,3,4,0
