SA3_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
20702,111,2605,141,2858,156,2604,124,2884,340,4714,287,5350,478,4568,236,5279,821,4719,270,5812,758,4060,259,5076,589,3517,253,4364,381,2721,357,3463,123,889,171,1178,3760,30396,2103,36258,117,2375,148,2635,181,2357,116,2659,458,4742,260,5464,770,4808,239,5820,1290,4988,301,6578,1263,4267,280,5816,928,4081,350,5353,486,2979,444,3908,98,1429,292,1818,5599,32028,2434,40064,231,4979,286,5499,335,4963,239,5548,807,9455,553,10813,1246,9371,475,11096,2115,9705,573,12391,2025,8327,542,10890,1518,7592,599,9717,866,5705,805,7372,213,2323,467,3004,9367,62424,4530,76324
20703,123,3076,207,3399,228,4576,251,5063,431,6662,385,7470,555,5305,283,6146,904,5072,317,6289,824,3978,274,5078,486,2771,236,3499,326,1962,257,2543,115,916,182,1211,3992,34315,2392,40697,134,3179,195,3510,224,4184,206,4615,539,6542,409,7491,920,5536,273,6729,1383,5324,309,7010,1376,4034,283,5689,754,3268,306,4324,433,2624,413,3474,105,1570,392,2063,5871,36252,2790,44904,257,6258,395,6909,458,8757,462,9671,967,13202,795,14963,1481,10835,558,12877,2284,10390,624,13303,2196,8010,563,10767,1240,6039,536,7817,762,4588,669,6015,221,2481,577,3273,9865,70561,5180,85602
20801,112,2895,208,3212,129,2268,151,2538,187,3284,276,3745,412,4925,360,5693,877,6144,469,7489,1026,4659,368,6058,595,3664,310,4573,292,1828,258,2377,118,943,171,1228,3751,30610,2570,36928,115,2666,191,2964,136,2106,141,2381,307,3645,281,4232,760,5604,355,6721,1619,6281,466,8364,1629,4586,363,6581,967,3788,390,5141,380,2250,330,2968,122,1870,399,2393,6042,32786,2915,41741,227,5555,395,6178,266,4366,288,4919,496,6932,558,7980,1175,10523,717,12418,2501,12426,929,15855,2661,9249,735,12636,1568,7455,698,9718,675,4078,591,5344,240,2815,568,3624,9795,63397,5485,78669
20802,153,3779,256,4192,245,4621,312,5184,557,10028,752,11340,869,8980,595,10438,1288,7691,549,9529,1291,5933,439,7656,701,4108,341,5155,362,2171,284,2813,145,1253,211,1603,5611,48555,3739,57903,156,3624,215,3993,291,4722,292,5302,813,10493,723,12021,1376,8932,551,10857,2039,7880,512,10436,2031,5678,448,8156,1098,4326,433,5856,494,3050,473,4018,106,2309,386,2801,8410,51018,4019,63451,308,7401,474,8183,534,9352,599,10485,1370,20518,1480,23363,2247,17912,1137,21297,3329,15574,1063,19961,3319,11611,884,15819,1796,8433,771,11009,858,5224,757,6832,255,3561,597,4405,14019,99573,7762,121353
20803,99,2837,220,3155,132,2959,223,3315,399,6094,457,6947,718,7434,517,8668,1069,6745,490,8304,1004,5089,411,6507,523,3616,405,4541,310,2065,386,2758,95,859,279,1235,4346,37689,3384,45419,127,2791,202,3123,146,2648,155,2946,627,6501,443,7573,1233,7637,483,9356,1750,6677,489,8908,1568,5029,406,6996,893,4086,501,5481,364,2638,572,3576,76,1526,554,2161,6786,39531,3800,50110,227,5626,415,6274,278,5603,379,6263,1026,12595,899,14515,1951,15071,1005,18027,2820,13419,971,17215,2568,10117,818,13503,1412,7696,912,10022,673,4702,955,6327,174,2386,833,3393,11135,77220,7179,95538
20804,35,1129,74,1237,63,1547,93,1703,139,2782,196,3125,197,2231,153,2580,349,2136,156,2649,368,1557,116,2047,203,1239,102,1543,107,713,85,903,50,313,54,411,1507,13651,1033,16193,36,1110,71,1217,75,1808,114,1998,189,2859,204,3252,309,2318,148,2773,572,2218,130,2921,559,1612,125,2289,334,1304,123,1757,171,874,133,1174,26,584,100,709,2266,14691,1131,18086,72,2240,138,2451,132,3353,212,3695,327,5646,404,6376,505,4548,296,5354,921,4357,286,5566,926,3166,241,4338,539,2546,220,3305,275,1589,216,2085,72,894,149,1121,3772,28342,2166,34286
20901,125,3157,232,3518,174,3424,220,3825,466,7045,469,7975,772,7266,450,8488,1135,6186,467,7782,1165,5296,388,6847,805,4263,386,5455,338,2189,316,2839,128,856,198,1188,5121,39681,3124,47926,150,2930,229,3308,229,3160,196,3582,714,7074,480,8269,1295,7193,402,8887,1861,6144,432,8436,1960,5348,386,7691,1120,4454,482,6058,450,2686,495,3627,103,1566,402,2066,7877,40554,3494,51928,274,6090,465,6834,403,6588,419,7410,1177,14117,950,16248,2068,14458,849,17375,3001,12322,897,16224,3123,10642,769,14542,1927,8719,867,11511,790,4867,805,6470,229,2420,601,3253,12996,80234,6623,99850
20902,103,2065,258,2420,151,3341,348,3844,539,7740,842,9126,602,5782,587,6972,766,4480,488,5727,665,3262,372,4294,319,2255,340,2922,267,1726,335,2336,69,710,212,996,3489,31362,3787,38634,98,2016,244,2355,245,3412,343,3991,720,7420,709,8848,964,5594,523,7080,1315,4258,489,6063,1019,3083,394,4498,552,2572,404,3525,326,2237,451,3010,53,1176,419,1646,5290,31767,3967,41019,196,4078,502,4771,394,6751,690,7837,1261,15162,1550,17970,1566,11379,1110,14050,2084,8736,974,11795,1680,6346,766,8793,871,4827,743,6444,592,3963,790,5343,129,1886,632,2649,8776,63123,7752,79654
20903,82,2308,176,2565,79,1930,117,2129,191,2662,147,3006,371,3469,215,4055,619,4256,296,5173,746,3674,240,4661,379,2311,184,2869,108,768,99,983,25,193,45,258,2602,21570,1520,25700,84,2060,170,2310,130,1785,90,2006,236,2623,153,3015,663,3660,225,4550,1186,4124,272,5580,1287,3280,238,4800,536,2082,204,2825,119,795,134,1054,22,360,82,462,4270,20758,1568,26595,161,4368,342,4873,210,3710,211,4133,429,5289,303,6019,1037,7128,436,8606,1809,8380,565,10755,2033,6948,477,9465,917,4389,387,5692,229,1568,238,2030,49,551,126,720,6875,42325,3087,52287
20904,268,5646,586,6503,401,6390,529,7318,1249,15181,1228,17659,1538,13276,979,15791,1578,10590,827,12994,1343,8034,722,10108,891,5449,701,7046,419,2696,444,3564,80,777,123,980,7773,68045,6149,81967,307,5348,550,6202,544,6122,497,7159,2043,15202,1272,18520,2524,12456,962,15940,2602,10235,888,13726,2316,7992,816,11125,1194,5600,743,7542,419,3126,520,4064,54,1206,197,1458,12002,67290,6443,85741,576,11000,1129,12705,942,12512,1026,14478,3297,30389,2497,36186,4057,25729,1944,31737,4182,20822,1713,26716,3661,16030,1541,21235,2089,11051,1447,14594,837,5821,967,7626,138,1987,319,2440,19775,135337,12593,167708
