SA3_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
20101,4856,9890,6684,5748,5766,4920,2471,4737,720,45790
20102,2076,2189,1982,1385,1472,901,796,1395,219,12415
20103,1481,1127,1457,1062,925,845,694,1420,170,9185
20201,4247,8571,5916,5219,5169,4467,2379,5005,616,41593
20202,2976,4505,2970,2294,2181,1617,1085,2297,313,20238
20203,1295,545,564,360,460,317,356,636,82,4615
20301,1495,1463,1598,959,1034,751,684,999,164,9136
20302,8709,17176,12335,10900,10270,9013,5382,9074,1349,84191
20303,4321,7737,4949,3859,3782,2948,1130,2436,539,31696
20401,3768,3135,3700,2827,2503,1951,1676,3160,408,23132
20402,3121,3359,2909,2335,2227,1853,1409,2554,311,20070
20403,4612,5351,5094,3959,3679,3026,2334,3734,548,32340
20501,3219,3541,3509,2301,2396,1758,1477,2759,359,21325
20502,2580,2507,2507,2190,1860,1693,1045,2358,299,17052
20503,4405,3554,3994,2746,2518,2488,1537,3155,409,24806
20504,2764,4484,5225,3494,3991,3099,2292,3485,574,29411
20505,2961,2802,2905,2037,1829,1524,1260,2276,306,17898
20601,6216,17269,4603,4720,6086,3808,1279,2539,725,47253
20602,4283,11150,2407,2698,3370,2106,617,1255,415,28301
20603,5386,11384,2951,3351,5001,3104,948,1811,567,34507
20604,9407,25655,4723,7298,7323,5216,894,3517,1118,65152
20605,11226,21834,4434,4884,7081,4568,798,1940,948,57711
20606,6836,14549,2183,2903,4352,3218,334,985,652,36011
20607,8584,21938,3557,4519,5603,3702,752,1718,847,51224
20701,15439,32381,4814,6688,10399,7498,999,2727,1324,82260
20702,6464,11512,4087,3566,5752,4557,1056,2319,711,40019
20703,6624,15098,4486,4533,6219,4553,1177,2891,739,46322
20801,10287,15500,3187,3941,5867,4428,636,1441,695,45993
20802,12002,25294,6546,6636,9911,6784,1628,3463,1174,73440
20803,8732,14926,7613,5714,8943,5942,2121,3358,887,58234
20804,3825,7972,1247,1649,2616,1879,265,737,326,20517
20901,8016,17774,7159,5933,8735,5146,1838,3416,889,58915
20902,4492,10432,5352,4647,5760,4219,2233,4145,725,42006
20903,5294,8717,5089,3619,5064,3121,1073,2008,448,34422
20904,9442,15305,15117,10896,14311,10550,8655,10237,1752,96259
21001,3837,6344,3460,2489,4561,2884,1329,1774,509,27192
21002,2058,3088,2391,1566,2012,1166,754,1065,201,14291
21003,3518,7581,4609,3443,4681,2975,2097,3152,592,32659
21004,2155,3087,3214,2383,3238,2115,1481,1584,288,19536
21005,5642,8527,9477,7510,8941,6519,7236,7496,1379,62727
21101,9282,16191,11766,7812,12175,8411,4239,6274,1215,77364
21102,2409,3509,1444,1141,1837,1351,295,675,200,12870
21103,6831,12924,8150,5819,8248,5642,2238,4088,780,54714
21104,3817,8752,3136,2739,4214,2808,953,1930,404,28750
21105,9463,13184,13782,8431,9966,6821,4083,7110,1191,74031
21201,5317,6557,8206,4779,6324,4610,3707,4831,705,45037
21202,6733,10280,9641,6148,9024,6494,4783,6244,1029,60378
21203,7393,10448,12871,8826,11115,7753,8333,9407,1392,77534
21204,6283,11268,11674,7902,9253,7534,8405,12120,1734,76174
21205,10502,23216,7970,6833,10905,7730,2798,5308,1318,76573
21301,6087,10786,10550,8135,10313,7553,9209,11556,1905,76092
21302,5887,10118,4866,3704,5843,3459,2465,2843,709,39891
21303,5586,11966,4170,4334,5309,3712,2110,3698,764,41648
21304,7065,10167,10219,7557,10644,7131,7228,6774,1311,68097
21305,10678,18491,12850,11227,15238,9754,10731,9639,1885,100495
21401,6944,10387,10913,7481,8893,7080,4375,6279,1055,63406
21402,9546,12711,11944,7988,8110,7278,2746,6108,1062,67498
21501,5293,3630,3119,3165,2436,2193,1575,3599,406,25418
21502,3288,3564,3038,2572,2523,2538,1573,3026,396,22501
21503,3432,2047,1956,1500,1563,1397,1048,2228,281,15456
21601,2863,2111,2330,1766,1558,1591,1177,2385,236,16022
21602,2206,1404,1650,1221,1120,1029,888,2064,229,11806
21603,3875,4610,3671,2814,3165,2767,1797,3743,438,26876
21701,2935,2254,2209,1645,1555,1343,1418,1992,252,15595
21703,3661,1991,2155,1758,1397,1356,1212,2888,311,16727
21704,3703,4021,3153,2500,2437,2428,1408,3274,358,23287
29797,0,4,7,0,0,0,0,3,0,23
29999,178,405,297,277,182,134,200,307,57,2033
