SA3_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
20402,0,0,3,9,9,3,21,18,0,3,0,3,0,0,5,75,0,0,5,3,3,0,8,18,8,3,0,3,0,0,0,41,0,0,0,0,0,3,3,3,4,0,5,3,10,0,6,30,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,9,165,305,298,104,66,79,32,3,0,0,6,9,0,45,1130,0,0,0,13,13,11,19,6,3,4,3,0,3,0,3,83,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,7,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,8,5,47,76,73,41,39,47,58,16,6,3,12,13,4,19,447,38,562,745,597,319,232,364,321,61,52,41,62,76,21,157,3642
20403,0,0,4,16,16,9,39,38,3,4,0,0,0,3,3,128,0,0,4,3,3,0,11,34,12,3,0,0,0,6,0,82,0,0,0,3,0,7,9,12,5,3,4,3,3,9,6,69,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,7,221,430,535,232,152,188,122,18,19,15,22,19,4,103,2084,0,0,3,39,17,15,22,13,8,8,10,16,0,3,6,161,0,0,0,0,5,3,4,4,0,0,0,0,0,0,6,24,0,0,3,0,7,0,5,7,0,0,0,0,0,0,3,30,7,129,179,217,94,74,97,234,53,64,31,32,60,56,62,1374,28,866,1172,1182,660,537,691,894,162,200,137,143,151,137,340,7308
20501,0,0,4,13,22,17,23,33,4,6,6,0,0,0,4,131,0,0,6,10,9,15,10,19,0,0,3,3,0,0,3,73,0,0,0,0,0,4,6,9,0,3,0,0,7,0,3,36,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,11,258,467,599,223,102,145,121,10,34,29,18,3,3,64,2070,0,9,0,19,14,6,22,8,0,5,3,5,0,0,0,103,0,0,0,0,0,5,0,7,0,0,0,0,3,0,7,22,0,0,0,0,3,0,6,8,3,4,0,0,0,0,0,22,5,34,74,138,70,58,66,64,17,15,4,9,22,8,35,626,22,653,888,1038,582,404,542,479,83,111,73,73,73,32,215,5276
20502,0,0,11,8,16,6,29,14,3,0,4,3,0,0,0,103,0,0,0,8,0,0,3,0,0,6,4,3,0,0,0,34,0,0,0,0,0,7,7,3,0,4,0,4,6,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,19,303,517,605,164,109,100,83,6,9,0,9,3,0,93,2042,0,3,4,25,14,9,14,12,0,0,3,0,0,0,3,85,0,0,0,3,5,9,23,6,0,0,4,3,4,0,0,63,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,14,4,39,76,114,59,34,40,29,0,20,0,18,25,5,29,500,44,711,988,964,476,345,402,347,45,87,56,89,64,26,254,4894
20503,0,0,7,20,20,17,29,14,8,5,0,6,0,0,0,131,0,7,5,21,12,6,4,11,0,7,0,0,0,0,0,71,0,0,0,0,0,12,13,16,8,5,10,3,3,0,8,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,10,32,402,820,1046,342,191,163,97,25,12,6,10,12,3,148,3305,0,3,3,21,19,24,28,18,0,6,3,13,6,0,4,139,0,0,0,4,9,0,10,16,3,0,4,0,0,0,4,58,0,0,0,4,3,7,3,5,0,0,0,0,0,0,0,25,4,69,100,144,80,64,79,103,7,12,7,17,5,9,25,717,53,1034,1567,1695,874,599,609,580,117,116,101,111,86,41,327,7910
20504,0,3,0,4,25,5,38,47,4,9,4,3,0,3,8,154,0,3,8,4,0,7,17,27,8,6,10,7,9,0,0,108,0,0,0,0,3,5,11,24,3,4,10,8,4,3,8,86,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,13,570,723,612,278,137,83,76,25,11,3,10,10,8,113,2681,0,0,4,18,10,6,23,21,0,3,4,3,4,0,0,106,0,0,0,3,10,11,8,16,0,5,0,4,0,3,3,64,0,0,0,0,8,0,3,17,0,3,0,4,0,0,0,32,3,106,117,208,118,72,187,249,26,20,26,25,22,23,36,1239,35,1575,1753,1326,886,584,776,942,134,149,148,173,165,91,345,9091
20505,0,0,4,7,13,3,14,42,3,0,0,0,4,3,6,96,0,4,5,4,3,0,5,17,0,8,0,0,4,0,3,58,0,0,0,0,0,3,7,15,0,0,4,3,8,0,15,48,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,12,13,176,373,427,150,90,78,100,5,13,14,9,6,8,62,1516,0,0,3,21,6,8,16,14,0,0,5,8,17,4,5,104,0,0,0,3,4,12,7,14,0,4,0,3,0,0,77,128,0,0,0,0,3,3,6,0,4,0,0,3,0,0,0,20,0,48,45,67,41,41,50,24,8,6,5,24,19,6,75,471,13,508,695,725,393,309,353,485,89,99,104,95,137,54,491,4541
20601,0,0,3,12,31,41,56,34,10,10,10,11,3,3,7,226,0,4,5,25,25,67,35,30,6,3,8,12,14,10,4,241,0,0,0,3,10,25,45,42,8,10,16,8,26,11,17,229,0,0,5,48,3,3,5,3,0,0,0,0,0,0,4,85,0,0,0,227,104,118,27,27,7,0,7,0,8,0,22,554,7,68,203,299,253,311,472,360,111,97,99,106,110,64,81,2634,0,3,6,40,56,63,88,98,42,41,32,35,50,30,25,586,0,0,0,4,175,134,53,78,3,12,21,14,27,23,20,563,0,0,0,3,11,4,14,5,0,0,0,0,0,0,0,42,0,75,137,401,310,435,487,893,119,230,323,419,481,304,137,4757,35,1180,3285,3450,2129,2480,2871,3306,778,1007,1264,1349,1569,1038,869,26611
20602,0,0,4,4,25,39,30,29,0,3,0,11,3,3,6,153,0,0,5,16,11,25,12,29,0,9,10,6,6,12,0,144,0,0,0,0,9,11,19,29,5,4,16,7,13,4,15,131,0,10,26,89,21,19,5,5,0,0,0,0,6,0,3,181,0,3,0,15,10,8,10,3,0,0,0,3,0,0,0,54,0,54,155,269,203,227,298,266,59,73,68,71,59,25,49,1876,0,0,3,29,33,49,67,37,17,16,13,14,10,11,19,319,0,0,0,5,159,127,50,33,4,13,12,9,12,9,9,443,0,0,0,0,0,0,11,10,0,0,0,0,0,0,3,29,3,72,67,219,200,189,234,293,57,78,108,114,116,56,60,1875,23,707,1985,1998,1179,1385,1577,1607,339,447,461,483,453,268,453,13364
20603,0,0,0,3,18,19,42,28,6,3,7,3,10,5,5,157,0,3,9,33,14,51,25,52,12,17,11,13,18,6,3,268,0,0,0,0,9,24,39,45,11,3,15,14,24,11,12,193,0,0,3,36,0,8,4,3,0,0,0,0,0,0,0,56,0,0,0,43,20,22,26,10,4,4,0,3,0,0,6,147,6,94,211,289,159,164,221,151,50,51,46,40,41,35,52,1612,0,0,4,14,26,29,49,49,17,22,16,16,18,6,11,272,0,0,0,5,361,363,118,104,26,31,36,28,50,30,44,1206,0,0,0,0,3,6,10,5,0,3,3,0,0,0,0,31,0,93,130,305,261,540,739,702,135,161,214,271,271,176,144,4153,18,838,1707,1862,1436,2035,2462,2618,644,704,822,935,1029,689,558,18357
