SA3_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
20101,26,142,0,168,3000,312,3475,171,128,3,304,3236,284,3821,1966,215,61,2240,3823,447,6508,3300,149,111,3563,2095,402,6057,1893,251,57,2200,3669,425,6289,258,636,13,907,4490,403,5803,41,659,3,705,3419,472,4598,16,137,0,150,1897,325,2372,4,4,0,9,647,138,801,7667,2323,249,10244,26267,3203,39714,51,262,3,320,2737,292,3343,339,333,14,682,2906,277,3866,2813,420,181,3414,2939,435,6794,3947,251,272,4473,1801,370,6643,1791,650,110,2547,3997,448,6995,147,1600,8,1754,4349,453,6561,41,1140,4,1186,3550,491,5226,9,195,0,204,2394,506,3107,3,14,0,21,1345,239,1603,9143,4868,597,14607,26024,3508,44132,75,402,5,485,5740,596,6819,512,455,14,983,6140,558,7686,4775,633,247,5652,6766,879,13301,7255,400,385,8038,3892,768,12700,3683,898,165,4745,7670,868,13287,407,2241,24,2667,8836,858,12360,81,1804,4,1889,6969,959,9822,25,331,0,356,4293,831,5476,7,22,0,29
20102,6,23,0,29,622,127,775,17,19,3,36,485,61,586,338,28,5,375,583,93,1054,844,36,28,901,584,118,1612,546,74,9,634,1336,196,2164,126,184,3,306,1818,230,2353,22,181,0,201,1515,210,1930,4,29,0,37,610,131,778,5,0,0,8,178,44,233,1909,577,50,2530,7739,1221,11485,10,50,3,59,567,100,726,42,40,0,81,394,46,515,504,73,27,604,448,95,1148,995,69,61,1129,508,142,1785,539,196,24,754,1354,202,2306,63,446,5,514,1680,229,2418,19,328,0,347,1266,228,1837,4,42,0,46,601,133,775,14,0,0,11,306,95,420,2176,1238,125,3543,7120,1274,11939,15,74,3,87,1186,228,1505,56,55,4,113,876,109,1106,841,98,40,977,1032,189,2203,1834,108,88,2034,1096,265,3394,1090,270,31,1387,2690,395,4478,192,626,7,820,3496,455,4777,37,510,0,546,2784,440,3772,6,69,4,79,1208,269,1557,14,3,0,22
20103,0,33,0,34,563,94,691,46,33,3,75,446,42,568,319,44,5,369,483,122,979,649,32,18,699,504,173,1374,410,53,10,472,1047,249,1765,82,166,0,253,1666,243,2156,21,163,0,183,1551,284,2021,4,25,0,33,761,162,950,4,0,0,3,201,56,263,1543,556,36,2130,7219,1419,10772,8,59,0,68,502,76,636,82,35,3,118,364,32,513,535,58,30,619,353,69,1042,736,52,46,835,366,84,1281,376,166,12,554,1092,119,1764,47,363,4,411,1449,177,2042,6,225,0,231,1397,235,1866,0,33,3,34,706,155,900,3,3,0,5,340,91,439,1796,986,101,2881,6564,1031,10474,5,93,0,105,1064,165,1330,126,67,5,197,807,74,1079,861,101,30,987,840,189,2016,1382,81,64,1531,865,255,2657,794,218,19,1026,2137,366,3532,129,531,7,670,3112,412,4195,27,387,0,420,2948,517,3882,4,60,3,69,1463,320,1854,6,5,0,14
20201,10,126,0,135,2561,320,3016,193,158,8,355,2804,239,3395,1901,216,56,2183,3389,434,6001,2838,136,98,3076,1918,365,5358,1552,230,41,1819,3279,415,5513,232,639,8,881,4076,433,5384,42,579,0,626,3115,448,4192,10,121,0,123,1852,366,2352,3,8,0,8,688,187,886,6784,2209,214,9205,23679,3213,36093,47,265,0,307,2393,299,3002,385,281,28,697,2656,224,3572,2691,439,178,3312,2684,426,6419,3484,224,224,3937,1571,379,5884,1424,622,74,2121,3514,407,6039,146,1502,12,1658,3943,418,6022,35,916,3,958,3274,459,4688,5,130,0,137,2260,494,2891,15,13,0,22,1233,375,1632,8240,4385,518,13145,23535,3473,40147,57,391,0,447,4960,622,6023,577,439,30,1048,5458,468,6970,4600,651,242,5493,6076,854,12416,6327,364,319,7010,3490,744,11241,2971,852,113,3940,6791,817,11552,379,2137,18,2533,8019,847,11405,82,1501,4,1582,6388,910,8880,14,247,0,261,4119,867,5240,14,17,0,34
20202,8,66,0,68,1125,192,1394,40,43,3,86,795,131,1010,544,54,13,612,956,396,1971,1467,50,50,1570,833,369,2774,1041,109,42,1194,1893,400,3484,227,289,12,526,2822,380,3727,34,312,3,350,2372,343,3068,7,62,0,72,1081,230,1386,0,6,0,6,346,79,433,3363,1001,125,4486,12225,2526,19239,8,78,0,92,1038,145,1279,96,56,0,150,656,60,866,811,108,53,968,759,165,1898,1776,104,148,2032,722,247,2998,994,266,77,1335,2125,278,3739,104,719,10,824,2648,327,3797,28,537,3,566,2170,352,3088,5,91,0,98,1110,261,1464,10,4,0,14,505,183,698,3831,1955,293,6076,11736,2021,19830,19,144,0,162,2165,342,2668,134,104,3,236,1444,191,1878,1358,158,62,1584,1723,566,3871,3242,154,204,3601,1555,614,5768,2028,378,120,2523,4016,675,7219,329,1005,23,1355,5466,704,7525,60,850,10,917,4543,694,6155,12,156,0,166,2197,493,2852,6,12,0,16
20203,0,15,0,14,276,50,340,12,5,0,15,157,15,195,122,13,0,139,209,44,390,311,12,7,341,201,69,609,226,25,5,258,486,95,835,39,88,0,132,842,104,1078,5,77,0,78,667,125,876,0,8,0,8,296,77,383,0,0,0,0,107,33,141,722,240,23,985,3247,605,4841,5,29,0,32,252,62,343,17,12,0,32,144,12,193,218,30,10,259,124,39,426,335,27,25,393,145,54,593,194,78,8,285,499,83,867,15,194,0,216,645,81,942,5,99,0,104,499,89,695,0,16,0,21,308,79,404,0,0,0,0,137,33,173,798,492,49,1343,2754,533,4624,11,41,0,49,523,106,686,30,24,0,49,302,31,384,343,37,13,394,333,86,818,651,46,34,727,340,128,1194,422,103,21,539,986,173,1701,59,283,4,349,1490,178,2013,4,176,0,180,1172,219,1568,0,30,0,29,602,150,786,0,0,0,0
20301,5,15,0,22,573,75,667,10,19,0,34,410,32,474,333,33,6,374,450,58,883,811,24,19,856,366,92,1314,451,59,6,520,795,87,1403,70,119,0,190,1025,95,1312,9,134,0,147,708,80,931,3,24,0,25,281,43,349,0,0,0,0,82,15,97,1698,417,43,2155,4696,581,7428,3,43,0,49,454,71,573,31,28,3,66,298,27,385,493,56,31,577,356,46,981,908,66,50,1027,274,76,1377,427,100,21,551,799,76,1430,35,278,0,318,837,97,1250,4,203,0,210,537,79,829,3,15,0,14,283,41,337,3,3,0,3,137,21,162,1916,792,103,2818,3985,529,7330,8,56,0,63,1025,154,1242,42,46,6,95,704,60,863,828,88,39,950,810,104,1864,1724,85,72,1881,638,168,2696,881,155,27,1068,1596,165,2833,103,397,3,505,1866,192,2563,21,340,0,358,1244,158,1761,7,35,0,40,565,84,687,8,3,0,5
20302,25,236,11,269,5289,524,6078,253,222,3,478,5926,539,6948,3156,374,77,3605,7796,1190,12591,6163,204,145,6510,4104,975,11585,3419,367,90,3872,6889,947,11712,523,1140,18,1683,8098,782,10562,112,1287,10,1411,6005,796,8215,26,261,0,285,3601,624,4511,8,16,0,24,1488,335,1845,13675,4115,345,18135,49197,6710,74047,54,463,3,527,5004,449,5979,517,432,32,987,5315,439,6737,4688,718,292,5696,6339,759,12794,7305,470,378,8148,3333,656,12140,3278,1027,146,4444,7391,763,12603,303,2735,25,3066,7810,808,11679,87,2177,11,2278,6183,842,9304,31,362,3,401,4566,883,5845,17,15,0,38,2679,632,3343,16281,8404,900,25582,48611,6233,80427,78,705,8,794,10293,967,12055,770,655,40,1465,11239,983,13688,7840,1092,365,9304,14137,1949,25386,13463,671,522,14656,7434,1626,23722,6695,1391,232,8311,14280,1717,24312,826,3879,45,4750,15899,1592,22243,197,3470,26,3689,12192,1640,17524,59,622,5,688,8165,1506,10355,20,34,0,56
20303,13,84,0,96,1752,162,2004,42,50,0,91,1347,107,1554,916,105,24,1048,1917,201,3171,2719,99,78,2893,1227,277,4403,1651,125,61,1832,2268,275,4376,305,497,5,809,3770,335,4913,45,744,9,790,3255,397,4443,6,133,0,148,1719,234,2098,3,5,0,11,585,122,723,5692,1852,175,7716,17840,2122,27678,14,132,0,144,1508,157,1809,85,92,3,179,1089,81,1353,1495,198,76,1768,1689,221,3670,3092,175,255,3524,967,234,4718,1668,321,70,2071,2624,260,4948,131,1213,6,1352,3695,344,5392,33,1183,6,1228,3164,416,4800,4,167,3,171,1871,315,2362,3,5,0,14,979,160,1154,6523,3498,430,10452,17589,2178,30213,26,214,0,240,3262,314,3814,127,148,4,278,2438,195,2906,2405,307,101,2811,3610,417,6841,5804,277,330,6418,2194,508,9119,3317,448,136,3905,4891,530,9326,434,1711,17,2160,7462,681,10308,76,1929,15,2020,6417,807,9245,16,302,6,315,3593,547,4456,6,14,0,22
20401,8,76,0,85,1402,227,1713,67,44,0,113,1146,127,1388,790,64,13,872,1403,244,2515,1435,66,42,1534,992,278,2802,958,140,25,1129,2145,341,3615,166,312,6,485,3302,423,4214,31,372,0,405,2921,434,3762,4,66,0,69,1339,289,1694,7,4,0,9,431,120,565,3470,1143,84,4704,15077,2484,22269,10,103,0,112,1179,220,1508,162,81,4,245,817,103,1170,1133,132,54,1323,1004,222,2551,1798,113,106,2013,793,250,3059,839,302,52,1186,2238,337,3757,89,757,3,855,2956,357,4161,19,587,0,600,2521,432,3549,3,73,0,73,1417,341,1826,3,3,0,9,632,174,820,4057,2151,213,6422,13561,2426,22410,16,177,0,196,2582,445,3227,229,130,4,365,1968,223,2554,1926,199,69,2197,2410,462,5066,3226,176,141,3551,1790,525,5864,1799,445,75,2319,4384,675,7372,260,1068,8,1333,6259,782,8373,49,954,3,1011,5439,865,7314,3,135,0,142,2751,627,3521,14,7,0,19
