SA3_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
20101,63,181,331,306,345,280,79,8,0,1587,107,183,263,291,343,229,79,21,4,1521,2793,4954,9670,9549,9881,7218,1517,173,31,45790
20102,21,40,56,87,97,87,14,0,0,410,31,64,66,98,146,109,55,13,9,590,609,789,1548,2517,3281,2726,801,107,27,12415
20103,18,34,58,64,78,70,13,0,0,335,29,33,47,89,87,100,50,19,3,463,496,669,1293,1753,2236,2041,577,91,21,9185
20201,75,211,388,278,288,251,67,9,3,1571,83,169,262,309,281,249,72,27,3,1450,2564,4711,9126,8350,8563,6723,1379,151,31,41593
20202,27,68,103,145,191,133,41,4,0,709,54,55,98,154,218,168,74,20,7,840,1044,1278,2631,4156,5404,4334,1173,183,40,20238
20203,8,10,30,21,37,21,5,0,0,129,16,10,30,36,44,45,15,10,3,204,216,242,540,855,1174,1150,343,85,17,4615
20301,18,35,66,83,67,66,25,0,0,359,32,29,49,79,94,66,20,5,0,389,478,632,1456,2151,2259,1584,494,60,18,9136
20302,105,400,736,606,596,445,120,18,3,3022,188,363,681,655,678,504,143,38,20,3272,4873,9073,18588,17825,17956,12889,2660,280,57,84191
20303,56,89,193,224,240,189,55,6,0,1056,67,97,169,244,250,225,93,21,4,1178,1638,2140,5352,7222,7536,6046,1566,184,22,31696
20401,48,80,156,145,188,157,58,3,4,835,66,86,126,180,276,215,97,36,4,1071,1278,1734,3668,4307,5381,4913,1526,271,62,23132
20402,43,87,138,128,159,118,44,9,3,724,55,65,119,153,180,153,73,23,8,828,1201,1459,3085,3816,4813,4247,1183,222,45,20070
20403,74,153,244,212,251,168,47,3,0,1149,87,107,197,240,269,200,86,25,10,1221,2048,2766,5840,6287,7472,6055,1601,220,48,32340
20501,55,99,201,170,237,174,44,11,0,996,52,78,135,157,208,161,71,19,6,887,1248,1785,3983,4036,4914,4024,1100,192,37,21325
20502,19,68,113,119,140,134,37,3,0,647,40,47,93,116,152,192,69,25,0,740,933,1171,2649,3036,4041,3811,1172,206,24,17052
20503,44,98,175,165,190,169,45,5,4,895,65,70,151,185,249,234,87,36,14,1091,1339,1524,3875,4690,5966,5386,1684,289,58,24806
20504,62,154,240,213,216,149,47,8,0,1096,69,109,226,186,226,205,66,22,5,1117,1767,2908,6049,5737,6507,5174,1108,137,25,29411
20505,39,86,138,115,119,119,31,3,0,650,49,70,144,110,157,133,59,14,5,746,1002,1429,3250,3402,4004,3648,970,161,39,17898
20601,25,151,517,339,280,161,43,6,0,1524,23,179,633,393,259,167,66,9,0,1728,1074,5058,16668,11310,7803,4317,922,89,15,47253
20602,13,79,259,226,177,104,30,3,0,896,21,113,327,241,209,102,25,10,0,1040,704,2421,8547,7158,5800,3042,552,70,15,28301
20603,21,81,291,170,200,137,38,9,0,941,33,122,328,289,268,144,63,10,3,1263,1302,3504,9525,7578,6994,4521,971,101,17,34507
20604,30,263,696,263,212,120,36,3,3,1627,79,466,1127,431,322,189,73,16,3,2712,1662,9441,29857,11437,6599,4340,1534,234,49,65152
20605,42,151,620,375,296,172,49,8,0,1705,42,159,789,571,414,259,96,19,6,2350,826,4304,20579,14037,9806,5996,1912,211,39,57711
20606,22,117,359,170,143,92,22,0,3,931,18,129,560,274,244,140,112,31,12,1522,602,3711,14832,6766,4718,3359,1665,302,65,36011
20607,16,131,570,277,206,165,38,9,0,1412,32,172,797,401,273,173,64,5,3,1926,856,4690,21637,10851,7097,4489,1460,119,28,51224
20701,83,238,481,338,422,333,129,19,0,2036,108,309,622,615,806,487,208,64,18,3231,3410,8629,17640,16203,18912,12535,4277,570,82,82260
20702,40,104,292,275,375,260,87,10,0,1443,44,158,419,372,414,305,129,29,9,1868,1565,3497,8118,8374,9411,6577,2118,334,31,40019
20703,44,169,366,341,358,269,86,17,0,1650,61,174,469,376,436,263,86,24,7,1901,2091,4828,10567,9969,10362,6635,1639,200,30,46322
20801,55,98,207,237,354,197,73,12,0,1226,67,122,261,433,648,392,183,34,13,2160,2005,3516,6316,9802,12680,8392,2876,348,50,45993
20802,60,218,565,476,588,355,122,18,0,2407,87,246,739,661,705,434,176,33,25,3107,2441,5945,17946,17184,16036,10403,3057,360,67,73440
20803,70,169,427,490,465,353,95,7,0,2086,83,181,461,616,660,410,150,21,21,2607,2537,4565,11612,14545,13849,8741,2123,221,49,58234
20804,13,61,129,101,103,68,28,3,0,500,36,97,163,151,197,108,51,17,4,816,676,2067,4916,4339,4423,2886,1048,147,20,20517
20901,70,161,434,430,416,334,86,13,0,1949,75,196,472,507,476,328,133,30,11,2231,2436,5032,12618,13855,12793,9446,2440,265,32,58915
20902,48,152,396,342,292,161,46,9,0,1448,79,239,591,467,409,254,58,19,4,2113,1492,4282,12293,10202,8190,4597,844,78,19,42006
20903,53,149,212,247,354,251,57,10,0,1338,76,104,197,250,386,265,92,19,0,1383,2084,3167,4790,7119,8971,6593,1544,134,13,34422
20904,110,430,1078,970,753,429,96,7,0,3883,211,503,1430,1185,1146,684,154,30,5,5340,4264,9181,26104,23331,19333,11851,1986,175,36,96259
21001,20,86,220,236,211,193,50,11,0,1015,32,89,219,258,319,189,62,19,0,1189,1153,2411,5461,6349,6434,4168,1079,132,9,27192
21002,20,54,88,107,130,102,36,3,0,542,25,42,86,133,148,102,40,6,3,589,741,1082,2091,3240,3784,2566,712,59,10,14291
21003,27,111,368,304,253,149,32,0,0,1247,44,165,502,384,281,189,51,14,6,1645,1041,3094,10072,8147,6182,3423,595,80,15,32659
21004,40,98,180,164,172,121,22,5,0,801,40,78,136,167,194,101,31,3,4,762,1120,1988,4034,4114,4551,3097,589,39,14,19536
21005,72,262,681,543,511,297,55,9,0,2421,161,482,1022,841,867,442,86,16,0,3915,2972,6998,16810,14252,13022,7293,1283,81,10,62727
21101,106,320,675,699,745,535,126,10,0,3224,127,332,741,814,964,686,158,37,10,3866,3952,7415,16073,16360,17603,12990,2731,212,31,77364
21102,18,40,62,87,138,100,34,7,0,481,22,50,87,107,164,122,50,6,3,611,802,1261,1664,2356,3538,2421,703,115,13,12870
21103,67,223,479,479,505,355,102,13,0,2231,89,207,513,498,551,354,142,25,6,2381,2803,4962,12033,12317,12106,8297,1980,188,23,54714
21104,25,101,223,240,276,170,52,4,0,1094,31,96,270,280,275,150,78,23,0,1203,1298,2360,6218,7062,6351,4110,1200,130,10,28750
21105,156,350,723,701,803,556,135,16,3,3448,193,370,690,747,921,668,199,39,8,3844,4159,6707,14002,15552,17210,12855,3175,332,41,74031
21201,99,173,540,396,403,257,63,7,0,1936,136,223,489,523,529,358,98,18,9,2387,2520,4327,10479,10261,9842,6002,1375,181,36,45037
21202,84,277,562,551,647,361,77,8,0,2564,136,348,763,716,839,531,135,22,6,3490,3231,6211,12403,13574,14015,9120,1667,142,16,60378
21203,125,361,848,735,620,346,76,7,0,3115,183,503,1167,1161,1016,564,132,21,6,4745,3815,7524,19803,20111,15851,8813,1453,136,30,77534
21204,84,369,986,788,609,416,114,13,0,3381,126,663,1698,1329,1189,759,177,35,5,5981,2732,8252,21632,16918,14434,9815,2183,178,24,76174
21205,57,247,533,495,622,369,137,19,0,2476,105,375,1004,803,826,478,148,60,20,3819,3032,7792,18312,16906,16738,10539,2799,388,66,76573
21301,73,394,862,659,676,390,81,3,4,3144,153,658,1512,1244,1154,741,129,21,3,5618,3056,8643,20174,16855,15469,10133,1640,106,18,76092
21302,43,127,321,324,283,218,50,3,0,1377,59,183,424,387,430,278,75,9,3,1837,1478,3149,9063,9928,9311,5787,1065,93,18,39891
21303,23,156,468,317,242,141,19,6,4,1374,51,225,648,436,357,202,56,6,0,1975,1025,4154,14220,10653,7057,3836,626,60,13,41648
21304,94,288,667,631,496,262,69,3,0,2513,159,372,783,873,702,375,88,11,5,3376,3665,6149,16149,18621,14054,8023,1339,83,16,68097
21305,117,318,937,831,586,346,73,0,0,3209,158,521,1566,1324,882,517,119,15,5,5107,4020,8608,29192,27582,19025,10212,1728,97,31,100495
21401,104,289,586,514,589,362,90,0,0,2543,145,296,706,746,791,565,138,21,11,3418,3338,5925,13858,13976,14089,9875,2142,162,30,63406
21402,94,243,482,522,650,441,146,10,0,2595,150,276,441,611,795,601,268,55,19,3219,4122,5612,10293,13831,16460,12675,3974,469,66,67498
21501,52,110,195,150,186,159,45,11,0,911,65,66,152,129,214,181,75,40,7,934,1441,1991,4269,4415,5893,5376,1597,378,56,25418
21502,47,98,187,142,174,124,32,3,0,811,56,89,201,193,198,205,61,10,6,1019,1416,1995,4405,4382,5013,4141,994,123,29,22501
21503,35,71,125,94,91,91,36,5,3,547,48,70,108,105,146,146,54,31,10,713,872,1251,2602,2718,3530,3279,970,196,43,15456
