SA3_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
20101,1146,404,2398,18340,22616,10303,8241,17277,7076,83848
20102,281,159,648,4253,6292,3321,2834,4048,2679,23428
20103,317,168,700,3480,4926,2877,2712,4574,2682,21245
20201,1080,609,2515,16582,20537,9288,7483,15251,7097,76243
20202,466,283,1128,7245,10895,5541,4473,6080,4845,39071
20203,137,69,311,1681,2207,1251,1252,1852,1220,9469
20301,143,35,258,3012,4126,2086,1898,2444,1191,14759
20302,2393,1032,5191,34725,39916,18278,14162,33754,13637,154470
20303,870,307,1869,12756,16512,8412,6090,9565,4552,57894
20401,607,325,1384,8275,11317,5686,4988,9071,5334,44677
20402,622,464,1631,7181,10064,5239,4104,7403,4162,38158
20403,750,282,1576,11567,15705,7448,5774,10922,5542,56959
20501,456,276,1111,8001,10302,5246,4662,7296,3817,39320
20502,574,398,1395,6399,9419,5363,4704,7389,4716,37995
20503,854,402,1954,9329,13405,7302,6022,9613,5499,51170
20504,823,382,1759,11199,14876,7382,6515,13308,6577,59863
20505,450,213,1029,6362,8662,4708,4149,6809,4560,35249
20601,795,197,1680,22192,21476,6699,4231,14457,5276,74327
20602,563,145,1089,12900,13116,4333,2607,7394,3279,43625
20603,714,198,1480,15454,14895,5552,3722,11510,4534,55664
20604,516,421,1255,36755,26928,6222,3530,38009,15812,127245
20605,734,221,1433,28624,24366,6512,3686,15672,10225,89081
20606,578,262,1352,19028,14356,4053,2419,10962,5865,56683
20607,502,191,1083,26987,21458,5667,2968,12573,8014,77659
20701,2211,595,4829,38772,38006,16293,10588,26497,8276,138430
20702,1428,461,3004,17980,18714,9201,6929,19126,4370,76324
20703,1322,584,3273,21668,21964,9552,6497,20952,4964,85602
20801,1611,562,3624,20826,21992,9979,6275,14261,5342,78669
20802,2192,583,4405,32970,33533,13015,8121,26206,7508,121353
20803,1444,806,3393,24302,26970,10712,7196,19356,7009,95538
20804,526,145,1121,9669,9418,3702,2426,6971,2096,34286
20901,1442,598,3253,24506,27930,12389,8739,19814,6473,99850
20902,1071,629,2649,18359,19047,7332,5805,21519,7592,79654
20903,319,121,720,13042,15099,7392,5043,8729,2977,52287
20904,1422,323,2440,36327,39083,16945,15050,47837,12454,167708
21001,706,299,1713,11204,12052,5654,4465,11510,3612,48500
21002,163,84,411,4984,6642,3332,2746,3635,1913,23263
21003,1364,341,2626,13153,14425,5912,5042,17551,5378,61453
21004,299,105,625,7449,8790,3780,2969,6366,2261,31617
21005,758,191,1280,24123,24599,10815,10742,43302,10190,123772
21101,1612,515,3105,31532,33720,14947,11055,28738,7090,127080
21102,379,92,668,5347,5544,2817,2096,4313,1152,21275
21103,1277,496,2639,22693,25009,10754,7737,17880,5350,89423
21104,757,295,1691,12252,13666,6334,4377,10544,2647,49819
21105,1182,440,2531,28678,33782,15783,11858,22037,8309,120450
21201,572,217,1177,16788,19489,8812,7173,14568,5703,72532
21202,1130,285,2043,23963,25313,11218,9218,27982,6689,104387
21203,699,269,1407,28213,30482,12959,11371,34398,9646,127067
21204,2085,564,3755,31326,31167,13462,11743,53565,12404,153660
21205,2288,791,4926,35106,36224,16215,11960,39068,8908,147473
21301,1450,496,2699,30648,30799,13036,12159,51096,13648,151396
21302,929,321,1910,16491,18385,7431,5703,15313,5134,68456
21303,667,286,1379,17882,17876,5886,4275,17057,6120,69093
21304,656,191,1209,25223,27764,12158,11212,29881,10024,116252
21305,733,338,1490,35992,41140,17842,16142,43016,13156,167288
21401,1279,559,2713,25635,29055,12245,9182,23615,9381,109114
21402,2245,1012,5059,27204,34424,17005,12561,25894,11067,128156
21501,926,422,2119,9098,12159,6473,5524,10226,5514,48998
21502,664,308,1419,8294,10637,5239,4309,9988,5178,43642
21503,550,302,1276,5543,6979,3810,3393,6632,4356,30716
21601,550,277,1164,5867,7571,3817,3342,6445,3499,30536
21602,428,225,935,4443,5772,2903,2700,5268,2903,23981
21603,688,325,1486,10069,12131,5869,4700,12272,5950,50990
21701,517,263,1138,5282,7546,3946,3461,6160,3222,29624
21703,474,224,1053,5758,7601,3996,3464,6247,3345,30421
21704,600,284,1340,8531,10575,5199,4125,8047,4149,40629
29797,0,0,0,7,3,3,0,11,3,25
29999,22,12,38,1281,954,324,278,1969,2020,6825
