SA3_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
20101,8,32,4,4,8,37,54,26,117,1211,1209,123,2542,142,207,349,2890,1927,51,4870
20102,0,3,4,0,5,7,13,5,26,208,273,35,515,26,37,62,577,417,13,1007
20103,0,4,0,0,0,5,19,14,35,160,219,18,401,34,37,70,474,576,22,1067
20201,3,28,0,0,3,32,52,16,96,1149,1235,143,2525,122,148,269,2796,1863,37,4696
20202,3,14,3,0,3,17,14,6,38,432,481,35,953,43,42,84,1038,688,20,1746
20203,0,0,0,0,0,0,11,0,9,69,88,6,161,11,3,14,173,199,9,377
20301,0,10,0,0,0,11,5,3,15,154,156,16,330,8,18,27,354,213,0,578
20302,13,51,5,7,8,64,87,56,210,2247,2162,251,4660,257,237,495,5154,3519,105,8780
20303,4,17,0,0,3,17,26,16,61,693,765,62,1514,61,64,120,1635,747,19,2409
20401,3,8,0,3,6,12,23,16,53,522,536,60,1120,57,55,111,1238,834,39,2104
20402,0,14,0,0,0,10,34,19,65,432,505,55,988,52,56,108,1094,792,25,1909
20403,7,18,0,0,3,23,25,12,56,800,795,91,1687,92,72,159,1843,1037,30,2908
20501,0,12,0,0,0,12,21,3,36,498,488,72,1055,45,48,93,1152,771,16,1939
20502,3,14,0,3,4,15,17,19,54,358,475,62,892,41,43,82,975,717,33,1724
20503,6,12,3,3,6,18,29,7,61,452,680,83,1214,80,82,158,1376,1004,33,2410
20504,7,13,3,3,8,20,54,27,106,787,855,96,1737,174,162,333,2069,1616,55,3740
20505,0,16,3,0,3,17,13,13,41,360,421,44,821,46,49,91,914,633,18,1570
20601,4,12,0,0,0,16,19,4,40,726,525,46,1300,49,58,108,1411,1177,20,2602
20602,6,8,0,0,0,8,6,4,22,461,403,43,906,33,24,59,959,642,19,1618
20603,3,14,0,0,0,16,41,17,73,628,458,59,1147,62,63,123,1266,972,35,2279
