SA3_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
20101,3,7,0,857,195,31,4,250,25,110,8,36,9,89,463,1218,17,0,10,24,5,12,0,0,0,19,20,110,1996,459,96,3989,406,1859,121,504,114,792,504,10850
20102,0,0,0,173,47,23,8,95,3,45,4,11,4,21,128,395,0,0,3,10,3,4,0,0,0,6,5,32,482,182,40,959,101,540,46,169,46,222,146,2935
20103,0,0,0,60,49,8,4,54,3,37,3,17,8,30,105,330,3,0,0,4,0,3,5,0,0,7,7,31,372,95,25,715,56,413,36,129,33,295,120,2299
20201,3,9,0,586,155,33,17,188,32,85,10,28,10,70,400,1024,9,0,3,10,6,12,3,6,0,13,21,83,1731,442,79,3372,367,1685,155,514,94,736,440,9617
20202,3,5,3,397,89,29,7,138,6,60,10,23,0,38,248,651,7,3,8,7,4,3,0,0,3,6,3,49,852,350,51,1704,168,888,86,267,57,326,268,5020
20203,0,0,0,34,32,7,4,38,0,7,0,5,0,10,49,164,0,0,0,3,0,0,0,0,0,0,3,14,229,47,18,369,38,163,14,43,11,122,64,1113
20301,3,3,0,189,46,9,9,81,8,30,3,10,0,18,132,338,3,0,3,12,0,3,3,3,3,3,3,33,457,100,34,985,112,462,27,132,39,112,150,2608
20302,12,19,3,1818,323,66,16,452,40,222,21,95,14,198,872,2320,22,0,12,49,4,28,3,8,9,32,58,240,3473,818,193,7175,774,3789,237,1092,246,1714,977,20489
20303,9,9,0,828,145,41,5,232,20,77,8,33,14,54,468,1098,16,0,5,16,0,6,4,0,0,0,16,68,1365,456,79,3162,311,1421,106,357,88,429,495,8267
20401,0,9,0,271,120,35,9,146,16,66,12,26,10,48,262,731,18,0,3,16,0,7,0,3,5,11,23,82,1027,252,58,1644,176,958,86,241,71,368,299,5172
20402,3,3,0,214,102,22,4,127,14,44,5,22,4,32,208,582,7,0,5,11,3,3,0,0,0,9,23,50,935,196,51,1554,172,654,61,202,47,338,245,4455
20403,0,5,4,367,149,31,10,170,14,69,3,25,17,36,413,940,10,0,8,15,3,11,0,0,4,9,13,70,1574,350,83,2442,291,1143,100,279,100,419,448,7233
20501,3,3,0,373,101,13,4,146,19,65,3,25,11,40,239,664,16,0,14,13,3,6,0,5,0,9,11,76,927,230,64,1858,196,1010,72,265,67,342,259,5298
20502,0,5,4,141,96,18,9,95,4,42,0,22,8,34,251,571,3,0,3,6,0,4,0,0,4,14,13,47,626,217,49,1239,134,579,74,255,52,375,277,3871
20503,0,5,0,260,121,33,7,163,17,54,7,43,4,48,253,752,12,3,4,16,0,9,3,0,0,3,17,76,996,353,77,1937,182,889,86,368,84,445,298,5711
20504,4,14,0,596,125,20,8,166,19,95,8,34,11,73,363,925,11,0,3,12,0,6,3,3,6,14,22,85,1090,258,63,2440,262,1302,107,413,113,751,398,7200
20505,0,4,0,324,104,17,8,102,13,58,3,22,5,26,326,683,11,3,8,3,0,4,0,0,3,3,21,51,761,145,53,1364,158,775,75,210,74,314,360,4292
20601,3,27,0,1500,87,21,10,140,19,71,3,31,9,94,416,901,11,0,3,12,3,10,0,0,3,11,13,63,1451,423,54,2753,371,1486,90,460,82,902,455,8524
20602,6,11,3,1487,69,12,3,88,3,38,12,21,4,62,247,561,10,0,3,10,0,3,0,5,0,5,10,45,1079,315,38,2089,226,860,71,256,38,454,269,5699
20603,8,22,0,2101,124,30,7,146,13,59,3,26,9,60,357,834,3,0,9,15,3,12,0,3,3,6,15,71,1667,295,71,2543,299,1354,65,358,74,564,393,7676
20604,8,23,0,1289,61,19,4,50,7,39,0,18,8,31,378,624,0,3,4,3,0,3,0,0,3,7,22,44,1171,189,65,1185,232,1423,51,302,74,503,412,5607
20605,14,33,4,2536,102,19,4,101,9,64,6,19,5,48,471,855,6,0,3,14,0,7,4,0,3,5,13,71,1622,295,59,2209,355,1458,78,310,67,430,500,7379
20606,15,46,5,1534,67,16,7,73,7,73,5,22,5,41,293,610,8,0,3,5,0,6,0,0,3,5,11,48,801,146,25,1101,168,964,36,223,48,322,314,4135
20607,8,29,0,1881,84,12,3,85,13,57,8,26,3,52,300,645,3,0,7,11,3,0,0,3,3,4,18,55,1326,272,57,1800,296,945,50,292,69,571,339,6011
20701,33,170,12,8386,356,89,20,497,22,305,17,123,22,139,1475,3063,34,0,27,48,12,25,6,3,6,15,44,221,4782,845,153,7058,616,4296,181,1045,171,1432,1550,22119
20702,7,64,7,2087,179,40,15,204,18,151,7,66,18,164,672,1536,13,0,13,23,5,10,0,0,3,18,35,118,2331,601,86,3419,300,2644,107,797,138,1472,736,12624
20703,6,40,0,2609,176,24,13,202,18,139,8,48,11,102,672,1413,14,3,5,29,3,5,3,0,0,5,16,92,2516,517,72,4103,361,2486,119,682,93,1052,708,12715
20801,29,76,3,5045,232,46,9,350,27,182,10,53,13,71,861,1854,17,5,8,35,3,23,0,6,4,12,23,140,2888,464,77,4688,403,2614,97,559,103,686,896,13462
20802,20,65,5,4820,299,63,17,400,26,209,17,56,19,109,944,2154,26,3,13,58,4,22,3,12,11,12,42,197,4134,776,139,6485,644,3590,184,889,161,1110,1016,19126
20803,11,34,0,2325,269,45,19,282,24,145,16,36,15,99,679,1626,25,0,17,30,0,19,5,6,4,6,24,137,3216,542,143,5441,523,2665,156,583,150,886,725,15027
20804,7,40,0,2123,91,15,3,101,11,96,12,31,5,23,302,679,9,4,0,11,0,5,0,3,0,4,8,46,1131,151,27,1731,156,1080,37,204,36,274,314,5141
20901,13,28,0,2786,207,47,17,313,23,187,14,59,18,138,694,1711,30,6,13,36,5,8,4,3,9,18,34,169,2915,644,124,5676,608,2965,172,714,148,1202,760,15931
20902,6,29,0,861,120,32,13,142,8,109,3,47,14,136,404,1021,10,3,4,16,3,15,3,0,11,26,40,129,1558,492,83,2839,311,2054,96,682,165,1494,485,10264
20903,9,25,0,1922,196,45,12,322,26,119,20,41,6,64,469,1306,16,0,0,32,0,9,6,3,0,3,17,90,2081,425,81,4006,335,1660,125,415,74,450,502,10155
