SA3_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
20101,0,0,0,6,0,0,0,0,0,17,0,28,0,3,0,0,0,0,0,0,0,7,0,19,0,4,0,3,0,0,0,6,3,14,0,32,0,0,0,0,0,3,0,8,0,10,0,15,0,3,0,6,0,4,0,16,0,32,0,65,0,8,0,11,0,21,0,36,0,38,0,112,7,15,0,17,0,54,0,52,3,83,0,244,20,27,0,63,6,138,9,83,8,87,0,435,37,46,5,179,20,237,11,60,22,127,6,747,62,67,7,379,21,241,15,61,18,81,9,953,74,62,14,392,49,260,5,45,10,59,0,978,105,47,0,453,40,188,17,25,8,30,0,916,351,52,16,870,79,264,22,41,8,54,3,1777,352,39,7,574,68,112,10,12,3,20,0,1191,299,23,16,316,32,39,10,7,3,15,0,752,154,13,3,118,17,78,0,7,3,5,0,399,322,19,0,333,43,94,10,18
20102,0,0,0,3,0,0,0,0,0,9,0,11,0,3,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,4,0,9,0,0,0,0,0,0,0,0,0,5,0,4,7,0,0,3,0,3,0,6,0,5,0,25,3,0,0,4,0,7,0,7,0,16,0,45,3,4,0,13,0,14,3,19,7,15,0,78,9,21,0,23,3,28,0,25,7,31,0,152,10,29,0,53,5,77,10,33,3,24,0,248,21,32,6,94,4,62,4,24,8,29,0,277,31,13,0,101,9,53,4,11,4,26,0,253,35,6,4,111,11,40,3,5,4,15,0,237,85,20,4,182,24,94,7,10,3,18,0,446,74,12,3,128,19,34,4,3,0,4,0,281,60,10,7,58,6,18,0,4,3,0,3,160,34,3,0,25,3,20,0,3,5,0,0,91,61,3,0,71,8,24,3,3
20103,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,4,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,3,0,15,0,27,6,3,0,9,0,9,0,8,3,14,0,55,3,10,0,8,3,21,0,12,4,34,0,94,7,8,0,25,0,33,0,17,3,47,0,145,25,17,3,66,5,77,3,25,8,45,4,277,24,8,0,96,12,69,6,10,3,22,0,257,31,15,8,91,3,55,0,4,3,20,3,225,32,6,0,86,0,29,3,8,0,10,0,184,58,12,6,139,11,44,4,7,3,23,0,303,46,3,4,61,10,15,0,0,0,5,0,153,32,0,0,42,3,10,6,0,0,0,0,97,17,3,0,11,0,0,0,0,0,0,0,41,25,4,0,19,3,3,0,3
20201,3,0,0,0,0,0,0,0,0,14,0,21,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,7,0,3,0,11,0,0,0,0,0,0,0,5,0,4,0,8,3,4,0,5,0,7,0,12,0,61,3,92,3,4,0,8,0,16,3,28,0,33,0,93,8,9,0,14,0,47,0,45,3,86,3,219,12,32,0,57,8,142,7,81,6,105,3,445,17,49,3,164,14,240,15,86,19,104,4,705,63,74,10,339,22,257,16,66,8,69,0,920,92,49,5,368,16,218,20,47,18,57,0,888,117,39,10,369,39,193,9,37,3,41,4,851,353,66,20,701,93,230,27,35,12,42,3,1565,323,38,6,527,74,81,20,20,4,16,0,1107,203,15,5,294,31,41,10,0,3,10,0,618,158,3,4,101,21,60,5,3,4,4,0,369,218,26,10,224,15,62,8,14
20202,0,0,0,0,0,7,0,0,0,4,0,17,0,0,0,3,0,0,0,0,0,3,0,11,0,0,0,3,0,0,0,3,0,4,0,13,0,0,0,0,0,0,0,4,0,3,0,11,4,3,0,0,0,0,0,6,3,14,0,31,0,4,0,3,0,17,0,19,3,12,0,55,4,15,0,10,0,20,0,32,6,34,0,113,7,21,0,33,0,49,0,24,5,34,0,184,22,34,3,79,6,105,12,33,6,58,3,370,28,52,6,127,8,116,5,41,4,46,0,427,31,35,6,174,6,111,9,22,4,19,3,417,56,24,0,189,16,83,9,21,0,17,0,401,130,61,13,322,40,152,18,13,11,20,0,778,164,37,7,251,24,55,8,9,4,3,0,564,101,9,3,156,17,16,8,4,0,10,0,323,74,0,0,51,10,71,3,6,4,3,0,222,136,22,0,150,22,36,8,9
20203,4,0,3,0,0,0,0,0,0,4,0,11,0,0,0,3,0,0,0,0,0,3,0,5,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,13,0,24,0,0,0,7,0,3,0,0,0,5,0,18,4,4,0,10,0,11,0,6,0,18,0,46,4,0,0,19,3,19,0,7,0,17,3,74,15,6,0,23,3,26,0,7,0,10,0,98,16,4,4,42,0,25,0,4,0,15,0,111,15,8,0,43,3,26,4,4,4,6,0,107,20,13,0,51,7,12,0,0,0,10,0,106,35,3,3,58,4,14,3,3,3,4,0,129,22,0,0,38,5,7,0,0,0,4,0,81,21,0,0,15,4,3,0,0,0,0,0,43,14,0,0,5,0,3,0,0,0,0,0,30,16,0,0,6,6,3,0,0
20301,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,3,0,3,0,7,3,5,0,17,0,0,0,0,0,3,0,10,0,4,0,20,0,3,0,4,0,12,0,8,0,8,0,44,3,3,0,23,0,23,0,9,0,8,3,76,8,15,0,40,3,53,5,23,3,24,5,180,17,9,4,90,10,61,5,10,3,14,0,229,20,7,0,87,3,53,3,13,3,7,3,218,32,13,0,111,17,46,4,3,3,3,0,235,83,15,10,183,21,72,3,12,0,3,3,416,75,7,3,181,23,32,5,3,0,0,0,325,59,3,7,77,8,16,0,3,3,3,0,174,29,3,0,37,5,15,0,0,0,0,0,99,72,6,6,66,4,24,0,0
20302,8,0,0,13,0,4,0,0,0,30,0,56,0,0,7,0,0,0,0,4,3,21,0,38,4,3,0,9,0,5,3,12,5,23,0,68,0,3,0,3,0,6,0,14,0,12,0,41,4,5,0,7,0,17,3,35,3,86,0,166,3,12,0,11,3,41,0,65,5,86,3,236,17,34,3,32,0,114,4,87,6,171,4,475,8,43,0,88,11,216,6,146,18,190,0,728,49,83,5,240,25,442,15,170,35,220,6,1284,83,108,14,496,41,477,32,129,22,169,5,1569,138,97,11,647,61,423,26,83,24,108,0,1615,207,86,16,722,75,407,16,57,20,99,3,1710,604,123,29,1533,137,676,46,87,28,133,8,3408,578,75,27,1128,165,220,25,41,17,51,8,2334,484,30,26,691,94,101,16,22,7,36,0,1511,335,13,13,277,46,153,6,11,14,16,0,881,604,35,14,778,74,237,18,28
20303,0,0,3,4,0,4,0,0,0,15,0,30,3,0,0,4,0,0,0,3,0,4,0,11,0,3,0,0,0,0,0,3,0,7,0,10,0,0,0,0,0,3,0,3,0,0,0,9,4,3,0,0,0,3,0,10,0,12,0,35,0,5,0,7,0,11,3,17,0,19,0,60,6,12,5,5,0,25,6,26,0,30,4,120,15,19,0,36,4,66,4,32,4,39,0,217,17,52,5,109,12,126,7,44,3,51,0,424,32,63,3,193,20,151,5,35,15,50,0,578,46,34,3,273,30,195,6,41,12,35,0,676,72,50,3,323,21,171,8,20,11,25,3,698,233,69,11,619,56,244,18,32,10,37,0,1331,214,48,11,552,51,88,10,24,3,27,3,1033,161,20,9,302,45,32,5,14,5,6,5,615,135,17,3,120,18,120,3,11,4,3,0,430,257,26,6,369,41,100,13,16
20401,5,0,0,0,0,3,0,3,0,4,0,17,3,0,0,0,0,3,0,0,0,3,0,13,4,0,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,3,0,3,5,0,17,0,3,0,3,0,3,0,0,3,13,0,32,0,10,0,8,0,12,0,14,0,15,0,59,6,5,0,7,0,16,3,17,4,41,4,108,18,23,3,37,3,68,0,31,4,39,4,239,29,24,5,96,8,144,6,43,11,50,3,422,34,31,4,150,18,145,10,31,7,37,0,464,44,19,3,202,14,130,6,12,9,28,3,476,83,23,3,198,11,102,4,10,12,19,3,478,179,27,5,335,31,139,19,27,7,20,4,787,189,17,9,226,30,48,11,11,4,5,0,551,125,4,6,88,12,21,0,4,3,0,0,268,58,0,4,35,12,22,0,3,0,0,0,141,116,7,3,97,6,22,9,0
