SA3_CODE_2016,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
20101,3280,122,0,3402,30,0,0,0,34,10,0,10,40,3,0,44,80,13,0,0,94,0,6,3,93,8,0,106,111,16,0,3,128,11,4,13,137,12,0,149,2925,334,43,44,3356,45,18,60,3414,140,0,3559,798,94,20,11,932,46,3,46,979,150,6,1137,0,0,0,0,0,0,0,0,0,0,7,4,3723,433,69,65,4288,85,24,110,4400,285,16,4698,540,87,7,4,631,12,4,23,654,35,0,692,1066,109,16,8,1201,9,3,13,1215,39,0,1253,18,0,4,0,25,4,0,4,26,0,0,26,11,0,0,14,25,0,0,0,25,3,0,24,1635,194,22,26,1876,27,8,36,1915,74,0,1995,9,0,0,0,12,4,0,4,23,9,0,26,32,5,0,0,41,0,0,0,37,15,0,50,40,9,0,3,52,9,0,9,58,20,0,77,1678,199,22,27,1931,36,8,45,1977,94,0,2071,323,52,9,11
20102,859,44,0,908,3,0,0,0,3,0,0,0,3,0,0,3,19,0,0,0,17,0,0,0,19,0,0,19,23,0,0,0,27,0,0,0,25,0,0,25,717,132,17,4,866,12,4,20,887,44,0,931,257,46,3,5,307,10,0,10,317,39,0,353,0,0,0,0,0,0,0,0,0,0,3,5,971,177,22,14,1175,20,4,30,1200,83,9,1290,144,32,12,5,187,0,0,6,190,10,0,206,279,52,9,0,334,4,3,7,337,17,0,355,3,0,5,0,7,0,0,0,7,3,0,10,3,4,0,4,5,0,0,0,5,0,0,5,424,82,16,12,534,7,3,12,549,30,0,575,3,3,0,0,9,0,0,0,9,0,0,9,6,0,0,0,8,0,0,0,8,0,0,8,15,4,0,0,15,0,0,0,19,0,0,19,440,82,16,12,552,9,3,10,561,30,0,596,108,17,0,5
20103,626,38,0,669,7,0,0,0,5,0,0,0,11,0,0,9,12,3,0,0,15,0,0,0,15,7,0,22,17,5,0,0,22,0,0,3,25,5,0,31,539,71,29,11,643,8,0,8,653,48,0,699,197,37,0,3,240,10,5,17,251,55,0,310,0,0,3,0,3,0,0,0,3,0,0,3,739,108,28,11,885,20,3,23,911,105,0,1016,118,16,0,0,135,0,0,0,136,13,0,150,186,32,6,6,231,3,0,3,236,18,0,252,0,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,3,0,0,0,3,0,0,4,312,51,10,3,378,3,0,7,380,31,0,411,3,0,0,0,3,0,0,0,3,0,0,6,3,0,0,0,9,0,0,0,6,4,0,9,6,0,0,0,11,0,0,0,12,6,0,14,315,55,10,3,383,4,3,10,390,39,0,431,81,24,5,3
20201,2809,90,0,2899,30,0,0,0,32,8,0,8,39,3,0,45,70,5,0,0,80,8,4,15,94,6,0,98,100,8,0,3,114,14,4,17,129,11,0,142,2474,303,59,39,2881,47,16,60,2939,100,0,3038,728,121,10,11,874,45,13,57,938,144,4,1084,8,0,0,0,8,0,0,0,8,0,7,17,3217,420,75,55,3762,96,25,118,3880,248,12,4136,454,59,4,7,521,12,0,13,533,24,0,563,817,99,15,13,947,10,5,15,957,20,3,980,21,7,3,0,38,0,0,0,38,3,0,38,10,0,0,3,10,0,0,0,10,3,0,15,1297,169,31,17,1516,17,4,26,1540,56,3,1598,15,3,0,0,17,0,0,0,19,0,0,19,34,0,0,0,35,0,3,6,39,7,0,45,49,3,0,0,53,3,3,6,58,8,0,66,1347,172,31,18,1564,25,8,31,1598,59,3,1664,337,62,9,11
20202,1449,76,4,1530,11,6,0,0,17,3,0,3,15,0,0,20,31,3,0,0,31,0,0,3,34,0,0,35,37,5,0,0,48,3,0,4,57,3,0,58,1219,220,22,21,1485,13,10,24,1507,73,4,1583,375,57,14,13,459,5,0,5,466,41,0,509,0,0,0,3,6,0,0,0,6,0,3,4,1596,274,42,38,1943,21,10,30,1975,120,5,2099,250,49,8,4,310,4,5,7,322,14,0,337,447,89,10,3,557,3,0,3,556,19,0,577,18,10,10,0,33,0,0,0,33,0,0,34,16,0,0,10,24,0,0,0,24,0,0,19,730,151,26,17,919,9,5,12,934,36,0,971,9,0,0,0,11,0,0,0,12,0,0,14,10,0,0,0,15,0,0,0,15,0,0,16,23,3,0,0,30,0,0,0,26,3,0,29,754,156,26,18,948,8,5,11,961,44,0,1005,155,26,5,10
20203,353,16,0,368,3,3,0,0,5,0,0,0,5,4,0,5,3,0,0,0,3,0,0,0,3,0,0,5,5,3,0,0,4,0,0,0,4,3,0,10,315,37,3,4,362,0,0,0,360,20,0,379,70,13,0,5,89,3,4,6,95,25,0,126,3,0,0,0,3,0,0,0,3,0,0,0,390,48,4,10,453,3,4,8,461,42,3,507,62,3,0,0,66,0,0,0,66,3,0,69,122,12,0,0,134,0,0,0,134,7,0,141,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,191,15,0,0,210,0,0,0,210,10,0,218,0,0,0,0,0,0,0,0,0,3,0,4,5,0,0,0,5,0,0,0,5,0,0,5,8,0,0,0,8,0,0,0,8,3,0,11,199,15,0,0,219,0,0,0,219,14,0,229,38,4,0,3
20301,808,24,3,831,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,30,0,0,0,31,0,0,26,28,3,0,0,30,0,0,0,31,0,0,29,736,71,11,6,830,3,3,8,835,26,3,861,209,39,5,0,253,0,0,0,253,20,0,272,4,0,0,0,4,0,0,0,4,0,0,4,946,111,16,9,1083,4,3,9,1092,44,3,1141,144,19,4,0,170,3,0,3,175,10,0,182,351,37,5,3,392,0,0,0,392,9,0,403,10,0,0,0,10,0,0,0,10,0,0,9,8,0,0,4,9,0,0,0,9,0,0,9,512,51,9,6,580,3,0,3,583,18,0,608,0,0,0,0,3,0,0,0,3,0,0,3,14,0,0,0,13,0,0,0,13,0,0,13,17,3,0,0,13,0,0,0,13,0,0,13,527,58,9,6,596,3,0,3,600,18,0,623,88,20,5,11
20302,5392,159,6,5561,49,5,0,0,57,11,0,11,68,0,0,72,147,17,3,3,169,12,0,10,179,5,3,185,201,23,3,6,224,20,0,20,251,8,3,261,4835,522,103,41,5506,111,26,136,5640,171,5,5818,1474,210,34,46,1762,56,18,76,1836,270,3,2110,12,0,0,5,14,0,0,0,14,0,12,27,6329,734,137,92,7285,170,39,212,7497,438,16,7951,870,119,14,9,1009,16,9,33,1043,63,4,1103,1753,164,24,8,1950,29,4,32,1984,57,0,2051,40,6,15,0,59,0,0,0,59,3,0,62,13,0,0,18,32,0,0,0,33,0,0,35,2677,294,51,32,3059,51,13,61,3121,128,6,3250,31,7,0,0,36,5,0,5,50,0,0,51,66,3,0,3,73,5,3,4,82,0,3,83,100,12,4,3,113,13,3,13,127,3,3,131,2776,301,54,36,3169,63,17,78,3247,127,10,3388,604,89,14,22
20303,2728,91,3,2822,7,4,0,0,20,3,0,3,21,4,0,25,60,0,0,0,63,4,3,7,70,3,0,73,69,4,4,0,77,11,3,11,93,7,0,99,2351,348,53,31,2778,30,10,36,2821,100,3,2922,682,79,20,7,787,17,9,25,813,40,0,851,4,0,0,3,8,0,0,0,8,0,4,6,3031,427,68,41,3569,51,14,64,3633,133,9,3779,363,72,7,4,441,14,0,16,455,29,7,485,876,106,3,8,999,7,0,5,1005,17,0,1022,27,0,9,0,39,0,0,0,40,0,0,44,7,3,0,13,20,0,0,0,20,0,0,22,1270,181,19,24,1498,21,4,27,1524,48,7,1577,15,0,0,0,16,0,0,0,12,0,0,16,18,0,0,0,24,3,3,3,31,0,0,31,32,3,0,0,37,4,3,4,42,0,0,46,1303,187,19,24,1533,25,9,33,1567,48,7,1615,265,27,9,0
20401,1506,51,3,1564,15,0,0,0,15,0,0,0,16,0,0,14,30,4,0,0,30,4,0,4,37,0,0,34,39,4,0,0,45,3,0,3,51,3,0,52,1303,178,31,23,1532,19,3,22,1558,53,3,1615,411,61,8,22,507,13,3,12,517,77,0,594,4,0,0,3,14,0,0,0,14,0,8,23,1724,243,43,48,2054,32,3,36,2088,129,10,2228,317,31,6,0,357,9,0,8,367,14,3,383,448,48,19,3,517,3,0,3,523,11,4,539,11,3,8,0,21,3,0,3,23,0,0,25,3,0,0,4,12,0,0,0,12,3,0,13,785,83,30,7,905,14,0,11,921,32,6,959,16,0,0,0,14,0,0,0,17,0,0,18,15,3,0,0,19,0,0,0,19,0,0,20,32,3,0,0,33,0,0,0,32,3,0,37,812,90,30,7,940,16,0,12,954,38,6,990,178,31,7,12
