SA3_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
20101,32233,81989,4855,8827,506,1130,5362,9963,1117,1662,70,108,0,0,0,3,1185,1771,3,11,14,25,4,11,90,200,106,248,171,314,39056,94282,4535,..,43592,94282
20102,9822,23645,134,194,6,10,141,204,111,152,0,0,0,0,0,6,115,154,39,55,8,14,14,21,326,738,387,828,133,295,10591,25121,2807,..,13398,25121
20103,9440,21781,321,466,3,5,323,472,98,118,0,0,0,0,0,0,100,119,76,102,60,89,16,19,40,77,181,281,44,100,10096,22756,1766,..,11862,22756
20201,31549,79394,2805,4365,388,756,3199,5121,464,759,56,87,17,18,0,0,532,860,57,75,51,69,3,8,47,98,159,252,125,249,35561,85879,4044,..,39605,85879
20202,16641,40401,485,727,16,30,500,754,155,202,0,0,0,0,3,4,158,214,22,42,36,49,8,16,61,120,133,228,157,333,17580,41930,2958,..,20537,41930
20203,4158,9781,18,27,3,9,20,34,52,72,0,0,0,0,0,0,52,72,51,74,7,23,8,21,26,51,92,159,41,87,4367,10135,990,..,5362,10135
20301,6198,17440,19,45,0,0,19,45,29,48,0,0,0,0,0,3,29,47,8,10,3,6,11,31,5,15,26,66,24,55,6296,17657,793,..,7087,17657
20302,58858,151669,7100,11744,1392,2769,8488,14516,1932,3031,107,157,186,307,4,13,2234,3513,63,99,225,294,3,6,224,653,522,1062,193,411,70291,171166,7315,..,77607,171166
20303,23790,60285,996,1621,668,1453,1665,3070,325,511,41,62,10,10,0,4,371,585,10,30,31,38,0,0,45,96,81,167,124,279,26043,64393,15381,..,41419,64393
20401,18548,44428,572,822,43,85,611,913,485,690,0,3,13,41,0,0,498,736,129,180,100,146,24,46,53,123,307,495,142,297,20110,46867,6494,..,26605,46867
