SA3_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
20101,68,616,21,107,57,17,0,6,9,899,19,147,3,17,21,3,0,0,10,219,341,3012,122,450,553,186,8,81,37,4786,3,3,0,4,6,4,0,0,0,26,135,287,39,228,231,62,7,31,13,1042,145,266,69,579,429,149,3,51,18,1711,181,216,447,1116,857,422,39,250,23,3557,28,21,26,68,134,101,7,57,3,436,32,14,22,136,106,62,3,34,4,410,6,39,12,20,32,15,0,8,0,133,32,63,17,86,70,62,6,67,36,443,1151,5551,787,2860,2570,1095,80,599,165,14852,15,50,0,0,0,3,0,0,0,72,39,344,4,6,3,0,0,3,0,402,340,1049,46,58,104,34,13,23,19,1701,22,87,0,10,3,3,0,4,0,122,159,896,30,147,82,25,13,18,10,1376,44,186,6,28,23,7,0,0,6,303,961,4878,308,681,727,291,70,199,86,8199,3,3,3,9,6,4,0,0,0,35
20102,31,150,7,39,20,6,0,0,0,243,7,20,0,8,0,0,0,0,0,45,160,593,29,110,157,42,3,31,17,1137,3,0,0,4,0,0,0,0,0,5,71,96,20,73,76,27,4,16,3,386,51,93,32,143,100,32,3,19,9,482,65,41,119,251,198,85,14,71,8,848,17,9,5,17,30,8,0,12,0,97,13,10,10,45,36,11,0,10,0,134,5,7,4,5,10,3,0,4,0,39,16,33,11,26,25,18,3,24,10,167,495,1279,243,734,680,241,33,198,48,3952,3,6,0,0,0,0,0,0,0,14,23,86,3,0,5,0,0,0,3,121,97,253,8,18,31,11,4,8,7,444,4,17,0,0,0,0,0,0,0,24,57,207,14,46,30,9,0,3,3,368,9,25,0,14,0,0,0,0,0,57,316,930,83,161,203,67,28,67,25,1880,3,0,0,4,4,0,0,0,0,9
20103,21,59,0,17,7,3,0,0,0,100,3,8,0,9,4,0,0,0,0,21,76,365,15,51,57,7,0,19,8,593,0,0,0,0,0,0,0,0,0,3,35,54,10,46,34,18,0,11,0,214,44,54,17,136,79,20,5,13,4,379,56,43,113,242,151,78,3,86,6,786,0,3,5,17,18,8,0,14,0,70,14,3,7,34,22,11,0,18,0,119,7,3,3,8,3,0,0,4,0,23,20,24,14,33,23,18,0,29,3,158,291,685,188,598,407,177,15,197,32,2586,4,0,0,0,0,0,0,0,0,3,7,9,0,0,0,0,0,0,0,17,29,92,5,7,10,0,0,0,6,153,0,10,0,0,0,0,0,0,0,8,30,88,0,15,5,6,3,0,0,154,6,20,0,9,3,0,0,0,3,32,146,517,32,75,75,16,3,27,17,898,0,0,0,0,0,0,0,0,0,3
20201,73,511,11,113,72,6,4,3,4,790,16,131,4,8,15,0,0,0,0,169,341,2732,73,314,459,154,5,77,30,4185,0,3,0,18,5,0,0,4,0,33,87,245,44,223,188,53,3,22,11,873,142,244,57,566,331,111,7,67,11,1532,209,192,457,1097,747,376,46,268,38,3433,28,17,15,65,93,81,9,49,3,366,38,28,35,144,127,68,14,61,10,518,8,29,4,16,26,9,4,13,0,117,32,69,22,85,67,57,9,57,38,434,1057,4874,737,2683,2177,934,96,632,146,13336,4,44,0,0,0,0,0,0,0,45,18,210,4,6,8,0,0,0,5,251,211,814,21,52,68,16,3,14,10,1216,10,60,0,4,9,0,0,0,0,84,138,748,23,144,92,16,4,7,4,1181,28,166,4,15,18,0,0,3,0,237,775,4345,204,459,626,253,52,179,52,6957,0,10,6,23,11,0,0,4,0,46
20202,71,337,15,54,45,9,0,6,3,539,14,50,0,4,6,0,0,0,0,74,296,1197,63,202,219,89,3,54,26,2152,0,3,0,4,4,0,0,0,0,11,64,183,27,122,103,52,3,16,4,566,78,128,43,192,143,43,5,32,8,678,103,87,194,405,254,136,19,110,8,1313,13,8,7,38,41,27,3,18,0,163,26,9,12,70,56,30,4,22,0,227,9,22,3,12,12,10,3,11,0,83,28,44,13,55,39,23,7,31,14,260,831,2545,392,1177,971,412,49,313,70,6764,0,26,0,0,3,0,0,0,0,32,36,216,8,3,7,0,0,3,0,275,187,520,24,26,54,8,0,17,6,851,4,39,0,0,6,3,0,0,0,60,131,490,28,83,58,14,3,16,3,828,24,59,3,15,9,0,3,4,3,122,647,1960,168,299,298,127,23,123,33,3681,3,3,0,4,3,0,0,0,0,17
20203,20,40,0,5,10,0,0,0,0,78,3,5,0,0,0,0,0,0,0,15,59,182,6,21,27,6,3,13,0,322,0,0,0,0,0,0,0,0,0,8,32,31,5,18,21,4,0,3,3,114,28,22,10,33,32,5,0,11,3,147,37,18,36,91,81,33,5,27,4,340,5,7,0,4,14,16,0,14,0,56,14,0,0,17,18,8,0,7,0,63,3,3,0,0,3,0,0,0,0,8,15,13,3,17,14,8,0,10,8,82,224,365,56,210,230,78,14,92,20,1287,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,13,18,33,0,0,7,0,3,0,0,66,0,4,0,0,0,0,0,0,0,6,19,60,0,12,7,0,0,0,0,106,3,13,0,0,0,0,0,0,0,18,118,244,19,27,33,13,10,18,0,494,3,0,0,0,0,0,0,0,0,5
20301,16,91,0,15,7,3,0,5,0,141,8,18,0,3,3,0,0,0,0,28,91,496,24,63,92,31,0,15,6,826,0,0,0,0,0,0,0,0,0,3,41,50,23,43,57,18,6,5,0,238,48,51,12,126,80,27,4,17,6,369,45,39,113,222,186,74,9,61,3,745,10,0,8,14,26,11,0,7,0,75,13,7,9,30,27,15,0,12,0,114,3,9,3,3,3,3,0,0,0,20,13,14,6,23,19,12,0,11,8,108,319,861,203,555,518,196,19,137,22,2833,3,6,0,0,0,0,0,0,0,10,15,45,0,0,4,0,0,0,0,66,52,125,3,8,10,0,0,3,0,201,5,13,0,0,4,0,0,0,0,20,35,128,5,24,11,3,0,8,0,212,13,22,0,9,4,0,0,0,0,43,236,722,56,83,113,54,17,30,9,1325,0,0,5,0,0,0,0,0,0,13
20302,115,918,20,179,84,21,0,8,7,1347,45,204,0,12,27,4,0,0,4,307,710,5280,194,921,1072,409,25,126,75,8817,5,3,4,35,6,3,0,3,0,62,278,604,108,458,449,139,21,47,27,2128,329,519,214,1067,822,308,25,114,31,3430,372,353,895,2156,1412,803,98,468,74,6628,33,41,31,154,138,120,14,77,3,609,58,53,42,280,237,119,16,73,9,889,21,66,20,40,54,27,3,8,4,241,45,123,39,168,140,105,26,90,74,812,2262,9509,1604,5598,4597,2105,236,1028,333,27264,13,91,0,5,12,0,0,3,0,120,67,734,14,9,26,4,0,3,0,857,539,1618,98,167,176,94,51,66,35,2834,35,122,3,12,19,4,0,0,3,194,239,1291,43,230,125,30,11,17,10,2000,78,284,10,25,40,3,0,5,5,457,1885,8552,592,1312,1534,735,215,423,159,15387,14,7,13,42,13,10,3,3,0,97
20303,88,456,8,82,62,11,0,6,8,724,17,83,0,10,16,0,0,0,0,124,404,2328,86,356,439,169,6,56,40,3893,0,11,0,15,3,0,0,0,0,28,134,302,53,199,214,74,6,28,9,1025,132,228,70,361,309,102,5,34,19,1253,131,138,310,644,457,239,20,121,24,2075,21,15,7,46,64,36,4,11,3,208,25,18,10,98,97,48,3,24,5,322,9,34,7,20,15,4,0,0,3,99,28,64,19,79,54,48,4,28,29,351,1139,4350,578,1952,1804,751,46,311,150,11077,9,40,3,0,10,0,0,0,0,66,32,291,8,9,5,0,0,5,3,352,295,792,21,49,83,15,3,9,15,1283,10,59,0,11,8,0,0,0,0,96,146,655,28,105,80,18,8,18,8,1061,29,109,4,12,19,0,0,0,3,185,1043,3823,282,538,613,281,47,147,82,6854,0,13,4,15,6,0,0,0,0,35
20401,38,187,3,44,22,3,0,0,0,307,7,35,0,8,10,0,0,0,0,61,213,991,52,172,191,56,6,62,10,1755,0,3,0,3,3,0,0,0,0,9,106,165,44,117,115,39,5,21,4,611,109,171,55,315,207,55,11,67,14,997,131,86,253,501,392,164,20,176,10,1736,31,13,17,36,47,39,7,40,3,228,21,23,25,93,65,33,3,45,3,314,10,15,3,9,19,4,0,9,4,68,41,48,27,62,58,44,8,57,24,366,773,1922,481,1369,1154,446,55,491,86,6777,3,7,0,3,3,0,0,0,0,12,19,62,0,4,6,0,0,0,3,101,126,215,6,29,25,4,3,16,7,443,7,21,0,3,0,0,0,0,0,36,61,273,14,65,31,3,3,8,4,455,15,52,6,7,12,3,0,0,0,85,501,1410,128,243,238,85,26,114,19,2765,0,9,0,3,3,0,0,3,0,17
