SA3_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
20101,400,18,4,26,423,90,4,511,0,0,0,0,0,0,0,0,0,0,3,3,2003,257,31,38,2328,54,14,68,2394,187,4,2590,432,52,5,4,481,3,0,3,491,15,3,511,598,56,6,6,667,9,4,14,681,17,0,700,18,0,3,0,21,3,0,3,23,0,0,21,3,0,0,7,12,0,0,0,12,0,0,13,1048,109,17,13,1183,19,4,24,1207,41,3,1250,6,0,0,0,6,3,0,3,14,0,0,11,16,3,0,0,22,0,0,0,22,3,0,21,26,3,0,0,26,3,0,3,31,6,0,35,1074,113,17,14,1212,21,4,27,1236,41,3,1284,159,29,4,3,200,10,3,11,211,62,3,280,0,0,0,0,0,0,0,0,0,0,0,3,1234,136,19,18,1411,32,13,41,1447,109,9,1565,601,61,7,3,665,9,5,18,688,34,3,725,787,89,12,0,894,12,0,17,907,47,0,953
20102,128,10,0,10,136,14,0,154,3,0,0,0,3,0,0,0,3,0,4,6,548,102,21,16,686,13,4,17,704,47,4,752,96,13,3,0,120,3,0,3,118,5,0,125,147,29,3,3,184,3,0,3,185,12,0,198,3,0,4,0,8,0,0,0,8,0,0,8,0,0,0,4,6,0,0,0,6,0,0,6,246,47,12,8,311,5,0,5,314,23,0,336,0,0,0,0,3,3,0,3,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,7,0,0,0,7,3,0,3,14,0,0,9,258,45,12,8,322,10,0,10,327,24,0,350,74,11,0,0,82,0,0,0,86,17,0,103,0,0,0,0,3,0,0,0,3,0,3,8,326,53,14,8,400,10,0,10,414,38,3,457,156,20,0,0,170,6,0,6,179,12,0,188,167,22,5,3,198,5,0,5,202,9,0,218
20103,116,0,0,0,117,37,0,153,0,0,0,4,4,0,0,0,4,0,0,4,402,76,13,12,502,11,3,7,509,77,0,589,65,12,0,0,74,0,0,0,74,6,0,79,113,19,3,0,138,3,4,3,149,10,0,153,5,0,0,0,9,0,0,0,9,0,0,9,0,0,0,3,3,0,0,0,3,0,0,3,182,37,3,3,228,3,4,3,232,22,0,248,3,0,0,0,3,0,0,0,5,0,0,5,5,0,0,0,5,0,0,0,5,0,0,9,8,0,0,0,10,0,0,0,9,0,0,9,186,37,3,6,231,3,3,5,237,23,0,257,43,11,4,3,57,3,0,3,61,31,0,97,0,0,0,0,0,0,0,0,0,0,0,0,232,46,5,11,291,3,3,5,305,54,0,354,101,11,0,0,109,4,0,8,116,9,0,128,161,35,4,0,196,0,0,0,198,17,0,216
20201,416,17,5,24,438,94,0,528,3,0,0,0,6,0,0,0,6,0,3,9,1686,227,39,34,1987,35,19,55,2041,150,4,2194,347,45,3,0,405,7,3,5,406,19,4,431,548,73,10,13,642,13,0,12,654,23,0,681,15,4,3,0,18,0,0,0,18,0,0,24,3,0,0,0,7,0,0,0,10,0,0,8,918,126,19,16,1073,17,3,22,1096,39,3,1140,9,3,0,0,8,3,0,3,14,0,0,14,20,0,0,0,19,0,0,0,20,3,0,27,24,5,0,0,31,3,0,3,33,3,0,34,944,131,19,16,1100,17,3,23,1127,47,3,1180,176,37,3,3,218,3,5,12,229,52,0,282,0,0,0,0,0,0,0,0,0,0,3,5,1117,164,24,19,1320,23,10,36,1360,96,5,1464,485,62,3,6,560,9,4,8,573,25,0,604,714,93,7,3,825,5,3,4,827,36,0,871
20202,198,3,0,3,202,30,0,231,0,0,0,0,3,0,0,0,3,0,5,3,905,184,30,29,1144,11,5,16,1161,77,3,1244,182,38,3,3,223,9,0,9,232,17,0,248,254,44,11,0,310,3,0,6,315,18,0,330,15,7,4,0,20,0,0,0,20,0,0,20,6,0,0,5,11,0,0,0,11,0,0,11,458,89,14,11,567,13,0,12,578,36,0,616,3,0,0,0,6,0,0,0,6,0,0,6,16,0,0,0,12,3,0,3,20,0,0,21,14,3,0,0,21,3,0,3,23,0,0,25,475,89,14,11,590,9,0,11,604,36,0,641,93,13,3,8,113,3,0,4,111,18,0,131,0,0,0,0,3,0,0,0,3,0,3,5,567,98,17,16,701,14,3,17,718,56,3,772,272,38,5,3,321,4,0,5,327,14,0,349,344,71,16,3,435,4,0,4,439,18,3,458
20203,47,3,3,7,54,14,0,66,0,0,0,0,0,0,0,0,0,0,0,0,242,19,3,5,268,3,3,7,272,20,0,297,47,3,0,0,55,0,0,0,55,0,0,60,78,7,0,0,77,0,0,0,77,6,0,86,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,3,6,0,0,0,6,0,0,6,132,8,0,3,140,0,0,0,140,8,0,154,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,5,0,0,5,3,0,0,0,3,0,0,0,5,0,0,5,136,8,0,3,147,0,0,0,147,8,0,154,24,0,0,0,27,3,0,3,25,12,0,39,0,0,0,0,0,0,0,0,0,0,0,0,156,9,0,3,167,3,0,3,175,17,0,190,58,5,0,0,66,0,0,0,66,5,0,72,116,11,0,0,121,0,3,3,122,6,0,131
20301,127,3,0,3,129,14,0,141,3,3,0,0,8,0,0,0,8,0,0,8,616,80,13,15,728,9,0,9,739,37,0,775,105,7,0,3,116,0,0,0,118,5,0,120,187,20,3,4,214,0,0,0,216,6,0,224,8,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,3,0,0,0,3,0,0,3,298,28,5,6,341,3,0,3,344,14,0,355,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,7,8,0,0,0,5,0,0,0,5,0,0,9,302,27,5,6,346,3,0,3,352,12,0,362,48,15,5,4,68,0,0,0,68,5,0,78,5,0,0,0,6,0,0,0,6,0,0,6,355,41,11,8,424,5,0,5,426,20,0,442,124,12,3,3,142,0,0,0,142,4,0,144,213,25,3,5,246,4,0,4,248,9,0,262
20302,731,23,7,25,761,152,3,914,7,0,0,4,7,0,0,0,7,0,12,24,3385,390,68,67,3913,79,22,106,4018,280,25,4319,623,70,11,0,708,26,4,29,740,39,0,774,1119,93,8,9,1224,8,3,11,1241,47,0,1287,28,3,9,0,35,0,0,0,35,3,0,38,10,4,0,15,24,0,0,0,24,0,0,24,1778,173,25,23,1997,33,8,44,2042,88,0,2124,20,9,0,0,29,3,0,3,34,0,0,37,37,3,0,0,43,3,4,7,48,0,0,51,60,6,0,3,76,12,4,11,84,3,0,92,1838,180,25,23,2068,42,9,54,2125,87,0,2213,371,57,6,10,444,20,6,28,470,101,0,571,3,0,0,0,3,0,0,0,3,0,7,11,2216,232,40,34,2519,61,15,77,2598,188,11,2795,938,85,12,4,1048,19,0,19,1064,51,3,1113,1431,144,20,15,1612,21,0,21,1640,70,0,1711
20303,305,5,0,10,313,25,0,340,0,0,0,4,7,0,0,0,7,0,0,3,1573,210,27,32,1846,31,10,39,1883,71,12,1964,301,48,4,0,357,7,0,7,360,24,0,381,504,81,6,4,592,6,0,5,596,14,0,614,7,0,3,0,11,0,0,0,9,0,0,13,6,4,0,3,12,0,0,0,12,0,0,12,816,129,13,8,970,8,0,9,980,42,0,1021,15,3,0,0,15,3,0,3,21,0,0,21,17,0,0,0,20,0,0,0,17,0,0,18,29,6,0,0,35,3,0,3,38,0,0,41,849,132,13,8,999,11,0,15,1017,44,0,1061,132,11,3,0,153,3,0,3,157,25,0,175,3,0,0,0,3,0,0,0,3,0,0,3,979,144,15,13,1153,16,0,14,1175,62,0,1237,405,61,5,3,478,4,0,8,484,19,0,505,615,92,6,6,726,3,0,3,729,26,0,748
20401,218,7,0,9,226,29,0,258,0,0,0,4,4,0,0,0,4,0,3,6,988,114,31,20,1157,17,0,22,1177,64,16,1261,202,15,0,3,226,0,0,0,226,12,0,233,265,35,5,0,307,0,0,3,311,19,0,327,12,0,4,0,14,0,0,0,20,0,0,21,3,0,0,8,13,0,0,0,13,0,0,13,478,53,10,11,557,0,3,6,564,25,0,591,4,0,0,0,4,0,0,0,8,4,0,12,8,0,0,0,12,0,0,0,12,0,0,13,15,0,0,0,14,0,0,0,22,6,0,25,493,54,10,11,572,4,3,7,585,34,0,616,103,19,3,3,127,8,0,8,138,22,0,163,0,0,0,3,3,0,0,0,3,0,3,5,605,79,11,12,710,14,3,14,727,54,4,782,273,37,3,4,320,3,0,3,319,10,0,331,326,54,6,6,397,3,0,3,397,11,0,415
