SA3_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
20101,0,23,..,8,0,11,0,11,..,32,0,36,0,34,..,24,4,28,0,28,..,26,4,29,0,29,..,36,4,36,0,36,..,3,0,3,0,3,..,17,0,17,0,19,..,84,3,83,0,83,..,29,0,29,0,29,..,91,3,93,0,93,..,25,0,26,0,24,..,221,5,232,0,229,..,49,3,51,0,52,..,31,4,35,0,35,..,44,8,60,0,57,..,11,3,9,0,9,..,48,9,58,0,56,..,475,70,543,19,557,..,2465,352,2818,40,2857,..,157,10,165,3075,3241,47756,2622,366,2986,3114,53854,91983,..,..,..,..,91983,..,56,3,61,0,61,..,142,7,155,0,155,..,18,3,24,0,26,..,130,36,167,0,165,..,654,191,846,5,852,..,55,20,76,0,76,..,842,245,1086,4,1094,..,108,18,120,0,120,..,161,5,158,4,162,..,122,5,129,0,127,..,169,5,178,0,178
20102,0,0,..,3,7,9,0,9,..,34,0,34,0,32,..,0,0,0,0,0,..,20,0,18,0,18,..,7,0,7,0,7,..,0,0,0,0,0,..,22,0,24,0,24,..,3,0,3,0,3,..,0,0,0,0,0,..,18,0,20,0,20,..,7,0,7,0,7,..,28,0,28,0,28,..,20,3,22,0,22,..,5,0,5,0,5,..,13,0,13,0,13,..,4,0,4,0,4,..,6,0,5,0,5,..,78,16,92,0,98,..,543,45,593,7,595,..,31,0,31,1172,1202,12559,572,45,623,1180,14358,24833,..,..,..,..,24833,..,22,0,22,0,22,..,9,0,13,0,13,..,0,0,3,0,3,..,7,3,13,0,13,..,51,10,61,0,61,..,3,0,3,0,3,..,58,15,74,0,74,..,54,7,57,0,57,..,54,0,55,0,58,..,53,0,55,0,55,..,90,0,90,3,92
20103,0,0,..,0,0,0,0,4,..,7,0,7,0,7,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,20,0,20,0,20,..,0,0,0,0,0,..,18,0,18,0,15,..,7,0,10,0,10,..,49,0,50,0,49,..,8,3,14,0,14,..,0,0,0,0,0,..,7,5,9,0,9,..,0,0,0,0,0,..,10,3,9,0,9,..,49,8,57,3,54,..,257,35,293,8,300,..,49,10,56,856,908,11269,307,44,352,858,12481,22598,..,..,..,..,22598,..,3,0,3,0,3,..,9,0,6,0,13,..,3,0,3,0,3,..,9,0,9,0,9,..,18,13,38,0,38,..,5,0,5,0,5,..,32,13,48,0,48,..,10,0,10,0,10,..,30,0,30,0,30,..,19,0,21,0,21,..,45,0,48,0,48
20201,0,27,..,5,0,5,0,5,..,9,0,9,0,9,..,15,0,18,0,18,..,10,0,10,0,10,..,28,0,27,0,27,..,3,0,3,0,3,..,8,0,8,0,8,..,77,0,80,0,80,..,53,0,53,0,53,..,89,0,89,0,89,..,17,0,17,0,20,..,238,0,236,3,243,..,25,8,36,0,36,..,38,3,36,0,36,..,29,0,29,3,35,..,8,0,12,0,12,..,34,10,47,0,45,..,526,342,866,26,890,..,1913,535,2446,43,2489,..,139,3,146,3125,3268,43153,2053,544,2592,3165,48916,83258,..,..,..,..,83258,..,60,3,63,0,63,..,134,12,148,0,148,..,10,0,10,0,10,..,92,20,115,0,111,..,313,134,452,4,452,..,23,3,24,0,24,..,435,161,590,4,597,..,23,0,27,0,27,..,46,4,43,3,49,..,74,3,78,0,78,..,93,0,98,0,97
20202,0,0,..,4,0,4,0,4,..,15,0,16,0,15,..,0,0,0,0,0,..,18,3,25,0,22,..,0,4,3,0,3,..,7,0,7,0,7,..,3,4,5,0,11,..,18,0,18,0,21,..,9,0,9,0,9,..,30,0,30,0,32,..,5,0,4,0,4,..,65,0,70,3,70,..,37,0,37,0,37,..,6,0,6,0,6,..,20,0,20,0,20,..,8,3,12,0,12,..,5,3,6,0,6,..,100,15,123,10,126,..,750,119,866,22,887,..,52,3,55,1869,1924,21078,798,124,925,1893,23889,41261,..,..,..,..,41261,..,15,0,15,0,15,..,15,0,16,0,17,..,0,0,0,0,0,..,23,16,35,0,35,..,94,108,201,0,202,..,0,7,12,0,12,..,121,128,248,0,248,..,28,0,26,0,26,..,84,4,89,3,89,..,86,3,89,0,89,..,176,4,181,0,181
20203,0,0,..,0,0,0,0,0,..,4,0,4,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,20,3,24,0,24,..,5,0,5,0,5,..,6,0,12,0,12,..,5,0,5,0,5,..,40,3,44,0,44,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,26,3,28,0,28,..,131,17,146,4,147,..,11,0,14,486,502,4945,142,12,151,494,5590,10092,..,..,..,..,10092,..,9,0,9,0,9,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,9,3,9,0,10,..,0,0,0,0,0,..,7,3,10,0,16,..,3,4,3,0,3,..,3,0,3,0,3,..,9,0,6,0,6,..,23,0,23,0,23
20301,0,0,..,5,0,5,0,5,..,9,0,9,0,7,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,4,0,4,..,0,0,0,0,0,..,9,0,9,0,9,..,11,0,11,0,11,..,3,0,3,0,3,..,3,0,3,0,4,..,0,0,0,0,0,..,18,0,18,0,17,..,9,0,9,3,10,..,0,0,0,0,0,..,12,0,12,0,12,..,0,0,0,0,0,..,6,0,3,0,3,..,51,10,60,0,60,..,269,16,289,10,295,..,15,0,11,495,508,8610,281,17,298,496,9411,17386,..,..,..,..,17386,..,7,0,7,0,3,..,12,5,21,0,21,..,0,0,0,0,0,..,7,0,7,0,7,..,12,0,12,0,17,..,0,0,0,0,0,..,25,0,25,0,20,..,37,0,36,0,36,..,27,0,27,0,27,..,12,0,12,0,12,..,34,0,40,0,40
20302,0,74,..,407,121,525,10,537,..,60,5,63,0,63,..,164,43,209,0,210,..,232,43,274,3,282,..,95,30,127,0,127,..,18,0,18,0,18,..,297,95,394,5,400,..,241,7,251,0,251,..,119,3,128,0,128,..,293,5,305,3,310,..,83,3,82,0,82,..,738,20,757,5,765,..,241,55,292,3,296,..,65,5,75,0,75,..,133,31,165,0,164,..,117,25,144,0,144,..,221,115,335,3,338,..,1657,619,2281,47,2330,..,9507,2065,11573,160,11727,..,268,22,293,5364,5656,79472,9780,2086,11866,5521,96854,153362,..,..,..,..,153362,..,135,0,135,3,134,..,519,120,640,10,646,..,23,0,23,0,23,..,330,69,399,0,401,..,1308,342,1650,18,1669,..,90,32,120,0,120,..,1722,443,2171,21,2194,..,1691,337,2027,16,2043,..,385,10,392,9,398,..,287,10,302,3,304,..,634,16,654,6,664
20303,0,9,..,22,4,21,0,21,..,51,4,56,0,56,..,3,0,3,0,3,..,32,0,32,0,32,..,15,4,22,0,22,..,0,0,0,0,0,..,6,3,10,0,10,..,18,0,18,0,18,..,25,0,25,0,25,..,23,0,19,0,19,..,8,0,8,0,8,..,71,0,71,0,71,..,66,3,72,0,72,..,0,0,0,0,0,..,23,7,28,0,28,..,9,3,13,0,13,..,20,3,22,0,22,..,228,29,261,3,262,..,1448,153,1604,23,1625,..,78,3,85,1946,2028,33197,1529,159,1682,1965,36852,64645,..,..,..,..,64645,..,45,0,47,0,50,..,26,6,28,3,33,..,5,0,5,0,5,..,41,4,44,0,44,..,118,39,152,8,161,..,12,4,20,0,20,..,169,43,219,8,222,..,89,16,102,0,102,..,148,3,150,4,153,..,142,4,147,0,151,..,297,5,301,7,310
20401,3,16,..,11,0,11,0,11,..,20,3,23,0,23,..,0,0,0,0,0,..,19,3,24,0,24,..,7,0,10,0,10,..,3,0,3,0,3,..,3,0,3,0,3,..,29,0,32,0,33,..,5,0,6,0,5,..,56,0,55,0,55,..,13,0,13,0,13,..,99,3,107,3,103,..,22,0,28,0,28,..,0,0,0,0,0,..,31,5,41,0,41,..,6,4,10,0,10,..,4,3,10,0,7,..,160,26,189,3,192,..,980,150,1133,17,1143,..,66,3,68,2137,2203,23538,1045,148,1199,2150,26890,47142,..,..,..,..,47142,..,11,0,11,0,11,..,41,0,41,0,41,..,3,0,3,0,3,..,53,21,72,0,72,..,159,95,253,3,252,..,59,29,89,0,89,..,266,145,409,3,413,..,25,0,28,0,31,..,53,0,54,0,54,..,65,0,68,0,69,..,180,0,181,0,183
